date,election,state,seat,ballot_order,candidate_rn,name_on_ballot,name_spr,party_on_ballot,party_uid,party,coalition_uid,coalition,votes
2026-07-11,SE-16,Johor,N.01 Buloh Kasap,1,11901,Zahari Sarip,Zahari Bin Sarip,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.01 Buloh Kasap,2,14613,Rozy Razit,Noraziah Binti Mohd Razit,PH,078-PKR,PKR,007-PH,PH,0
2026-07-11,SE-16,Johor,N.02 Jementah,1,14614,Saifullah Wahab,Saifullah Bin Abdul Wahab,PN,004-PAS,PAS,011-PN,PN,0
2026-07-11,SE-16,Johor,N.02 Jementah,2,12772,See Ann Giap,See Ann Giap,BN,003-MCA,MCA,001-BN,BN,0
2026-07-11,SE-16,Johor,N.02 Jementah,3,12774,Ng Kor Sim,Ng Kor Sim,PH,021-DAP,DAP,007-PH,PH,0
2026-07-11,SE-16,Johor,N.03 Pemanis,1,9878,Anuar Abd Manap,Anuar Bin Abd.Manap,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.03 Pemanis,2,14615,Dr. Arvind,Ariventharan A/L Anandan,PN,113-MIPP,MIPP,011-PN,PN,0
2026-07-11,SE-16,Johor,N.03 Pemanis,3,14616,Jalex Lee,Lee En Xiang,PH,078-PKR,PKR,007-PH,PH,0
2026-07-11,SE-16,Johor,N.04 Kemelah,1,10530,Raven Kumar Krishnasamy,Raven Kumar A/L Krishnasamy,BN,002-MIC,MIC,001-BN,BN,0
2026-07-11,SE-16,Johor,N.04 Kemelah,2,14617,Afif Hamid,Mohd Afif Bin Abd Hamid,PH,046-AMANAH,AMANAH,007-PH,PH,0
2026-07-11,SE-16,Johor,N.04 Kemelah,3,12775,Uzzair Bin Ismail,Uzzair Bin Ismail,PN,107-BERSATU,BERSATU,011-PN,PN,0
2026-07-11,SE-16,Johor,N.05 Tenang,1,14618,Siti Aisyah Binti Zobir,Siti Aisyah Binti Zobir,BEBAS,000-BEBAS,BEBAS,000-ALONE,ALONE,0
2026-07-11,SE-16,Johor,N.05 Tenang,2,14619,Cikgu Mala,Normala Binti Sudirman,PN,004-PAS,PAS,011-PN,PN,0
2026-07-11,SE-16,Johor,N.05 Tenang,3,14620,Elia Nadira,Elia Nadira Binti Sabudin,PH,046-AMANAH,AMANAH,007-PH,PH,0
2026-07-11,SE-16,Johor,N.05 Tenang,4,9597,Mohd Azahar (Tok Ai),Mohd Azahar Bin Ibrahim,BN,001-UMNO,UMNO,001-BN,BN,0
2026-07-11,SE-16,Johor,N.06 Bekok,1,10493,Tan Chong,Tan Chong,BN,003-MCA,MCA,001-BN,BN,0
2026-07-11,SE-16,Johor,N.06 Bekok,2,14621,Cikgu Tay Yok Jiuen,Tay Yok Jiuen,PH,021-DAP,DAP,007-PH,PH,0
