coalition_uid,coalition,coalition_name_en,coalition_name_bm
0,ALONE,No Coalition,Tiada Gabungan
1,PERIKATAN,Alliance,Parti Perikatan
2,SF,Socialist Front,Barisan Sosialis
3,BN,National Front,Barisan Nasional
4,APU,Muslims Unity Movement,Angkatan Perpaduan Ummah
5,GR,People's Might,Gagasan Rakyat
6,BA,Alternative Front,Barisan Alternatif
7,PR,People's Pact,Pakatan Rakyat
8,PH,Alliance of Hope,Pakatan Harapan
9,GS,Ideas of Prosperity,Gagasan Sejahtera
10,USA,United Sabah Alliance,Gabungan Sabah Bersatu
11,PN,National Alliance,Perikatan Nasional
12,GTA,Homeland Movement,Gerakan Tanah Air
13,GPS,Sarawak Parties Alliance,Gabungan Parti Sarawak
14,GRS,Sabah People's Coalition,Gabungan Rakyat Sabah
15,BS,Sabah Front,Barisan Sabah
16,WARISAN-PLUS,Warisan Plus,Warisan Plus
17,GASAK,Sarawak Native's Coalition,Gabungan Anak Sarawak
18,HAK,People's Justice Front,Harakah Keadilan Rakyat
