date,election,state,seat,ballot_order,candidate_rn,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes
1955-07-25,GE-00,Pulau Pinang,P.001 Wellesley North,1,1,Hashim Awang,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,0
1955-07-25,GE-00,Pulau Pinang,P.002 Wellesley South,1,2,Tay Hooi Soo,PERIKATAN,003-MCA,MCA,1,PERIKATAN,15697
1955-07-25,GE-00,Pulau Pinang,P.002 Wellesley South,2,3,Haji Zabidi Bin Haji Ali,PAS,004-PAS,PAS,0,ALONE,3523
1955-07-25,GE-00,Pulau Pinang,P.003 George Town,1,4,Chee Swee Ee,PERIKATAN,003-MCA,MCA,1,PERIKATAN,7253
1955-07-25,GE-00,Pulau Pinang,P.003 George Town,2,5,Ooi Thiam Siew,LPM,005-LPM,LPM,0,ALONE,2650
1955-07-25,GE-00,Pulau Pinang,P.003 George Town,3,6,Cheah Phee Aik,BEBAS,000-BEBAS,BEBAS,0,ALONE,429
1955-07-25,GE-00,Pulau Pinang,P.004 Penang Island,1,7,Zainul Abidin Bin Sultan Mydin,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,14865
1955-07-25,GE-00,Pulau Pinang,P.004 Penang Island,2,8,Md. Isa Bin Sulaiman,BEBAS,000-BEBAS,BEBAS,0,ALONE,2925
1955-07-25,GE-00,Melaka,P.005 Malacca Central,1,9,Tan Siew Sin,PERIKATAN,003-MCA,MCA,1,PERIKATAN,17104
1955-07-25,GE-00,Melaka,P.005 Malacca Central,2,10,Abdul Karim Bin Bakar,BEBAS,000-BEBAS,BEBAS,0,ALONE,3194
1955-07-25,GE-00,Melaka,P.006 Malacca Luar,1,11,Abdul Ghafar Bin Baba,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,26790
1955-07-25,GE-00,Melaka,P.006 Malacca Luar,2,12,Jaafar Bin Mohd. Tan,NEG,008-NEG,NEG,0,ALONE,2821
1955-07-25,GE-00,Perak,P.007 Krian,1,13,Haji Ahmad Bin Haji Hussain,PAS,004-PAS,PAS,0,ALONE,8685
1955-07-25,GE-00,Perak,P.007 Krian,2,14,Haji Sulaiman Bin Haji Ahmad,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,8235
1955-07-25,GE-00,Perak,P.007 Krian,3,15,Mohamed Jan Bin Ngah Mohamed,NAP,007-NAP,NAP,0,ALONE,3315
1955-07-25,GE-00,Perak,P.008 Batang Padang,1,16,Abdul Hamid Khan Bin Haji Sakhawat Ali Khan,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,9170
1955-07-25,GE-00,Perak,P.008 Batang Padang,2,17,Mohamed Shamshuddin Bin Haji Hamzah,NAP,007-NAP,NAP,0,ALONE,1218
1955-07-25,GE-00,Perak,P.008 Batang Padang,3,18,Abdul Majid Bin Ariffin,PML,010-PML,PML,0,ALONE,766
1955-07-25,GE-00,Perak,P.009 Larut and Matang,1,19,Dr Cheah Khay Chuan,PERIKATAN,003-MCA,MCA,1,PERIKATAN,15407
1955-07-25,GE-00,Perak,P.009 Larut and Matang,2,20,Abu Bakar Bin Said,PML,010-PML,PML,0,ALONE,4453
1955-07-25,GE-00,Perak,P.009 Larut and Matang,3,21,Wan Zarazillah Bin Wan Haji Ismail,NAP,007-NAP,NAP,0,ALONE,3437
1955-07-25,GE-00,Perak,P.009 Larut and Matang,4,22,Dr Puran Singh,LPOM,005-LPM,LPM,0,ALONE,761
1955-07-25,GE-00,Perak,P.010 Dindings,1,23,Haji Mior Ariff Bin Mior Alwi,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,10511
1955-07-25,GE-00,Perak,P.010 Dindings,2,24,Mohd. Yunus Bin Mahmood,NAP,007-NAP,NAP,0,ALONE,1629
1955-07-25,GE-00,Perak,P.010 Dindings,3,25,Abdul Wahab Bin Haji Md. Noor,PAS,004-PAS,PAS,0,ALONE,1197
1955-07-25,GE-00,Perak,P.011 Sungei Perak Ulu,1,26,Mohamed Ghazali Bin Jawi,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,16781
1955-07-25,GE-00,Perak,P.011 Sungei Perak Ulu,2,27,Mat Judin Bin Haji Ahmad,BEBAS,000-BEBAS,BEBAS,0,ALONE,4595
1955-07-25,GE-00,Perak,P.011 Sungei Perak Ulu,3,28,Syed Nordin Wafa,NAP,007-NAP,NAP,0,ALONE,2099
1955-07-25,GE-00,Perak,P.012 Sungei Perak Hilir,1,29,Abdul Aziz Bin Haji Mat Jabar,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,17483
1955-07-25,GE-00,Perak,P.012 Sungei Perak Hilir,2,30,Meor Ahmad Bin Meor Yusof,NAP,007-NAP,NAP,0,ALONE,4794
1955-07-25,GE-00,Perak,P.012 Sungei Perak Hilir,3,31,Mohd Daham Bin Khatib,BEBAS,000-BEBAS,BEBAS,0,ALONE,264
1955-07-25,GE-00,Perak,P.013 Telok Anson,1,32,Bahaman Bin Samsudin,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,10514
1955-07-25,GE-00,Perak,P.013 Telok Anson,2,33,Haji Hassan Adli Bin Haji Arshad,PAS,004-PAS,PAS,0,ALONE,3812
1955-07-25,GE-00,Perak,P.014 Ipoh and Menglembu,1,34,Leong Yew Koh,PERIKATAN,003-MCA,MCA,1,PERIKATAN,7421
1955-07-25,GE-00,Perak,P.014 Ipoh and Menglembu,2,35,Loh Ah Kee,NAP,007-NAP,NAP,0,ALONE,983
1955-07-25,GE-00,Perak,P.014 Ipoh and Menglembu,3,36,D. R. Seenivasagam,PPP,006-PPP,PPP,0,ALONE,808
1955-07-25,GE-00,Perak,P.014 Ipoh and Menglembu,4,37,W. E. Balasingam,BEBAS,000-BEBAS,BEBAS,0,ALONE,439
1955-07-25,GE-00,Perak,P.015 Kinta Utara,1,38,V. T. Sambantham,PERIKATAN,002-MIC,MIC,1,PERIKATAN,7900
1955-07-25,GE-00,Perak,P.015 Kinta Utara,2,39,Chik Mohamed Yusuf Bin Sheik Abdul Rahman,NAP,007-NAP,NAP,0,ALONE,1832
1955-07-25,GE-00,Perak,P.015 Kinta Utara,3,40,K. R. R. Choudhary,LPOM,005-LPM,LPM,0,ALONE,357
1955-07-25,GE-00,Perak,P.015 Kinta Utara,4,41,Mohamed Ramly Bin Abdullah,PML,010-PML,PML,0,ALONE,214
1955-07-25,GE-00,Perak,P.016 Kinta Selatan,1,42,Too Joon Hing,PERIKATAN,003-MCA,MCA,1,PERIKATAN,11611
1955-07-25,GE-00,Perak,P.016 Kinta Selatan,2,43,Mohd Baki Bin Haji Daud,NAP,007-NAP,NAP,0,ALONE,1689
1955-07-25,GE-00,Perak,P.016 Kinta Selatan,3,44,Mohamed Idrid Bin Hakim,BEBAS,000-BEBAS,BEBAS,0,ALONE,401
1955-07-25,GE-00,Perak,P.016 Kinta Selatan,4,45,Zaharie Bin Hassan,PPP,006-PPP,PPP,0,ALONE,273
1955-07-25,GE-00,Selangor,P.017 Kuala Lumpur Barat,1,46,Ong Yoke Lin,PERIKATAN,003-MCA,MCA,1,PERIKATAN,4667
1955-07-25,GE-00,Selangor,P.017 Kuala Lumpur Barat,2,47,Abdullah Bin Ibrahim,NEG,008-NEG,NEG,0,ALONE,1371
1955-07-25,GE-00,Selangor,P.017 Kuala Lumpur Barat,3,48,Tan Tuan Boon,LPOM,005-LPM,LPM,0,ALONE,1018
1955-07-25,GE-00,Selangor,P.018 Kuala Lumpur Timor,1,49,Cheah Ewe Keat,PERIKATAN,003-MCA,MCA,1,PERIKATAN,6790
1955-07-25,GE-00,Selangor,P.018 Kuala Lumpur Timor,2,50,Mohd. Salleh Bin Hakim,NEG,008-NEG,NEG,0,ALONE,2431
1955-07-25,GE-00,Selangor,P.018 Kuala Lumpur Timor,3,51,Abdul Wahab Bin Abdul Majid,BEBAS,000-BEBAS,BEBAS,0,ALONE,1003
1955-07-25,GE-00,Selangor,P.019 Ulu Selangor,1,52,Halimahton Binti Abdul Majid,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,5430
1955-07-25,GE-00,Selangor,P.019 Ulu Selangor,2,53,Ab. Rahman Bin Haji Maulana,NEG,008-NEG,NEG,0,ALONE,1160
1955-07-25,GE-00,Selangor,P.020 Kuala Selangor,1,54,Raja Rastam Shahrome Bin Raja Said Tauphy,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,11857
1955-07-25,GE-00,Selangor,P.020 Kuala Selangor,2,55,Othman Bin Abdullah,PAS,004-PAS,PAS,0,ALONE,4778
1955-07-25,GE-00,Selangor,P.020 Kuala Selangor,3,56,Md. Ambia Bin Sanusi,NEG,008-NEG,NEG,0,ALONE,756
1955-07-25,GE-00,Selangor,P.021 Langat,1,57,Abu Bakar Bin Bagina,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,7069
1955-07-25,GE-00,Selangor,P.021 Langat,2,58,Mohd. Nazir Bin Hj. Abdul Jalil,NEG,008-NEG,NEG,0,ALONE,2147
1955-07-25,GE-00,Selangor,P.022 Selangor Barat,1,59,Abdul Aziz Bin Ishak,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,8713
1955-07-25,GE-00,Selangor,P.022 Selangor Barat,2,60,Mohamed Rashid Bin Ahmad,NEG,008-NEG,NEG,0,ALONE,3092
1955-07-25,GE-00,Selangor,P.023 Selangor Tengah,1,61,Lee Eng Teh,PERIKATAN,003-MCA,MCA,1,PERIKATAN,5652
1955-07-25,GE-00,Selangor,P.023 Selangor Tengah,2,62,Zulfikli Mohamed,PAS,004-PAS,PAS,0,ALONE,1711
1955-07-25,GE-00,Selangor,P.023 Selangor Tengah,3,63,Atan Chik Bin Lengkeng,NEG,008-NEG,NEG,0,ALONE,839
1955-07-25,GE-00,Negeri Sembilan,P.024 Negri Sembilan Utara,1,64,Mohd. Idrid Bin Mat Sil,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,21155
1955-07-25,GE-00,Negeri Sembilan,P.024 Negri Sembilan Utara,2,65,Dato Ujang Bin Menuang,NEG,008-NEG,NEG,0,ALONE,1572
1955-07-25,GE-00,Negeri Sembilan,P.024 Negri Sembilan Utara,3,66,Noordin Bin Haji Abdul Samad,BEBAS,000-BEBAS,BEBAS,0,ALONE,506
1955-07-25,GE-00,Negeri Sembilan,P.025 Negri Sembilan Selatan,1,67,Abdul Jalil Bin Haji Aminudin,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,12099
1955-07-25,GE-00,Negeri Sembilan,P.025 Negri Sembilan Selatan,2,68,Baba Bin Ludek,NEG,008-NEG,NEG,0,ALONE,3590
1955-07-25,GE-00,Negeri Sembilan,P.026 Seremban,1,69,Lim Kee Siong,PERIKATAN,003-MCA,MCA,1,PERIKATAN,8402
1955-07-25,GE-00,Negeri Sembilan,P.026 Seremban,2,70,B. H. Tan,NEG,008-NEG,NEG,0,ALONE,2306
1955-07-25,GE-00,Pahang,P.027 Ulu Pahang,1,71,Mohamed Sulong Bin Mohamed Ali,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,16075
1955-07-25,GE-00,Pahang,P.027 Ulu Pahang,2,72,Abd. Hamid Bin Ma'Ajab,BEBAS,000-BEBAS,BEBAS,0,ALONE,1910
1955-07-25,GE-00,Pahang,P.028 Semantan,1,73,Dato Abdul Razak Bin Hussain,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,14094
1955-07-25,GE-00,Pahang,P.028 Semantan,2,74,Mohamed Yasin Bin Mohd. Salleh,PAS,004-PAS,PAS,0,ALONE,1999
1955-07-25,GE-00,Pahang,P.029 Pahang Timor,1,75,Abdul Rahman Bin Haji Talib,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,16763
1955-07-25,GE-00,Pahang,P.029 Pahang Timor,2,76,Sheik Kadir Bin Sheik Omar,BEBAS,000-BEBAS,BEBAS,0,ALONE,1334
1955-07-25,GE-00,Johor,P.030 Johore Timor,1,77,Dr Ismail Bin Dato Abdul Rahman,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,10800
1955-07-25,GE-00,Johor,P.030 Johore Timor,2,78,Jaafar Bin Haji Ali,NEG,008-NEG,NEG,0,ALONE,350
1955-07-25,GE-00,Johor,P.030 Johore Timor,3,79,Haji Abdullah Bin Haji Taib,BEBAS,000-BEBAS,BEBAS,0,ALONE,253
1955-07-25,GE-00,Johor,P.031 Johore Bahru,1,80,Suleiman Bin Dato Abdul Rahman,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,8745
1955-07-25,GE-00,Johor,P.031 Johore Bahru,2,81,Dato Onn Bin Jaafar,NEG,008-NEG,NEG,0,ALONE,2802
1955-07-25,GE-00,Johor,P.032 Johore Selatan,1,82,Dr L. H. Tan,PERIKATAN,003-MCA,MCA,1,PERIKATAN,21581
1955-07-25,GE-00,Johor,P.032 Johore Selatan,2,83,Kassim Bin Awang Chik,NEG,008-NEG,NEG,0,ALONE,2318
1955-07-25,GE-00,Johor,P.033 Johore Tengah,1,84,Teo Chze Chong,PERIKATAN,003-MCA,MCA,1,PERIKATAN,7100
1955-07-25,GE-00,Johor,P.033 Johore Tengah,2,85,Haji Anwar Bin Haji Abdul Malik,NEG,008-NEG,NEG,0,ALONE,1068
1955-07-25,GE-00,Johor,P.034 Batu Pahat,1,86,S. Chelvasingam Macintyre,PERIKATAN,002-MIC,MIC,1,PERIKATAN,18968
1955-07-25,GE-00,Johor,P.034 Batu Pahat,2,87,Dato Haji Syed Abdul Kadir Bin Mohamed,NEG,008-NEG,NEG,0,ALONE,2717
