state,dun,ballot_order,name,party,votes
Terengganu,N.01 Kuala Besut,1,Hj Azbi Salleh,PAS,7983
Terengganu,N.01 Kuala Besut,2,Tengku Zaihan Bin Che Ku Abd Rahman,BN,8126
Terengganu,N.01 Kuala Besut,3,Dr Che Ku,PKR,1095
Terengganu,N.02 Kota Putera,1,Tg Roslan Tg Othman,PKR,1504
Terengganu,N.02 Kota Putera,2,Haji Khuzaini,PAS,9704
Terengganu,N.02 Kota Putera,3,Mohd Mahdi Musa (Abe Adi),BN,8523
Terengganu,N.03 Jertih,1,Dato' Muhammad Pehimi Yusof,BN,9143
Terengganu,N.03 Jertih,2,Dato' Dr. Kamaruzaman Wan Su,PKR,1594
Terengganu,N.03 Jertih,3,Ustaz Wan Azhar,PAS,7762
Terengganu,N.04 Hulu Besut,1,Ismail Bin Abdul Kadir,PKR,860
Terengganu,N.04 Hulu Besut,2,Ustaz Mat Daik,PAS,6576
Terengganu,N.04 Hulu Besut,3,Haji Nawi Mohamad,BN,8045
Terengganu,N.05 Jabi,1,Mohd Iskandar Bin Jaafar,BN,8006
Terengganu,N.05 Jabi,2,Ustaz Aziz Abas,PKR,690
Terengganu,N.05 Jabi,3,Dr Azman Ibrahim,PAS,8061
Terengganu,N.06 Permaisuri,1,Datuk Halim,BN,10385
Terengganu,N.06 Permaisuri,2,Ustaz Zul Bhari A Rahman,PAS,8415
Terengganu,N.06 Permaisuri,3,Wan Mokhtar Wan Ibrahim,PKR,853
Terengganu,N.07 Langkap,1,Dato' Haji Sabri,BN,9007
Terengganu,N.07 Langkap,2,Mustaffa,PKR,583
Terengganu,N.07 Langkap,3,Azmi Maarof,PAS,5561
Terengganu,N.08 Batu Rakit,1,Bazlan Bin Abd Rahman,BN,10046
Terengganu,N.08 Batu Rakit,2,Amir Long,PKR,800
Terengganu,N.08 Batu Rakit,3,Ustaz Mohd Shafizi Ismail,PAS,9747
Terengganu,N.09 Tepuh,1,Ustaz Hishamuddin,PAS,10782
Terengganu,N.09 Tepuh,2,Wan Hafizie,PKR,1002
Terengganu,N.09 Tepuh,3,Basir Bin Ismail,BN,8065
Terengganu,N.10 Buluh Gading,1,Cikgu Che Mansor,BN,7013
Terengganu,N.10 Buluh Gading,2,Ir. Azik Bin Chik,PKR,894
Terengganu,N.10 Buluh Gading,3,Ustaz Ridzuan Hashim,PAS,11580
Terengganu,N.11 Seberang Takir,1,Cikgu Razif,BN,9340
Terengganu,N.11 Seberang Takir,2,Haji Mohd Fazil Wahab,PAS,7456
Terengganu,N.11 Seberang Takir,3,Lt. Kol (B) Ustaz Haji Abu Bakar Bin Abdullah,PKR,939
Terengganu,N.12 Bukit Tunggal,1,Cikgu Tuan Arif,BN,5964
Terengganu,N.12 Bukit Tunggal,2,Fatimah Lailati Omar,PKR,721
Terengganu,N.12 Bukit Tunggal,3,Dr Haji Alias Razak,PAS,8308
Terengganu,N.13 Wakaf Mempelam,1,Ustaz Wan Sukairi,PAS,14796
Terengganu,N.13 Wakaf Mempelam,2,Salleh Bin Othman,BN,7418
Terengganu,N.13 Wakaf Mempelam,3,Mohd Zubir Bin Mohamed,PKR,1589
Terengganu,N.14 Bandar,1,Azan Ismail,PKR,3996
Terengganu,N.14 Bandar,2,Ustaz Ahmad Shah,PAS,7133
Terengganu,N.14 Bandar,3,Toh Seng Cheng,BN,5042
Terengganu,N.15 Ladang,1,Datuk Mat,BN,7838
Terengganu,N.15 Ladang,2,Dato' Tengku Hassan,PAS,8201
Terengganu,N.15 Ladang,3,Dato' Hj Zulkifli Mohamad,PKR,2836
Terengganu,N.16 Batu Buruk,1,Ustaz Khalil,PAS,15184
Terengganu,N.16 Batu Buruk,2,Dato Raja Bahrin,PKR,2572
Terengganu,N.16 Batu Buruk,3,Zamri Bin Awang Hitam,BN,9896
Terengganu,N.17 Alur Limbat,1,Ahmad Sabri Bin Ali,PKR,1492
Terengganu,N.17 Alur Limbat,2,Ustaz Ariffin Deraman,PAS,13330
Terengganu,N.17 Alur Limbat,3,Dato' Haji Saiful Bahri Bin Dato' Baharuddin,BN,9136
Terengganu,N.18 Bukit Payung,1,Dalizan Aziz,PKR,1004
Terengganu,N.18 Bukit Payung,2,Ustaz Mohd Nor Hamzah,PAS,11672
Terengganu,N.18 Bukit Payung,3,To' Puan Hjh Zaitun Binti Mat Amin,BN,7184
Terengganu,N.19 Ru Rendang,1,Zarawi Bin Sulong,PKR,729
Terengganu,N.19 Ru Rendang,2,Dato' Haji Nik Dir Bin Nik Wan Ku,BN,7823
Terengganu,N.19 Ru Rendang,3,Dr Ahmad Samsuri Mokhtar,PAS,13851
Terengganu,N.20 Pengkalan Berangan,1,Aidi Bin Ahmad,PKR,1145
Terengganu,N.20 Pengkalan Berangan,2,Cikgu A. Latiff Awang,BN,11406
Terengganu,N.20 Pengkalan Berangan,3,Ustaz Sulaiman Sulong,PAS,11896
Terengganu,N.21 Telemung,1,Rozi Bin Mamat,BN,9407
Terengganu,N.21 Telemung,2,Ustaz Kamaruzaman Abdullah,PAS,5248
Terengganu,N.21 Telemung,3,Sharifah Norhayati Syed Omar,PKR,455
Terengganu,N.22 Manir,1,Hafizuddin Hussain,PKR,422
Terengganu,N.22 Manir,2,Ustaz Hilmi Bin Harun,PAS,8716
Terengganu,N.22 Manir,3,Yusof Bin Awang Hitam ( Pok Usop ),BN,5872
Terengganu,N.23 Kuala Berang,1,Mohd Nor Bin Othman,PKR,969
Terengganu,N.23 Kuala Berang,2,Dato' Hj. Tengku Putera Tg Awang,BN,6637
Terengganu,N.23 Kuala Berang,3,Dr. Mamad Puteh,PAS,7707
Terengganu,N.24 Ajil,1,Dr Ghazali Bin Taib,BN,8128
Terengganu,N.24 Ajil,2,Zamani Mamat,PKR,679
Terengganu,N.24 Ajil,3,Ustaz Maliaman Bin Kassim,PAS,8132
Terengganu,N.25 Bukit Besi,1,Haji Ghazali Sulaiman,PAS,5724
Terengganu,N.25 Bukit Besi,2,Roslee Daud,BN,5770
