state,parlimen,dun,ballot_order,name,name_ballot,party_full,party,votes
Kedah,P.004 Langkawi,N.01 Ayer Hangat,1,SHAMSILAH BINTI SIRU,SHAMSILAH BINTI SIRU,PERIKATAN NASIONAL ,PN,10701
Kedah,P.004 Langkawi,N.01 Ayer Hangat,2,SAFWAN HANIF BIN SHAFIE,SAFWAN HANIF,BEBAS,BEBAS,6877
Kedah,P.004 Langkawi,N.01 Ayer Hangat,3,HISHAM SUHAILY BINTI OTHMAN,HISHAM SUHAILY BINTI OTHMAN,BARISAN NASIONAL OF MALAYSIA,BN,4909
Kedah,P.004 Langkawi,N.01 Ayer Hangat,4,ZULFADLI BIN MOHD YUSOFF,ZULFADLI BIN MOHD YUSOFF,BEBAS,BEBAS,134
Kedah,P.004 Langkawi,N.02 Kuah,1,AMAR PARED BIN MAHAMUD,AMAR PARED BIN MAHAMUD,PERIKATAN NASIONAL ,PN,13364
Kedah,P.004 Langkawi,N.02 Kuah,2,AHMAD FAUZI BIN CHIK,AHMAD FAUZI BIN CHIK,PAKATAN HARAPAN,PH,5394
Kedah,P.004 Langkawi,N.02 Kuah,3,MAZLAN BIN AHMAD,MAZLAN BIN AHMAD,BEBAS,BEBAS,2013
Kedah,P.005 Jerlun,N.03 Kota Siputeh,1,MOHD ASHRAF MUSTAQIM BIN BADRUL MUNIR,MOHD ASHRAF MUSTAQIM,PERIKATAN NASIONAL ,PN,17180
Kedah,P.005 Jerlun,N.03 Kota Siputeh,2,SALMEE BINTI SAID,DR SALMEE BINTI SAID,PAKATAN HARAPAN,PH,4090
Kedah,P.005 Jerlun,N.03 Kota Siputeh,3,ABDUL BIN RAMLI,ABDUL BIN RAMLI @ LATIF,BEBAS,BEBAS,312
Kedah,P.005 Jerlun,N.04 Ayer Hitam,1,HAYAZI BIN AZIZAN,HAYAZI BIN AZIZAN,BARISAN NASIONAL OF MALAYSIA,BN,6105
Kedah,P.005 Jerlun,N.04 Ayer Hitam,2,AZHAR BIN IBRAHIM,CIKGU AZHAR,PERIKATAN NASIONAL ,PN,22078
Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,1,HALIMATON SHAADIAH BINTI SAAD,DATO' HAJAH HALIMATON SHAADIAH SAAD (KAK TON),PERIKATAN NASIONAL ,PN,24551
Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,2,ZAINOL @ ZAINOL ABIDIN BIN MOHAMAD,CIKGU NON,BARISAN NASIONAL OF MALAYSIA,BN,9117
Kedah,P.006 Kubang Pasu,N.06 Jitra,1,SABRINA BINTI AHMAD,SABRINA AHMAD,PAKATAN HARAPAN,PH,11170
Kedah,P.006 Kubang Pasu,N.06 Jitra,2,HAIM HILMAN BIN ABDULLAH,DR. HAIM HILMAN ABDULLAH (PROF. HAIM),PERIKATAN NASIONAL ,PN,34342
Kedah,P.007 Padang Terap,N.07 Kuala Nerang,1,RIDZWAN BIN ABU BAKAR,RIDZWAN ABU BAKAR,PAKATAN HARAPAN,PH,4215
Kedah,P.007 Padang Terap,N.07 Kuala Nerang,2,MOHAMAD YUSOFF BIN ZAKARIA,HJ. MUNIR,PERIKATAN NASIONAL ,PN,19661
Kedah,P.007 Padang Terap,N.08 Pedu,1,MOHD RADZI BIN MD AMIN,MOHD RADZI BIN MD AMIN,PERIKATAN NASIONAL ,PN,14397
Kedah,P.007 Padang Terap,N.08 Pedu,2,MAHDZIR BIN KHALID,MAHDZIR BIN KHALID,BARISAN NASIONAL OF MALAYSIA,BN,8024
Kedah,P.008 Pokok Sena,N.09 Bukit Lada,1,SAID ALI BIN SAID RASTAN,SAID ALI BIN SYED RASTAN,BARISAN NASIONAL OF MALAYSIA,BN,6772
Kedah,P.008 Pokok Sena,N.09 Bukit Lada,2,SALIM BIN MAHMOOD,USTAZ SALIM MAHMOOD AL-HAFIZ,PERIKATAN NASIONAL ,PN,24183
Kedah,P.008 Pokok Sena,N.10 Bukit Pinang,1,ROMANI BIN WAN SALIN,DATO' WAN ROMANI,PERIKATAN NASIONAL ,PN,23041
Kedah,P.008 Pokok Sena,N.10 Bukit Pinang,2,HADZIR BIN MD.ZAIN,DATO' HJ. HADZIR,PAKATAN HARAPAN,PH,4780
