state,new,year,dun,area,overlap_pct,parlimen
Johor,N.01 Buloh Kasap,2018,N.01 Buloh Kasap,597,100.0,P.140 Segamat
Johor,N.01 Buloh Kasap,2003,N.01 Buloh Kasap,595,99.21,P.140 Segamat
Johor,N.01 Buloh Kasap,1994,N.01 Sepinang,861,99.54,P.125 Segamat
Johor,N.01 Buloh Kasap,1984,N.01 Sepinang,843,99.0,P.115 Segamat
Johor,N.01 Buloh Kasap,1974,N.01 Buloh Kasap,942,98.97,P.099 Labis
Johor,N.01 Buloh Kasap,1959,N.29 Batu Anam,973,100.0,P.103 Segamat Utara
Johor,N.02 Jementah,2018,N.02 Jementah,350,100.0,P.140 Segamat
Johor,N.02 Jementah,2003,N.02 Jementah,352,98.76,P.140 Segamat
Johor,N.02 Jementah,1994,N.02 Jementah,357,98.18,P.125 Segamat
Johor,N.02 Jementah,1984,N.02 Jementah,349,96.42,P.115 Segamat
Johor,N.02 Jementah,1974,N.01 Buloh Kasap,942,60.49,P.099 Labis
Johor,N.02 Jementah,1974,N.03 Bandar Segamat,303,38.33,P.100 Segamat
Johor,N.02 Jementah,1959,N.29 Batu Anam,973,63.74,P.103 Segamat Utara
Johor,N.02 Jementah,1959,N.30 Bandar Segamat,137,34.0,P.103 Segamat Utara
Johor,N.03 Pemanis,2018,N.03 Pemanis,231,100.0,P.141 Sekijang
Johor,N.03 Pemanis,2003,N.03 Pemanis,258,97.73,P.141 Sekijang
Johor,N.03 Pemanis,1994,N.01 Sepinang,861,98.91,P.125 Segamat
Johor,N.03 Pemanis,1984,N.01 Sepinang,843,96.69,P.115 Segamat
Johor,N.03 Pemanis,1974,N.01 Buloh Kasap,942,59.14,P.099 Labis
Johor,N.03 Pemanis,1974,N.02 Ayer Panas,654,38.35,P.099 Labis
Johor,N.03 Pemanis,1959,N.29 Batu Anam,973,64.8,P.103 Segamat Utara
Johor,N.03 Pemanis,1959,N.03 Labis,732,34.27,P.090 Segamat Selatan
Johor,N.04 Kemelah,2018,N.04 Kemelah,320,100.0,P.141 Sekijang
Johor,N.04 Kemelah,2003,N.04 Kemelah,298,89.59,P.141 Sekijang
Johor,N.04 Kemelah,1994,N.07 Tenang,572,88.52,P.128 Labis
Johor,N.04 Kemelah,1994,N.01 Sepinang,861,10.42,P.125 Segamat
Johor,N.04 Kemelah,1984,N.07 Tenang,580,90.51,P.118 Labis
Johor,N.04 Kemelah,1974,N.02 Ayer Panas,654,52.11,P.099 Labis
Johor,N.04 Kemelah,1974,N.03 Bandar Segamat,303,46.65,P.100 Segamat
Johor,N.04 Kemelah,1959,N.03 Labis,732,94.17,P.090 Segamat Selatan
Johor,N.05 Tenang,2018,N.05 Tenang,304,100.0,P.142 Labis
Johor,N.05 Tenang,2003,N.05 Tenang,299,97.19,P.142 Labis
Johor,N.05 Tenang,1994,N.07 Tenang,572,91.85,P.128 Labis
Johor,N.05 Tenang,1984,N.07 Tenang,580,90.19,P.118 Labis
Johor,N.05 Tenang,1974,N.02 Ayer Panas,654,97.18,P.099 Labis
Johor,N.05 Tenang,1959,N.03 Labis,732,98.02,P.090 Segamat Selatan
Johor,N.06 Bekok,2018,N.06 Bekok,1075,100.0,P.142 Labis
Johor,N.06 Bekok,2003,N.06 Bekok,1075,99.58,P.142 Labis
Johor,N.06 Bekok,1994,N.08 Bekok,1223,99.37,P.128 Labis
Johor,N.06 Bekok,1984,N.08 Bekok,1119,99.64,P.118 Labis
Johor,N.06 Bekok,1974,N.05 Bekok,1584,90.28,P.101 Kluang
Johor,N.06 Bekok,1959,N.04 Bekok,1740,95.1,P.090 Segamat Selatan
Johor,N.07 Bukit Kepong,2018,N.07 Bukit Kepong,1042,100.0,P.143 Pagoh
Johor,N.07 Bukit Kepong,2003,N.07 Bukit Serampang,809,76.69,P.143 Pagoh
Johor,N.07 Bukit Kepong,2003,N.08 Jorak,428,17.2,P.143 Pagoh
Johor,N.07 Bukit Kepong,1994,N.05 Bukit Serampang,641,60.85,P.127 Pagoh
Johor,N.07 Bukit Kepong,1994,N.06 Jorak,453,19.4,P.127 Pagoh
Johor,N.07 Bukit Kepong,1994,N.08 Bekok,1223,12.18,P.128 Labis
Johor,N.07 Bukit Kepong,1984,N.05 Bukit Serampang,709,67.03,P.117 Pagoh
Johor,N.07 Bukit Kepong,1984,N.06 Jorak,461,20.01,P.117 Pagoh
Johor,N.07 Bukit Kepong,1974,N.04 Bukit Serampang,849,68.21,P.100 Segamat
Johor,N.07 Bukit Kepong,1974,N.11 Jorak,410,21.08,P.104 Pagoh
Johor,N.07 Bukit Kepong,1959,N.01 Bukit Serampang,921,83.42,P.089 Muar Dalam
