state,new,year,parlimen,area,overlap_pct,n_duns,duns
Perlis,P.001 Padang Besar,2018,P.001 Padang Besar,461,100.0,5,"N.01 Titi Tinggi, N.02 Beseri, N.03 Chuping, N.04 Mata Ayer, N.05 Santan"
Perlis,P.001 Padang Besar,2003,P.001 Padang Besar,458,98.75,5,"N.01 Titi Tinggi, N.02 Beseri, N.03 Chuping, N.04 Mata Ayer, N.05 Santan"
Perlis,P.001 Padang Besar,1994,P.001 Padang Besar,455,98.17,5,"N.01 Titi Tinggi, N.02 Beseri, N.03 Chuping, N.04 Mata Ayer, N.05 Santan"
Perlis,P.001 Padang Besar,1984,P.001 Kangar,557,98.86,7,"N.01 Titi Tinggi, N.02 Beseri, N.03 Oran, N.04 Padang Pauh, N.05 Bintong, N.06 Sena, N.07 Indera Kayangan"
Perlis,P.001 Padang Besar,1974,P.001 Kangar,578,99.63,6,"N.01 Titi Tinggi, N.02 Chuping, N.03 Bintong, N.04 Bandar Kangar, N.05 Paya, N.06 Oran"
Perlis,P.001 Padang Besar,1959,P.001 Perlis Utara,512,85.87,6,"N.01 Kaki Bukit, N.02 Paya, N.03 Mata Ayer, N.04 Bandar Kangar, N.05 Sena, N.06 Bintong"
Perlis,P.001 Padang Besar,1959,P.002 Perlis Selatan,324,14.07,6,"N.07 Kurong Anai, N.08 Arau, N.09 Hutan Aji, N.10 Kayang, N.11 Kuala Perlis, N.12 Sanglang"
Perlis,P.001 Padang Besar,1955,P.052 Perlis,836,99.94,0,
Perlis,P.002 Kangar,2018,P.002 Kangar,141,100.0,5,"N.06 Bintong, N.07 Sena, N.08 Indera Kayangan, N.09 Kuala Perlis, N.10 Kayang"
Perlis,P.002 Kangar,2003,P.002 Kangar,155,98.67,5,"N.06 Bintong, N.07 Sena, N.08 Indera Kayangan, N.09 Kuala Perlis, N.10 Kayang"
Perlis,P.002 Kangar,1994,P.002 Kangar,158,99.59,5,"N.06 Bintong, N.07 Sena, N.08 Indera Kayangan, N.09 Kuala Perlis, N.10 Kayang"
Perlis,P.002 Kangar,1984,P.001 Kangar,557,67.52,7,"N.01 Titi Tinggi, N.02 Beseri, N.03 Oran, N.04 Padang Pauh, N.05 Bintong, N.06 Sena, N.07 Indera Kayangan"
Perlis,P.002 Kangar,1984,P.002 Arau,278,32.48,7,"N.08 Kuala Perlis, N.09 Kayang, N.10 Utan Aji, N.11 Kota Raja, N.12 Guar Sanji, N.13 Kurong Anai, N.14 Sanglang"
Perlis,P.002 Kangar,1974,P.001 Kangar,578,68.33,6,"N.01 Titi Tinggi, N.02 Chuping, N.03 Bintong, N.04 Bandar Kangar, N.05 Paya, N.06 Oran"
Perlis,P.002 Kangar,1974,P.002 Arau,257,31.66,6,"N.07 Kuala Perlis, N.08 Kayang, N.09 Utan Aji, N.10 Bandar Arau, N.11 Kurong Anai, N.12 Sanglang"
Perlis,P.002 Kangar,1959,P.001 Perlis Utara,512,70.78,6,"N.01 Kaki Bukit, N.02 Paya, N.03 Mata Ayer, N.04 Bandar Kangar, N.05 Sena, N.06 Bintong"
Perlis,P.002 Kangar,1959,P.002 Perlis Selatan,324,29.21,6,"N.07 Kurong Anai, N.08 Arau, N.09 Hutan Aji, N.10 Kayang, N.11 Kuala Perlis, N.12 Sanglang"
Perlis,P.002 Kangar,1955,P.052 Perlis,836,99.99,0,
Perlis,P.003 Arau,2018,P.003 Arau,226,100.0,5,"N.11 Pauh, N.12 Tambun Tulang, N.13 Guar Sanji, N.14 Simpang Empat, N.15 Sanglang"
Perlis,P.003 Arau,2003,P.003 Arau,222,95.67,5,"N.11 Pauh, N.12 Tambun Tulang, N.13 Guar Sanji, N.14 Simpang Empat, N.15 Sanglang"
Perlis,P.003 Arau,1994,P.003 Arau,221,94.79,5,"N.11 Pauh, N.12 Tambun Tulang, N.13 Guar Sanji, N.14 Simpang Empat, N.15 Sanglang"
Perlis,P.003 Arau,1984,P.002 Arau,278,99.11,7,"N.08 Kuala Perlis, N.09 Kayang, N.10 Utan Aji, N.11 Kota Raja, N.12 Guar Sanji, N.13 Kurong Anai, N.14 Sanglang"
Perlis,P.003 Arau,1974,P.002 Arau,257,91.79,6,"N.07 Kuala Perlis, N.08 Kayang, N.09 Utan Aji, N.10 Bandar Arau, N.11 Kurong Anai, N.12 Sanglang"
Perlis,P.003 Arau,1959,P.002 Perlis Selatan,324,94.63,6,"N.07 Kurong Anai, N.08 Arau, N.09 Hutan Aji, N.10 Kayang, N.11 Kuala Perlis, N.12 Sanglang"
Perlis,P.003 Arau,1955,P.052 Perlis,836,99.88,0,
Kedah,P.004 Langkawi,2018,P.004 Langkawi,465,100.0,2,"N.01 Ayer Hangat, N.02 Kuah"
Kedah,P.004 Langkawi,2003,P.004 Langkawi,477,100.0,2,"N.01 Ayer Hangat, N.02 Kuah"
Kedah,P.004 Langkawi,1994,P.004 Langkawi,477,100.0,2,"N.01 Padang Matsirat, N.02 Kuah"
Kedah,P.004 Langkawi,1984,P.003 Jerlun-Langkawi,660,96.8,2,"N.01 Langkawi, N.02 Jerlun"
Kedah,P.004 Langkawi,1974,P.003 Jerlun-Langkawi,669,96.8,2,"N.01 Langkawi, N.02 Jerlun"
Kedah,P.004 Langkawi,1959,P.007 Kuala Kedah,658,97.51,2,"N.09 Langkawi, N.10 Kota Star Barat"
Kedah,P.004 Langkawi,1955,P.038 Alor Star,744,97.51,0,
Kedah,P.005 Jerlun,2018,P.005 Jerlun,333,100.0,2,"N.03 Kota Siputeh, N.04 Ayer Hitam"
Kedah,P.005 Jerlun,2003,P.005 Jerlun,326,95.6,2,"N.03 Kota Siputeh, N.04 Ayer Hitam"
Kedah,P.005 Jerlun,1994,P.005 Jerlun,327,95.53,2,"N.03 Ayer Hitam, N.04 Kota Siputeh"
Kedah,P.005 Jerlun,1984,P.003 Jerlun-Langkawi,660,56.16,2,"N.01 Langkawi, N.02 Jerlun"
Kedah,P.005 Jerlun,1984,P.004 Kubang Pasu,777,43.47,2,"N.03 Tunjang, N.04 Jitra"
Kedah,P.005 Jerlun,1974,P.003 Jerlun-Langkawi,669,58.37,2,"N.01 Langkawi, N.02 Jerlun"
Kedah,P.005 Jerlun,1974,P.004 Kubang Pasu,773,41.22,2,"N.03 Tunjang, N.04 Jitra"
Kedah,P.005 Jerlun,1959,P.004 Kubang Pasu Barat,304,80.57,2,"N.03 Jerlun-Kodiang, N.04 Tunjang"
Kedah,P.005 Jerlun,1959,P.003 Jitra-Padang Terap,2046,19.02,2,"N.01 Jitra, N.02 Padang Terap"
Kedah,P.005 Jerlun,1955,P.040 Kedah Utara,2351,99.59,0,
Kedah,P.006 Kubang Pasu,2018,P.006 Kubang Pasu,634,100.0,2,"N.05 Bukit Kayu Hitam, N.06 Jitra"
Kedah,P.006 Kubang Pasu,2003,P.006 Kubang Pasu,639,97.43,2,"N.05 Bukit Kayu Hitam, N.06 Jitra"
Kedah,P.006 Kubang Pasu,1994,P.006 Kubang Pasu,639,97.45,2,"N.05 Tunjang, N.06 Jitra"
Kedah,P.006 Kubang Pasu,1984,P.004 Kubang Pasu,777,98.15,2,"N.03 Tunjang, N.04 Jitra"
