state,seat,year,lineage
Johor,N.01 Buloh Kasap,2003,N.01 Buloh Kasap
Johor,N.01 Buloh Kasap,1994,N.01 Sepinang
Johor,N.01 Buloh Kasap,1984,N.01 Sepinang
Johor,N.01 Buloh Kasap,1974,N.01 Buloh Kasap
Johor,N.01 Buloh Kasap,1959,N.29 Batu Anam
Johor,N.02 Jementah,2003,N.02 Jementah
Johor,N.02 Jementah,1994,N.02 Jementah
Johor,N.02 Jementah,1984,N.02 Jementah
Johor,N.02 Jementah,1974,N.01 Buloh Kasap
Johor,N.02 Jementah,1959,N.29 Batu Anam
Johor,N.03 Pemanis,2003,N.03 Pemanis
Johor,N.03 Pemanis,1994,N.01 Sepinang
Johor,N.03 Pemanis,1984,N.01 Sepinang
Johor,N.03 Pemanis,1974,N.01 Buloh Kasap
Johor,N.03 Pemanis,1959,N.29 Batu Anam
Johor,N.04 Kemelah,2003,N.04 Kemelah
Johor,N.04 Kemelah,1994,N.07 Tenang
Johor,N.04 Kemelah,1984,N.07 Tenang
Johor,N.04 Kemelah,1974,N.02 Ayer Panas
Johor,N.04 Kemelah,1959,N.03 Labis
Johor,N.05 Tenang,2003,N.05 Tenang
Johor,N.05 Tenang,1994,N.07 Tenang
Johor,N.05 Tenang,1984,N.07 Tenang
Johor,N.05 Tenang,1974,N.02 Ayer Panas
Johor,N.05 Tenang,1959,N.03 Labis
Johor,N.06 Bekok,2003,N.06 Bekok
Johor,N.06 Bekok,1994,N.08 Bekok
Johor,N.06 Bekok,1984,N.08 Bekok
Johor,N.06 Bekok,1974,N.05 Bekok
Johor,N.06 Bekok,1959,N.04 Bekok
Johor,N.07 Bukit Kepong,2003,N.07 Bukit Serampang
Johor,N.07 Bukit Kepong,1994,N.05 Bukit Serampang
Johor,N.07 Bukit Kepong,1984,N.05 Bukit Serampang
Johor,N.07 Bukit Kepong,1974,N.04 Bukit Serampang
Johor,N.07 Bukit Kepong,1959,N.01 Bukit Serampang
Johor,N.08 Bukit Pasir,2003,N.08 Jorak
Johor,N.08 Bukit Pasir,1994,N.06 Jorak
Johor,N.08 Bukit Pasir,1984,N.06 Jorak
Johor,N.08 Bukit Pasir,1974,N.11 Jorak
Johor,N.08 Bukit Pasir,1959,N.01 Bukit Serampang
Johor,N.09 Gambir,2003,N.09 Gambir
Johor,N.09 Gambir,1994,N.03 Tangkak
Johor,N.09 Gambir,1984,N.03 Tangkak
Johor,N.09 Gambir,1974,N.09 Tangkak
Johor,N.09 Gambir,1959,N.31 Tangkak
Johor,N.10 Tangkak,2003,N.10 Tangkak
Johor,N.10 Tangkak,1994,N.03 Tangkak
Johor,N.10 Tangkak,1984,N.03 Tangkak
Johor,N.10 Tangkak,1974,N.09 Tangkak
Johor,N.10 Tangkak,1959,N.31 Tangkak
Johor,N.11 Serom,2003,N.11 Serom
Johor,N.11 Serom,1994,N.04 Serom
Johor,N.11 Serom,1984,N.04 Serom
Johor,N.11 Serom,1974,N.10 Serom
Johor,N.11 Serom,1959,N.32 Serom
Johor,N.12 Bentayan,2003,N.12 Bentayan
Johor,N.12 Bentayan,1994,N.16 Maharani
Johor,N.12 Bentayan,1984,N.16 Maharani
Johor,N.12 Bentayan,1974,N.12 Kesang
Johor,N.12 Bentayan,1959,N.02 Jorak
Johor,N.13 Simpang Jeram,2003,N.13 Sungai Abong
Johor,N.13 Simpang Jeram,1994,N.15 Bukit Naning
Johor,N.13 Simpang Jeram,1984,N.15 Bukit Naning
Johor,N.13 Simpang Jeram,1974,N.16 Parit Jawa
Johor,N.13 Simpang Jeram,1959,N.08 Simpang Kiri
Johor,N.14 Bukit Naning,2003,N.14 Bukit Naning
Johor,N.14 Bukit Naning,1994,N.15 Bukit Naning
Johor,N.14 Bukit Naning,1984,N.15 Bukit Naning
Johor,N.14 Bukit Naning,1974,N.16 Parit Jawa
Johor,N.14 Bukit Naning,1959,N.08 Simpang Kiri
Johor,N.15 Maharani,2003,N.15 Maharani
Johor,N.15 Maharani,1994,N.17 Parit Bakar
Johor,N.15 Maharani,1984,N.17 Parit Bakar
Johor,N.15 Maharani,1974,N.16 Parit Jawa
Johor,N.15 Maharani,1959,N.08 Simpang Kiri
Johor,N.16 Sungai Balang,2003,N.16 Sungai Balang
Johor,N.16 Sungai Balang,1994,N.18 Sungai Balang
Johor,N.16 Sungai Balang,1984,N.18 Parit Jawa
Johor,N.16 Sungai Balang,1974,N.23 Sri Menanti
Johor,N.16 Sungai Balang,1959,N.07 Parit Jawa
Johor,N.17 Semerah,2003,N.17 Semerah
Johor,N.17 Semerah,1994,N.14 Semerah
Johor,N.17 Semerah,1984,N.14 Semerah
Johor,N.17 Semerah,1974,N.24 Peserai
Johor,N.17 Semerah,1959,N.08 Simpang Kiri
Johor,N.18 Sri Medan,2003,N.18 Sri Medan
Johor,N.18 Sri Medan,1994,N.13 Sri Medan
Johor,N.18 Sri Medan,1984,N.13 Sri Medan
Johor,N.18 Sri Medan,1974,N.14 Sri Medan
Johor,N.18 Sri Medan,1959,N.11 Tanjong Sembrong
Johor,N.19 Yong Peng,2003,N.19 Yong Peng
Johor,N.19 Yong Peng,1994,N.13 Sri Medan
Johor,N.19 Yong Peng,1984,N.13 Sri Medan
Johor,N.19 Yong Peng,1974,N.14 Sri Medan
Johor,N.19 Yong Peng,1959,N.11 Tanjong Sembrong
Johor,N.20 Semarang,2003,N.20 Semarang
Johor,N.20 Semarang,1994,N.19 Parit Yaani
Johor,N.20 Semarang,1984,N.19 Parit Yaani
Johor,N.20 Semarang,1974,N.13 Sri Lalang
Johor,N.20 Semarang,1959,N.11 Tanjong Sembrong
Johor,N.21 Parit Yaani,2003,N.21 Parit Yaani
Johor,N.21 Parit Yaani,1994,N.19 Parit Yaani
Johor,N.21 Parit Yaani,1984,N.19 Parit Yaani
Johor,N.21 Parit Yaani,1974,N.13 Sri Lalang
Johor,N.21 Parit Yaani,1959,N.11 Tanjong Sembrong
Johor,N.22 Parit Raja,2003,N.22 Parit Raja
Johor,N.22 Parit Raja,1994,N.20 Parit Raja
Johor,N.22 Parit Raja,1984,N.20 Parit Raja
Johor,N.22 Parit Raja,1974,N.25 Bandar Penggaram
Johor,N.22 Parit Raja,1959,N.12 Ayer Hitam
Johor,N.23 Penggaram,2003,N.23 Penggaram
Johor,N.23 Penggaram,1994,N.21 Penggaram
Johor,N.23 Penggaram,1984,N.21 Penggaram
Johor,N.23 Penggaram,1974,N.25 Bandar Penggaram
