slug,center_lat,center_lon,zoom
n01-titi-tinggi-perlis,6.64239,100.265144,11.087521935249463
n02-beseri-perlis,6.62001,100.212498,10.455038363968907
n03-chuping-perlis,6.532836,100.309804,10.934125606504544
n04-mata-ayer-perlis,6.484149,100.260526,12.4073794908748
n05-santan-perlis,6.497999,100.216923,11.924597384960128
n06-bintong-perlis,6.505321,100.179355,10.964323093899011
n07-sena-perlis,6.445702,100.219206,12.414109138446854
n08-indera-kayangan-perlis,6.425874,100.193526,12.783346228937164
n09-kuala-perlis-perlis,6.410302,100.138609,11.840538763817417
n10-kayang-perlis,6.402604,100.174956,12.162105357236582
n11-pauh-perlis,6.445078,100.311978,11.946125064662585
n12-tambun-tulang-perlis,6.411441,100.234838,11.422136633411776
n13-guar-sanji-perlis,6.37168,100.256942,11.385304301039223
n14-simpang-empat-perlis,6.348991,100.177298,11.873721213516909
n15-sanglang-perlis,6.30032,100.194348,11.48582255690491
n01-ayer-hangat-kedah,6.400977,99.779559,10.92801317901971
n02-kuah-kedah,6.261127,99.811957,10.687077874595023
n03-kota-siputeh-kedah,6.347518,100.293658,10.46142491444428
n04-ayer-hitam-kedah,6.28865,100.303214,10.462842716657633
n05-bukit-kayu-hitam-kedah,6.396314,100.472168,9.976291612038672
n06-jitra-kedah,6.277994,100.447407,10.959747232315888
n07-kuala-nerang-kedah,6.351344,100.66454,9.883167978068606
n08-pedu-kedah,6.159274,100.725611,9.537781291243254
n09-bukit-lada-kedah,6.167978,100.53889,10.699091678338656
n10-bukit-pinang-kedah,6.151332,100.442697,11.105570995886398
n11-derga-kedah,6.125486,100.393484,12.564867515216124
n12-suka-menanti-kedah,6.147327,100.356608,12.104299973508102
n13-kota-darul-aman-kedah,6.120186,100.36853,12.480357457491852
n14-alor-mengkudu-kedah,6.087808,100.422218,11.708049482533438
n15-anak-bukit-kedah,6.183557,100.344414,11.530518410002802
n16-kubang-rotan-kedah,6.146608,100.31281,11.319572463015719
n17-pengkalan-kundor-kedah,6.03537,100.352028,11.171425260749892
n18-tokai-kedah,6.016966,100.467638,11.072313341895748
n19-sungai-tiang-kedah,5.981334,100.572012,10.049924341020851
n20-sungai-limau-kedah,5.905339,100.40643,10.974863299263328
n21-guar-chempedak-kedah,5.793186,100.412396,10.933655222797132
n22-gurun-kedah,5.795938,100.534973,10.936357314021862
n23-belantek-kedah,5.98846,100.908392,8.991908554596796
n24-jeneri-kedah,5.829464,100.694366,10.000481440330926
n25-bukit-selambau-kedah,5.696038,100.579779,10.431470299108305
n26-tanjong-dawai-kedah,5.710284,100.426809,10.925579182305668
n27-pantai-merdeka-kedah,5.622664,100.417604,11.241221319355406
n28-bakar-arang-kedah,5.628864,100.481242,12.287351750865918
n29-sidam-kedah,5.593442,100.552204,11.189450045390283
n30-bayu-kedah,5.771302,100.984453,9.062514584710287
n31-kupang-kedah,5.556234,100.791838,9.815926630504272
n32-kuala-ketil-kedah,5.619236,100.704572,10.223795325857143
n33-merbau-pulas-kedah,5.464454,100.621085,10.530866991026672
n34-lunas-kedah,5.452273,100.562086,10.710271466160831
n35-kulim-kedah,5.339634,100.696024,10.501039354741694
n36-bandar-baharu-kedah,5.206062,100.614864,10.17702063025706
n01-pengkalan-kubor-kelantan,6.196583,102.123408,11.589493901325039
n02-kelaboran-kelantan,6.187031,102.180706,11.894515867679045
n03-pasir-pekan-kelantan,6.136569,102.219017,11.627057527514221
n04-wakaf-bharu-kelantan,6.142331,102.16737,12.088254655652825
n05-kijang-kelantan,6.180424,102.255029,11.68289775324014
n06-chempaka-kelantan,6.163899,102.299872,12.41114632079773
n07-panchor-kelantan,6.13306,102.304516,12.203330575328915
n08-tanjong-mas-kelantan,6.126081,102.267544,12.464424972960774
n09-kota-lama-kelantan,6.127268,102.242479,13.529835719801586
n10-bunut-payong-kelantan,6.100392,102.245064,13.155859533584808
n11-tendong-kelantan,6.096662,102.163686,11.475173081632127
n12-pengkalan-pasir-kelantan,6.059714,102.155999,12.48851452636678
n13-meranti-kelantan,6.087396,102.081009,11.259096081226287
n14-chetok-kelantan,5.961617,102.16914,10.933467112248337
n15-gual-periok-kelantan,5.983826,101.991178,10.885790709443338
n16-apam-putra-kelantan,5.963648,102.084477,11.03477199405003
n17-salor-kelantan,6.02823,102.197752,11.383170478664141
n18-pasir-tumboh-kelantan,6.058244,102.279019,11.962306775139135
n19-demit-kelantan,6.07754,102.308476,12.134101577265037
n20-tawang-kelantan,6.092252,102.349932,10.953887952851018
n21-pantai-irama-kelantan,6.017178,102.415412,10.393735423022754
n22-jelawat-kelantan,5.95858,102.36469,10.969491962157877
n23-melor-kelantan,5.991179,102.304807,11.832694282579732
n24-kadok-kelantan,5.983758,102.242981,11.844494742415117
n25-kok-lanas-kelantan,5.928107,102.240983,11.888504819965107
n26-bukit-panau-kelantan,5.833146,102.128952,11.002320025302398
n27-gual-ipoh-kelantan,5.660244,102.048968,9.983060190271278
n28-kemahang-kelantan,5.859545,102.057063,10.955625093387065
n29-selising-kelantan,5.871484,102.320872,11.082559710042105
n30-limbongan-kelantan,5.851916,102.361564,11.34820995430562
n31-semerak-kelantan,5.848266,102.469238,11.099828529146022
n32-gaal-kelantan,5.788632,102.388787,11.58681403127628
n33-pulai-chondong-kelantan,5.843526,102.238312,11.028952272066514
n34-temangan-kelantan,5.721704,102.162053,10.631963673562359
n35-kemuning-kelantan,5.727065,102.313188,11.003632620542417
n36-bukit-bunga-kelantan,5.78684,101.951788,10.094192932754801
n37-air-lanas-kelantan,5.710962,101.830082,10.546619373789008
n38-kuala-balah-kelantan,5.541232,101.823475,9.600700229902712
n39-mengkebang-kelantan,5.563768,102.219144,10.300846407220329
n40-guchil-kelantan,5.500422,102.184335,10.923261344176716
n41-manek-urai-kelantan,5.374168,102.288298,10.287676312624267
n42-dabong-kelantan,5.353974,102.011752,9.71070257301297
n43-nenggiri-kelantan,5.143547,101.816262,9.2109252804599
n44-paloh-kelantan,4.9642,102.347104,8.806900102393314
n45-galas-kelantan,4.83144,101.715458,9.040519055629318
n01-kuala-besut-terengganu,5.853177,102.616369,10.404013370529638
n02-kota-putera-terengganu,5.772565,102.59958,11.191000738477761
n03-jertih-terengganu,5.739636,102.485368,11.739226432789145
n04-hulu-besut-terengganu,5.534433,102.50088,9.541987417868073
n05-jabi-terengganu,5.660394,102.594566,10.835371736289584
n06-permaisuri-terengganu,5.597484,102.794851,9.50425223283072
n07-langkap-terengganu,5.359946,102.83355,9.757837306949428
n08-batu-rakit-terengganu,5.594828,103.051114,9.38120976077115
n09-tepuh-terengganu,5.342775,103.002167,10.40884320073096
n10-buluh-gading-terengganu,5.286578,103.04054,11.189596054082651
n11-seberang-takir-terengganu,5.37813,103.114951,11.888322504967041
n12-bukit-tunggal-terengganu,5.340516,103.110636,12.749008683816783
n13-wakaf-mempelam-terengganu,5.300092,103.11144,12.470525748304528
n14-bandar-terengganu,5.323161,103.132048,12.962095704727854
n15-ladang-terengganu,5.306102,103.140896,12.246072208465222
n16-batu-buruk-terengganu,5.289122,103.161776,11.86598189748347
n17-alur-limbat-terengganu,5.22661,103.084176,11.306700021203259
n18-bukit-payung-terengganu,5.244984,103.125468,12.018120621184368
n19-ru-rendang-terengganu,5.166926,103.210399,10.543938925765131
n20-pengkalan-berangan-terengganu,5.034791,103.220066,9.659724296991929
n21-telemung-terengganu,5.076397,102.725425,8.529199544267371
n22-manir-terengganu,5.27229,103.049979,11.683530326958005
n23-kuala-berang-terengganu,5.122787,103.026489,10.624291850839162
n24-ajil-terengganu,4.95778,103.046873,9.946025446260801
n25-bukit-besi-terengganu,4.680498,103.068424,9.093000168940934
n26-rantau-abang-terengganu,4.797506,103.45124,10.289926209649328
n27-sura-terengganu,4.737664,103.438133,11.716682844578274
n28-paka-terengganu,4.664872,103.358303,10.393179142142122
n29-kemasik-terengganu,4.48637,103.381681,10.402632663896258
n30-kijal-terengganu,4.365435,103.323994,10.170283295962555
n31-cukai-terengganu,4.216064,103.386592,11.927572883132
n32-air-putih-terengganu,4.161241,103.155482,9.056279971101487
n01-penaga-pulau-pinang,5.553896,100.387519,12.226811855432349
n02-bertam-pulau-pinang,5.515592,100.412698,12.768841573967135
n03-pinang-tunggal-pulau-pinang,5.527192,100.479789,11.77137778999118
