state,seat,code,ballot_order,name,party,votes
Kedah,AYER HANGAT,00401,1,SHAMSILAH BINTI SIRU,PERIKATAN NASIONAL (PN),"10,701"
Kedah,AYER HANGAT,00401,2,SAFWAN HANIF,BEBAS (BEBAS),"6,877"
Kedah,AYER HANGAT,00401,3,HISHAM SUHAILY BINTI OTHMAN,BARISAN NASIONAL OF MALAYSIA (BN),"4,909"
Kedah,AYER HANGAT,00401,4,ZULFADLI BIN MOHD YUSOFF,BEBAS (BEBAS),134
Kedah,KUAH,00402,1,AMAR PARED BIN MAHAMUD,PERIKATAN NASIONAL (PN),"13,364"
Kedah,KUAH,00402,2,AHMAD FAUZI BIN CHIK,PAKATAN HARAPAN (PH),"5,394"
Kedah,KUAH,00402,3,MAZLAN BIN AHMAD,BEBAS (BEBAS),"2,013"
Kedah,KOTA SIPUTEH,00503,1,MOHD ASHRAF MUSTAQIM,PERIKATAN NASIONAL (PN),"17,180"
Kedah,KOTA SIPUTEH,00503,2,DR SALMEE BINTI SAID,PAKATAN HARAPAN (PH),"4,090"
Kedah,KOTA SIPUTEH,00503,3,ABDUL BIN RAMLI @ LATIF,BEBAS (BEBAS),312
Kedah,AYER HITAM,00504,1,HAYAZI BIN AZIZAN,BARISAN NASIONAL OF MALAYSIA (BN),"6,105"
Kedah,AYER HITAM,00504,2,CIKGU AZHAR,PERIKATAN NASIONAL (PN),"22,078"
Kedah,BUKIT KAYU HITAM,00605,1,DATO' HAJAH HALIMATON SHAADIAH SAAD (KAK TON),PERIKATAN NASIONAL (PN),"24,551"
Kedah,BUKIT KAYU HITAM,00605,2,CIKGU NON,BARISAN NASIONAL OF MALAYSIA (BN),"9,117"
Kedah,JITRA,00606,1,SABRINA AHMAD,PAKATAN HARAPAN (PH),"11,170"
Kedah,JITRA,00606,2,DR. HAIM HILMAN ABDULLAH (PROF. HAIM),PERIKATAN NASIONAL (PN),"34,342"
Kedah,KUALA NERANG,00707,1,RIDZWAN ABU BAKAR,PAKATAN HARAPAN (PH),"4,215"
Kedah,KUALA NERANG,00707,2,HJ. MUNIR,PERIKATAN NASIONAL (PN),"19,661"
Kedah,PEDU,00708,1,MOHD RADZI BIN MD AMIN,PERIKATAN NASIONAL (PN),"14,397"
Kedah,PEDU,00708,2,MAHDZIR BIN KHALID,BARISAN NASIONAL OF MALAYSIA (BN),"8,024"
Kedah,BUKIT LADA,00809,1,SAID ALI BIN SYED RASTAN,BARISAN NASIONAL OF MALAYSIA (BN),"6,772"
