state,seat,code,ballot_order,name,party,votes
Kelantan,PENGKALAN KUBOR,01901,1,DATUK ZULKIFLI TOK KRAWAT,BARISAN NASIONAL OF MALAYSIA (BN),"8,003"
Kelantan,PENGKALAN KUBOR,01901,2,USTAZ LAN,PARTI ISLAM SE MALAYSIA (PAS),"14,043"
Kelantan,KELABORAN,01902,1,CIKGU NAN,PARTI ISLAM SE MALAYSIA (PAS),"15,890"
Kelantan,KELABORAN,01902,2,ROSDI RAZALI (RR24),BARISAN NASIONAL OF MALAYSIA (BN),"6,518"
Kelantan,PASIR PEKAN,01903,1,ZAMAKH SARI HJ. HIM,PAKATAN HARAPAN (PH),"5,972"
Kelantan,PASIR PEKAN,01903,2,DATO' USTAZ MAD,PARTI ISLAM SE MALAYSIA (PAS),"18,783"
Kelantan,WAKAF BHARU,01904,1,ABE NAN,BARISAN NASIONAL OF MALAYSIA (BN),"7,395"
Kelantan,WAKAF BHARU,01904,2,HJ MOHD RUSLI,PARTI ISLAM SE MALAYSIA (PAS),"15,522"
Kelantan,KIJANG,02005,1,DR. IZANI,PARTI ISLAM SE MALAYSIA (PAS),"14,552"
Kelantan,KIJANG,02005,2,HARIS HUSSIN,BARISAN NASIONAL OF MALAYSIA (BN),"4,644"
Kelantan,CHEMPAKA,02006,1,NIK NORMI,BARISAN NASIONAL OF MALAYSIA (BN),"5,504"
Kelantan,CHEMPAKA,02006,2,NIK BAHRUM,PARTI ISLAM SE MALAYSIA (PAS),"16,728"
Kelantan,CHEMPAKA,02006,3,TOK GAWA HJ. HIM / ABE LI TOK GAWA,BEBAS (BEBAS),234
Kelantan,PANCHOR,02007,1,DATO' NIK AMAR,PARTI ISLAM SE MALAYSIA (PAS),"18,700"
Kelantan,PANCHOR,02007,2,SYED MOHD ALIDUSTUR BIN SYED MOHD ZAIN,PAKATAN HARAPAN (PH),"8,014"
Kelantan,TANJONG MAS,02108,1,KAK ANI,PARTI ISLAM SE MALAYSIA (PAS),"17,529"
Kelantan,TANJONG MAS,02108,2,ZINDA KHALIL,PAKATAN HARAPAN (PH),"8,936"
Kelantan,KOTA LAMA,02109,1,DR HAFIDZAH,PAKATAN HARAPAN (PH),"9,691"
Kelantan,KOTA LAMA,02109,2,IZAT BUKHARY,BEBAS (BEBAS),85
Kelantan,KOTA LAMA,02109,3,ANDY TAN @ AWANG,PARTI RAKYAT MALAYSIA (PRM),126
Kelantan,KOTA LAMA,02109,4,DATO' ZAMRI,PARTI ISLAM SE MALAYSIA (PAS),"9,489"
Kelantan,BUNUT PAYONG,02110,1,DATUK MOHAMED HASNAN BIN CHE HUSSIN,BARISAN NASIONAL OF MALAYSIA (BN),"8,277"
Kelantan,BUNUT PAYONG,02110,2,SHAARI,PARTI ISLAM SE MALAYSIA (PAS),"13,887"
Kelantan,TENDONG,02211,1,TOK NAN,BEBAS (BEBAS),"1,086"
Kelantan,TENDONG,02211,2,ROZI MUHAMAD,PARTI ISLAM SE MALAYSIA (PAS),"12,360"
Kelantan,TENDONG,02211,3,ABE HARIRI,BARISAN NASIONAL OF MALAYSIA (BN),"6,514"
Kelantan,PENGKALAN PASIR,02212,1,HJ RUSHDAN,PAKATAN HARAPAN (PH),"5,416"
Kelantan,PENGKALAN PASIR,02212,2,HAJI NASRIFF DAUD YATIMEE,PARTI ISLAM SE MALAYSIA (PAS),"13,077"
Kelantan,MERANTI,02213,1,TOK GAWA ZAHRI,BARISAN NASIONAL OF MALAYSIA (BN),"4,106"
Kelantan,MERANTI,02213,2,DATO' US. HJ. NASSURUDDIN,PARTI ISLAM SE MALAYSIA (PAS),"13,260"
Kelantan,CHETOK,02314,1,HAJI ZURAIDIN ABDULLAH,PARTI ISLAM SE MALAYSIA (PAS),"12,202"
Kelantan,CHETOK,02314,2,EZZAT HANUZI,PAKATAN HARAPAN (PH),"4,203"
Kelantan,GUAL PERIOK,02315,1,ABE WA,BARISAN NASIONAL OF MALAYSIA (BN),"6,448"
Kelantan,GUAL PERIOK,02315,2,KAMARUZAMAN,PARTI ISLAM SE MALAYSIA (PAS),"11,557"
Kelantan,APAM PUTRA,02316,1,DATUK AKBAR,BARISAN NASIONAL OF MALAYSIA (BN),"6,747"
Kelantan,APAM PUTRA,02316,2,ABE ZAM,PARTI ISLAM SE MALAYSIA (PAS),"10,606"
Kelantan,SALOR,02417,1,ABE JOE,PARTI ISLAM SE MALAYSIA (PAS),"15,893"
Kelantan,SALOR,02417,2,ADIK MAD,BARISAN NASIONAL OF MALAYSIA (BN),"6,433"
Kelantan,PASIR TUMBOH,02418,1,USTAZ ABD RAHMAN,PARTI ISLAM SE MALAYSIA (PAS),"17,814"
Kelantan,PASIR TUMBOH,02418,2,AINA SAYUTY,PAKATAN HARAPAN (PH),"5,440"
Kelantan,DEMIT,02419,1,USTAZ ASRI,PARTI ISLAM SE MALAYSIA (PAS),"18,683"
Kelantan,DEMIT,02419,2,TOK WEIL,PAKATAN HARAPAN (PH),"6,098"
Kelantan,TAWANG,02520,1,USTAZ HARUN,PARTI ISLAM SE MALAYSIA (PAS),"21,665"
Kelantan,TAWANG,02520,2,CHE MAT,PAKATAN HARAPAN (PH),"5,683"
Kelantan,PANTAI IRAMA,02521,1,KAK YAH,BARISAN NASIONAL OF MALAYSIA (BN),"7,330"
Kelantan,PANTAI IRAMA,02521,2,HAJI MIE,PARTI ISLAM SE MALAYSIA (PAS),"17,779"
Kelantan,JELAWAT,02522,1,DATO' YUSRI,BARISAN NASIONAL OF MALAYSIA (BN),"7,277"
Kelantan,JELAWAT,02522,2,LOYAR ZAMERI,PARTI ISLAM SE MALAYSIA (PAS),"16,885"
Kelantan,JELAWAT,02522,3,BABA ZUL,BEBAS (BEBAS),277
Kelantan,MELOR,02623,1,WAN ROHIMI,PARTI ISLAM SE MALAYSIA (PAS),"12,688"
Kelantan,MELOR,02623,2,CIKGU HJ. AZMI,BARISAN NASIONAL OF MALAYSIA (BN),"5,405"
Kelantan,KADOK,02624,1,IR AZIZAN RAZAK,PAKATAN HARAPAN (PH),"3,165"
Kelantan,KADOK,02624,2,DATO' AZAMI,PARTI ISLAM SE MALAYSIA (PAS),"10,584"
Kelantan,KOK LANAS,02625,1,AHMAD DERAMAN (ABE MAT JELIRA),BARISAN NASIONAL OF MALAYSIA (BN),"7,259"
Kelantan,KOK LANAS,02625,2,DATO' FARID,PARTI ISLAM SE MALAYSIA (PAS),"15,478"
Kelantan,BUKIT PANAU,02726,1,DATO' ABDUL FATTAH,PARTI ISLAM SE MALAYSIA (PAS),"22,582"
Kelantan,BUKIT PANAU,02726,2,DATO' DR. SAMSUL ADABI,PAKATAN HARAPAN (PH),"5,954"
Kelantan,GUAL IPOH,02727,1,BAHARI,PARTI ISLAM SE MALAYSIA (PAS),"10,320"
Kelantan,GUAL IPOH,02727,2,ZUHAIRI (JERI),BARISAN NASIONAL OF MALAYSIA (BN),"4,368"
Kelantan,KEMAHANG,02728,1,MAZLI (ABE JEK),BARISAN NASIONAL OF MALAYSIA (BN),"3,064"
Kelantan,KEMAHANG,02728,2,DATO' MEJAR(B) NIZAM,PARTI ISLAM SE MALAYSIA (PAS),"10,375"
Kelantan,SELISING,02829,1,DATO' CIKGU HASHIM,BARISAN NASIONAL OF MALAYSIA (BN),"5,578"
Kelantan,SELISING,02829,2,UST TUAN SARIPUDIN,PARTI ISLAM SE MALAYSIA (PAS),"12,481"
Kelantan,LIMBONGAN,02830,1,USTAZAH ASILAH,PARTI ISLAM SE MALAYSIA (PAS),"15,183"
Kelantan,LIMBONGAN,02830,2,CIKGU DIN,PAKATAN HARAPAN (PH),"5,603"
Kelantan,SEMERAK,02831,1,NORSHAM CIKGU ABANG,PARTI ISLAM SE MALAYSIA (PAS),"11,531"
Kelantan,SEMERAK,02831,2,SHELA CIKGU ALI GOLOK,BARISAN NASIONAL OF MALAYSIA (BN),"5,703"
Kelantan,GAAL,02832,1,USTAZ RODZI,PARTI ISLAM SE MALAYSIA (PAS),"10,388"
Kelantan,GAAL,02832,2,ALIF,BARISAN NASIONAL OF MALAYSIA (BN),"3,911"
Kelantan,PULAI CHONDONG,02933,1,USTAZ AZHAR,PARTI ISLAM SE MALAYSIA (PAS),"11,636"
Kelantan,PULAI CHONDONG,02933,2,FAKHRAN,BARISAN NASIONAL OF MALAYSIA (BN),"5,599"
Kelantan,TEMANGAN,02934,1,PAK TUA FAUZI,BEBAS (BEBAS),212
Kelantan,TEMANGAN,02934,2,CIKGU KADIR,PAKATAN HARAPAN (PH),"3,967"
Kelantan,TEMANGAN,02934,3,DATO' DR. FADZLI HASSAN,PARTI ISLAM SE MALAYSIA (PAS),"11,446"
Kelantan,KEMUNING,02935,1,ABE FAKARUDIN,BARISAN NASIONAL OF MALAYSIA (BN),"7,481"
Kelantan,KEMUNING,02935,2,LAWYER ZAKHRAN,PARTI ISLAM SE MALAYSIA (PAS),"13,168"
Kelantan,BUKIT BUNGA,03036,1,ALMIDI,PARTI ISLAM SE MALAYSIA (PAS),"8,540"
Kelantan,BUKIT BUNGA,03036,2,DATO ADHAN,BARISAN NASIONAL OF MALAYSIA (BN),"4,388"
Kelantan,AIR LANAS,03037,1,DATUK KAMARUDIN,PARTI ISLAM SE MALAYSIA (PAS),"9,535"
Kelantan,AIR LANAS,03037,2,NH NASRUL HADI,BARISAN NASIONAL OF MALAYSIA (BN),"4,526"
Kelantan,KUALA BALAH,03038,1,DATO ' HADI,PARTI ISLAM SE MALAYSIA (PAS),"6,186"
Kelantan,KUALA BALAH,03038,2,YAMIN ANUAR,BARISAN NASIONAL OF MALAYSIA (BN),"3,585"
Kelantan,MENGKEBANG,03139,1,ABE YIE,PAKATAN HARAPAN (PH),"3,404"
Kelantan,MENGKEBANG,03139,2,HAJI ZUBIR,PARTI ISLAM SE MALAYSIA (PAS),"12,531"
Kelantan,GUCHIL,03140,1,DR ZUBER,BARISAN NASIONAL OF MALAYSIA (BN),"4,532"
Kelantan,GUCHIL,03140,2,LAWYER MIE,PARTI ISLAM SE MALAYSIA (PAS),"10,826"
Kelantan,MANEK URAI,03141,1,ABE UJI,PARTI ISLAM SE MALAYSIA (PAS),"10,355"
Kelantan,MANEK URAI,03141,2,CHE NIE,BARISAN NASIONAL OF MALAYSIA (BN),"2,865"
Kelantan,DABONG,03142,1,TOK IME KU ZAKI,PARTI ISLAM SE MALAYSIA (PAS),"5,772"
Kelantan,DABONG,03142,2,ABE FIRDAUS,BARISAN NASIONAL OF MALAYSIA (BN),"3,326"
Kelantan,NENGGIRI,03243,1,AB AZIZ BIN YUSOFF,BARISAN NASIONAL OF MALAYSIA (BN),"5,707"
Kelantan,NENGGIRI,03243,2,MOHD AZIZI ABU NAIM,PARTI ISLAM SE MALAYSIA (PAS),"6,517"
Kelantan,PALOH,03244,1,DATO SHAARI,PARTI ISLAM SE MALAYSIA (PAS),"7,407"
Kelantan,PALOH,03244,2,AMRAN ARIFIN,BARISAN NASIONAL OF MALAYSIA (BN),"5,202"
Kelantan,GALAS,03245,1,USTAZ JI,PARTI ISLAM SE MALAYSIA (PAS),"7,405"
Kelantan,GALAS,03245,2,ABE DIN,BARISAN NASIONAL OF MALAYSIA (BN),"10,742"
