state,seat,code,ballot_order,name,party,votes
Negeri Sembilan,CHENNAH,12601,1,ROSMADI BIN ARIF,PERIKATAN NASIONAL (PN),"3,688"
Negeri Sembilan,CHENNAH,12601,2,LOKE SIEW FOOK,PAKATAN HARAPAN (PH),"5,888"
Negeri Sembilan,PERTANG,12602,1,JALALUDDIN BIN ALIAS,BARISAN NASIONAL OF MALAYSIA (BN),"5,634"
Negeri Sembilan,PERTANG,12602,2,CIKGU AMIR,PERIKATAN NASIONAL (PN),"2,844"
Negeri Sembilan,SUNGAI LUI,12603,1,MOHD. RAZI BIN MOHD. ALI,BARISAN NASIONAL OF MALAYSIA (BN),"6,939"
Negeri Sembilan,SUNGAI LUI,12603,2,NORDIN HASIM,PERIKATAN NASIONAL (PN),"6,404"
Negeri Sembilan,KLAWANG,12604,1,ANGAH SAIFUL,BEBAS (BEBAS),364
Negeri Sembilan,KLAWANG,12604,2,DANNI RAIS,PERIKATAN NASIONAL (PN),"4,021"
Negeri Sembilan,KLAWANG,12604,3,BAKRI SAWIR,PAKATAN HARAPAN (PH),"4,598"
Negeri Sembilan,SERTING,12705,1,USTAZ FAIRUZ,PERIKATAN NASIONAL (PN),"10,312"
Negeri Sembilan,SERTING,12705,2,MUHAMAD ZAMRI OMAR,BARISAN NASIONAL OF MALAYSIA (BN),"9,469"
Negeri Sembilan,PALONG,12706,1,NOOR AZUAN,PERIKATAN NASIONAL (PN),"7,376"
Negeri Sembilan,PALONG,12706,2,MUSTAPHA BIN NAGOOR,BARISAN NASIONAL OF MALAYSIA (BN),"7,940"
Negeri Sembilan,JERAM PADANG,12707,1,MOHD ZAIDY ABDUL KADIR,BARISAN NASIONAL OF MALAYSIA (BN),"5,462"
Negeri Sembilan,JERAM PADANG,12707,2,SURASH A/L SREENIVASAN,PERIKATAN NASIONAL (PN),"4,769"
Negeri Sembilan,BAHAU,12708,1,P. M. KUMAR,PERIKATAN NASIONAL (PN),"3,531"
Negeri Sembilan,BAHAU,12708,2,TEO KOK SEONG,PAKATAN HARAPAN (PH),"11,939"
Negeri Sembilan,LENGGENG,12809,1,ZUL AZKI MAT SULOP,BEBAS (BEBAS),404
Negeri Sembilan,LENGGENG,12809,2,HAJI FADLI CHE ME,PERIKATAN NASIONAL (PN),"9,355"
Negeri Sembilan,LENGGENG,12809,3,HJ ASNA,BARISAN NASIONAL OF MALAYSIA (BN),"10,040"
Negeri Sembilan,NILAI,12810,1,GAN CHEE BIOW,PERIKATAN NASIONAL (PN),"8,244"
Negeri Sembilan,NILAI,12810,2,OMAR BIN MOHD ISA,BEBAS (BEBAS),"1,430"
Negeri Sembilan,NILAI,12810,3,YESSU,BEBAS (BEBAS),57
Negeri Sembilan,NILAI,12810,4,J.ARUL KUMAR,PAKATAN HARAPAN (PH),"19,133"
Negeri Sembilan,LOBAK,12811,1,NG SOON LEAN,PERIKATAN NASIONAL (PN),853
Negeri Sembilan,LOBAK,12811,2,CHEW SEH YONG,PAKATAN HARAPAN (PH),"14,357"
Negeri Sembilan,TEMIANG,12812,1,NG CHIN TSAI,PAKATAN HARAPAN (PH),"5,710"
Negeri Sembilan,TEMIANG,12812,2,QUSYAIRY AHMAD,IKATAN DEMOKRATIK MALAYSIA (MUDA),640
Negeri Sembilan,TEMIANG,12812,3,CHUA ENG PU,PERIKATAN NASIONAL (PN),"2,642"
Negeri Sembilan,SIKAMAT,12813,1,RAIHAN HILAL,PERIKATAN NASIONAL (PN),"10,068"
Negeri Sembilan,SIKAMAT,12813,2,AMINUDDIN HARUN,PAKATAN HARAPAN (PH),"12,730"
Negeri Sembilan,SIKAMAT,12813,3,BUJANG BIN ABU,BEBAS (BEBAS),83
Negeri Sembilan,SIKAMAT,12813,4,MOHAMMED HAFIZ (TOK MERAH),BEBAS (BEBAS),339
Negeri Sembilan,AMPANGAN,12814,1,TENGKU ZAMRAH BINTI TENGKU SULAIMAN,PAKATAN HARAPAN (PH),"6,054"
Negeri Sembilan,AMPANGAN,12814,2,MUHAMMAD GHAZALI BIN ZAINAL ABIDIN,PERIKATAN NASIONAL (PN),"5,725"
Negeri Sembilan,AMPANGAN,12814,3,DATO' DR MOHAMAD RAFIE BIN AB MALEK,BEBAS (BEBAS),"3,079"
Negeri Sembilan,JUASSEH,12915,1,EDDIN SYAZLEE BIN SHITH,PERIKATAN NASIONAL (PN),"4,471"
Negeri Sembilan,JUASSEH,12915,2,PUAN SRI BIBI SHARLIZA,BARISAN NASIONAL OF MALAYSIA (BN),"4,549"
Negeri Sembilan,SERI MENANTI,12916,1,USTAZ SUFIAN MARADZI,BARISAN NASIONAL OF MALAYSIA (BN),"3,711"
Negeri Sembilan,SERI MENANTI,12916,2,JAMALI BIN SALAM,PERIKATAN NASIONAL (PN),"3,341"
Negeri Sembilan,SENALING,12917,1,ISMAIL LASIM,BARISAN NASIONAL OF MALAYSIA (BN),"3,724"
Negeri Sembilan,SENALING,12917,2,AMRINA BINTI MOHD KHALID,PERIKATAN NASIONAL (PN),"3,062"
Negeri Sembilan,PILAH,12918,1,CIKGU RAFIEI,PERIKATAN NASIONAL (PN),"5,143"
Negeri Sembilan,PILAH,12918,2,NOORZUNITA BEGUM MOHD IBRAHIM,PAKATAN HARAPAN (PH),"6,222"
Negeri Sembilan,JOHOL,12919,1,HJ SAIFUL YAZAN SULAIMAN,BARISAN NASIONAL OF MALAYSIA (BN),"5,228"
Negeri Sembilan,JOHOL,12919,2,HJ KAMARUDIN TAHIR,PERIKATAN NASIONAL (PN),"3,111"
Negeri Sembilan,LABU,13020,1,ANIP ABU BAKER,PERIKATAN NASIONAL (PN),"11,661"
Negeri Sembilan,LABU,13020,2,HJ ISMAIL BIN AHMAD,PAKATAN HARAPAN (PH),"10,021"
Negeri Sembilan,BUKIT KEPAYANG,13021,1,SUBRAMANIAM A/L PURUSHOTHAMA,PERIKATAN NASIONAL (PN),"4,942"
Negeri Sembilan,BUKIT KEPAYANG,13021,2,AHMAD ZAMALI MOHAMAD,BEBAS (BEBAS),921
Negeri Sembilan,BUKIT KEPAYANG,13021,3,NICOLE TAN LEE KOON,PAKATAN HARAPAN (PH),"24,626"
Negeri Sembilan,RAHANG,13022,1,SIAU MEOW KONG,PAKATAN HARAPAN (PH),"9,868"
Negeri Sembilan,RAHANG,13022,2,LEE BOON SHIAN,PERIKATAN NASIONAL (PN),"3,436"
Negeri Sembilan,MAMBAU,13023,1,YAP YEW WENG,PAKATAN HARAPAN (PH),"17,039"
Negeri Sembilan,MAMBAU,13023,2,KUMARAVEL A/L RAMIAH,BEBAS (BEBAS),163
Negeri Sembilan,MAMBAU,13023,3,SATHES KUMAR NILAMEHAM,PERIKATAN NASIONAL (PN),"2,099"
Negeri Sembilan,SEREMBAN JAYA,13024,1,P.GUNA,PAKATAN HARAPAN (PH),"17,080"
Negeri Sembilan,SEREMBAN JAYA,13024,2,GARY LEE,PERIKATAN NASIONAL (PN),"4,377"
Negeri Sembilan,PAROI,13125,1,SYAKIR FITRI,BEBAS (BEBAS),944
Negeri Sembilan,PAROI,13125,2,NORWANI AHMAT,PAKATAN HARAPAN (PH),"18,301"
Negeri Sembilan,PAROI,13125,3,HJ KAMAROL RIDZUAN,PERIKATAN NASIONAL (PN),"23,840"
Negeri Sembilan,CHEMBONG,13126,1,BAKLY BIN BABA,PERIKATAN NASIONAL (PN),"6,926"
Negeri Sembilan,CHEMBONG,13126,2,DATO' HAJI ZAIFULBAHRI BIN HAJI IDRIS,BARISAN NASIONAL OF MALAYSIA (BN),"11,261"
Negeri Sembilan,RANTAU,13127,1,ROZMAL BIN MALAKAN,PERIKATAN NASIONAL (PN),"6,677"
Negeri Sembilan,RANTAU,13127,2,TOK MAT,BARISAN NASIONAL OF MALAYSIA (BN),"16,957"
Negeri Sembilan,KOTA,13128,1,SUHAIMI BIN AINI,BARISAN NASIONAL OF MALAYSIA (BN),"5,869"
Negeri Sembilan,KOTA,13128,2,SHUKRI BIN SHUKOR,PERIKATAN NASIONAL (PN),"5,734"
Negeri Sembilan,CHUAH,13229,1,TANG JAY SON,PERIKATAN NASIONAL (PN),"1,874"
Negeri Sembilan,CHUAH,13229,2,YEW BOON LYE,PAKATAN HARAPAN (PH),"8,172"
Negeri Sembilan,LUKUT,13230,1,S. RAGU,PERIKATAN NASIONAL (PN),"3,561"
Negeri Sembilan,LUKUT,13230,2,CHOO KEN HWA,PAKATAN HARAPAN (PH),"13,696"
Negeri Sembilan,BAGAN PINANG,13231,1,USTAZ FATAH,PERIKATAN NASIONAL (PN),"10,921"
