state,seat,code,ballot_order,name,party,votes
Pulau Pinang,PENAGA,04101,1,USTAZ YUSNI,PERIKATAN NASIONAL (PN),"13,223"
Pulau Pinang,PENAGA,04101,2,USTAZ MOHD NAIM BIN HJ. SALLEH,BARISAN NASIONAL OF MALAYSIA (BN),"7,686"
Pulau Pinang,BERTAM,04102,1,DATO SRI REEZAL MERICAN BIN NAINA MERICAN,BARISAN NASIONAL OF MALAYSIA (BN),"10,453"
Pulau Pinang,BERTAM,04102,2,KHALIQ MEHTAB,PERIKATAN NASIONAL (PN),"8,132"
Pulau Pinang,PINANG TUNGGAL,04103,1,ZAINUDDIN MOHAMED,PAKATAN HARAPAN (PH),"10,132"
Pulau Pinang,PINANG TUNGGAL,04103,2,BUKHORI GHAZALI,PERIKATAN NASIONAL (PN),"17,060"
Pulau Pinang,PERMATANG BERANGAN,04204,1,NOR HAFIZAH BINTI OTHMAN,BARISAN NASIONAL OF MALAYSIA (BN),"7,001"
Pulau Pinang,PERMATANG BERANGAN,04204,2,PAKCIK SOBRI,PERIKATAN NASIONAL (PN),"15,950"
Pulau Pinang,SUNGAI DUA,04205,1,USTAZ FAUZI,PERIKATAN NASIONAL (PN),"13,988"
Pulau Pinang,SUNGAI DUA,04205,2,DATO DR. SHAIK HUSSEIN MYDIN,BARISAN NASIONAL OF MALAYSIA (BN),"8,479"
Pulau Pinang,TELOK AYER TAWAR,04206,1,MOHSEIN SHARIFF,PAKATAN HARAPAN (PH),"8,276"
Pulau Pinang,TELOK AYER TAWAR,04206,2,AZMI ALANG,PERIKATAN NASIONAL (PN),"10,223"
Pulau Pinang,SUNGAI PUYU,04307,1,PHEE SYN TZE,PAKATAN HARAPAN (PH),"23,838"
Pulau Pinang,SUNGAI PUYU,04307,2,ANDREW TEOW,PERIKATAN NASIONAL (PN),"2,508"
Pulau Pinang,BAGAN JERMAL,04308,1,CJ ONG,PERIKATAN NASIONAL (PN),"3,538"
Pulau Pinang,BAGAN JERMAL,04308,2,CHEE YEEH KEEN,PAKATAN HARAPAN (PH),"19,687"
Pulau Pinang,BAGAN DALAM,04309,1,RAJASAKANAN A/L SINNAKANNU,PENANG FRONT PARTY (PFP),115
Pulau Pinang,BAGAN DALAM,04309,2,SATEES MUNIANDY,BEBAS (BEBAS),"1,111"
Pulau Pinang,BAGAN DALAM,04309,3,K. JAYARAMAN,PERIKATAN NASIONAL (PN),"2,964"
Pulau Pinang,BAGAN DALAM,04309,4,KUMARAN KRISHNAN @ CALVIN,PAKATAN HARAPAN (PH),"10,506"
Pulau Pinang,SEBERANG JAYA,04410,1,JOHARI KASSIM,PAKATAN HARAPAN (PH),"15,951"
Pulau Pinang,SEBERANG JAYA,04410,2,IZHAR SHAH DATUK ARIF SHAH,PERIKATAN NASIONAL (PN),"20,877"
Pulau Pinang,PERMATANG PASIR,04411,1,HAJI AMIR HAMZAH,PERIKATAN NASIONAL (PN),"13,526"
Pulau Pinang,PERMATANG PASIR,04411,2,FAIZ FADZIL,PAKATAN HARAPAN (PH),"10,418"
Pulau Pinang,PENANTI,04412,1,USTAZ ROSIDI HUSSAIN,PAKATAN HARAPAN (PH),"9,011"
Pulau Pinang,PENANTI,04412,2,ZULKEFLI BIN BAKAR,PERIKATAN NASIONAL (PN),"12,586"
Pulau Pinang,BERAPIT,04513,1,HENG LEE LEE,PAKATAN HARAPAN (PH),"19,183"
Pulau Pinang,BERAPIT,04513,2,LEE KOK KEONG,PERIKATAN NASIONAL (PN),"1,130"
Pulau Pinang,MACHANG BUBUK,04514,1,LEE KHAI LOON,PAKATAN HARAPAN (PH),"28,777"
Pulau Pinang,MACHANG BUBUK,04514,2,ANDY TAN HUM WEI,PERIKATAN NASIONAL (PN),"12,855"
Pulau Pinang,PADANG LALANG,04515,1,SURESH,PERIKATAN NASIONAL (PN),"2,867"
Pulau Pinang,PADANG LALANG,04515,2,OOI KHAR GIAP,PENANG FRONT PARTY (PFP),218
Pulau Pinang,PADANG LALANG,04515,3,GOOI ZI SEN,PAKATAN HARAPAN (PH),"22,315"
Pulau Pinang,PERAI,04616,1,VIKY,IKATAN DEMOKRATIK MALAYSIA (MUDA),253
Pulau Pinang,PERAI,04616,2,SUNDARAJOO SOMU,PAKATAN HARAPAN (PH),"10,680"
Pulau Pinang,PERAI,04616,3,DAVID MARSHEL,BEBAS (BEBAS),"1,439"
Pulau Pinang,PERAI,04616,4,SIVASUNTARAM A/L RAJALINGGAM,PERIKATAN NASIONAL (PN),"1,541"
Pulau Pinang,BUKIT TENGAH,04617,1,GOOI HSIAO-LEUNG,PAKATAN HARAPAN (PH),"16,050"
Pulau Pinang,BUKIT TENGAH,04617,2,BALJIT SINGH,PERIKATAN NASIONAL (PN),"7,353"
Pulau Pinang,BUKIT TAMBUN,04618,1,GOH CHOON AIK,PAKATAN HARAPAN (PH),"21,985"
Pulau Pinang,BUKIT TAMBUN,04618,2,SAMUGANATHAN A/L MUNIANDY,BEBAS (BEBAS),468
