state,seat,code,ballot_order,name,party,votes
Selangor,SUNGAI AIR TAWAR,09201,1,CIKGU ZAIDI SELAMAT,PERIKATAN NASIONAL (PN),"7,024"
Selangor,SUNGAI AIR TAWAR,09201,2,DATUK HAJI RIZAM ISMAIL,BARISAN NASIONAL OF MALAYSIA (BN),"7,870"
Selangor,SABAK,09202,1,CIKGU SAMAD BIN HASHIM,PAKATAN HARAPAN (PH),"9,216"
Selangor,SABAK,09202,2,USTAZ SALLEHEN MUKHYI,PERIKATAN NASIONAL (PN),"13,431"
Selangor,SUNGAI PANJANG,09303,1,MOHD IMRAN BIN TAMRIN,BARISAN NASIONAL OF MALAYSIA (BN),"13,401"
Selangor,SUNGAI PANJANG,09303,2,USTAZ RAZALI SAARI,PERIKATAN NASIONAL (PN),"16,977"
Selangor,SEKINCHAN,09304,1,GOH GAIK MENG,PERIKATAN NASIONAL (PN),"6,214"
Selangor,SEKINCHAN,09304,2,NG SUEE LIM,PAKATAN HARAPAN (PH),"10,232"
Selangor,HULU BERNAM,09405,1,HAJI AMRAN SAKIR,PAKATAN HARAPAN (PH),"10,049"
Selangor,HULU BERNAM,09405,2,MUIZ MAHYUDDIN,PERIKATAN NASIONAL (PN),"10,718"
Selangor,KUALA KUBU BAHARU,09406,1,HENRY TEOH,PERIKATAN NASIONAL (PN),"10,743"
Selangor,KUALA KUBU BAHARU,09406,2,CHNG BOON LAI,PARTI RAKYAT MALAYSIA (PRM),527
Selangor,KUALA KUBU BAHARU,09406,3,LEE KEE HIONG,PAKATAN HARAPAN (PH),"14,862"
Selangor,KUALA KUBU BAHARU,09406,4,DR SIVA,IKATAN DEMOKRATIK MALAYSIA (MUDA),"1,186"
Selangor,BATANG KALI,09407,1,MUHAIMIN HARITH,PERIKATAN NASIONAL (PN),"32,285"
Selangor,BATANG KALI,09407,2,MOHD ISA BIN ABU KASIM,BARISAN NASIONAL OF MALAYSIA (BN),"29,307"
Selangor,SUNGAI BURONG,09508,1,DR ZAMRI MANTOP,PERIKATAN NASIONAL (PN),"15,447"
Selangor,SUNGAI BURONG,09508,2,USTAZ KHIR,BARISAN NASIONAL OF MALAYSIA (BN),"8,605"
Selangor,PERMATANG,09509,1,PAKYA,PAKATAN HARAPAN (PH),"11,122"
Selangor,PERMATANG,09509,2,NURUL NOH OMAR,PERIKATAN NASIONAL (PN),"12,850"
Selangor,BUKIT MELAWATI,09610,1,THIBAN A/L SUBBRAMANIAM,PAKATAN HARAPAN (PH),"13,795"
Selangor,BUKIT MELAWATI,09610,2,HJ. AZLEY YAHYA,PERIKATAN NASIONAL (PN),"14,672"
Selangor,IJOK,09611,1,JEFRI BIN MEJAN,PERIKATAN NASIONAL (PN),"12,183"
Selangor,IJOK,09611,2,CIKGU AMIDI,PAKATAN HARAPAN (PH),"11,271"
Selangor,IJOK,09611,3,CK TAN,BEBAS (BEBAS),194
Selangor,JERAM,09612,1,JAHAYA IBRAHIM,BARISAN NASIONAL OF MALAYSIA (BN),"11,333"
Selangor,JERAM,09612,2,HARRISON BIN HASSAN,PERIKATAN NASIONAL (PN),"16,731"
Selangor,KUANG,09713,1,HASNAL REZUA MERICAN,BARISAN NASIONAL OF MALAYSIA (BN),"13,619"
Selangor,KUANG,09713,2,YB. SALLEH AMIRUDDIN,BEBAS (BEBAS),"1,287"
Selangor,KUANG,09713,3,MOHD RAFIQ ABDULLAH,PERIKATAN NASIONAL (PN),"18,494"
Selangor,RAWANG,09714,1,R. REJEAN KUMAR,PERIKATAN NASIONAL (PN),"13,510"
Selangor,RAWANG,09714,2,CHUA WEI KIAT,PAKATAN HARAPAN (PH),"39,168"
Selangor,TAMAN TEMPLER,09715,1,AIDA RAHMAN,IKATAN DEMOKRATIK MALAYSIA (MUDA),765
Selangor,TAMAN TEMPLER,09715,2,ANFAAL SAARI,PAKATAN HARAPAN (PH),"22,247"
Selangor,TAMAN TEMPLER,09715,3,ZAIDY ABDUL TALIB,PERIKATAN NASIONAL (PN),"21,780"
Selangor,SUNGAI TUA,09816,1,SUMAN GOPAL,BEBAS (BEBAS),430
Selangor,SUNGAI TUA,09816,2,HANIF JAMALUDDIN,PERIKATAN NASIONAL (PN),"14,493"
Selangor,SUNGAI TUA,09816,3,AMIRUDIN SHARI,PAKATAN HARAPAN (PH),"19,678"
Selangor,GOMBAK SETIA,09817,1,MOHAMED SALIM BIN MOHAMED ALI,BEBAS (BEBAS),"1,076"
Selangor,GOMBAK SETIA,09817,2,HILMAN IDHAM,PERIKATAN NASIONAL (PN),"30,299"
Selangor,GOMBAK SETIA,09817,3,MEGAT ZULKARNAIN OMARDIN,BARISAN NASIONAL OF MALAYSIA (BN),"30,241"
Selangor,HULU KELANG,09818,1,AZMIN ALI,PERIKATAN NASIONAL (PN),"25,597"
Selangor,HULU KELANG,09818,2,JUWAIRIYA ZULKIFLI,PAKATAN HARAPAN (PH),"23,980"
Selangor,BUKIT ANTARABANGSA,09919,1,MELANIE TING,IKATAN DEMOKRATIK MALAYSIA (MUDA),"1,462"
Selangor,BUKIT ANTARABANGSA,09919,2,SASHA LYNA,PERIKATAN NASIONAL (PN),"14,492"
Selangor,BUKIT ANTARABANGSA,09919,3,KAMRI KAMARUDDIN,PAKATAN HARAPAN (PH),"30,772"
Selangor,LEMBAH JAYA,09920,1,SYED AHMAD @ ALTIMET,PAKATAN HARAPAN (PH),"26,298"
Selangor,LEMBAH JAYA,09920,2,CIKGU SHARIFAH,PERIKATAN NASIONAL (PN),"19,620"
Selangor,PANDAN INDAH,10021,1,LISA REDZUAN,IKATAN DEMOKRATIK MALAYSIA (MUDA),"1,166"
Selangor,PANDAN INDAH,10021,2,FAZIL MOHAMAD DALI (CIKTON),PERIKATAN NASIONAL (PN),"17,287"
Selangor,PANDAN INDAH,10021,3,SIVANESWARAN A/L RAMASUNDRAM,BEBAS (BEBAS),171
Selangor,PANDAN INDAH,10021,4,IZHAM HASHIM,PAKATAN HARAPAN (PH),"27,878"
Selangor,TERATAI,10022,1,CHEW HAN KEAI,PERIKATAN NASIONAL (PN),"10,586"
Selangor,TERATAI,10022,2,YEW JIA HAUR,PAKATAN HARAPAN (PH),"42,519"
