state,seat,code,ballot_order,name,party,votes
Terengganu,KUALA BESUT,03301,1,TENGKU ZAIHAN,BARISAN NASIONAL OF MALAYSIA (BN),"7,377"
Terengganu,KUALA BESUT,03301,2,HAJI AZBI,PARTI ISLAM SE MALAYSIA (PAS),"11,496"
Terengganu,KOTA PUTERA,03302,1,HJ KHUZ,PARTI ISLAM SE MALAYSIA (PAS),"13,360"
Terengganu,KOTA PUTERA,03302,2,DATO' MUHAMMAD PEHIMI YUSOF,BARISAN NASIONAL OF MALAYSIA (BN),"9,551"
Terengganu,JERTIH,03303,1,DR RIDUAN MOHAMAD NOR,PARTI ISLAM SE MALAYSIA (PAS),"12,122"
Terengganu,JERTIH,03303,2,ROZAINI @ KOJA,BARISAN NASIONAL OF MALAYSIA (BN),"7,399"
Terengganu,HULU BESUT,03304,1,NAWI BIN MOHAMAD,BARISAN NASIONAL OF MALAYSIA (BN),"6,665"
Terengganu,HULU BESUT,03304,2,DR. CIKGU CHE HARUN KAMARIAH,BEBAS (BEBAS),180
Terengganu,HULU BESUT,03304,3,MIE CHE HUSSIN,PARTI ISLAM SE MALAYSIA (PAS),"9,525"
Terengganu,JABI,03405,1,USTAZ ROSDI ZAKARIA,BARISAN NASIONAL OF MALAYSIA (BN),"6,847"
Terengganu,JABI,03405,2,DR. AZMAN,PARTI ISLAM SE MALAYSIA (PAS),"11,523"
Terengganu,PERMAISURI,03406,1,HAMDAN HAMZAH,BARISAN NASIONAL OF MALAYSIA (BN),"7,299"
Terengganu,PERMAISURI,03406,2,YUSOP MAJID,PARTI ISLAM SE MALAYSIA (PAS),"14,837"
Terengganu,LANGKAP,03407,1,AZMI MAAROF,PARTI ISLAM SE MALAYSIA (PAS),"9,553"
Terengganu,LANGKAP,03407,2,DATO' HAJI SABRI MOHD NOOR,BARISAN NASIONAL OF MALAYSIA (BN),"6,819"
Terengganu,BATU RAKIT,03408,1,USTAZ MOHD SHAFIZI,PARTI ISLAM SE MALAYSIA (PAS),"14,465"
Terengganu,BATU RAKIT,03408,2,BAZLAN BIN ABD RAHMAN,BARISAN NASIONAL OF MALAYSIA (BN),"8,446"
Terengganu,TEPUH,03509,1,USTAZ HISHAMUDDIN,PARTI ISLAM SE MALAYSIA (PAS),"17,049"
Terengganu,TEPUH,03509,2,MUHAMMAD HANAFI HASSAN,BARISAN NASIONAL OF MALAYSIA (BN),"6,155"
Terengganu,BULUH GADING,03510,1,USTAZ RIDZUAN HASHIM,PARTI ISLAM SE MALAYSIA (PAS),"16,509"
Terengganu,BULUH GADING,03510,2,OMAR BIN ADAM,BARISAN NASIONAL OF MALAYSIA (BN),"5,551"
Terengganu,SEBERANG TAKIR,03511,1,CIKGU RAZIF,BARISAN NASIONAL OF MALAYSIA (BN),"9,359"
Terengganu,SEBERANG TAKIR,03511,2,USTAZ HAJI KHAZAN,PARTI ISLAM SE MALAYSIA (PAS),"12,156"
Terengganu,BUKIT TUNGGAL,03512,1,WAN NOORISLAM BIN WAN HASHIM,BARISAN NASIONAL OF MALAYSIA (BN),"4,345"
Terengganu,BUKIT TUNGGAL,03512,2,HAJI ZAHARUDIN,PARTI ISLAM SE MALAYSIA (PAS),"12,066"
Terengganu,WAKAF MEMPELAM,03613,1,USTAZ WAN SUKAIRI,PARTI ISLAM SE MALAYSIA (PAS),"22,345"
Terengganu,WAKAF MEMPELAM,03613,2,WAN HAIKAL,PAKATAN HARAPAN (PH),"3,718"
Terengganu,BANDAR,03614,1,USTAZ AHMAD SHAH,PARTI ISLAM SE MALAYSIA (PAS),"8,438"
Terengganu,BANDAR,03614,2,ARMI IRZAN MOHD,BARISAN NASIONAL OF MALAYSIA (BN),"6,074"
Terengganu,BANDAR,03614,3,LUQMAN LONG,IKATAN DEMOKRATIK MALAYSIA (MUDA),372
Terengganu,LADANG,03615,1,DATUK MAT,BARISAN NASIONAL OF MALAYSIA (BN),"7,290"
Terengganu,LADANG,03615,2,ZURAIDA MD NOOR,PARTI ISLAM SE MALAYSIA (PAS),"11,663"
Terengganu,BATU BURUK,03616,1,USTAZ KHALIL,PARTI ISLAM SE MALAYSIA (PAS),"23,767"
Terengganu,BATU BURUK,03616,2,ZAMIR GHAZALI,PAKATAN HARAPAN (PH),"6,099"
Terengganu,ALUR LIMBAT,03717,1,CIKGU MOHD YUSERI,BARISAN NASIONAL OF MALAYSIA (BN),"7,477"
Terengganu,ALUR LIMBAT,03717,2,USTAZ ARIFFIN,PARTI ISLAM SE MALAYSIA (PAS),"20,133"
Terengganu,BUKIT PAYUNG,03718,1,MOHD KHAN,BARISAN NASIONAL OF MALAYSIA (BN),"5,882"
Terengganu,BUKIT PAYUNG,03718,2,USTAZ MOHD NOR,PARTI ISLAM SE MALAYSIA (PAS),"16,838"
Terengganu,RU RENDANG,03719,1,HAJI SUHAIMI,PAKATAN HARAPAN (PH),"3,641"
Terengganu,RU RENDANG,03719,2,DR SAM,PARTI ISLAM SE MALAYSIA (PAS),"20,927"
Terengganu,PENGKALAN BERANGAN,03720,1,USTAZ SULAIMAN,PARTI ISLAM SE MALAYSIA (PAS),"17,946"
Terengganu,PENGKALAN BERANGAN,03720,2,DATO' HAJI NIK DIR,BARISAN NASIONAL OF MALAYSIA (BN),"9,670"
Terengganu,TELEMUNG,03821,1,CIKGU AWI,PARTI ISLAM SE MALAYSIA (PAS),"8,380"
Terengganu,TELEMUNG,03821,2,DATO' ROZI MAMAT,BARISAN NASIONAL OF MALAYSIA (BN),"8,085"
Terengganu,MANIR,03822,1,EKA LISUT,PAKATAN HARAPAN (PH),"2,211"
Terengganu,MANIR,03822,2,USTAZ HILMI,PARTI ISLAM SE MALAYSIA (PAS),"13,471"
Terengganu,KUALA BERANG,03823,1,CG. JALAL,BARISAN NASIONAL OF MALAYSIA (BN),"5,353"
Terengganu,KUALA BERANG,03823,2,DR.MAMAD,PARTI ISLAM SE MALAYSIA (PAS),"11,270"
