date,parlimen,dun,seat,ballot_order,name,party,votes
26 Apr 2025,072,07248,"PRK N.48 AYER KUNING, PERAK",1,DR. USTAZ YUSRI BAKIR,BARISAN NASIONAL OF MALAYSIA (BN),"11,065"
26 Apr 2025,072,07248,"PRK N.48 AYER KUNING, PERAK",2,USTAZ MUHAIMIN,PERIKATAN NASIONAL (PN),"6,059"
26 Apr 2025,072,07248,"PRK N.48 AYER KUNING, PERAK",3,BAWANI KS,PARTI SOSIALIS MALAYSIA (PSM),"1,106"
28 Sep 2024,152,15229,"PRK DEWAN NEGERI N.29 MAHKOTA, JOHOR",1,SYED HUSSIEN BIN SYED ABDULLAH,BARISAN NASIONAL OF MALAYSIA (BN),"27,995"
28 Sep 2024,152,15229,"PRK DEWAN NEGERI N.29 MAHKOTA, JOHOR",2,COACH HAIZAN,PERIKATAN NASIONAL (PN),"7,347"
17 Aug 2024,032,03243,"PRK DEWAN NEGERI N.43 NENGGIRI, KELANTAN",1,RIZWADI ISMAIL,PARTI ISLAM SE MALAYSIA (PAS),"5,739"
17 Aug 2024,032,03243,"PRK DEWAN NEGERI N.43 NENGGIRI, KELANTAN",2,AWIE,BARISAN NASIONAL OF MALAYSIA (BN),"9,091"
06 Jul 2024,047,04720,"PRK DEWAN UNDANGAN N.20 SUNGAI BAKAP, PULAU PINANG",1,CIKGU JOOHARI,PAKATAN HARAPAN (PH),"10,222"
06 Jul 2024,047,04720,"PRK DEWAN UNDANGAN N.20 SUNGAI BAKAP, PULAU PINANG",2,ABANG ABIDIN,PERIKATAN NASIONAL (PN),"14,489"
11 May 2024,094,09406,"PRK DEWAN NEGERI N.06 KUALA KUBU BAHARU, SELANGOR",1,KHAIRUL AZHARI,PERIKATAN NASIONAL (PN),"10,131"
11 May 2024,094,09406,"PRK DEWAN NEGERI N.06 KUALA KUBU BAHARU, SELANGOR",2,PANG SOCK TAO,PAKATAN HARAPAN (PH),"14,000"
11 May 2024,094,09406,"PRK DEWAN NEGERI N.06 KUALA KUBU BAHARU, SELANGOR",3,ERIS NYAU KE XIN,BEBAS (BEBAS),188
11 May 2024,094,09406,"PRK DEWAN NEGERI N.06 KUALA KUBU BAHARU, SELANGOR",4,HAFIZAH,PARTI RAKYAT MALAYSIA (PRM),152
02 Dec 2023,040,04000,PRK PARLIMEN P.040  KEMAMAN (2023),1,JENERAL (B) TAN SRI RAJA MOHAMED AFFANDI,BARISAN NASIONAL OF MALAYSIA (BN),"27,778"
02 Dec 2023,040,04000,PRK PARLIMEN P.040  KEMAMAN (2023),2,DR. SAM,PARTI ISLAM SE MALAYSIA (PAS),"64,998"
04 Nov 2023,217,21767,PRK DUN N.67 JEPAK (2023),1,CHIENG LEA PHING,PARTI ASPIRASI RAKYAT SARAWAK (ASPIRASI),431
04 Nov 2023,217,21767,PRK DUN N.67 JEPAK (2023),2,ISKANDAR TURKEE,GABUNGAN PARTI SARAWAK (GPS),"9,638"
04 Nov 2023,217,21767,PRK DUN N.67 JEPAK (2023),3,STEVENSON JOSEPH SUMBANG,PARTI BUMI KENYALANG (PBK),854
07 Oct 2023,089,08936,"PRK DEWAN NEGERI N.36 PELANGAI, PAHANG (2023)",1,CIKGU KASIM,PERIKATAN NASIONAL (PN),"4,375"
07 Oct 2023,089,08936,"PRK DEWAN NEGERI N.36 PELANGAI, PAHANG (2023)",2,HASLIHELMY DM BIN ZULHASLI,BEBAS (BEBAS),47
07 Oct 2023,089,08936,"PRK DEWAN NEGERI N.36 PELANGAI, PAHANG (2023)",3,DATO' AMIZAR BIN ABU ADAM,BARISAN NASIONAL OF MALAYSIA (BN),"7,324"
09 Sep 2023,161,16100,PRK PARLIMEN P.161  PULAI (2023),1,SAMSUDIN PKPKL,BEBAS (BEBAS),528
09 Sep 2023,161,16100,PRK PARLIMEN P.161  PULAI (2023),2,ZULKIFLI JAAFAR,PERIKATAN NASIONAL (PN),"29,642"
09 Sep 2023,161,16100,PRK PARLIMEN P.161  PULAI (2023),3,SUHAIZAN KAYAT,PAKATAN HARAPAN (PH),"48,283"
09 Sep 2023,145,14513,PRK DEWAN NEGERI N.13 SIMPANG JERAM (2023),1,DR. MAZRI YAHYA,PERIKATAN NASIONAL (PN),"10,330"
09 Sep 2023,145,14513,PRK DEWAN NEGERI N.13 SIMPANG JERAM (2023),2,IR. TS. HAJI NAZRI,PAKATAN HARAPAN (PH),"13,844"
09 Sep 2023,145,14513,PRK DEWAN NEGERI N.13 SIMPANG JERAM (2023),3,JEGHANAATHAN,BEBAS (BEBAS),311
