time,Malaysia,Kelantan,Kedah,Pulau Pinang,Negeri Sembilan,Selangor,Terengganu
0800hrs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0900hrs,9.0,8.6,9.4,9.4,9.5,9.7,9.8
1000hrs,20.0,19.2,20.8,20.9,21.0,21.6,21.7
1100hrs,31.0,29.7,32.2,32.3,32.6,33.4,33.7
1200hrs,42.0,40.3,43.7,43.8,44.1,45.3,45.6
1300hrs,50.0,48.0,52.0,52.2,52.5,53.9,54.3
1400hrs,58.0,55.7,60.3,60.5,60.9,62.5,63.0
1500hrs,65.0,62.4,67.6,67.8,68.3,70.1,70.6
1600hrs,70.0,67.2,72.8,73.0,73.5,75.5,76.0
1700hrs,72.0,69.1,74.9,75.1,75.6,77.6,78.2
1800hrs,74.7,71.7,77.7,77.9,78.5,80.5,81.1
