state,parlimen,dun,total,votertype_regular,votertype_early,votertype_postal,sex_male,sex_female,age_18_20,age_21_39,age_40_59,age_60_79,age_80_plus,ethnic_malay,ethnic_chinese,ethnic_indian,ethnic_bumi_sabah,ethnic_bumi_sarawak,ethnic_orang_asli,ethnic_other
Perlis,P.001 Padang Besar,N.01 Titi Tinggi,13403,13019,383,1,6944,6459,795,6135,3977,2245,251,10532,2431,257,21,19,1,142
Perlis,P.001 Padang Besar,N.02 Beseri,12128,11793,330,5,6120,6008,746,5882,3271,1978,251,10015,1800,90,17,24,0,182
Perlis,P.001 Padang Besar,N.03 Chuping,14248,14247,0,1,7049,7199,950,6308,4339,2372,279,11876,287,76,3,6,0,2000
Perlis,P.001 Padang Besar,N.04 Mata Ayer,9662,8182,1478,2,4934,4728,462,5008,2571,1417,204,8800,230,80,143,290,4,115
Perlis,P.001 Padang Besar,N.05 Santan,10751,10751,0,0,5159,5592,613,4485,3196,2110,347,10643,50,8,8,5,0,37
Perlis,P.002 Kangar,N.06 Bintong,16366,16365,0,1,7928,8438,1153,7438,4699,2725,351,15618,490,163,13,11,0,71
Perlis,P.002 Kangar,N.07 Sena,15870,15537,332,1,7935,7935,1006,7130,4563,2822,349,13387,1396,429,21,15,2,620
Perlis,P.002 Kangar,N.08 Indera Kayangan,14465,14463,0,2,7038,7427,784,6042,4132,3110,397,7817,5720,493,25,7,2,401
Perlis,P.002 Kangar,N.09 Kuala Perlis,14717,14690,26,1,7456,7261,959,6561,4524,2403,270,11468,3027,20,11,14,0,177
Perlis,P.002 Kangar,N.10 Kayang,13441,12782,658,1,6730,6711,780,6213,3998,2147,303,12882,272,46,44,19,0,178
Perlis,P.003 Arau,N.11 Pauh,14797,14424,373,0,7378,7419,942,6629,4461,2404,361,11512,2138,785,33,28,1,300
Perlis,P.003 Arau,N.12 Tambun Tulang,13451,13381,69,1,6561,6890,776,5714,4358,2280,323,11133,695,95,14,10,1,1503
Perlis,P.003 Arau,N.13 Guar Sanji,11510,11508,0,2,5546,5964,660,4821,3765,1994,270,11148,259,46,8,8,1,40
