dun,total_temp,ethnic_malay,ethnic_chinese,ethnic_indian,ethnic_bumi_sabah,ethnic_bumi_sarawak,ethnic_orang_asli,ethnic_other
N.01 Titi Tinggi,13412,10539,2433,257,21,19,1,142
N.02 Beseri,12140,10025,1802,90,17,24,0,182
N.03 Chuping,14328,11943,289,76,3,6,0,2011
N.04 Mata Ayer,9608,8751,229,80,142,288,4,114
N.05 Santan,10787,10679,50,8,8,5,0,37
N.06 Bintong,16474,15722,493,164,13,11,0,71
N.07 Sena,15935,13441,1402,431,21,15,2,623
N.08 Indera Kayangan,14472,7821,5723,493,25,7,2,401
N.09 Kuala Perlis,14769,11508,3038,20,11,14,0,178
N.10 Kayang,13511,12950,273,46,44,19,0,179
N.11 Pauh,14837,11543,2144,787,33,28,1,301
N.12 Tambun Tulang,13499,11174,697,95,14,10,1,1508
N.13 Guar Sanji,11515,11153,259,46,8,8,1,40
N.14 Simpang Empat,10753,9737,924,35,11,4,0,42
N.15 Sanglang,10419,9656,695,17,6,3,2,40
N.01 Ayer Hangat,33156,31498,415,861,108,49,2,223
N.02 Kuah,34694,29303,4131,741,132,73,3,311
N.03 Kota Siputeh,29777,27265,2040,35,14,11,0,412
N.04 Ayer Hitam,37819,34128,2490,32,28,15,0,1126
N.05 Bukit Kayu Hitam,46054,41125,3034,972,141,111,6,665
N.06 Jitra,63059,52859,6359,2690,61,58,3,1029
N.07 Kuala Nerang,31481,30464,474,50,22,17,1,453
N.08 Pedu,28606,24588,311,25,16,7,0,3659
N.09 Bukit Lada,40729,36653,2888,760,24,17,1,386
N.10 Bukit Pinang,36791,34260,1962,345,52,44,2,126
N.11 Derga,37738,23117,12437,1722,34,38,5,385
N.12 Suka Menanti,41957,30297,9727,1680,27,24,1,201
N.13 Kota Darul Aman,25829,9187,14615,1755,37,20,1,214
N.14 Alor Mengkudu,38193,27718,9092,1046,25,19,4,289
N.15 Anak Bukit,36491,32371,3442,472,17,12,0,177
N.16 Kubang Rotan,50233,35412,13965,489,19,25,0,323
N.17 Pengkalan Kundor,46235,33320,12093,579,15,29,0,199
N.18 Tokai,45374,41560,3491,110,23,20,2,168
N.19 Sungai Tiang,49414,42334,945,356,14,10,2,5753
N.20 Sungai Limau,34283,32249,1922,24,12,6,1,69
N.21 Guar Chempedak,30085,27027,2750,206,24,13,1,64
N.22 Gurun,40941,25650,8847,6056,33,31,4,320
N.23 Belantek,28165,26198,457,52,49,13,3,1393
N.24 Jeneri,35097,32345,450,38,12,15,2,2235
N.25 Bukit Selambau,79518,48768,13854,15969,122,98,2,705
N.26 Tanjong Dawai,54629,44335,6386,3106,208,341,7,246
N.27 Pantai Merdeka,51502,46921,3115,1216,35,35,4,176
N.28 Bakar Arang,57867,27530,21405,8478,47,30,5,372
N.29 Sidam,60983,30049,18788,11405,77,52,2,610
N.30 Bayu,47613,44254,1703,315,59,39,190,1053
N.31 Kupang,42720,39445,1432,1068,29,20,0,726
N.32 Kuala Ketil,42184,34742,2394,4678,34,16,3,317
N.33 Merbau Pulas,53323,40887,3595,8464,52,56,1,268
N.34 Lunas,82212,44135,19969,17506,58,54,2,488
N.35 Kulim,54169,34337,10509,8945,80,50,5,243
N.36 Bandar Baharu,36164,28919,4809,2301,32,27,2,74
N.01 Pengkalan Kubor,36492,33777,325,33,15,11,0,2331
N.02 Kelaboran,38198,35326,744,98,23,18,8,1981
N.03 Pasir Pekan,39119,37969,938,43,15,9,0,145
N.04 Wakaf Bharu,36439,31620,3462,32,12,11,5,1297
N.05 Kijang,30405,28974,769,20,16,9,1,616
N.06 Chempaka,34641,34158,262,22,33,29,1,136
N.07 Panchor,42768,41375,943,91,73,41,11,234
N.08 Tanjong Mas,45579,41174,3508,192,28,22,2,653
N.09 Kota Lama,33043,21861,10239,498,37,28,1,379
N.10 Bunut Payong,36844,34543,1904,171,16,15,0,195
N.11 Tendong,31768,31080,507,8,14,5,3,151
N.12 Pengkalan Pasir,33007,31455,1304,41,20,9,1,177
N.13 Meranti,29980,29666,32,9,12,5,0,256
N.14 Chetok,29111,27674,1303,11,11,12,1,99
N.15 Gual Periok,36081,34992,423,32,23,11,2,598
N.16 Apam Putra,28834,28207,90,25,32,24,0,456
N.17 Salor,36294,35607,530,28,15,14,0,100
N.18 Pasir Tumboh,37498,36760,451,46,18,23,3,197
N.19 Demit,40561,38960,1280,100,21,15,0,185
N.20 Tawang,43441,42904,366,12,19,17,0,123
N.21 Pantai Irama,40512,39469,584,17,30,19,5,388
N.22 Jelawat,40012,39421,384,22,25,9,2,149
N.23 Melor,28387,27596,442,19,12,21,1,296
N.24 Kadok,21833,21378,312,6,8,14,0,115
N.25 Kok Lanas,35679,34018,881,44,195,382,8,151
N.26 Bukit Panau,50237,45648,3804,78,38,29,3,637
N.27 Gual Ipoh,25718,25064,169,364,14,12,0,95
N.28 Kemahang,23258,22939,51,21,13,15,1,218
N.29 Selising,28725,28459,120,7,15,10,2,112
N.30 Limbongan,35393,34421,684,25,23,19,2,219
N.31 Semerak,26781,26103,115,9,14,11,0,529
N.32 Gaal,22671,22357,67,5,9,10,2,221
N.33 Pulai Chondong,28169,27312,751,12,12,26,2,54
N.34 Temangan,26012,24705,1120,75,12,15,1,84
N.35 Kemuning,35015,33963,832,49,26,16,1,128
N.36 Bukit Bunga,21722,21350,36,21,84,68,2,161
N.37 Air Lanas,22468,21738,51,13,32,20,472,142
N.38 Kuala Balah,15704,15489,14,22,65,45,6,63
N.39 Mengkebang,26843,25755,618,344,7,11,4,104
N.40 Guchil,27785,23929,3064,578,24,21,4,165
N.41 Manek Urai,22611,22364,55,57,13,6,1,115
N.42 Dabong,15255,15048,13,34,12,12,3,133
N.43 Nenggiri,20219,17374,41,6,13,12,2681,92
N.44 Paloh,21162,20579,16,2,9,5,483,68
N.45 Galas,29638,17636,4026,311,49,41,7374,201
N.01 Kuala Besut,26992,26592,150,26,42,45,3,134
N.02 Kota Putera,32792,32379,163,16,20,19,1,194
N.03 Jertih,29088,27936,941,40,22,17,0,132
N.04 Hulu Besut,23846,23547,189,10,17,4,19,60
N.05 Jabi,25192,24951,93,9,27,10,2,100
N.06 Permaisuri,30739,30463,122,9,27,22,1,95
N.07 Langkap,22439,22287,9,7,22,14,1,99
N.08 Batu Rakit,29919,29736,69,12,29,25,4,44
N.09 Tepuh,30448,30044,201,16,16,14,1,156
N.10 Buluh Gading,27845,27330,434,15,13,9,0,44
N.11 Seberang Takir,27733,27444,63,31,70,48,4,73
N.12 Bukit Tunggal,21055,20527,404,29,17,7,1,70
N.13 Wakaf Mempelam,34509,34219,153,33,11,11,1,81
N.14 Bandar,22057,14698,6951,259,15,11,0,123
N.15 Ladang,26250,23438,2341,249,58,38,4,122
N.16 Batu Buruk,40759,39387,987,129,22,19,0,215
N.17 Alur Limbat,36087,34928,968,30,25,28,2,106
N.18 Bukit Payung,28823,28535,83,20,11,19,0,155
N.19 Ru Rendang,32867,32543,125,31,22,11,1,134
N.20 Pengkalan Berangan,35248,33774,1263,24,31,19,2,135
N.21 Telemung,21495,21115,16,3,4,6,285,66
N.22 Manir,20639,20524,59,6,9,7,0,34
N.23 Kuala Berang,21428,21183,136,9,22,16,1,61
N.24 Ajil,24922,24619,157,12,19,13,3,99
N.25 Bukit Besi,18195,18028,34,21,19,10,0,83
N.26 Rantau Abang,33394,32712,157,29,42,20,1,433
N.27 Sura,30206,28106,1826,109,20,16,2,127
N.28 Paka,34839,32857,1574,48,80,55,5,220
N.29 Kemasik,28618,27515,791,88,23,38,7,156
N.30 Kijal,29491,28552,479,55,29,41,5,330
N.31 Cukai,39153,33983,4465,323,70,85,2,225
