date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1957-10-26,BY-ELECTION,Perak,P.011 Sungei Perak Ulu,1,66JRY,Haji Meor Shamsudin bin Haji Meor Yahya,Meor Shamsudin bin Meor Yahya,M,Malay,40,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,12795,69.36463189851459,1,won
1957-10-26,BY-ELECTION,Perak,P.011 Sungei Perak Ulu,2,WKTB4,Md. Sharif bin Babul,Shariff Babul,M,Malay,-1,PR,009-PR,PR,0,ALONE,5651,30.635368101485415,2,lost
1957-11-23,BY-ELECTION,Perak,P.014 Ipoh and Menglembu,1,6ZMJF,D. R. Seenivasagam,Dharma Raja Seenivasagam,M,Indian,32,PPP,006-PPP,PPP,0,ALONE,5911,59.09818036392721,1,won
1957-11-23,BY-ELECTION,Perak,P.014 Ipoh and Menglembu,2,9M8V7,Yap Yin Fah,Yap Yin Fah,M,Chinese,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4091,40.90181963607279,2,lost
1957-12-14,BY-ELECTION,Johor,P.034 Batu Pahat,1,JT7BW,Abdul Ghani bin Hashim,Abdul Ghani bin Hashim,M,Malay,-1,PR,009-PR,PR,0,ALONE,1377,7.183098591549296,3,lost_deposit
1957-12-14,BY-ELECTION,Johor,P.034 Batu Pahat,2,17NS4,Dato' Onn,Onn bin Jaafar,M,Malay,62,NEG,008-NEG,NEG,0,ALONE,5614,29.285341679707876,2,lost
1957-12-14,BY-ELECTION,Johor,P.034 Batu Pahat,3,7WVWJ,Syed Esa bin Alwee,Syed Esa bin Alwee,M,Malay,56,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,12179,63.53155972874283,1,won
1959-11-23,BY-ELECTION,Johor,N.23 Plentong,1,9MJG8,Datin Fatimah binte Hj. A. Majid,Fatimah binti Abdul Majid,F,Malay,40,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3934,70.90843547224225,1,won
1959-11-23,BY-ELECTION,Johor,N.23 Plentong,2,1N30B,Mohd. Zain bin Mohamed,Mohd. Zain bin Mohamed,M,Malay,-1,LPM,005-LPM,LPM,2,SF,1614,29.09156452775775,2,lost
1960-05-18,BY-ELECTION,Perak,P.054 Kampar,1,191SC,Ustaz Abdul Wahab bin Haji Mohd. Noor,Abdul Wahab bin Md. Noor,M,Malay,38,PAS,004-PAS,PAS,0,ALONE,1509,6.816333905501852,3,lost_deposit
1960-05-18,BY-ELECTION,Perak,P.054 Kampar,2,T85KT,Chan Yoon Onn,Chan Yoon Onn,M,Chinese,40,PPP,006-PPP,PPP,0,ALONE,11314,51.106694371668624,1,won
1960-05-18,BY-ELECTION,Perak,P.054 Kampar,3,6EEFB,Liew Whye Hone,Liew Why Hone,M,Chinese,44,PERIKATAN,003-MCA,MCA,1,PERIKATAN,9315,42.076971722829526,2,lost
1960-05-22,BY-ELECTION,Johor,N.14 Sri Lalang,1,D1YXG,Ong Kai Beng,Ong Kai Beng,M,Chinese,-1,PERIKATAN,003-MCA,MCA,1,PERIKATAN,3157,56.526410026857654,1,won
1960-05-22,BY-ELECTION,Johor,N.14 Sri Lalang,2,1N30B,Mohd. Zain bin Mohd.,Mohd. Zain bin Mohamed,M,Malay,-1,LPM,005-LPM,LPM,2,SF,2428,43.473589973142346,2,lost
1960-06-08,BY-ELECTION,Perak,N.01 Grik,1,26M8A,Haji Din bin Haji Jusoh,Din bin Jusoh,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4195,60.95611740773032,1,won
1960-06-08,BY-ELECTION,Perak,N.01 Grik,2,GRWPE,Huin Swee Leong,Huin Swee Leong,M,Malay,-1,PPP,006-PPP,PPP,0,ALONE,1691,24.571345539087474,2,lost
1960-06-08,BY-ELECTION,Perak,N.01 Grik,3,GFMZS,Ahmad Yusof bin Md. Ali,Ahmad Yusof bin Md Ali,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,996,14.472537053182213,3,lost
1960-12-29,BY-ELECTION,Melaka,N.07 Kota Tengah,1,A6EKG,Yeoh Ho Huat,Yeoh Ho Huat,M,Chinese,43,SF,005-LPM,LPM,2,SF,1397,40.504494056248184,2,lost
1960-12-29,BY-ELECTION,Melaka,N.07 Kota Tengah,2,KXB22,Khoo Chua,Khoo Chua Seng,M,Chinese,-1,PERIKATAN,003-MCA,MCA,1,PERIKATAN,1465,42.47608002319513,1,won
1960-12-29,BY-ELECTION,Melaka,N.07 Kota Tengah,3,QB14B,Chen Ju Li,Chen Ju Li,M,Chinese,-1,MP,011-MP,MP,0,ALONE,587,17.01942592055668,3,lost
1961-05-30,BY-ELECTION,Perak,P.056 Telok Anson,1,7JHTP,Mak Fie Hoong,Mak Fie Hong,M,Chinese,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,274,1.3045134260140927,3,lost_deposit
1961-05-30,BY-ELECTION,Perak,P.056 Telok Anson,2,VHS05,Too Joon Hing,Too Joon Hing,M,Chinese,50,BEBAS,000-BEBAS,BEBAS,0,ALONE,11943,56.860597981336895,1,won
1961-05-30,BY-ELECTION,Perak,P.056 Telok Anson,3,M4GRB,Wah Keng Jooi,Wah Keng Jooi,M,Chinese,59,PERIKATAN,003-MCA,MCA,1,PERIKATAN,8787,41.834888592649015,2,lost
1961-06-24,BY-ELECTION,Johor,N.20 Pontian Kechil,1,TRQ6M,Bajuri bin Mohd. Sirat,Bajuri bin Mohd Sirat,M,Malay,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,258,2.970639032815199,4,lost_deposit
1961-06-24,BY-ELECTION,Johor,N.20 Pontian Kechil,2,TQB6C,A. Rahman bin Mohd. Amin,Abdul Rahman bin Mohd. Amin,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4878,56.16580310880829,1,won
1961-06-24,BY-ELECTION,Johor,N.20 Pontian Kechil,3,0G9MW,Ah Tiam,Yeo Lin Thiam (Ah Thiam),M,Chinese,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,3068,35.32527345998849,2,lost
1961-06-24,BY-ELECTION,Johor,N.20 Pontian Kechil,4,HMR09,Hj. Omar bin Hj. Abdullah,Omar bin Abdullah,M,Malay,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,481,5.538284398388026,3,lost_deposit
1962-02-03,BY-ELECTION,Negeri Sembilan,N.11 Gemas,1,Q9N43,Goh Poh Tah,Goh Poh Tah,M,Chinese,-1,PERIKATAN,003-MCA,MCA,1,PERIKATAN,2058,59.79081929110982,1,won
1962-02-03,BY-ELECTION,Negeri Sembilan,N.11 Gemas,2,TNJV1,Tan Beng Soo @ Tan Beng Kiat,Tan Beng Soo,M,Chinese,-1,LPM,005-LPM,LPM,2,SF,1384,40.20918070889018,2,lost
1962-03-19,BY-ELECTION,Terengganu,P.027 Kuala Trengganu Selatan,1,W8T94,Tengku Shahadan bin Tengku Abdul Majid,Tengku Shahadan Majid,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,889,6.653195629396796,3,lost_deposit
1962-03-19,BY-ELECTION,Terengganu,P.027 Kuala Trengganu Selatan,2,S1A7Z,S. Garieb bin Abdul Raouf,Garieb bin Abdul Raouf,M,Malay,-1,NEG,008-NEG,NEG,0,ALONE,5198,38.901362071546174,2,lost
