date,election,state,seat,voters_total,ballots_issued,ballots_not_returned,votes_rejected,votes_valid,majority,n_candidates,voter_turnout,majority_perc,votes_rejected_perc,ballots_not_returned_perc
1957-10-26,BY-ELECTION,Perak,P.011 Sungei Perak Ulu,32376,18795,0,349,18446,7144,2,58.0522609340252,38.72926379702917,1.856876828943868,0.0
1957-11-23,BY-ELECTION,Perak,P.014 Ipoh and Menglembu,16013,10116,0,114,10002,1820,2,63.173671391994,18.19636072785443,1.1269276393831553,0.0
1957-12-14,BY-ELECTION,Johor,P.034 Batu Pahat,28451,19493,0,323,19170,6565,3,68.5142877227514,34.24621804903495,1.6570050787462165,0.0
1959-11-23,BY-ELECTION,Johor,N.05 Plentong,7515,5548,0,0,5548,2320,2,73.82568196939454,41.8168709444845,0.0,0.0
1960-05-18,BY-ELECTION,Perak,P.032 Kampar,28687,22271,0,133,22138,1999,3,77.63446857461568,9.029722648839101,0.5971891697723497,0.0
1960-05-22,BY-ELECTION,Johor,N.15 Sri Lalang,7286,5656,0,71,5585,729,2,77.62832830085095,13.052820053715308,1.2553041018387552,0.0
1960-06-08,BY-ELECTION,Perak,N.17 Grik,9315,6930,0,48,6882,2504,3,74.39613526570048,36.38477186864284,0.6926406926406926,0.0
1960-12-29,BY-ELECTION,Melaka,N.02 Kota Tengah,4191,3477,0,28,3449,68,3,82.96349319971367,1.9715859669469413,0.805291918320391,0.0
1961-05-30,BY-ELECTION,Perak,P.026 Telok Anson,24831,21199,0,195,21004,3156,3,85.37312230679393,15.025709388687869,0.9198547101278363,0.0
1961-06-24,BY-ELECTION,Johor,N.17 Pontian Kechil,10895,8780,0,95,8685,1810,4,80.58742542450665,20.840529648819807,1.082004555808656,0.0
1962-02-03,BY-ELECTION,Negeri Sembilan,N.18 Gemas,4478,3504,0,62,3442,674,2,78.24921840107191,19.58163858221964,1.7694063926940637,0.0
1962-03-19,BY-ELECTION,Terengganu,P.099 Kuala Trengganu Selatan,20441,13615,0,253,13362,2077,3,66.60633041436328,15.54408022751085,1.8582445831803156,0.0
1962-06-02,BY-ELECTION,Kelantan,N.18 Rantau Panjang,5250,4057,0,48,4009,1051,2,77.27619047619048,26.216013968570717,1.1831402514173033,0.0
1962-10-20,BY-ELECTION,Pahang,P.053 Lipis,25865,19377,0,322,19055,8493,3,74.91590953025323,44.57097874573603,1.661763946947412,0.0
1963-01-12,BY-ELECTION,Selangor,N.21 Port Swettenham,12563,8725,0,190,8535,3391,3,69.44997214041231,39.73052138254247,2.177650429799427,0.0
1963-03-30,BY-ELECTION,Pahang,N.23 Pahang Tua,6571,5229,0,107,5122,3291,3,79.57692893014762,64.25224521671223,2.0462803595333714,0.0
1963-09-07,BY-ELECTION,Selangor,N.23 Telok Datoh,10249,7527,0,404,7123,1780,3,73.44131134744853,24.98947072862558,5.367344227447854,0.0
1963-12-14,BY-ELECTION,Pulau Pinang,N.23 Balik Pulau,6577,5238,0,56,5182,31,3,79.64117378744108,0.5982246236974141,1.069110347460863,0.0
1963-12-28,BY-ELECTION,Johor,P.069 Muar Selatan,28877,20342,0,641,19701,14507,2,70.44360563770475,73.63585604791635,3.1511159178055257,0.0
1964-06-27,BY-ELECTION,Kelantan,P.019 Bachok,26274,21060,0,499,20561,3239,2,80.15528659511304,15.753124848013227,2.369420702754036,0.0
1964-09-26,BY-ELECTION,Pahang,N.21 Jelai,5712,4223,0,113,4110,2566,2,73.93207282913166,62.433090024330895,2.6758228747336017,0.0
1964-10-10,BY-ELECTION,Kelantan,N.02 Tumpat Tengah,9154,7327,0,96,7231,1743,2,80.0415119073629,24.10454985479187,1.310222464856012,0.0
1964-10-31,BY-ELECTION,Pulau Pinang,P.033 Seberang Selatan,21198,16781,0,187,16594,2002,2,79.16312859703746,12.064601663251779,1.114355521125082,0.0
1965-08-19,BY-ELECTION,Kedah,N.01 Jitra,15248,10986,0,194,10792,3802,2,72.04879328436516,35.22979985174203,1.7658838521754963,0.0
1965-11-06,BY-ELECTION,Pulau Pinang,N.11 Ayer Itam,10237,8023,0,41,7982,153,3,78.37257008889324,1.9168128288649462,0.5110307864888446,0.0
1965-12-11,BY-ELECTION,Negeri Sembilan,N.07 Rahang,9965,6914,0,69,6845,1538,3,69.38283993978926,22.468955441928415,0.9979751229389645,0.0
