date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1955-07-25,GE-00,Pulau Pinang,P.001 Wellesley North,1,F0G2M,Hashim Awang,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,0,,1,won_uncontested
1955-07-25,GE-00,Pulau Pinang,P.002 Wellesley South,1,JE64X,Tay Hooi Soo,PERIKATAN,003-MCA,MCA,1,PERIKATAN,15697,81.67013527575442,1,won
1955-07-25,GE-00,Pulau Pinang,P.002 Wellesley South,2,NVW76,Haji Zabidi Bin Haji Ali,PAS,004-PAS,PAS,0,ALONE,3523,18.329864724245578,2,lost
1955-07-25,GE-00,Pulau Pinang,P.003 George Town,1,S9J9F,Chee Swee Ee,PERIKATAN,003-MCA,MCA,1,PERIKATAN,7253,70.19938056523422,1,won
1955-07-25,GE-00,Pulau Pinang,P.003 George Town,2,WQ8BR,Ooi Thiam Siew,LPM,005-LPM,LPM,0,ALONE,2650,25.648470770421987,2,lost
1955-07-25,GE-00,Pulau Pinang,P.003 George Town,3,04YE1,Cheah Phee Aik,BEBAS,000-BEBAS,BEBAS,0,ALONE,429,4.152148664343787,3,lost_deposit
1955-07-25,GE-00,Pulau Pinang,P.004 Penang Island,1,3JMGA,Zainul Abidin Bin Sultan Mydin,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,14865,83.55817875210792,1,won
1955-07-25,GE-00,Pulau Pinang,P.004 Penang Island,2,70AJK,Md. Isa Bin Sulaiman,BEBAS,000-BEBAS,BEBAS,0,ALONE,2925,16.441821247892076,2,lost
1955-07-25,GE-00,Melaka,P.005 Malacca Central,1,AE0MW,Tan Siew Sin,PERIKATAN,003-MCA,MCA,1,PERIKATAN,17104,84.26445955266529,1,won
1955-07-25,GE-00,Melaka,P.005 Malacca Central,2,DVPQ5,Abdul Karim Bin Bakar,BEBAS,000-BEBAS,BEBAS,0,ALONE,3194,15.735540447334712,2,lost
1955-07-25,GE-00,Melaka,P.006 Malacca Luar,1,H9CSE,Abdul Ghafar Bin Baba,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,26790,90.47313498362095,1,won
1955-07-25,GE-00,Melaka,P.006 Malacca Luar,2,MQ2VQ,Jaafar Bin Mohd. Tan,NEG,008-NEG,NEG,0,ALONE,2821,9.526865016379048,2,lost_deposit
1955-07-25,GE-00,Perak,P.007 Krian,1,R4RY0,Haji Ahmad Bin Haji Hussain,PAS,004-PAS,PAS,0,ALONE,8685,42.92068198665678,1,won
1955-07-25,GE-00,Perak,P.007 Krian,2,VJF09,Haji Sulaiman Bin Haji Ahmad,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,8235,40.69681245366938,2,lost
1955-07-25,GE-00,Perak,P.007 Krian,3,Z052J,Mohamed Jan Bin Ngah Mohamed,NAP,007-NAP,NAP,0,ALONE,3315,16.38250555967383,3,lost
1955-07-25,GE-00,Perak,P.008 Batang Padang,1,2DV4V,Abdul Hamid Khan Bin Haji Sakhawat Ali Khan,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,9170,82.21265913573606,1,won
1955-07-25,GE-00,Perak,P.008 Batang Padang,2,5VH74,Mohamed Shamshuddin Bin Haji Hamzah,NAP,007-NAP,NAP,0,ALONE,1218,10.919849381387843,2,lost_deposit
1955-07-25,GE-00,Perak,P.008 Batang Padang,3,9979D,Abdul Majid Bin Ariffin,PML,010-PML,PML,0,ALONE,766,6.867491482876098,3,lost_deposit
1955-07-25,GE-00,Perak,P.009 Larut and Matang,1,CPXBP,Dr Cheah Khay Chuan,PERIKATAN,003-MCA,MCA,1,PERIKATAN,15407,64.0410674204007,1,won
1955-07-25,GE-00,Perak,P.009 Larut and Matang,2,G4KDZ,Abu Bakar Bin Said,PML,010-PML,PML,0,ALONE,4453,18.509435530800566,2,lost
1955-07-25,GE-00,Perak,P.009 Larut and Matang,3,KJ9G8,Wan Zarazillah Bin Wan Haji Ismail,NAP,007-NAP,NAP,0,ALONE,3437,14.286308088785434,3,lost
1955-07-25,GE-00,Perak,P.009 Larut and Matang,4,PZZJH,Dr Puran Singh,LPOM,005-LPM,LPM,0,ALONE,761,3.1631889600133007,4,lost_deposit
1955-07-25,GE-00,Perak,P.010 Dindings,1,TDNMT,Haji Mior Ariff Bin Mior Alwi,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,10511,78.8108270225688,1,won
1955-07-25,GE-00,Perak,P.010 Dindings,2,XVBQ3,Mohd. Yunus Bin Mahmood,NAP,007-NAP,NAP,0,ALONE,1629,12.21414111119442,2,lost_deposit
1955-07-25,GE-00,Perak,P.010 Dindings,3,191SC,Abdul Wahab Bin Haji Md. Noor,PAS,004-PAS,PAS,0,ALONE,1197,8.975031866236785,3,lost_deposit
1955-07-25,GE-00,Perak,P.011 Sungei Perak Ulu,1,4PQVN,Mohamed Ghazali Bin Jawi,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,16781,71.48455804046858,1,won
1955-07-25,GE-00,Perak,P.011 Sungei Perak Ulu,2,84DXY,Mat Judin Bin Haji Ahmad,BEBAS,000-BEBAS,BEBAS,0,ALONE,4595,19.57401490947817,2,lost
1955-07-25,GE-00,Perak,P.011 Sungei Perak Ulu,3,BJ407,Syed Nordin Wafa,NAP,007-NAP,NAP,0,ALONE,2099,8.941427050053248,3,lost_deposit
1955-07-25,GE-00,Perak,P.012 Sungei Perak Hilir,1,EZT2G,Abdul Aziz Bin Haji Mat Jabar,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,17483,77.56088904662614,1,won
1955-07-25,GE-00,Perak,P.012 Sungei Perak Hilir,2,JDG4S,Meor Ahmad Bin Meor Yusof,NAP,007-NAP,NAP,0,ALONE,4794,21.26791180515505,2,lost
1955-07-25,GE-00,Perak,P.012 Sungei Perak Hilir,3,NV672,Mohd Daham Bin Khatib,BEBAS,000-BEBAS,BEBAS,0,ALONE,264,1.1711991482188013,3,lost_deposit
1955-07-25,GE-00,Perak,P.013 Telok Anson,1,S8W9B,Bahaman Bin Samsudin,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,10514,73.39103727488482,1,won
1955-07-25,GE-00,Perak,P.013 Telok Anson,2,WPJBM,Haji Hassan Adli Bin Haji Arshad,PAS,004-PAS,PAS,0,ALONE,3812,26.608962725115177,2,lost
1955-07-25,GE-00,Perak,P.014 Ipoh and Menglembu,1,048DX,Leong Yew Koh,PERIKATAN,003-MCA,MCA,1,PERIKATAN,7421,76.89358615687493,1,won
1955-07-25,GE-00,Perak,P.014 Ipoh and Menglembu,2,3HYG6,Loh Ah Kee,NAP,007-NAP,NAP,0,ALONE,983,10.185473007978448,2,lost_deposit
1955-07-25,GE-00,Perak,P.014 Ipoh and Menglembu,3,6ZMJF,D. R. Seenivasagam,PPP,006-PPP,PPP,0,ALONE,808,8.37218941042379,3,lost_deposit
1955-07-25,GE-00,Perak,P.014 Ipoh and Menglembu,4,ADAMR,W. E. Balasingam,BEBAS,000-BEBAS,BEBAS,0,ALONE,439,4.548751424722827,4,lost_deposit
1955-07-25,GE-00,Perak,P.015 Kinta Utara,1,DV0Q1,V. T. Sambantham,PERIKATAN,002-MIC,MIC,1,PERIKATAN,7900,76.67669610792973,1,won
1955-07-25,GE-00,Perak,P.015 Kinta Utara,2,H8PSA,Chik Mohamed Yusuf Bin Sheik Abdul Rahman,NAP,007-NAP,NAP,0,ALONE,1832,17.781228768319906,2,lost
1955-07-25,GE-00,Perak,P.015 Kinta Utara,3,MPCVK,K. R. R. Choudhary,LPOM,005-LPM,LPM,0,ALONE,357,3.465010191206445,3,lost_deposit
1955-07-25,GE-00,Perak,P.015 Kinta Utara,4,R42XW,Mohamed Ramly Bin Abdullah,PML,010-PML,PML,0,ALONE,214,2.077064932543919,4,lost_deposit
1955-07-25,GE-00,Perak,P.016 Kinta Selatan,1,VHS05,Too Joon Hing,PERIKATAN,003-MCA,MCA,1,PERIKATAN,11611,83.09002433090025,1,won
1955-07-25,GE-00,Perak,P.016 Kinta Selatan,2,YZF2E,Mohd Baki Bin Haji Daud,NAP,007-NAP,NAP,0,ALONE,1689,12.086732503220267,2,lost_deposit
1955-07-25,GE-00,Perak,P.016 Kinta Selatan,3,2D54Q,Mohamed Idrid Bin Hakim,BEBAS,000-BEBAS,BEBAS,0,ALONE,401,2.8696149992843853,3,lost_deposit
1955-07-25,GE-00,Perak,P.016 Kinta Selatan,4,5TV70,Zaharie Bin Hassan,PPP,006-PPP,PPP,0,ALONE,273,1.953628166595105,4,lost_deposit
1955-07-25,GE-00,Selangor,P.017 Kuala Lumpur Barat,1,98H99,Ong Yoke Lin,PERIKATAN,003-MCA,MCA,1,PERIKATAN,4667,66.14229024943312,1,won
1955-07-25,GE-00,Selangor,P.017 Kuala Lumpur Barat,2,CP7BJ,Abdullah Bin Ibrahim,NEG,008-NEG,NEG,0,ALONE,1371,19.43027210884354,2,lost
1955-07-25,GE-00,Selangor,P.017 Kuala Lumpur Barat,3,G3XDV,Tan Tuan Boon,LPOM,005-LPM,LPM,0,ALONE,1018,14.427437641723357,3,lost
1955-07-25,GE-00,Selangor,P.018 Kuala Lumpur Timor,1,KHKG4,Cheah Ewe Keat,PERIKATAN,003-MCA,MCA,1,PERIKATAN,6790,66.41236306729265,1,won
1955-07-25,GE-00,Selangor,P.018 Kuala Lumpur Timor,2,PZ9JD,Mohd. Salleh Bin Hakim,NEG,008-NEG,NEG,0,ALONE,2431,23.77738654147105,2,lost
1955-07-25,GE-00,Selangor,P.018 Kuala Lumpur Timor,3,TCZMP,Abdul Wahab Bin Abdul Majid,BEBAS,000-BEBAS,BEBAS,0,ALONE,1003,9.810250391236307,3,lost_deposit
1955-07-25,GE-00,Selangor,P.019 Ulu Selangor,1,XTNPZ,Halimahton Binti Abdul Majid,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,5430,82.39757207890743,1,won
1955-07-25,GE-00,Selangor,P.019 Ulu Selangor,2,18BS8,Ab. Rahman Bin Haji Maulana,NEG,008-NEG,NEG,0,ALONE,1160,17.602427921092563,2,lost
1955-07-25,GE-00,Selangor,P.020 Kuala Selangor,1,4P1VH,Raja Rastam Shahrome Bin Raja Said Tauphy,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,11857,68.1789431315048,1,won
1955-07-25,GE-00,Selangor,P.020 Kuala Selangor,2,83QXT,Othman Bin Abdullah,PAS,004-PAS,PAS,0,ALONE,4778,27.473980794663905,2,lost
1955-07-25,GE-00,Selangor,P.020 Kuala Selangor,3,BHE03,Md. Ambia Bin Sanusi,NEG,008-NEG,NEG,0,ALONE,756,4.347076073831293,3,lost_deposit
1955-07-25,GE-00,Selangor,P.021 Langat,1,EZ42C,Abu Bakar Bin Bagina,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,7069,76.70355902777779,1,won
1955-07-25,GE-00,Selangor,P.021 Langat,2,JCT4N,Mohd. Nazir Bin Hj. Abdul Jalil,NEG,008-NEG,NEG,0,ALONE,2147,23.29644097222222,2,lost
1955-07-25,GE-00,Selangor,P.022 Selangor Barat,1,NTG6Y,Abdul Aziz Bin Ishak,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,8713,73.80770859805168,1,won
1955-07-25,GE-00,Selangor,P.022 Selangor Barat,2,S8697,Mohamed Rashid Bin Ahmad,NEG,008-NEG,NEG,0,ALONE,3092,26.192291401948324,2,lost
1955-07-25,GE-00,Selangor,P.023 Selangor Tengah,1,WNWBG,Lee Eng Teh,PERIKATAN,003-MCA,MCA,1,PERIKATAN,5652,68.91002194586686,1,won
1955-07-25,GE-00,Selangor,P.023 Selangor Tengah,2,03JDS,Zulfikli Mohamed,PAS,004-PAS,PAS,0,ALONE,1711,20.86076566691051,2,lost
1955-07-25,GE-00,Selangor,P.023 Selangor Tengah,3,3H8G2,Atan Chik Bin Lengkeng,NEG,008-NEG,NEG,0,ALONE,839,10.22921238722263,3,lost_deposit
1955-07-25,GE-00,Negeri Sembilan,P.024 Negri Sembilan Utara,1,6YYJB,Mohd. Idrid Bin Mat Sil,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,21155,91.05582576507554,1,won
1955-07-25,GE-00,Negeri Sembilan,P.024 Negri Sembilan Utara,2,ACMMM,Dato Ujang Bin Menuang,NEG,008-NEG,NEG,0,ALONE,1572,6.766237679163259,2,lost_deposit
1955-07-25,GE-00,Negeri Sembilan,P.024 Negri Sembilan Utara,3,DTAPX,Noordin Bin Haji Abdul Samad,BEBAS,000-BEBAS,BEBAS,0,ALONE,506,2.177936555761202,3,lost_deposit
1955-07-25,GE-00,Negeri Sembilan,P.025 Negri Sembilan Selatan,1,H80S6,Abdul Jalil Bin Haji Aminudin,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,12099,77.11772579514309,1,won
1955-07-25,GE-00,Negeri Sembilan,P.025 Negri Sembilan Selatan,2,MNPVF,Baba Bin Ludek,NEG,008-NEG,NEG,0,ALONE,3590,22.882274204856905,2,lost
1955-07-25,GE-00,Negeri Sembilan,P.026 Seremban,1,R3CXR,Lim Kee Siong,PERIKATAN,003-MCA,MCA,1,PERIKATAN,8402,78.46469929025028,1,won
1955-07-25,GE-00,Negeri Sembilan,P.026 Seremban,2,VH301,B. H. Tan,NEG,008-NEG,NEG,0,ALONE,2306,21.53530070974972,2,lost
1955-07-25,GE-00,Pahang,P.027 Ulu Pahang,1,YYS2A,Mohamed Sulong Bin Mohamed Ali,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,16075,89.38003892132332,1,won
1955-07-25,GE-00,Pahang,P.027 Ulu Pahang,2,2CF4K,Abd. Hamid Bin Ma'Ajab,BEBAS,000-BEBAS,BEBAS,0,ALONE,1910,10.619961078676674,2,lost_deposit
1955-07-25,GE-00,Pahang,P.028 Semantan,1,5T56W,Dato Abdul Razak Bin Hussain,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,14094,87.5784502578761,1,won
1955-07-25,GE-00,Pahang,P.028 Semantan,2,97V95,Mohamed Yasin Bin Mohd. Salleh,PAS,004-PAS,PAS,0,ALONE,1999,12.421549742123904,2,lost_deposit
1955-07-25,GE-00,Pahang,P.029 Pahang Timor,1,CNHBE,Abdul Rahman Bin Haji Talib,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,16763,92.62861247720616,1,won
1955-07-25,GE-00,Pahang,P.029 Pahang Timor,2,G37DQ,Sheik Kadir Bin Sheik Omar,BEBAS,000-BEBAS,BEBAS,0,ALONE,1334,7.3713875227938335,2,lost_deposit
1955-07-25,GE-00,Johor,P.030 Johore Timor,1,KGXG0,Dr Ismail Bin Dato Abdul Rahman,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,10800,94.71191791633781,1,won
1955-07-25,GE-00,Johor,P.030 Johore Timor,2,PYKJ9,Jaafar Bin Haji Ali,NEG,008-NEG,NEG,0,ALONE,350,3.0693677102516883,2,lost_deposit
1955-07-25,GE-00,Johor,P.030 Johore Timor,3,TC9MJ,Haji Abdullah Bin Haji Taib,BEBAS,000-BEBAS,BEBAS,0,ALONE,253,2.218714373410506,3,lost_deposit
1955-07-25,GE-00,Johor,P.031 Johore Bahru,1,XSZPV,Suleiman Bin Dato Abdul Rahman,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,8745,75.73395687191478,1,won
1955-07-25,GE-00,Johor,P.031 Johore Bahru,2,17NS4,Dato Onn Bin Jaafar,NEG,008-NEG,NEG,0,ALONE,2802,24.266043128085215,2,lost
1955-07-25,GE-00,Johor,P.032 Johore Selatan,1,4NBVD,Dr L. H. Tan,PERIKATAN,003-MCA,MCA,1,PERIKATAN,21581,90.30084940792503,1,won
1955-07-25,GE-00,Johor,P.032 Johore Selatan,2,831XP,Kassim Bin Awang Chik,NEG,008-NEG,NEG,0,ALONE,2318,9.699150592074982,2,lost_deposit
1955-07-25,GE-00,Johor,P.033 Johore Tengah,1,BGQZZ,Teo Chze Chong,PERIKATAN,003-MCA,MCA,1,PERIKATAN,7100,86.92458374142997,1,won
1955-07-25,GE-00,Johor,P.033 Johore Tengah,2,EYE28,Haji Anwar Bin Haji Abdul Malik,NEG,008-NEG,NEG,0,ALONE,1068,13.07541625857003,2,lost
1955-07-25,GE-00,Johor,P.034 Batu Pahat,1,JC44H,S. Chelvasingam Macintyre,PERIKATAN,002-MIC,MIC,1,PERIKATAN,18968,87.47060179847821,1,won
1955-07-25,GE-00,Johor,P.034 Batu Pahat,2,NST6T,Dato Haji Syed Abdul Kadir Bin Mohamed,NEG,008-NEG,NEG,0,ALONE,2717,12.529398201521788,2,lost
1955-07-25,GE-00,Johor,P.035 Muar Selatan,1,S7G93,Tan Suan Kok,PERIKATAN,003-MCA,MCA,1,PERIKATAN,23580,85.16324761629586,1,won
1955-07-25,GE-00,Johor,P.035 Muar Selatan,2,WN6BC,Dato' Mahmud Bin Md. Shah,NEG,008-NEG,NEG,0,ALONE,4108,14.836752383704132,2,lost
