date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Johor,N.01 Bukit Serampang,1,02WDN,Haji Hassan Bin Haji Yunos,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,5429,76.80011317017966,1,won
1959-05-20,SE-01,Johor,N.01 Bukit Serampang,2,KZ0QB,Haji Abdul Rahman Bin Mahmood,BEBAS,000-BEBAS,BEBAS,0,ALONE,743,10.510680435705192,3,lost_deposit
1959-05-20,SE-01,Johor,N.01 Bukit Serampang,3,QCPSM,Omar Bin Ahmad,NEG,008-NEG,NEG,0,ALONE,897,12.689206394115152,2,lost
1959-05-20,SE-01,Johor,N.02 Jorak,1,TTCVX,Haji Othman Bin Haji Mohd. Saat,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,6396,75.4957507082153,1,won
1959-05-20,SE-01,Johor,N.02 Jorak,2,Y82Y6,Haji Othman Bin Haji Azhari,NEG,008-NEG,NEG,0,ALONE,1742,20.561850802644006,2,lost
1959-05-20,SE-01,Johor,N.02 Jorak,3,1NS0F,Turus Bin Daing Melebeh,PAS,004-PAS,PAS,0,ALONE,334,3.9423984891406985,3,lost_deposit
1959-05-20,SE-01,Johor,N.03 Labis,1,53F2R,Elias Bin Abu Bakar,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4112,83.67928367928369,1,won
1959-05-20,SE-01,Johor,N.03 Labis,2,8H551,Abdul Wahab Bin Mohd. Yassin,NEG,008-NEG,NEG,0,ALONE,802,16.320716320716322,2,lost
1959-05-20,SE-01,Johor,N.04 Bekok,1,BYV7A,Chia Chin Koon,PERIKATAN,003-MCA,MCA,1,PERIKATAN,2985,48.6235543248086,2,lost
1959-05-20,SE-01,Johor,N.04 Bekok,2,FCH9K,Phang Voon Liat,BEBAS,000-BEBAS,BEBAS,0,ALONE,3154,51.3764456751914,1,won
1959-05-20,SE-01,Johor,N.05 Bandar Maharani,1,JT7BW,Abd. Ghani Bin Hasim,SF,009-PR,PR,2,SF,1812,18.934169278996865,2,lost
1959-05-20,SE-01,Johor,N.05 Bandar Maharani,2,P7XE5,Chua Song Lim,PERIKATAN,003-MCA,MCA,1,PERIKATAN,6410,66.98014629049112,1,won
1959-05-20,SE-01,Johor,N.05 Bandar Maharani,3,SNKGE,Nasir Bin Haji Bakar,NEG,008-NEG,NEG,0,ALONE,1348,14.085684430512016,3,lost
1959-05-20,SE-01,Johor,N.06 Parit Bakar,1,X39JQ,Ali Bin Salleh,PAS,004-PAS,PAS,0,ALONE,291,4.11656528504739,3,lost_deposit
1959-05-20,SE-01,Johor,N.06 Parit Bakar,2,0GZN0,Kosai Bin Haji Mohd. Salleh,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4874,68.94893195642948,1,won
1959-05-20,SE-01,Johor,N.06 Parit Bakar,3,3YNQ9,Mohamed Bin Junid,NEG,008-NEG,NEG,0,ALONE,1904,26.934502758523127,2,lost
1959-05-20,SE-01,Johor,N.07 Parit Jawa,1,7CBSJ,Twahir Bin Demangnatir,PAS,004-PAS,PAS,0,ALONE,1532,15.19238397461325,2,lost
1959-05-20,SE-01,Johor,N.07 Parit Jawa,2,AT1VV,Suleiman Bin Ninam Shah,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,8552,84.80761602538675,1,won
1959-05-20,SE-01,Johor,N.08 Simpang Kiri,1,E7QY4,Tan Chin Cheong,PERIKATAN,003-MCA,MCA,1,PERIKATAN,6370,67.69394261424017,1,won
1959-05-20,SE-01,Johor,N.08 Simpang Kiri,2,HNE0D,Haji Mahfoz Bin Haji Ali,NEG,008-NEG,NEG,0,ALONE,3040,32.30605738575983,2,lost
1959-05-20,SE-01,Johor,N.09 Broleh,1,N342P,Abdul Wahid Bin Suleiman,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,5384,55.94347464671654,1,won
1959-05-20,SE-01,Johor,N.09 Broleh,2,RGT4Z,Hj. Ahmad Bin H. Mohd. Paiman,NEG,008-NEG,NEG,0,ALONE,1998,20.76059850374065,3,lost
1959-05-20,SE-01,Johor,N.09 Broleh,3,VYG78,Abd. Manap Bin Jamhari,SF,009-PR,PR,2,SF,2242,23.29592684954281,2,lost
1959-05-20,SE-01,Johor,N.10 Bandar Penggaram,1,ZC69H,Wook Bin Ibrahim,NEG,008-NEG,NEG,0,ALONE,1233,21.620199894792215,2,lost
1959-05-20,SE-01,Johor,N.10 Bandar Penggaram,2,2SWBT,Tan Peng Khoon,PERIKATAN,003-MCA,MCA,1,PERIKATAN,4470,78.37980010520779,1,won
1959-05-20,SE-01,Johor,N.11 Tanjong Sembrong,1,67JE3,Haji Mohamed Noor Bin Juma'At,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,5739,68.84596928982725,1,won
1959-05-20,SE-01,Johor,N.11 Tanjong Sembrong,2,9N8GC,Haji Abdul Hamid Bin Haji Abdul Karim,NEG,008-NEG,NEG,0,ALONE,2009,24.10028790786948,2,lost
1959-05-20,SE-01,Johor,N.11 Tanjong Sembrong,3,D2YJN,Jalailani Bin Haji Abdullah,PAS,004-PAS,PAS,0,ALONE,588,7.053742802303263,3,lost_deposit
1959-05-20,SE-01,Johor,N.12 Ayer Hitam,1,GGMMY,Haji Hassan Bin Haji Noor,NEG,008-NEG,NEG,0,ALONE,2041,24.40803635493901,2,lost
1959-05-20,SE-01,Johor,N.12 Ayer Hitam,2,KYAQ7,Noddin Bin Haji Hashim,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,6005,71.81296340588375,1,won
1959-05-20,SE-01,Johor,N.12 Ayer Hitam,3,QC0SG,Hashim Bin Irrakal,PAS,004-PAS,PAS,0,ALONE,316,3.7790002391772304,3,lost_deposit
1959-05-20,SE-01,Johor,N.13 Gunong Lambak,1,WF0A8,Lee Ah Leng,SF,005-LPM,LPM,2,SF,2615,50.87548638132296,1,won
1959-05-20,SE-01,Johor,N.13 Gunong Lambak,2,TSPVS,Woo See Tiam,PERIKATAN,003-MCA,MCA,1,PERIKATAN,2525,49.12451361867704,2,lost
1959-05-20,SE-01,Johor,N.14 Sri Lalang,1,Y7CY2,Cheong Soo Kheng,PERIKATAN,003-MCA,MCA,1,PERIKATAN,2595,52.53036437246964,1,won
1959-05-20,SE-01,Johor,N.14 Sri Lalang,2,1N30B,Mohd. Zain Bin Mohamed,SF,009-PR,PR,2,SF,2345,47.469635627530366,2,lost
1959-05-20,SE-01,Johor,N.15 Kota Tinggi,1,52S2M,Ismail Bin Sa'Adon,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2212,57.86031912110907,1,won
1959-05-20,SE-01,Johor,N.15 Kota Tinggi,2,8GF4X,P. Subramaniam,SF,005-LPM,LPM,2,SF,974,25.477373790217108,2,lost
1959-05-20,SE-01,Johor,N.15 Kota Tinggi,3,BY576,Ma'On Bin Omar,NEG,008-NEG,NEG,0,ALONE,637,16.662307088673817,3,lost
1959-05-20,SE-01,Johor,N.16 Johore Lama,1,FBV9F,Lee Yeak Khim,PERIKATAN,003-MCA,MCA,1,PERIKATAN,2722,69.97429305912597,1,won
1959-05-20,SE-01,Johor,N.16 Johore Lama,2,JSHBR,Syed Abu Bakar Bin Ja'Afar,NEG,008-NEG,NEG,0,ALONE,1168,30.025706940874038,2,lost
