date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Kedah,N.01 Jitra,1,QVTWC,Lebai Isa Bin Haji Muhammad,Isa bin Mahamad,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,1714,21.476005513093597,2,lost
1959-05-20,SE-01,Kedah,N.01 Jitra,2,V9GYN,Haji Omar Bin Haji Salleh,Omar bin Salleh,M,Malay,49,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,6267,78.5239944869064,1,won
1959-05-20,SE-01,Kedah,N.02 Padang Terap,1,VGCZX,Syed Ahmad Bin Syed Mahmud Shahbudin,Syed Ahmad bin Syed Mahmud Shahabudin,M,Malay,34,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,5953,67.87139436780298,1,won
1959-05-20,SE-01,Kedah,N.02 Padang Terap,2,YQ70Y,Haji Ibrahim Bin Haji Hashim,Ibrahim bin Hashim,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,2818,32.12860563219701,2,lost
1959-05-20,SE-01,Kedah,N.03 Jerlun-Kodiang,1,24X37,Haji Shaari Bin Lebai Hamzah,Shaari bin Hamzah,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,2073,28.883934791695694,2,lost
1959-05-20,SE-01,Kedah,N.03 Jerlun-Kodiang,2,5JK5G,Yahaya Bin Haji Abd. Jalil,Yahaya bin Abd. Jalil,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,5104,71.1160652083043,1,won
1959-05-20,SE-01,Kedah,N.04 Tunjang,1,9097S,Lebai Ahmad Bin Osman,Ahmad bin Osman,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,2435,36.28912071535023,2,lost
1959-05-20,SE-01,Kedah,N.04 Tunjang,2,CDZA2,Mustafa Bin Ahmad,Mustafa bin Ahmad,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4275,63.71087928464978,1,won
1959-05-20,SE-01,Kedah,N.05 Langgar-Limbong,1,FVNCB,Haji Omar Bin Haji Ahmad,Omar bin Ahmad,M,Malay,-1,PAS,001-UMNO,UMNO,1,PERIKATAN,4780,61.43958868894601,1,won
1959-05-20,SE-01,Kedah,N.05 Langgar-Limbong,2,K9BEM,Abu Bakar Bin Omar,Abu Bakar bin Umar,M,Malay,32,PERIKATAN,004-PAS,PAS,0,ALONE,3000,38.56041131105398,2,lost
1959-05-20,SE-01,Kedah,N.06 Pokok Sena,1,PQ1GX,Johari Bin Haji Salleh,Johari bin Salleh,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3858,62.80319062347387,1,won
1959-05-20,SE-01,Kedah,N.06 Pokok Sena,2,T4QK6,Abd. Majid Bin Abd. Rahman,Abd. Majid bin Abd. Rahman,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,2285,37.19680937652613,2,lost
1959-05-20,SE-01,Kedah,N.07 Alor Star Pekan,1,XJDNF,Ng Hore Jin,Ng Hore Jin,M,Chinese,-1,SF,005-LPM,LPM,2,SF,843,9.951599575020659,2,lost_deposit
1959-05-20,SE-01,Kedah,N.07 Alor Star Pekan,2,103QR,Shaik Osman Bin Ibrahim,Shaik Osman bin Ibrahim,M,Malay,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,296,3.4942745838743945,4,lost_deposit
1959-05-20,SE-01,Kedah,N.07 Alor Star Pekan,3,4DST1,Haji Laidin Bin Haji Abd. Manan,Laidin bin Abd. Manan,M,Malay,-1,NEG,008-NEG,NEG,0,ALONE,141,1.664502420021249,5,lost_deposit
