date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Melaka,N.01 Tanjong Kling,1,H9CSE,Abdul Ghafar Bin Baba,Abdul Ghafar bin Baba,M,Malay,34,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3247,86.5405117270789,1,won
1959-05-20,SE-01,Melaka,N.01 Tanjong Kling,2,AVDW3,Mohd Nor Bin Noordin,Mohd Nor bin Noordin,M,Malay,30,PAS,004-PAS,PAS,0,ALONE,505,13.459488272921108,2,lost
1959-05-20,SE-01,Melaka,N.02 Bukit Rambai,1,MFGTB,Hassan Bin Mansor,Hassan bin Mansor,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2295,78.16757493188011,1,won
1959-05-20,SE-01,Melaka,N.02 Bukit Rambai,2,E93YC,Azhari Bin Yusoff,Azhari bin Yusoff,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,641,21.83242506811989,2,lost
1959-05-20,SE-01,Melaka,N.03 Batu Berendam,1,HPT0N,Mohd. Bin H. Abd. Rahman,Mohd bin Abd. Rahman,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2407,60.190047511877964,1,won
1959-05-20,SE-01,Melaka,N.03 Batu Berendam,2,N4G2Y,Hasnul Bin Abdul Hadi,Hasnul bin Abdul Hadi,M,Malay,32,SF,009-PR,PR,2,SF,1592,39.80995248812203,2,lost
1959-05-20,SE-01,Melaka,N.04 Semabok,1,RJ657,Bulat Bin Mohamed,Bulat bin Mohamed,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2782,73.46184314761025,1,won
1959-05-20,SE-01,Melaka,N.04 Semabok,2,VZW7G,Othman Bin Hujang,Othman bin Hujang,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,1005,26.538156852389754,2,lost
1959-05-20,SE-01,Melaka,N.05 Kandang,1,ZDJ9S,Tawy Bin Hj. Abd. Hamid,Tawy bin Abd. Hamid,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2847,71.44291091593476,1,won
1959-05-20,SE-01,Melaka,N.05 Kandang,2,2V8C2,Haji Md. Nor Bin Hj. Hasan,Md. Nor bin Hasan,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,1138,28.557089084065247,2,lost
1959-05-20,SE-01,Melaka,N.06 Kota Selatan,1,68YEB,Liew Siat Yee (Miss),Liew Siat Yee,F,Chinese,-1,SF,005-LPM,LPM,2,SF,607,13.94120349104272,3,lost
1959-05-20,SE-01,Melaka,N.06 Kota Selatan,2,3B2EY,Tan Kee Gak,Tan Kee Gak,M,Chinese,37,MP,011-MP,MP,0,ALONE,1746,40.10105649977033,2,lost
1959-05-20,SE-01,Melaka,N.06 Kota Selatan,3,9PMGM,Goh Joon Hoe,Goh Joon Hoe,M,Chinese,-1,PERIKATAN,003-MCA,MCA,1,PERIKATAN,2001,45.957740009186956,1,won
1959-05-20,SE-01,Melaka,N.07 Kota Tengah,1,D4AJX,Goh Chee Yan,Goh Chee Yan,M,Chinese,-1,PERIKATAN,003-MCA,MCA,1,PERIKATAN,1268,45.39921231650555,1,won
1959-05-20,SE-01,Melaka,N.07 Kota Tengah,2,QX6WM,Chung Cheng Wen,Chung Cheng Wen,M,Chinese,27,SF,005-LPM,LPM,2,SF,1000,35.80379520229145,2,lost
1959-05-20,SE-01,Melaka,N.07 Kota Tengah,3,GJ0N6,Hashim Bin Haji Abdul Ghani,Hashim bin Abdul Ghani,M,Malay,61,MP,011-MP,MP,0,ALONE,525,18.796992481203006,3,lost
1959-05-20,SE-01,Melaka,N.08 Kota Barat,1,KZPQF,Siew Mun Fook,Siew Mun Fook,M,Chinese,-1,MP,011-MP,MP,0,ALONE,757,24.79528332787422,2,lost
1959-05-20,SE-01,Melaka,N.08 Kota Barat,2,QDCSR,Teo Thiam Hock,Teo Thiam Hock,M,Chinese,-1,SF,005-LPM,LPM,2,SF,529,17.327219128725844,3,lost
1959-05-20,SE-01,Melaka,N.08 Kota Barat,3,TV2W1,Tamby Kadir Bin Abu Bakar,Tamby Kadir bin Abu Bakar,M,Malay,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,178,5.830330822142155,4,lost_deposit
1959-05-20,SE-01,Melaka,N.08 Kota Barat,4,Y8RYA,Goh Kay Seng,Goh Kay Seng,M,Chinese,62,PERIKATAN,003-MCA,MCA,1,PERIKATAN,1589,52.047166721257774,1,won
1959-05-20,SE-01,Melaka,N.09 Kota Utara,1,DVPQ5,Karim Bakar,Abdul Karim bin Bakar,M,Malay,37,SF,009-PR,PR,2,SF,348,13.446676970633694,3,lost
1959-05-20,SE-01,Melaka,N.09 Kota Utara,2,1PF0K,Tan Cheng Swee,Tan Cheng Swee,M,Chinese,39,PERIKATAN,003-MCA,MCA,1,PERIKATAN,1645,63.56259659969088,1,won
1959-05-20,SE-01,Melaka,N.09 Kota Utara,3,5452W,Dossan Frank Christa,Dossan Frank Christa,M,Other,-1,MP,011-MP,MP,0,ALONE,595,22.990726429675426,2,lost
1959-05-20,SE-01,Melaka,N.10 Kota Timor,1,8HV55,Lim Yeow Koon,Lim Yeow Koon,M,Chinese,-1,PERIKATAN,003-MCA,MCA,1,PERIKATAN,1394,44.40904746734629,1,won
1959-05-20,SE-01,Melaka,N.10 Kota Timor,2,BZH7E,Too Yeng Jong,Too Yeng Jong,M,Chinese,-1,SF,005-LPM,LPM,2,SF,315,10.035043007327173,3,lost_deposit
