date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Negeri Sembilan,N.01 Sri Menanti,1,SRBGY,Abdul Samad Bin Idris,Abdul Samad bin Idris,M,Malay,36,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2965,60.93300452116728,1,won
1959-05-20,SE-01,Negeri Sembilan,N.01 Sri Menanti,2,X61K7,Jallam Bin Othman,Jallam bin Othman,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,1228,25.236333744348542,2,lost
1959-05-20,SE-01,Negeri Sembilan,N.01 Sri Menanti,3,0KQNG,Raja Harun Bin Raja Tachik,Raja Harun bin Raja Tachik,M,Malay,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,673,13.830661734484176,3,lost
1959-05-20,SE-01,Negeri Sembilan,N.02 Johol,1,41DQS,Abu Kasim Bin Saad,Abu Kasim bin Saad,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2392,58.97435897435898,1,won
1959-05-20,SE-01,Negeri Sembilan,N.02 Johol,2,7F3T2,Gan Eng Kwee,Gan Eng Kwee,M,Chinese,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,1227,30.251479289940832,2,lost
1959-05-20,SE-01,Negeri Sembilan,N.02 Johol,3,AWSWB,A. Ghani Bin A. Samad,A. Ghani bin A. Samad,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,437,10.774161735700197,3,lost_deposit
1959-05-20,SE-01,Negeri Sembilan,N.03 Ulu Muar,1,EAFYM,Ariffin Bin Ali,Ariffin bin Ali,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3518,75.81896551724138,1,won
1959-05-20,SE-01,Negeri Sembilan,N.03 Ulu Muar,2,HR60X,Abdul Aziz Bin Haji Mohd. Yunus,Abdul Aziz bin Mohd Yunus,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,1122,24.18103448275862,2,lost
1959-05-20,SE-01,Negeri Sembilan,N.04 Pilah,1,6YYJB,Mohamed Idis Bin Matsil,Mohd Idris bin Mat Sil,M,Malay,46,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2328,54.3037088873338,1,won
1959-05-20,SE-01,Negeri Sembilan,N.04 Pilah,2,N5W36,Kok Leong Yin,Kok Leong Yin,M,Chinese,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,1260,29.391182645206438,2,lost
