date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Perak,N.01 Grik,1,DB6M5,Mohamed Ghazali Bin Haji,Mohamed Ghazali bin Mohamad,M,Malay,-1,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4607,71.63738143368062,1,won
1959-05-20,SE-01,Perak,N.01 Grik,2,GRWPE,Huin Swee Leong,Huin Swee Leong,M,Malay,-1,PPP,006-PPP,PPP,0,ALONE,1073,16.68480796143679,2,lost
1959-05-20,SE-01,Perak,N.01 Grik,3,M6JRQ,Abu Bin Haji Bakri,Abu bin Bakri,M,Malay,-1,PAS,004-PAS,PAS,0,ALONE,751,11.6778106048826,3,lost_deposit
1959-05-20,SE-01,Perak,N.02 Lenggong,1,QM8V0,Ahmad Bin Said,Ahmad bin Said,M,Malay,40,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,5342,66.29436584760487,1,won
1959-05-20,SE-01,Perak,N.02 Lenggong,2,94D8H,Haji Abdul Samad Bin Hj. Mohd Noh,Abdul Samad bin Mohammad Noh,M,Malay,43,PAS,004-PAS,PAS,0,ALONE,1352,16.778356912385206,2,lost
1959-05-20,SE-01,Perak,N.02 Lenggong,3,V1YX9,Lum Kwok Loon,Lum Kwok Loon,M,Chinese,-1,PPP,006-PPP,PPP,0,ALONE,855,10.610573343261356,3,lost_deposit
1959-05-20,SE-01,Perak,N.02 Lenggong,4,YFMZJ,Shaharuddin Dahalan,Shaharuddin bin Dahalan,M,Malay,-1,SF,009-PR,PR,2,SF,509,6.316703896748573,4,lost_deposit
1959-05-20,SE-01,Perak,N.03 Selama,1,1XB1V,Haji Hussin Bin Haji Yaacob,Hussein bin Yaacob,M,Malay,44,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,6622,75.37848605577689,1,won
1959-05-20,SE-01,Perak,N.03 Selama,2,5B144,Kamarun Bin Mohd. Hassan,Kamarun bin Mohd. Hassan,M,Malay,45,PAS,004-PAS,PAS,0,ALONE,2163,24.621513944223107,2,lost
1959-05-20,SE-01,Perak,N.04 Larut,1,8RQ6D,Kamaruddin Bin Md. Isa,Kamaruddin bin Mohamed Isa,M,Malay,30,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4972,64.5798155604624,1,won
