date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1967-04-08,SE-01,Sabah,N.01 Kudat,1,5Q2B3,O. T. Tsen Kinsung,Tsen Kinsung,M,Chinese,-1,PPKB,022-UPKO,UPKO,1,PERIKATAN,1697,35.141851314972044,2,lost
1967-04-08,SE-01,Sabah,N.01 Kudat,2,94RDC,Wong Loke Khiam,Wong Loke Khiam,M,Chinese,-1,SCA,017-SCA-SBH,SCA,1,PERIKATAN,3132,64.85814868502796,1,won
1967-04-08,SE-01,Sabah,N.02 Bengkoka-Banggi,1,CJEFN,Tun Datu Mustapha Bin Datu Harun,Mustapha bin Harun,M,Bumi Sabah,49,USNO,014-USNO,USNO,1,PERIKATAN,4690,69.69832070144152,1,won
1967-04-08,SE-01,Sabah,N.02 Bengkoka-Banggi,2,G04HY,Richard E. Yapp,Richard E. Yapp,M,Chinese,-1,PPKB,022-UPKO,UPKO,1,PERIKATAN,2039,30.301679298558476,2,lost
1967-04-08,SE-01,Sabah,N.03 Langkon,1,KDTM7,Andrew Matakim,Andrew Matakim,M,Bumi Sabah,-1,PPKB,022-UPKO,UPKO,1,PERIKATAN,3861,63.55555555555556,1,won
1967-04-08,SE-01,Sabah,N.03 Langkon,2,PVGPG,Awang Ali Bin Osman,Awang Ali bin Osman,M,Bumi Sabah,-1,USNO,014-USNO,USNO,1,PERIKATAN,2214,36.44444444444444,2,lost
1967-04-08,SE-01,Sabah,N.04 Tandek,1,T96RS,Herman Luping,Herman Luping,M,Bumi Sabah,-1,PPKB,022-UPKO,UPKO,1,PERIKATAN,2207,76.18225750776666,1,won
1967-04-08,SE-01,Sabah,N.04 Tandek,2,XPWV2,Madina Bin Unggut,Madina bin Unggut,M,Bumi Sabah,33,USNO,014-USNO,USNO,1,PERIKATAN,690,23.817742492233346,2,lost
1967-04-08,SE-01,Sabah,N.05 Usukan,1,14JXB,Mohamed Said Bin Keruak,Mohammad Said bin Keruak,M,Bumi Sabah,42,USNO,014-USNO,USNO,1,PERIKATAN,0,,1,won_uncontested
1967-04-08,SE-01,Sabah,N.06 Sorob,1,4J8ZM,Ismail Bin Gimbad,Ismail bin Gimbad,M,Bumi Sabah,27,PPKB,022-UPKO,UPKO,1,PERIKATAN,3920,52.69525473854013,1,won
1967-04-08,SE-01,Sabah,N.06 Sorob,2,7ZZ1X,Banian Bin Noyoh,Banian bin Noyoh,M,Bumi Sabah,-1,USNO,014-USNO,USNO,1,PERIKATAN,3519,47.30474526145987,2,lost
1967-04-08,SE-01,Sabah,N.07 Sulaman,1,BDN46,Wong John Joenoi,Wong John Joenoi,M,Bumi Sabah,-1,PPKB,022-UPKO,UPKO,1,PERIKATAN,1903,29.066748128914004,2,lost
1967-04-08,SE-01,Sabah,N.07 Sulaman,2,EVB6F,O.K.K. Indan Bin Kari,OKK Indan bin Kari,M,Bumi Sabah,-1,USNO,014-USNO,USNO,1,PERIKATAN,4644,70.93325187108599,1,won
1967-04-08,SE-01,Sabah,N.08 Kiulu,1,J918R,Bernard Bin Giom,Bernard bin Giom,M,Bumi Sabah,-1,USNO,014-USNO,USNO,1,PERIKATAN,631,12.843476490942399,2,lost
1967-04-08,SE-01,Sabah,N.08 Kiulu,2,NPQB1,Payar Juman,Payar Juman,M,Bumi Sabah,-1,PPKB,022-UPKO,UPKO,1,PERIKATAN,4260,86.70873193568085,1,won
1967-04-08,SE-01,Sabah,N.08 Kiulu,3,S4DDA,O.K.K. Nonon Bin Anad,OKK Nonon bin Anad,M,Bumi Sabah,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,16,0.3256665988194586,3,lost_deposit
1967-04-08,SE-01,Sabah,N.08 Kiulu,4,WJ3FK,Samin Bin Mindot,Samin bin Mindot,M,Bumi Sabah,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,6,0.12212497455729697,4,lost_deposit
1967-04-08,SE-01,Sabah,N.09 Jesselton Bandar,1,ZZSHW,Kok Fung Chong,Kok Fung Chong,M,Chinese,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,1850,38.73534338358459,2,lost
1967-04-08,SE-01,Sabah,N.09 Jesselton Bandar,2,3DFM5,Dato Pang Tet Tshung,Pang Tet Tshung,M,Chinese,44,PERIKATAN,017-SCA-SBH,SCA,1,PERIKATAN,2870,60.09212730318257,1,won
1967-04-08,SE-01,Sabah,N.09 Jesselton Bandar,3,6V5PE,Ng Peng Khun,Ng Peng Khun,M,Chinese,-1,BEBAS,000-BEBAS,BEBAS,0,ALONE,42,0.8793969849246231,3,lost_deposit
