date,election,state,seat,voters_total,ballots_issued,ballots_not_returned,votes_rejected,votes_valid,majority,n_candidates,voter_turnout,majority_perc,votes_rejected_perc,ballots_not_returned_perc
1967-04-08,SE-01,Sabah,N.01 Kudat,5453,4886,0,57,4829,1435,2,89.60205391527599,29.716297370055912,1.1665984445354072,0.0
1967-04-08,SE-01,Sabah,N.02 Bengkoka-Banggi,7478,6789,0,60,6729,2651,2,90.78630649906391,39.39664140288304,0.8837825894829873,0.0
1967-04-08,SE-01,Sabah,N.03 Langkon,6643,6170,0,95,6075,1647,2,92.87972301670932,27.111111111111114,1.539708265802269,0.0
1967-04-08,SE-01,Sabah,N.04 Tandek,3399,2924,0,27,2897,1517,2,86.02530155928214,52.36451501553331,0.9233926128590971,0.0
1967-04-08,SE-01,Sabah,N.05 Usukan,6070,0,0,0,0,0,1,,,,
1967-04-08,SE-01,Sabah,N.06 Sorob,8215,7645,0,206,7439,401,2,93.06147291539865,5.390509477080252,2.6945716154349246,0.0
1967-04-08,SE-01,Sabah,N.07 Sulaman,7292,6661,0,114,6547,2741,2,91.3466812945694,41.86650374217199,1.7114547365260473,0.0
1967-04-08,SE-01,Sabah,N.08 Kiulu,5789,5060,0,147,4913,3629,4,87.40715149421317,73.86525544473845,2.9051383399209483,0.0
1967-04-08,SE-01,Sabah,N.09 Jesselton Bandar,5679,4882,0,106,4776,1020,4,85.96583905617187,21.35678391959799,2.1712412945514132,0.0
1967-04-08,SE-01,Sabah,N.10 Tanjong Aru,8636,7519,0,124,7395,914,5,87.06577119036592,12.35970250169033,1.6491554728022342,0.0
1967-04-08,SE-01,Sabah,N.11 Moyog,10220,9248,0,187,9061,4819,3,90.48923679060665,53.183975278666814,2.0220588235294117,0.0
1967-04-08,SE-01,Sabah,N.12 Papar,4718,4512,0,92,4420,358,2,95.63374311148792,8.099547511312217,2.039007092198582,0.0
1967-04-08,SE-01,Sabah,N.13 Bongawan,7540,6943,0,193,6750,818,2,92.08222811671088,12.118518518518519,2.7797781938643236,0.0
1967-04-08,SE-01,Sabah,N.14 Kuala Penyu,6532,6174,0,110,6064,514,2,94.51928965094918,8.476253298153035,1.7816650469711692,0.0
1967-04-08,SE-01,Sabah,N.15 Labuan,5854,5031,0,138,4893,2003,2,85.94123676118893,40.936031064786434,2.7429934406678593,0.0
1967-04-08,SE-01,Sabah,N.16 Beaufort,6802,6338,0,230,6108,1120,3,93.17847691855337,18.3366077275704,3.6289050173556325,0.0
1967-04-08,SE-01,Sabah,N.17 Tenom,5306,4569,0,205,4364,752,2,86.1100640784018,17.231897341888175,4.4867585905012035,0.0
1967-04-08,SE-01,Sabah,N.18 Sipitang-Ulu Padas,4897,4354,0,94,4260,1112,2,88.91157851745966,26.103286384976528,2.1589343132751493,0.0
1967-04-08,SE-01,Sabah,N.19 Keningau,4683,4256,0,194,4062,1012,2,90.88191330343797,24.913835548990644,4.55827067669173,0.0
1967-04-08,SE-01,Sabah,N.20 Pensiangan-Sook,6540,5717,0,187,5530,1222,2,87.41590214067278,22.09764918625678,3.270946300507259,0.0
1967-04-08,SE-01,Sabah,N.21 Ranau,7576,6822,0,84,6738,1602,2,90.04751847940867,23.775601068566342,1.2313104661389622,0.0
1967-04-08,SE-01,Sabah,N.22 Tambunan,3917,3586,0,111,3475,2408,5,91.54965534848098,69.29496402877697,3.09537088678193,0.0
1967-04-08,SE-01,Sabah,N.23 Sandakan Bandar,4924,4190,0,46,4144,426,2,85.09341998375305,10.27992277992278,1.097852028639618,0.0
1967-04-08,SE-01,Sabah,N.24 Elopura,4539,3974,0,40,3934,1496,2,87.55232430050673,38.02745297407219,1.0065425264217414,0.0
1967-04-08,SE-01,Sabah,N.25 Sugut,5273,4266,0,100,4166,2427,3,80.90271192869334,58.257321171387424,2.344116268166901,0.0
1967-04-08,SE-01,Sabah,N.26 Labuk,5471,4736,0,44,4692,62,2,86.5655273259002,1.3213981244671782,0.9290540540540541,0.0
1967-04-08,SE-01,Sabah,N.27 Kuala Kinabatangan,6888,5834,0,45,5789,2010,4,84.69802555168408,34.7210226291242,0.7713404182379157,0.0
1967-04-08,SE-01,Sabah,N.28 Lamag,4883,4071,0,72,3999,1375,2,83.37087855826336,34.38359589897475,1.7686072218128224,0.0
1967-04-08,SE-01,Sabah,N.29 Lahad Datu,4760,4012,0,110,3902,474,2,84.28571428571429,12.147616606868272,2.741774675972084,0.0
1967-04-08,SE-01,Sabah,N.30 Semporna,8134,6888,0,366,6522,3670,2,84.6815834767642,56.27108249003373,5.313588850174216,0.0
1967-04-08,SE-01,Sabah,N.31 Merotai,3262,0,0,0,0,0,1,,,,
1967-04-08,SE-01,Sabah,N.32 Balung,5075,4272,0,110,4162,1238,6,84.17733990147784,29.745314752522827,2.5749063670411987,0.0
1971-10-01,SE-02,Sabah,N.01 Kudat,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.02 Bengkoka-Banggi,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.03 Langkon,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.04 Tandek,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.05 Usukan,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.06 Sorob,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.07 Sulaman,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.08 Kiulu,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.09 Jesselton Bandar,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.10 Tanjong Aru,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.11 Moyog,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.12 Papar,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.13 Bongawan,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.14 Kuala Penyu,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.15 Labuan,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.16 Beaufort,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.17 Tenom,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.18 Sipitang-Ulu Padas,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.19 Keningau,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.20 Pensiangan-Sook,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.21 Ranau,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.22 Tambunan,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.23 Sandakan Bandar,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.24 Elopura,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.25 Sugut,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.26 Labuk,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.27 Kuala Kinabatangan,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.28 Lamag,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.29 Lahad Datu,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.30 Semporna,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.31 Merotai,0,0,0,0,0,0,1,,,,
1971-10-01,SE-02,Sabah,N.32 Balung,0,0,0,0,0,0,1,,,,
1976-05-01,SE-03,Sabah,N.01 Banggi,4266,3543,0,48,3495,1617,2,83.0520393811533,46.26609442060086,1.3547840812870449,0.0
1976-05-01,SE-03,Sabah,N.02 Kudat,5837,4784,0,87,4697,1143,2,81.9599109131403,24.334681711730894,1.8185618729096988,0.0
1976-05-01,SE-03,Sabah,N.03 Bengkoka,4478,3402,0,88,3314,617,3,75.97141581062975,18.617984308992156,2.586713697824809,0.0
1976-05-01,SE-03,Sabah,N.04 Matunggong,4205,3673,0,92,3581,993,3,87.34839476813318,27.729684445685564,2.5047644976858154,0.0
1976-05-01,SE-03,Sabah,N.05 Langkon,4095,3290,0,71,3219,467,3,80.34188034188034,14.507611059335195,2.1580547112462005,0.0
1976-05-01,SE-03,Sabah,N.06 Tandek,3997,2879,0,115,2764,334,4,72.02902176632475,12.083936324167873,3.9944425147620697,0.0
1976-05-01,SE-03,Sabah,N.07 Usukan,5928,5235,0,144,5091,2490,3,88.30971659919028,48.909840895698295,2.7507163323782233,0.0
1976-05-01,SE-03,Sabah,N.08 Tempasuk,4639,4005,0,82,3923,288,4,86.33326147876697,7.341320418047413,2.0474406991260925,0.0
1976-05-01,SE-03,Sabah,N.09 Kebayau,4575,4156,0,137,4019,1315,2,90.8415300546448,32.71958198556855,3.296438883541867,0.0
1976-05-01,SE-03,Sabah,N.10 Sugut,3884,2763,0,77,2686,988,2,71.13800205973223,36.78332092330603,2.7868259138617444,0.0
1976-05-01,SE-03,Sabah,N.11 Semawang,4321,3440,0,83,3357,855,3,79.61120111085397,25.46916890080429,2.4127906976744184,0.0
1976-05-01,SE-03,Sabah,N.12 Labuk,2890,2261,0,99,2162,446,2,78.23529411764706,20.62904717853839,4.37859354268023,0.0
1976-05-01,SE-03,Sabah,N.13 Sulaman,6139,5020,0,92,4928,1099,3,81.772275614921,22.301136363636363,1.8326693227091633,0.0
1976-05-01,SE-03,Sabah,N.14 Tamparuli,4998,4185,0,54,4131,1595,4,83.73349339735896,38.61050593076737,1.2903225806451613,0.0
1976-05-01,SE-03,Sabah,N.15 Kiulu,4262,3539,0,92,3447,1111,3,83.0361332707649,32.23092544241369,2.5996044080248657,0.0
1976-05-01,SE-03,Sabah,N.16 Kundasang,4217,3652,0,77,3575,165,3,86.60184965615366,4.615384615384616,2.108433734939759,0.0
1976-05-01,SE-03,Sabah,N.17 Ranau,4767,4054,0,89,3965,74,3,85.04300398573527,1.866330390920555,2.1953626048347314,0.0
1976-05-01,SE-03,Sabah,N.18 Tambunan,4332,3699,0,192,3507,1113,2,85.38781163434903,31.736526946107784,5.190592051905921,0.0
1976-05-01,SE-03,Sabah,N.19 Likas,7335,5560,0,71,5489,2846,3,75.80095432856169,51.84915285115685,1.276978417266187,0.0
1976-05-01,SE-03,Sabah,N.20 Kota Kinabalu,7521,5697,0,89,5608,2798,2,75.74790586358196,49.893009985734665,1.5622257328418467,0.0
1976-05-01,SE-03,Sabah,N.21 Tanjong Aru,7715,6000,0,83,5917,2011,2,77.7705767984446,33.98681764407639,1.3833333333333333,0.0
1976-05-01,SE-03,Sabah,N.22 Inanam,5865,4922,0,193,4729,1275,2,83.92156862745098,26.96130260097272,3.921170255993499,0.0
1976-05-01,SE-03,Sabah,N.23 Moyog,5601,4756,0,128,4628,3412,2,84.91340831994286,73.72515125324114,2.6913372582001682,0.0
1976-05-01,SE-03,Sabah,N.24 Kawang,5204,4610,0,82,4528,16,3,88.58570330514989,0.35335689045936397,1.7787418655097613,0.0
1976-05-01,SE-03,Sabah,N.25 Elopura,7586,5766,0,62,5704,3196,2,76.00843659372528,56.030855539971945,1.0752688172043012,0.0
1976-05-01,SE-03,Sabah,N.26 Bandar Sandakan,6472,4786,0,36,4750,1286,2,73.94932014833128,27.073684210526316,0.7521938988717092,0.0
1976-05-01,SE-03,Sabah,N.27 Karamunting,7143,5420,0,53,5367,1865,2,75.8784824303514,34.74939444754984,0.977859778597786,0.0
1976-05-01,SE-03,Sabah,N.28 Sekong,4085,3224,0,48,3176,330,2,78.92288861689106,10.390428211586903,1.488833746898263,0.0
1976-05-01,SE-03,Sabah,N.29 Kuala Kinabatangan,2905,1886,0,35,1851,731,2,64.92254733218589,39.49216639654241,1.855779427359491,0.0
1976-05-01,SE-03,Sabah,N.30 Kuamut,3466,2355,0,135,2220,458,2,67.94575879976918,20.63063063063063,5.7324840764331215,0.0
1976-05-01,SE-03,Sabah,N.31 Papar,5570,4599,0,73,4526,344,3,82.56732495511669,7.6005302695536905,1.5873015873015872,0.0
