date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Selangor,N.01 Tanjong Karang,1,BHE03,Md. Ambia Bin Sanusi,PAS,004-PAS,PAS,0,ALONE,2587,40.97893236179313,2,lost
1959-05-20,SE-01,Selangor,N.01 Tanjong Karang,2,0N3NR,Raja Rome Bin Raja Ma'Amor,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3726,59.02106763820687,1,won
1959-05-20,SE-01,Selangor,N.02 Kuala Selangor Pekan,1,42SR1,Awang Bin Ahmad,PAS,004-PAS,PAS,0,ALONE,1057,13.87503281701234,3,lost
1959-05-20,SE-01,Selangor,N.02 Kuala Selangor Pekan,2,YSZ1E,N. Manickam,MP,011-MP,MP,0,ALONE,2567,33.69650826988711,2,lost
1959-05-20,SE-01,Selangor,N.02 Kuala Selangor Pekan,3,7GFTA,Tan Siew Kang,PERIKATAN,003-MCA,MCA,1,PERIKATAN,3994,52.42845891310055,1,won
1959-05-20,SE-01,Selangor,N.03 Kepong,1,AY5WK,Chan Keong Hon,PERIKATAN,003-MCA,MCA,1,PERIKATAN,5305,53.688897884829466,1,won
1959-05-20,SE-01,Selangor,N.03 Kepong,2,93189,Ng Ann Teck,SF,005-LPM,LPM,2,SF,4576,46.31110211517053,2,lost
1959-05-20,SE-01,Selangor,N.04 Penchala,1,12VR8,Y. P. Liu,SF,005-LPM,LPM,2,SF,2133,48.12725631768953,2,lost
1959-05-20,SE-01,Selangor,N.04 Penchala,2,EBVYW,Lim Jew Siang,PERIKATAN,003-MCA,MCA,1,PERIKATAN,2299,51.87274368231047,1,won
1959-05-20,SE-01,Selangor,N.05 Jeram,1,HSJ15,Kassim Bin Haji Sirat,PAS,004-PAS,PAS,0,ALONE,1680,29.87728970300551,2,lost
1959-05-20,SE-01,Selangor,N.05 Jeram,2,N783E,Hussain Bin Abdullah,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3943,70.12271029699448,1,won
1959-05-20,SE-01,Selangor,N.06 Sementa,1,RMY5Q,Ahmad Bin Haji Hassan,PAS,004-PAS,PAS,0,ALONE,1008,19.584223819700796,2,lost
1959-05-20,SE-01,Selangor,N.06 Sementa,2,W2M80,Haji Mas'Od Bin Hayati,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4139,80.4157761802992,1,won
1959-05-20,SE-01,Selangor,N.07 Serendah,1,ZGAA9,G. Leo,PERIKATAN,002-MIC,MIC,1,PERIKATAN,2116,36.49534322180062,2,lost
1959-05-20,SE-01,Selangor,N.07 Serendah,2,2Y0CJ,Rajah,BEBAS,000-BEBAS,BEBAS,0,ALONE,3682,63.504656778199376,1,won
1959-05-20,SE-01,Selangor,N.08 Kuang,1,6BPEV,Chong Shih Guan,PERIKATAN,003-MCA,MCA,1,PERIKATAN,3923,72.9860465116279,1,won
1959-05-20,SE-01,Selangor,N.08 Kuang,2,5NB60,Abdullah Bin Mat Junan,PAS,004-PAS,PAS,0,ALONE,1452,27.013953488372096,2,lost
1959-05-20,SE-01,Selangor,N.09 Kajang,1,9SCH4,Mustafa Yunus,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3180,45.90069284064665,1,won
1959-05-20,SE-01,Selangor,N.09 Kajang,2,D72KD,Yahaya Bin Haji Hussain,SF,009-PR,PR,2,SF,2098,30.282909930715935,2,lost
1959-05-20,SE-01,Selangor,N.09 Kajang,3,JCT4N,Mohd. Nazir Bin Haji Abdul Jalil,NEG,008-NEG,NEG,0,ALONE,1650,23.816397228637413,3,lost
1959-05-20,SE-01,Selangor,N.10 Semenyih,1,GMRNP,Dato' Kampo Radjo,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3734,72.97244479187025,1,won
1959-05-20,SE-01,Selangor,N.10 Semenyih,2,M2EQZ,Dato' Dagang Silin,NEG,008-NEG,NEG,0,ALONE,791,15.45827633378933,2,lost
1959-05-20,SE-01,Selangor,N.10 Semenyih,3,QG4T8,Yunus Bin Haji Yatim,PAS,004-PAS,PAS,0,ALONE,592,11.569278874340434,3,lost_deposit
1959-05-20,SE-01,Selangor,N.11 Ampang,1,TXTWH,Mahyeeddin Bin Mohd. Zakaria,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3579,49.27037444933921,1,won
1959-05-20,SE-01,Selangor,N.11 Ampang,2,YBGYT,Mohd. Yusof Bin S. Betuah,SF,009-PR,PR,2,SF,2585,35.58645374449339,2,lost
1959-05-20,SE-01,Selangor,N.11 Ampang,3,1S713,Aziz Bin Abdullah,NEG,008-NEG,NEG,0,ALONE,247,3.400330396475771,4,lost_deposit
1959-05-20,SE-01,Selangor,N.11 Ampang,4,56X3C,Mamat Alias Abdul Samad Bin Md. Salleh,SF,004-PAS,PAS,0,ALONE,853,11.74284140969163,3,lost_deposit
1959-05-20,SE-01,Selangor,N.12 Sentul,1,8MK5N,Abdul Aziz Bin Ismail,PAS,004-PAS,PAS,0,ALONE,848,13.620301959524575,3,lost
1959-05-20,SE-01,Selangor,N.12 Sentul,2,C297Y,Mrs. Devaki Krishnan,PERIKATAN,002-MIC,MIC,1,PERIKATAN,2413,38.756826212656605,2,lost
1959-05-20,SE-01,Selangor,N.12 Sentul,3,A74KM,Nazar Nong,SF,009-PR,PR,2,SF,2965,47.62287182781883,1,won
1959-05-20,SE-01,Selangor,N.13 Pantai,1,FFZA7,Teh Hung Kiat,PERIKATAN,003-MCA,MCA,1,PERIKATAN,4105,48.39660457439283,2,lost
1959-05-20,SE-01,Selangor,N.13 Pantai,2,PSSHD,R. Madhavan,PPP,006-PPP,PPP,0,ALONE,82,0.9667531242631455,3,lost_deposit
1959-05-20,SE-01,Selangor,N.13 Pantai,3,S2P87,V. David,SF,005-LPM,LPM,2,SF,4295,50.636642301344025,1,won
1959-05-20,SE-01,Selangor,N.14 Salak,1,JXNCG,Douglas K. K. Lee,PERIKATAN,003-MCA,MCA,1,PERIKATAN,6291,41.76458872734515,1,won
1959-05-20,SE-01,Selangor,N.14 Salak,2,PBBES,Kong Chee Ken,SF,005-LPM,LPM,2,SF,409,2.715262563898294,4,lost_deposit
1959-05-20,SE-01,Selangor,N.14 Salak,3,SS1H2,Chew Choo Soot,PPP,006-PPP,PPP,0,ALONE,4059,26.946823341963754,3,lost
1959-05-20,SE-01,Selangor,N.14 Salak,4,WGCAG,Koh Pooi Kee,BEBAS,000-BEBAS,BEBAS,0,ALONE,4304,28.5733253667928,2,lost
1959-05-20,SE-01,Selangor,N.15 Bukit Nanas,1,X6QKB,Lee Yoon Thim,PERIKATAN,003-MCA,MCA,1,PERIKATAN,4749,53.3655466906394,1,won
1959-05-20,SE-01,Selangor,N.15 Bukit Nanas,2,0MDNM,Americk Singh Gill,SF,005-LPM,LPM,2,SF,4150,46.6344533093606,2,lost
1959-05-20,SE-01,Selangor,N.16 Kampong Bahru,1,423QX,Abdullah Yassin,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2703,51.62337662337663,1,won
1959-05-20,SE-01,Selangor,N.16 Kampong Bahru,2,7FST6,Kamarudin Bin Abu Hassan,SF,009-PR,PR,2,SF,1447,27.635599694423224,2,lost
1959-05-20,SE-01,Selangor,N.16 Kampong Bahru,3,VBJZ1,Syed Ibrahim Bin Syed Salim,PAS,004-PAS,PAS,0,ALONE,1086,20.74102368220015,3,lost
1959-05-20,SE-01,Selangor,N.17 Serdang,1,H2GR6,K. Karam Singh,SF,009-PR,PR,2,SF,5883,59.562620228814424,1,won
1959-05-20,SE-01,Selangor,N.17 Serdang,2,AXFWF,Chan Chee Hong,PERIKATAN,003-MCA,MCA,1,PERIKATAN,3994,40.43737977118558,2,lost
1959-05-20,SE-01,Selangor,N.18 Bukit Raja,1,EB5YR,Fung Ah Chat,PPP,006-PPP,PPP,0,ALONE,1683,38.38959854014598,2,lost
1959-05-20,SE-01,Selangor,N.18 Bukit Raja,2,HRW11,Murugesu S/O Sundram,PERIKATAN,002-MIC,MIC,1,PERIKATAN,2701,61.61040145985402,1,won
1959-05-20,SE-01,Selangor,N.19 Port Swettenham,1,N6J3A,Abdullah Bin Haji Hassan,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,5001,83.50308899649357,1,won
1959-05-20,SE-01,Selangor,N.19 Port Swettenham,2,RM85K,Shahruddin Bin Gayau Tarwita,PAS,004-PAS,PAS,0,ALONE,988,16.49691100350643,2,lost
1959-05-20,SE-01,Selangor,N.20 Kampong Jawa,1,W1Y7W,Raja Shahrin Bin Raja Othman,PAS,004-PAS,PAS,0,ALONE,960,12.62493424513414,2,lost
1959-05-20,SE-01,Selangor,N.20 Kampong Jawa,2,ZFMA5,Cheong Jin Hoe,PERIKATAN,003-MCA,MCA,1,PERIKATAN,6644,87.37506575486586,1,won
1959-05-20,SE-01,Selangor,N.21 Telok Datoh,1,2XACE,Ali Bin Haji Salleh,PAS,004-PAS,PAS,0,ALONE,2325,33.98625931881304,2,lost
1959-05-20,SE-01,Selangor,N.21 Telok Datoh,2,6B0EQ,Raja Ismail Bin Raja Ibrahim,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4516,66.01374068118696,1,won
1959-05-20,SE-01,Selangor,N.22 Morib,1,9RPH0,Mohd. Tahir Bin Abdul Majid,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4888,68.73857404021938,1,won
1959-05-20,SE-01,Selangor,N.22 Morib,2,D6CK9,Raja Adnan Bin Raja Basok,NEG,008-NEG,NEG,0,ALONE,1054,14.822106595415555,3,lost
1959-05-20,SE-01,Selangor,N.22 Morib,3,GM2NJ,Adni Bin Kusas,PAS,004-PAS,PAS,0,ALONE,1169,16.43931936436507,2,lost
1959-05-20,SE-01,Selangor,N.23 Dengkil,1,5MN5W,Lee Siok Yew,BEBAS,000-BEBAS,BEBAS,0,ALONE,246,5.260906757912745,3,lost_deposit
1959-05-20,SE-01,Selangor,N.23 Dengkil,2,M1RQV,Omar Bin Bujang,PAS,004-PAS,PAS,0,ALONE,621,13.280581693755348,2,lost
1959-05-20,SE-01,Selangor,N.23 Dengkil,3,EZ42C,Abu Bakar Bin Baginda,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3809,81.4585115483319,1,won
1959-05-20,SE-01,Selangor,N.24 Sungei Rawang,1,QFET4,Jayaratnam,PERIKATAN,002-MIC,MIC,1,PERIKATAN,1383,25.18208302986162,2,lost
1959-05-20,SE-01,Selangor,N.24 Sungei Rawang,2,26Z3K,Nadarajah K. V.,PPP,006-PPP,PPP,0,ALONE,1353,24.635833940276765,3,lost
1959-05-20,SE-01,Selangor,N.24 Sungei Rawang,3,YS91A,Lim Tuan Siong,BEBAS,000-BEBAS,BEBAS,0,ALONE,1864,33.94027676620539,1,won
1959-05-20,SE-01,Selangor,N.24 Sungei Rawang,4,TX4WD,Mohd. Shahid Bin Hj. Arshad,PAS,004-PAS,PAS,0,ALONE,892,16.241806263656226,4,lost
1959-05-20,SE-01,Selangor,N.25 Sabak,1,YATYP,Mohd. Janah Bin Sabun,PAS,004-PAS,PAS,0,ALONE,968,14.391911983348201,2,lost
1959-05-20,SE-01,Selangor,N.25 Sabak,2,1RH0Z,Jaafar Bin Haji Ali,BEBAS,000-BEBAS,BEBAS,0,ALONE,380,5.649717514124294,3,lost_deposit
1959-05-20,SE-01,Selangor,N.25 Sabak,3,56738,Haji Mustafa Bin Haji Jabar,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,5378,79.95837050252752,1,won
1959-05-20,SE-01,Selangor,N.26 Sungei Besar,1,8KX5H,Taiban Bin Hassan,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3229,59.61964549483013,1,won
1959-05-20,SE-01,Selangor,N.26 Sungei Besar,2,C1K7T,Haji Abdul Hakim Bin Haji Abdullah,PAS,004-PAS,PAS,0,ALONE,2187,40.38035450516987,2,lost
1959-05-20,SE-01,Selangor,N.27 Ulu Bernam,1,FF9A3,Hj. Nor Bin Haji Yusof,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3392,65.90246745677094,1,won
1959-05-20,SE-01,Selangor,N.27 Ulu Bernam,2,JWZCC,Abdullah Bin Haji Zainal,SF,009-PR,PR,2,SF,1755,34.097532543229065,2,lost
1959-05-20,SE-01,Selangor,N.28 Kuala Kubu,1,PANEN,Wong Swee Soon,PERIKATAN,003-MCA,MCA,1,PERIKATAN,0,,1,won_uncontested
1964-04-25,SE-02,Selangor,N.01 Tanjong Karang,1,GMRNP,Datuk Kampo Radjo,SF,020-NCP,NCP,2,SF,2467,33.49626612355737,2,lost
1964-04-25,SE-02,Selangor,N.01 Tanjong Karang,2,F057B,Hashim Bin Hj. Mahmood,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4898,66.50373387644264,1,won
1964-04-25,SE-02,Selangor,N.02 Kuala Selangor Pekan,1,JDV9M,Haji Norhadi Bin Kasan Ali,PAS,004-PAS,PAS,0,ALONE,852,9.788602941176471,3,lost_deposit
1964-04-25,SE-02,Selangor,N.02 Kuala Selangor Pekan,2,NVHBX,Tan Wei Ming,SF,005-LPM,LPM,2,SF,1745,20.048253676470587,2,lost
1964-04-25,SE-02,Selangor,N.02 Kuala Selangor Pekan,3,S97E6,N. S. Maniam,PERIKATAN,002-MIC,MIC,1,PERIKATAN,6107,70.16314338235294,1,won
1964-04-25,SE-02,Selangor,N.03 Kepong,1,AY5WK,Chan Keong Hon,PERIKATAN,003-MCA,MCA,1,PERIKATAN,7485,49.993320865615814,2,lost
1964-04-25,SE-02,Selangor,N.03 Kepong,2,Y3YXE,Dr. Tan Chee Khoon,SF,005-LPM,LPM,2,SF,7487,50.00667913438418,1,won
1964-04-25,SE-02,Selangor,N.04 Penchala,1,93189,Ng Ann Teck,SF,005-LPM,LPM,2,SF,2894,39.27795874049946,2,lost
1964-04-25,SE-02,Selangor,N.04 Penchala,2,EBVYW,Lim Jew Siang,PERIKATAN,003-MCA,MCA,1,PERIKATAN,3065,41.598805646036915,1,won
1964-04-25,SE-02,Selangor,N.04 Penchala,3,Q8JRW,Too Chee Cheong,PETIR,103-PAP,PAP,0,ALONE,1409,19.123235613463628,3,lost
1964-04-25,SE-02,Selangor,N.05 Jeram,1,4ZB20,Zailani Sulaiman,SF,020-NCP,NCP,2,SF,1194,15.42834991600982,3,lost
1964-04-25,SE-02,Selangor,N.05 Jeram,2,N783E,Hussain Bin Abdullah,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4863,62.837575914200805,1,won
1964-04-25,SE-02,Selangor,N.05 Jeram,3,WPXGF,Haji Solahuddin Bin Hj. Hussin,PAS,004-PAS,PAS,0,ALONE,1682,21.734074169789377,2,lost
1964-04-25,SE-02,Selangor,N.06 Sementa,1,04KJR,Tee Guan Seng,SF,005-LPM,LPM,2,SF,3415,36.799568965517246,2,lost
1964-04-25,SE-02,Selangor,N.06 Sementa,2,3J9N1,Jarmani Bin Md. Umar,PAS,004-PAS,PAS,0,ALONE,409,4.407327586206897,4,lost_deposit
1964-04-25,SE-02,Selangor,N.06 Sementa,3,EB5YR,Fung Ah Chat,PKR,006-PPP,PPP,0,ALONE,1016,10.948275862068964,3,lost_deposit
1964-04-25,SE-02,Selangor,N.06 Sementa,4,WNWBG,Lee Eng Teh,PERIKATAN,003-MCA,MCA,1,PERIKATAN,4440,47.8448275862069,1,won
