date,election,state,seat,voters_total,ballots_issued,ballots_not_returned,votes_rejected,votes_valid,majority,n_candidates,voter_turnout,majority_perc,votes_rejected_perc,ballots_not_returned_perc
1959-05-20,SE-01,Selangor,N.01 Tanjong Karang,9062,6567,0,254,6313,1139,2,72.46744647980579,18.04213527641375,3.867823968326481,0.0
1959-05-20,SE-01,Selangor,N.02 Kuala Selangor Pekan,10004,7898,0,280,7618,1427,3,78.9484206317473,18.73195064321344,3.545201316789061,0.0
1959-05-20,SE-01,Selangor,N.03 Kepong,13566,10098,0,217,9881,729,2,74.43609022556392,7.377795769658942,2.1489403842345016,0.0
1959-05-20,SE-01,Selangor,N.04 Penchala,7291,4484,0,52,4432,166,2,61.50048004388972,3.7454873646209386,1.159678858162355,0.0
1959-05-20,SE-01,Selangor,N.05 Jeram,7496,5811,0,188,5623,2263,2,77.5213447171825,40.245420593988975,3.2352435036998797,0.0
1959-05-20,SE-01,Selangor,N.06 Sementa,7643,5317,0,170,5147,3131,2,69.56692398272929,60.83155236059841,3.197291705849163,0.0
1959-05-20,SE-01,Selangor,N.07 Serendah,7567,5923,0,125,5798,1566,2,78.27408484207744,27.009313556398755,2.1104170184028366,0.0
1959-05-20,SE-01,Selangor,N.08 Kuang,6807,5526,0,151,5375,2471,2,81.18113706478624,45.972093023255816,2.7325370973579446,0.0
1959-05-20,SE-01,Selangor,N.09 Kajang,9068,7037,0,109,6928,1082,3,77.60255844728717,15.617782909930716,1.5489555208185306,0.0
1959-05-20,SE-01,Selangor,N.10 Semenyih,6881,5412,0,295,5117,2943,3,78.65135881412584,57.5141684580809,5.450849963045085,0.0
1959-05-20,SE-01,Selangor,N.11 Ampang,11999,7350,0,86,7264,994,4,61.255104592049335,13.683920704845814,1.1700680272108843,0.0
1959-05-20,SE-01,Selangor,N.12 Sentul,10513,6291,0,65,6226,552,3,59.84019785028061,8.866045615162223,1.0332220632649818,0.0
1959-05-20,SE-01,Selangor,N.13 Pantai,13105,8547,0,65,8482,190,3,65.21938191529951,2.240037726951191,0.7605007605007605,0.0
1959-05-20,SE-01,Selangor,N.14 Salak,22432,15231,0,168,15063,1987,4,67.89853780313837,13.191263360552346,1.1030135907031713,0.0
1959-05-20,SE-01,Selangor,N.15 Bukit Nanas,15519,9039,0,140,8899,599,2,58.24473226367678,6.731093381278795,1.5488438986613564,0.0
1959-05-20,SE-01,Selangor,N.16 Kampong Bahru,9475,5305,0,69,5236,1256,3,55.989445910290236,23.9877769289534,1.3006597549481622,0.0
1959-05-20,SE-01,Selangor,N.17 Serdang,13502,10084,0,207,9877,1889,2,74.68523181750851,19.125240457628834,2.0527568425228084,0.0
1959-05-20,SE-01,Selangor,N.18 Bukit Raja,6255,4510,0,126,4384,1018,2,72.10231814548361,23.220802919708028,2.7937915742793793,0.0
1959-05-20,SE-01,Selangor,N.19 Port Swettenham,9303,6280,0,291,5989,4013,2,67.50510587982372,67.00617799298715,4.633757961783439,0.0
1959-05-20,SE-01,Selangor,N.20 Kampong Jawa,10374,7822,0,218,7604,5684,2,75.40003855793329,74.75013150973172,2.787010994630529,0.0
1959-05-20,SE-01,Selangor,N.21 Telok Datoh,8525,7123,0,282,6841,2191,2,83.5542521994135,32.02748136237392,3.9590060367822546,0.0
1959-05-20,SE-01,Selangor,N.22 Morib,8589,7261,0,150,7111,3719,3,84.53836302247059,52.299254675854314,2.065831152733783,0.0
1959-05-20,SE-01,Selangor,N.23 Dengkil,6754,4884,0,208,4676,3188,3,72.31270358306189,68.17792985457656,4.2588042588042585,0.0
1959-05-20,SE-01,Selangor,N.24 Sungei Rawang,6594,5606,0,114,5492,481,4,85.01668183196846,8.758193736343772,2.033535497681056,0.0
1959-05-20,SE-01,Selangor,N.25 Sabak,10097,6936,0,210,6726,4410,3,68.69367138754086,65.5664585191793,3.027681660899654,0.0
1959-05-20,SE-01,Selangor,N.26 Sungei Besar,8810,5691,0,275,5416,1042,2,64.59704880817253,19.239290989660265,4.8321911790546475,0.0
1959-05-20,SE-01,Selangor,N.27 Ulu Bernam,6280,5343,0,196,5147,1637,2,85.07961783439491,31.80493491354187,3.6683511136065885,0.0
1959-05-20,SE-01,Selangor,N.28 Kuala Kubu,7270,0,0,0,0,0,1,,,,
1964-04-25,SE-02,Selangor,N.01 Tanjong Karang,13252,8236,0,871,7365,2431,2,62.14910956836703,33.00746775288527,10.575522098105877,0.0
1964-04-25,SE-02,Selangor,N.02 Kuala Selangor Pekan,11630,9218,0,514,8704,4362,3,79.26053310404127,50.11488970588235,5.5760468648296815,0.0
1964-04-25,SE-02,Selangor,N.03 Kepong,20311,15663,0,691,14972,2,2,77.11584855497021,0.01335826876836762,4.411670816574092,0.0
1964-04-25,SE-02,Selangor,N.04 Penchala,11986,7693,0,325,7368,171,3,64.18321374937427,2.320846905537459,4.224619784219421,0.0
1964-04-25,SE-02,Selangor,N.05 Jeram,10882,8263,0,524,7739,3181,3,75.93273295350119,41.103501744411425,6.3415224494735565,0.0
1964-04-25,SE-02,Selangor,N.06 Sementa,11848,9661,0,381,9280,1025,4,81.54118838622553,11.045258620689655,3.943691129282683,0.0
1964-04-25,SE-02,Selangor,N.07 Serendah,10874,8255,0,395,7860,1834,2,75.915026669119,23.333333333333332,4.784978800726832,0.0
1964-04-25,SE-02,Selangor,N.08 Kuang,9077,7198,0,362,6836,2485,3,79.29932797179686,36.351667641895844,5.029174770769658,0.0
1964-04-25,SE-02,Selangor,N.09 Kajang,11534,9154,0,673,8481,3591,2,79.36535460378012,42.34170498761938,7.351977277692812,0.0
1964-04-25,SE-02,Selangor,N.10 Semenyih,7869,6432,0,512,5920,2300,2,81.73846740373618,38.85135135135135,7.960199004975125,0.0
1964-04-25,SE-02,Selangor,N.11 Ampang,19178,13362,0,777,12585,3145,2,69.67358431536135,24.990067540723082,5.814997754827122,0.0
1964-04-25,SE-02,Selangor,N.12 Sentul,17856,11834,0,370,11464,1443,3,66.27464157706093,12.587229588276344,3.1265844177792803,0.0
1964-04-25,SE-02,Selangor,N.13 Pantai,23038,15725,0,373,15352,360,4,68.25679312440316,2.344971339239187,2.372019077901431,0.0
1964-04-25,SE-02,Selangor,N.14 Salak,35223,23614,0,1138,22476,1586,3,67.04142179825682,7.056415732336714,4.819175065639027,0.0
1964-04-25,SE-02,Selangor,N.15 Bukit Nanas,22480,14924,0,475,14449,574,3,66.38790035587189,3.972593259049069,3.182792816939158,0.0
1964-04-25,SE-02,Selangor,N.16 Kampong Bahru,11156,7207,0,333,6874,2297,3,64.60200788813195,33.415769566482396,4.620507839600388,0.0
1964-04-25,SE-02,Selangor,N.17 Serdang,19021,14049,0,593,13456,1786,2,73.86047000683456,13.272889417360284,4.220940992241441,0.0
1964-04-25,SE-02,Selangor,N.18 Bukit Raja,11035,7817,0,388,7429,1886,4,70.83824195740824,25.386996904024766,4.9635410003837785,0.0
1964-04-25,SE-02,Selangor,N.19 Port Swettenham,14807,10973,0,601,10372,3360,2,74.10684135881678,32.39490937138449,5.477080105714025,0.0
1964-04-25,SE-02,Selangor,N.20 Kampong Jawa,15351,11996,0,653,11343,1713,2,78.14474627060126,15.101824914043904,5.443481160386796,0.0
1964-04-25,SE-02,Selangor,N.21 Telok Datoh,10926,8706,0,630,8076,2991,3,79.68149368478858,37.03566121842496,7.236388697450034,0.0
1964-04-25,SE-02,Selangor,N.22 Morib,10179,8205,0,622,7583,1937,2,80.60713233127026,25.543979955162865,7.580743449116392,0.0
1964-04-25,SE-02,Selangor,N.23 Dengkil,9751,7937,0,484,7453,2299,2,81.39677981745463,30.84663893734067,6.098021922640797,0.0
1964-04-25,SE-02,Selangor,N.24 Sungei Rawang,8830,7512,0,371,7141,979,2,85.0736126840317,13.70956448676656,4.938764643237486,0.0
1964-04-25,SE-02,Selangor,N.25 Sabak,11152,8527,0,703,7824,5424,2,76.4616212338594,69.32515337423312,8.244400140729448,0.0
1964-04-25,SE-02,Selangor,N.26 Sungei Besar,11215,8020,0,801,7219,2213,2,71.5113687026304,30.655215403795538,9.987531172069826,0.0
1964-04-25,SE-02,Selangor,N.27 Ulu Bernam,9098,7130,0,483,6647,2859,2,78.3688722796219,43.01188506092974,6.774193548387098,0.0
1964-04-25,SE-02,Selangor,N.28 Kuala Kubu,8652,7206,0,459,6747,1423,2,83.2871012482663,21.090855194901437,6.36969192339717,0.0
1969-05-10,SE-03,Selangor,N.01 Tanjong Karang,17344,11981,0,1423,10558,1634,2,69.07864391143912,15.476415987876491,11.877138803104916,0.0
1969-05-10,SE-03,Selangor,N.02 Kuala Selangor Pekan,13723,10424,0,882,9542,817,3,75.96006704073453,8.562146300565919,8.461243284727551,0.0
1969-05-10,SE-03,Selangor,N.03 Kepong,30401,20804,0,1203,19601,7019,2,68.43195947501727,35.809397479720424,5.7825418188809845,0.0
1969-05-10,SE-03,Selangor,N.04 Penchala,19780,11921,0,797,11124,5654,2,60.26794742163801,50.827040632865874,6.685680731482259,0.0
1969-05-10,SE-03,Selangor,N.05 Jeram,12727,9600,0,1080,8520,1786,2,75.43018778973835,20.96244131455399,11.25,0.0
1969-05-10,SE-03,Selangor,N.06 Sementa,13641,9523,0,682,8841,1605,3,69.81159739022065,18.15405497115711,7.1616087367426235,0.0
1969-05-10,SE-03,Selangor,N.07 Serendah,13929,9564,0,840,8724,284,2,68.66250269222486,3.255387436955525,8.782936010037641,0.0
1969-05-10,SE-03,Selangor,N.08 Kuang,10836,7947,0,611,7336,31,3,73.33887043189368,0.42257360959651036,7.688435887756386,0.0
1969-05-10,SE-03,Selangor,N.09 Kajang,14830,10075,0,701,9374,670,2,67.9366149696561,7.147429059099637,6.957816377171216,0.0
1969-05-10,SE-03,Selangor,N.10 Semenyih,8312,6295,0,552,5743,461,2,75.73387872954764,8.027163503395437,8.768864177918983,0.0
1969-05-10,SE-03,Selangor,N.11 Ampang,31899,18913,0,1118,17795,1033,3,59.290259882754945,5.805001404889014,5.911277956960821,0.0
1969-05-10,SE-03,Selangor,N.12 Sentul,26070,14323,0,657,13666,3182,2,54.94054468738013,23.284062637201814,4.587027857292466,0.0
1969-05-10,SE-03,Selangor,N.13 Pantai,36961,23172,0,967,22205,10029,2,62.69310895267986,45.1655032650304,4.173139996547557,0.0
1969-05-10,SE-03,Selangor,N.14 Salak,44125,25686,0,1210,24476,16194,2,58.21189801699717,66.16277169472136,4.710737366658881,0.0
1969-05-10,SE-03,Selangor,N.15 Bukit Nanas,34965,19524,0,1659,17865,8685,2,55.83869583869584,48.614609571788414,8.497234173325138,0.0
1969-05-10,SE-03,Selangor,N.16 Kampong Bahru,15666,9445,0,392,9053,253,3,60.28979956593897,2.7946537059538272,4.150344097406035,0.0
1969-05-10,SE-03,Selangor,N.17 Serdang,28595,20057,0,903,19154,3314,2,70.14163315264906,17.30186906129268,4.502168818866231,0.0
1969-05-10,SE-03,Selangor,N.18 Bukit Raja,12736,8703,0,488,8215,1331,2,68.3338567839196,16.202069385270846,5.607261863725152,0.0
1969-05-10,SE-03,Selangor,N.19 Port Swettenham,16700,10665,0,505,10160,370,2,63.8622754491018,3.6417322834645667,4.73511486169714,0.0
1969-05-10,SE-03,Selangor,N.20 Kampong Jawa,17535,12686,0,1194,11492,580,3,72.34673510122612,5.046989209885138,9.411950181302222,0.0
1969-05-10,SE-03,Selangor,N.21 Telok Datoh,12523,8849,0,1294,7555,1905,2,70.6619819532061,25.215089344804763,14.623121256639168,0.0
1969-05-10,SE-03,Selangor,N.22 Morib,12450,9081,0,1121,7960,2116,2,72.93975903614458,26.58291457286432,12.344455456447529,0.0
1969-05-10,SE-03,Selangor,N.23 Dengkil,10647,0,0,0,0,0,1,,,,
1969-05-10,SE-03,Selangor,N.24 Sungei Rawang,10197,8126,0,573,7553,417,3,79.69010493282337,5.520985039057328,7.051439822791041,0.0
1969-05-10,SE-03,Selangor,N.25 Sabak,13752,9682,0,1069,8613,3955,2,70.4043048283886,45.91895971206316,11.041107209254285,0.0
1969-05-10,SE-03,Selangor,N.26 Sungei Besar,15793,10558,0,1247,9311,2263,2,66.85240296333819,24.304585973579638,11.810949043379427,0.0
1969-05-10,SE-03,Selangor,N.27 Ulu Bernam,11207,8365,0,666,7699,1439,2,74.64084946908183,18.69073905702039,7.9617453676031085,0.0
1969-05-10,SE-03,Selangor,N.28 Kuala Kubu,9638,7481,0,558,6923,117,2,77.61983814069309,1.6900187779864222,7.458895869536159,0.0
1974-08-24,SE-04,Selangor,N.01 Sungai Ayer Tawar,7123,5217,0,452,4765,1281,2,73.2416116804717,26.883525708289614,8.663983132068239,0.0
1974-08-24,SE-04,Selangor,N.02 Sabak,7359,5092,0,566,4526,2015,3,69.19418399239026,44.52054794520548,11.115475255302435,0.0
1974-08-24,SE-04,Selangor,N.03 Sungai Besar,7861,5477,0,530,4947,1936,3,69.67306958402239,39.134829189407725,9.676830381595764,0.0
1974-08-24,SE-04,Selangor,N.04 Sungai Panjang,8657,0,0,0,0,0,1,,,,
1974-08-24,SE-04,Selangor,N.05 Sekinchan,7632,5376,0,141,5235,1730,4,70.44025157232704,33.046800382043934,2.622767857142857,0.0
1974-08-24,SE-04,Selangor,N.06 Sungai Burong,8368,5899,0,142,5757,1820,3,70.49474187380497,31.613687684557927,2.407187658925242,0.0
1974-08-24,SE-04,Selangor,N.07 Kalumpang,9106,7238,0,656,6582,3384,2,79.48605315176806,51.412944393801276,9.063277148383532,0.0
1974-08-24,SE-04,Selangor,N.08 Kuala Kubu Bharu,9437,7639,0,529,7110,2412,2,80.94733495814349,33.92405063291139,6.92499018196099,0.0
1974-08-24,SE-04,Selangor,N.09 Batang Kali,8279,6365,0,93,6272,2578,2,76.88126585336393,41.10331632653062,1.4611154752553024,0.0
1974-08-24,SE-04,Selangor,N.10 Permatang,9316,6725,0,761,5964,658,2,72.1876341777587,11.032863849765258,11.315985130111523,0.0
1974-08-24,SE-04,Selangor,N.11 Asam Jawa,8974,6733,0,466,6267,3531,2,75.02785825718743,56.34274772618477,6.921134709639092,0.0
1974-08-24,SE-04,Selangor,N.12 Jeram,9007,6911,0,695,6216,3066,2,76.72921061396691,49.32432432432432,10.056431775430474,0.0
1974-08-24,SE-04,Selangor,N.13 Rawang,10865,8066,0,469,7597,1374,4,74.23838011965024,18.086086613136764,5.814530126456733,0.0
1974-08-24,SE-04,Selangor,N.14 Gombak,17085,12065,0,736,11329,4847,3,70.61750073163594,42.78400564921882,6.100290095317033,0.0
1974-08-24,SE-04,Selangor,N.15 Ampang,12913,9494,0,343,9151,2767,3,73.52280647409587,30.237132553819258,3.6128080893195706,0.0
1974-08-24,SE-04,Selangor,N.16 Dusun Tua,8130,5693,0,327,5366,3327,3,70.02460024600245,62.001490868430864,5.74389601264711,0.0
1974-08-24,SE-04,Selangor,N.17 Semenyih,8341,6866,0,384,6482,2186,5,82.31626903249011,33.724159210120334,5.592775997669676,0.0
1974-08-24,SE-04,Selangor,N.18 Kajang,11456,9216,0,526,8690,244,4,80.44692737430168,2.807825086306099,5.707465277777778,0.0
1974-08-24,SE-04,Selangor,N.19 Kapar,8412,6661,0,454,6207,3775,3,79.18449833571088,60.818430803931044,6.8157934244107485,0.0
1974-08-24,SE-04,Selangor,N.20 Sementa,7553,5426,0,380,5046,3329,3,71.83900436912485,65.97304795877923,7.003317360855142,0.0
1974-08-24,SE-04,Selangor,N.21 Selat Kelang,17494,13532,0,1000,12532,2730,4,77.35223505201783,21.78423236514523,7.389890629618681,0.0
1974-08-24,SE-04,Selangor,N.22 Bukit Raja,12501,9507,0,590,8917,3337,3,76.04991600671947,37.42290007850173,6.2059535079415165,0.0
1974-08-24,SE-04,Selangor,N.23 Bandar Kelang,20175,13988,0,656,13332,248,4,69.33333333333334,1.8601860186018602,4.689734057763798,0.0
1974-08-24,SE-04,Selangor,N.24 Kampong Jawa,8555,6316,0,333,5983,3462,3,73.82817066043249,57.86394785224803,5.272324255858138,0.0
1974-08-24,SE-04,Selangor,N.25 Petaling Jaya,27052,20248,0,365,19883,2530,3,74.84844004140174,12.724437962078158,1.8026471750296325,0.0
1974-08-24,SE-04,Selangor,N.26 Sungai Way,10330,7330,0,282,7048,2016,3,70.95837366892546,28.603859250851304,3.847203274215553,0.0
1974-08-24,SE-04,Selangor,N.27 Serdang,10547,8251,0,425,7826,619,4,78.23077652413008,7.909532328136979,5.1508908011150165,0.0
1974-08-24,SE-04,Selangor,N.28 Panglima Garang,6773,5167,0,129,5038,1275,4,76.28820315960431,25.307661770543866,2.496613121734082,0.0
1974-08-24,SE-04,Selangor,N.29 Banting,8937,0,0,0,0,0,1,,,,
1974-08-24,SE-04,Selangor,N.30 Morib,6772,5307,0,227,5080,3010,2,78.36680448907265,59.251968503937,4.277369511965329,0.0
1974-08-24,SE-04,Selangor,N.31 Dengkil,7433,5812,0,397,5415,3401,2,78.19184716803444,62.807017543859644,6.830695113558155,0.0
1974-08-24,SE-04,Selangor,N.32 Sungai Pelek,8126,6723,0,394,6329,458,3,82.73443268520796,7.236530257544636,5.860478952848431,0.0
1974-08-24,SE-04,Selangor,N.33 Batu Laut,6834,5590,0,454,5136,1230,2,81.79689786362306,23.948598130841123,8.1216457960644,0.0
1978-07-08,SE-05,Selangor,N.01 Sungai Ayer Tawar,8438,6029,0,359,5670,1738,2,71.45058070632851,30.652557319223988,5.954552993862996,0.0
1978-07-08,SE-05,Selangor,N.02 Sabak,8979,6124,0,476,5648,2308,2,68.2035861454505,40.86402266288952,7.7726975832789025,0.0
1978-07-08,SE-05,Selangor,N.03 Sungai Besar,10746,7207,0,468,6739,2453,2,67.06681555927787,36.40005935598754,6.493686693492438,0.0
1978-07-08,SE-05,Selangor,N.04 Sungai Panjang,10324,6571,0,464,6107,1969,2,63.647810925997675,32.24168986409039,7.061330086744788,0.0
1978-07-08,SE-05,Selangor,N.05 Sekinchan,10354,7382,0,486,6896,1985,3,71.2961174425343,28.78480278422274,6.583581685180167,0.0
1978-07-08,SE-05,Selangor,N.06 Sungai Burong,10725,7728,0,512,7216,2264,2,72.05594405594405,31.37472283813747,6.625258799171843,0.0
1978-07-08,SE-05,Selangor,N.07 Kalumpang,11974,9215,0,596,8619,4867,2,76.95840988809086,56.46826778048497,6.4677156809549645,0.0
1978-07-08,SE-05,Selangor,N.08 Kuala Kubu Bharu,11928,8804,0,4955,3849,2555,2,73.80952380952381,66.38087815016888,56.281235801908224,0.0
1978-07-08,SE-05,Selangor,N.09 Batang Kali,10842,8478,0,499,7979,2851,4,78.19590481460985,35.73129464845219,5.885822127860344,0.0
1978-07-08,SE-05,Selangor,N.10 Permatang,11619,8639,0,591,8048,2739,3,74.35235390308976,34.03330019880716,6.841069568237064,0.0
1978-07-08,SE-05,Selangor,N.11 Asam Jawa,10935,8245,0,533,7712,2688,6,75.40009144947416,34.85477178423236,6.4645239539114625,0.0
1978-07-08,SE-05,Selangor,N.12 Jeram,10458,7880,0,537,7343,3761,2,75.34901510805125,51.21884788233692,6.814720812182741,0.0
1978-07-08,SE-05,Selangor,N.13 Rawang,15291,11567,0,443,11124,3196,4,75.64580472173174,28.730672419992807,3.8298608109276393,0.0
1978-07-08,SE-05,Selangor,N.14 Gombak,32550,23432,0,1332,22100,11352,3,71.98771121351767,51.366515837104075,5.6845339706384435,0.0
1978-07-08,SE-05,Selangor,N.15 Ampang,33509,24924,0,789,24135,6016,4,74.38001730878273,24.926455355293143,3.1656234954260953,0.0
1978-07-08,SE-05,Selangor,N.16 Dusun Tua,11207,8208,0,543,7665,4168,3,73.23993932363702,54.37703848662753,6.615497076023392,0.0
1978-07-08,SE-05,Selangor,N.17 Semenyih,10787,8461,0,458,8003,2418,5,78.43700750903866,30.21366987379733,5.413071740928968,0.0
1978-07-08,SE-05,Selangor,N.18 Kajang,15708,12374,0,362,12012,2528,4,78.77514642220524,21.045621045621047,2.9254889283982544,0.0
1978-07-08,SE-05,Selangor,N.19 Kapar,10880,8747,0,303,8444,4430,4,80.39522058823529,52.46328754144955,3.4640448153652676,0.0
1978-07-08,SE-05,Selangor,N.20 Sementa,13516,9745,0,671,9074,4706,2,72.09973364900858,51.862464183381086,6.8855823499230375,0.0
1978-07-08,SE-05,Selangor,N.21 Selat Kelang,25583,19470,0,818,18652,682,3,76.10522612672477,3.65644434913146,4.201335387776066,0.0
1978-07-08,SE-05,Selangor,N.22 Bukit Raja,24613,18009,0,716,17293,6943,3,73.16865071303783,40.14919331521425,3.9757898828363594,0.0
1978-07-08,SE-05,Selangor,N.23 Bandar Kelang,32923,0,0,0,0,0,1,,,,
1978-07-29,SE-05,Selangor,N.24 Kampong Jawa,13862,9327,0,63,9264,2112,5,67.28466310777665,22.797927461139896,0.6754583467352846,0.0
1978-07-08,SE-05,Selangor,N.25 Petaling Jaya,51469,37961,0,3774,34187,14821,2,73.75507587091259,43.35273642027671,9.941782355575459,0.0
1978-07-08,SE-05,Selangor,N.26 Sungai Way,23093,16822,0,470,16352,1726,5,72.84458493915905,10.555283757338552,2.7939602900963023,0.0
1978-07-08,SE-05,Selangor,N.27 Serdang,16049,12922,0,555,12367,741,2,80.51591999501527,5.991752243874828,4.295000773874013,0.0
1978-07-08,SE-05,Selangor,N.28 Panglima Garang,9041,0,0,0,0,0,1,,,,
1978-07-08,SE-05,Selangor,N.29 Banting,11262,8887,0,547,8340,3364,2,78.91138341324809,40.33573141486811,6.155057949814335,0.0
1978-07-08,SE-05,Selangor,N.30 Morib,8974,7024,0,379,6645,669,2,78.27055939380433,10.067720090293454,5.395785876993166,0.0
1978-07-08,SE-05,Selangor,N.31 Dengkil,9544,7467,0,515,6952,5350,2,78.23763621123219,76.95627157652474,6.897013526181866,0.0
1978-07-08,SE-05,Selangor,N.32 Sungai Pelek,9872,7866,0,552,7314,3776,2,79.67990275526742,51.627016680339075,7.017543859649122,0.0
1978-07-08,SE-05,Selangor,N.33 Batu Laut,8442,6887,0,331,6556,1530,2,81.58019426676142,23.33740085417938,4.806156526789604,0.0
1982-04-22,SE-06,Selangor,N.01 Sungai Ayer Tawar,8946,6396,0,203,6193,3563,2,71.495640509725,57.5326982076538,3.1738586616635396,0.0
1982-04-22,SE-06,Selangor,N.02 Sabak,9815,6665,0,272,6393,4359,2,67.90626591951096,68.18395119662131,4.081020255063765,0.0
1982-04-22,SE-06,Selangor,N.03 Sungai Besar,11466,7764,0,292,7472,3948,2,67.71323914181056,52.8372591006424,3.7609479649665123,0.0
1982-04-22,SE-06,Selangor,N.04 Sungai Panjang,10847,7063,0,218,6845,3719,2,65.11477827970867,54.331628926223516,3.086507149936288,0.0
1982-04-22,SE-06,Selangor,N.05 Sekinchan,10774,7584,0,244,7340,2687,3,70.39168368294041,36.607629427792915,3.217299578059072,0.0
1982-04-22,SE-06,Selangor,N.06 Sungai Burong,11683,8188,0,325,7863,3593,2,70.08473850894462,45.695027343253216,3.9692232535417684,0.0
1982-04-22,SE-06,Selangor,N.07 Kalumpang,13900,0,0,0,0,0,1,,,,
1982-04-22,SE-06,Selangor,N.08 Kuala Kubu Bharu,13453,9968,0,426,9542,3214,3,74.09499739834982,33.68266610773423,4.273675762439807,0.0
1982-04-22,SE-06,Selangor,N.09 Batang Kali,12936,10220,0,504,9716,4162,2,79.004329004329,42.83655825442569,4.931506849315069,0.0
1982-04-22,SE-06,Selangor,N.10 Permatang,13153,9606,0,305,9301,6569,2,73.0327681897666,70.62681432104074,3.1750988965230063,0.0
1982-04-22,SE-06,Selangor,N.11 Asam Jawa,12841,9646,0,279,9367,5331,3,75.11876022116658,56.91256538913206,2.892390628239685,0.0
1982-04-22,SE-06,Selangor,N.12 Jeram,11585,8706,0,276,8430,5652,3,75.14889943892965,67.04626334519574,3.1702274293590627,0.0
1982-04-22,SE-06,Selangor,N.13 Rawang,18941,14074,0,379,13695,3360,3,74.30441898527005,24.53450164293538,2.692908910046895,0.0
1982-04-22,SE-06,Selangor,N.14 Gombak,43989,30090,0,1337,28753,20181,2,68.40346450248927,70.18745869996175,4.443336656696577,0.0
1982-04-22,SE-06,Selangor,N.15 Ampang,50229,34852,0,1148,33704,24992,2,69.38621115291963,74.1514360313316,3.293928612418225,0.0
1982-04-22,SE-06,Selangor,N.16 Dusun Tua,12547,9728,0,244,9484,5226,4,77.53247788315932,55.103331927456765,2.5082236842105265,0.0
