state,election,seat,original,corrected
Malaysia,GE-03,P.087 Malacca Utara,26088,25728
Malaysia,GE-03,P.103 Segamat Utara,17193,17192
Malaysia,GE-03,P.121 Bau-Lundu,13846,13844
Malaysia,GE-03,P.123 Santubong,14359,14338
Malaysia,GE-03,P.127 Simunjan,10058,10059
Malaysia,GE-03,P.128 Batang Lupar,13864,13776
Malaysia,GE-03,P.129 Lubok Antu,6875,6873
Malaysia,GE-03,P.132 Sarikei,10430,10412
Malaysia,GE-03,P.135 Rajang,11265,11258
Malaysia,GE-03,P.137 Julau,5377,5286
Malaysia,GE-03,P.139 Kapit,7983,7921
Malaysia,GE-03,P.141 Bintulu,9427,9425
Malaysia,GE-03,P.142 Miri-Subis,13178,13156
Malaysia,GE-03,P.144 Limbang-Lawas,9494,9495
Malaysia,GE-04,P.029 Ulu Nerus,18123,18051
Malaysia,GE-04,P.030 Ulu Trengganu,18145,18144
Malaysia,GE-04,P.032 Kuala Trengganu,22476,22446
Malaysia,GE-04,P.039 Nibong Tebal,21181,22181
Malaysia,GE-04,P.041 Bukit Bendera,32829,32652
Malaysia,GE-04,P.043 Jelutong,35434,35560
Malaysia,GE-04,P.049 Taiping,27522,27516
Malaysia,GE-04,P.088 Sungai Besi,27336,27299
Malaysia,GE-04,P.093 Telok Kemang,21364,20939
Malaysia,GE-05,P.029 Ulu Nerus,21263,21232
Malaysia,GE-05,P.033 Dungun,19927,19895
Malaysia,GE-05,P.062 Telok Anson,26268,26118
Malaysia,GE-05,P.067 Kuantan,28354,28347
Malaysia,GE-05,P.070 Bentong,26358,26349
Malaysia,GE-06,P.012 Kuala Muda,30570,30560
Malaysia,GE-08,P.051 Parit Buntar,29115,29205
Malaysia,GE-08,P.102 Sungai Besi,58215,58315
Malaysia,GE-08,P.112 Batu Berendam,60864,60863
Malaysia,GE-09,P.067 Gopeng,32078,32076
Malaysia,GE-09,P.083 Bentung,35563,35363
Malaysia,GE-10,P.078 Kuantan,52308,52290
Malaysia,GE-10,P.093 Hulu Langat,53557,53617
Malaysia,GE-10,P.151 Tanjong Aru,24027,24028
Malaysia,GE-10,P.183 Kanowit,10710,10620
Malaysia,GE-11,P.053 Balik Pulau,29825,29885
Malaysia,GE-11,P.067 Kuala Kangsar,20229,20184
Sarawak,SE-01,N.01 Lundu,5454,5445
Sarawak,SE-01,N.02 Bau,8392,8382
Sarawak,SE-01,N.05 Semariang,6343,6335
Sarawak,SE-01,N.06 Sekama,8019,8005
Sarawak,SE-01,N.07 Sebandi,6638,6685
Sarawak,SE-01,N.14 Gedong,4843,4839
Sarawak,SE-01,N.15 Lingga-Sebuyau,6509,6484
Sarawak,SE-01,N.16 Simanggang,7355,7290
Sarawak,SE-01,N.19 Saribas,4616,4607
Sarawak,SE-01,N.23 Kuala-Rajang,5088,5087
Sarawak,SE-01,N.28 Sibu Luar,6433,6418
Sarawak,SE-01,N.29 Igan,6449,6416
Sarawak,SE-01,N.31 Balingian,5238,5227
Sarawak,SE-01,N.33 Pakan,2723,2724
Sarawak,SE-01,N.34 Meluan,2654,2652
Sarawak,SE-01,N.37 Song,4550,4507
Sarawak,SE-01,N.38 Pelagus,3440,3415
Sarawak,SE-01,N.42 Kemana,4702,4699
Sarawak,SE-01,N.47 Limbang,4942,4938
Sarawak,SE-01,N.48 Lawas,4701,4543
Sarawak,SE-02,N.27 Sibu Tengah,7747,7743
Sarawak,SE-02,N.28 Sibu Luar,5433,5416
Pahang,SE-03,N.02 Dong,6155,6153
Pahang,SE-03,N.03 Bandar Raub,5431,5434
Pahang,SE-03,N.17 Triang,5532,5528
Pahang,SE-03,N.18 Kuala Semantan,4104,4097
Pahang,SE-03,N.20 Sanggang,4404,4380
Sabah,SE-03,N.02 Kudat,4784,4754
Sabah,SE-03,N.43 Tenom,3176,3876
Sarawak,SE-03,N.19 Saribas,5941,5950
Sarawak,SE-03,N.19 Saribas,5941,5950
Sarawak,SE-03,N.43 Subis,9908,9872
Kelantan,SE-04,N.14 Perupok,6248,6284
Kelantan,SE-04,N.34 Jeli,4327,4347
