date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1988-03-05,BY-ELECTION,Johor,N.31 Tanjong Puteri,1,5820,Datuk Haji Mohd Yunos Haji Sulaiman,BN,1,UMNO,3,BN,10181,50.07623825684915,1,won
1988-03-05,BY-ELECTION,Johor,N.31 Tanjong Puteri,2,1089,Abdul Razak,PRM,58,PRM,0,ALONE,10150,49.92376174315085,2,lost
1988-08-25,BY-ELECTION,Johor,P.130 Johor Bahru,1,1367,Shahrir Abdul Samad,BEBAS,0,BEBAS,0,ALONE,23581,64.06313673286425,1,won
1988-08-25,BY-ELECTION,Johor,P.130 Johor Bahru,2,19356,Mas'ud Abdul Rahman,BN,1,UMNO,3,BN,10968,29.797060501507783,2,lost
1988-08-25,BY-ELECTION,Johor,P.130 Johor Bahru,3,1089,A. Razak Ahmad,PRM,58,PRM,0,ALONE,2260,6.139802765627971,3,lost_deposit
2008-08-26,BY-ELECTION,Pulau Pinang,P.044 Permatang Pauh,1,19215,Haji Pi,AKIM,67,AKIM,0,ALONE,92,0.19653500245668754,3,lost_deposit
2008-08-26,BY-ELECTION,Pulau Pinang,P.044 Permatang Pauh,2,1530,Anwar Ibrahim,PKR,75,PKR,7,PR,31195,66.64031958300399,1,won
2008-08-26,BY-ELECTION,Pulau Pinang,P.044 Permatang Pauh,3,13346,Datuk Arif Shah Bin Omar Shah,BN,1,UMNO,3,BN,15524,33.16314541453932,2,lost
2009-01-17,BY-ELECTION,Terengganu,P.036 Kuala Terengganu,1,19216,Dato' Wan Ahmad Farid,BN,1,UMNO,3,BN,30252,47.77033855482567,2,lost
2009-01-17,BY-ELECTION,Terengganu,P.036 Kuala Terengganu,2,18911,Haji Mohd Abdul Wahid Bin Endut,PAS,4,PAS,7,PR,32883,51.92489893885801,1,won
2009-01-17,BY-ELECTION,Terengganu,P.036 Kuala Terengganu,3,19217,Azharudin,BEBAS,0,BEBAS,0,ALONE,193,0.3047625063163214,3,lost_deposit
2009-04-07,BY-ELECTION,Kedah,N.25 Bukit Selambau,1,19218,R. Loganathan,BEBAS,0,BEBAS,0,ALONE,31,0.12816802414520198,13,lost_deposit
2009-04-07,BY-ELECTION,Kedah,N.25 Bukit Selambau,2,7359,Tan Hock Huat,BEBAS,0,BEBAS,0,ALONE,78,0.32248728655889525,6,lost_deposit
2009-04-07,BY-ELECTION,Kedah,N.25 Bukit Selambau,3,19219,Radzi,BEBAS,0,BEBAS,0,ALONE,25,0.10336130979451771,15,lost_deposit
2009-04-07,BY-ELECTION,Kedah,N.25 Bukit Selambau,4,19220,S. Manikumar,PKR,75,PKR,7,PR,12632,52.226402612973914,1,won
2009-04-07,BY-ELECTION,Kedah,N.25 Bukit Selambau,5,19221,Mohd Fazil,BEBAS,0,BEBAS,0,ALONE,83,0.3431595485177988,5,lost_deposit
2009-04-07,BY-ELECTION,Kedah,N.25 Bukit Selambau,6,19222,Abdul Rahim Bin Abu,BEBAS,0,BEBAS,0,ALONE,60,0.2480671435068425,8,lost_deposit
2009-04-07,BY-ELECTION,Kedah,N.25 Bukit Selambau,7,19223,Sarala,BEBAS,0,BEBAS,0,ALONE,49,0.20258816719725473,9,lost_deposit
2009-04-07,BY-ELECTION,Kedah,N.25 Bukit Selambau,8,7225,Dato' S. Ganesan,BN,2,MIC,3,BN,10229,42.29131351552487,2,lost
2009-04-07,BY-ELECTION,Kedah,N.25 Bukit Selambau,9,6996,A.J. Gopal,BEBAS,0,BEBAS,0,ALONE,35,0.1447058337123248,11,lost_deposit
2009-04-07,BY-ELECTION,Kedah,N.25 Bukit Selambau,10,19226,S. Mogan,BEBAS,0,BEBAS,0,ALONE,46,0.1901848100219126,10,lost_deposit
2009-04-07,BY-ELECTION,Kedah,N.25 Bukit Selambau,11,19227,Khamis Bin Awang,BEBAS,0,BEBAS,0,ALONE,29,0.11989911936164054,14,lost_deposit
2009-04-07,BY-ELECTION,Kedah,N.25 Bukit Selambau,12,19228,Husaini Yaacob,BEBAS,0,BEBAS,0,ALONE,257,1.062554264687642,4,lost_deposit
2009-04-07,BY-ELECTION,Kedah,N.25 Bukit Selambau,13,19229,Vinsen,BEBAS,0,BEBAS,0,ALONE,32,0.13230247653698265,12,lost_deposit
2009-04-07,BY-ELECTION,Kedah,N.25 Bukit Selambau,14,7447,Mejar Hj. Anuar Bin Abdul Hamid,BEBAS,0,BEBAS,0,ALONE,528,2.182990862860214,3,lost_deposit
2009-04-07,BY-ELECTION,Kedah,N.25 Bukit Selambau,15,19231,T Chandrarajan,BEBAS,0,BEBAS,0,ALONE,73,0.3018150245999917,7,lost_deposit
2009-04-07,BY-ELECTION,Perak,P.059 Bukit Gantang,1,4079,Ismail Saffian,BN,1,UMNO,3,BN,19071,46.52257702534579,2,lost
2009-04-07,BY-ELECTION,Perak,P.059 Bukit Gantang,2,3328,Ir. Hj. Mohammad Nizar Jamaluddin,PAS,4,PAS,7,PR,21860,53.32617764008489,1,won
2009-04-07,BY-ELECTION,Perak,P.059 Bukit Gantang,3,19233,Kamarul Ramizu,BEBAS,0,BEBAS,0,ALONE,62,0.15124533456931671,3,lost_deposit
2009-04-07,BY-ELECTION,Sarawak,N.29 Batang Air,1,2463,Jawah Anak Gerang,PKR,75,PKR,7,PR,2053,34.446308724832214,2,lost
2009-04-07,BY-ELECTION,Sarawak,N.29 Batang Air,2,16808,Malcom Mussen Lamoh,BN,76,PRS-SWK,3,BN,3907,65.55369127516778,1,won
2009-05-31,BY-ELECTION,Pulau Pinang,N.12 Penanti,1,4059,Mansor Bin Othman,PKR,75,PKR,7,PR,6052,86.5313125536174,1,won
2009-05-31,BY-ELECTION,Pulau Pinang,N.12 Penanti,2,19235,Kak Min,BEBAS,0,BEBAS,0,ALONE,392,5.60480411781527,3,lost_deposit
2009-05-31,BY-ELECTION,Pulau Pinang,N.12 Penanti,3,19236,Nai Khan Ari,BEBAS,0,BEBAS,0,ALONE,494,7.063197026022305,2,lost_deposit
2009-05-31,BY-ELECTION,Pulau Pinang,N.12 Penanti,4,19237,Paduka Ramizu,BEBAS,0,BEBAS,0,ALONE,56,0.8006863025450386,4,lost_deposit
2009-07-14,BY-ELECTION,Kelantan,N.41 Manek Urai,1,8449,Mohd Fauzi Bin Abdullah,PAS,4,PAS,7,PR,5348,50.30570971686576,1,won
2009-07-14,BY-ELECTION,Kelantan,N.41 Manek Urai,2,19239,Tuan Aziz Bin Tuan Hamat @ Tuan Mat,BN,1,UMNO,3,BN,5283,49.69429028313423,2,lost
2009-08-25,BY-ELECTION,Pulau Pinang,N.11 Permatang Pasir,1,2572,Mohd Salleh Bin Man,PAS,4,PAS,7,PR,9618,65.49540347293157,1,won
2009-08-25,BY-ELECTION,Pulau Pinang,N.11 Permatang Pasir,2,19240,Rohaizat Bin Othman,BN,1,UMNO,3,BN,5067,34.504596527068436,2,lost
2009-10-11,BY-ELECTION,Negeri Sembilan,N.31 Bagan Pinang,1,3438,Mohd Isa Bin Abdul Samad,BN,1,UMNO,3,BN,8013,75.65857803795676,1,won
