date,election,state,seat,area_name,ballot_order,name,candidate_uid,party,party_uid,votes,votes_perc,result
1955-07-25,GE-00,Pulau Pinang,P.001 Wellesley South,Wellesley South,1,Tay Hooi Soo,1,PERIKATAN,2,15697,81.67013527575442,won
1955-07-25,GE-00,Pulau Pinang,P.001 Wellesley South,Wellesley South,2,Haji Zabidi Bin Haji Ali,2,PAS,3,3523,18.329864724245578,lost
1955-07-25,GE-00,Pulau Pinang,P.002 Wellesley North,Wellesley North,1,Hashim Awang,3,PERIKATAN,2,0,,won_uncontested
1955-07-25,GE-00,Pulau Pinang,P.003 George Town,George Town,1,Chee Swee Ee,4,PERIKATAN,2,7253,70.19938056523422,won
1955-07-25,GE-00,Pulau Pinang,P.003 George Town,George Town,2,Ooi Thiam Siew,5,BEBAS,1,2650,25.648470770421987,lost
1955-07-25,GE-00,Pulau Pinang,P.003 George Town,George Town,3,Cheah Phee Aik,6,BEBAS,1,429,4.152148664343787,lost_deposit
1955-07-25,GE-00,Pulau Pinang,P.004 Penang Island,Penang Island,1,Zainul Abidin Bin Sultan Mydin,7,PERIKATAN,2,14865,83.55817875210792,won
1955-07-25,GE-00,Pulau Pinang,P.004 Penang Island,Penang Island,2,Md. Isa Bin Sulaiman,8,BEBAS,1,2925,16.441821247892076,lost
1955-07-25,GE-00,Melaka,P.005 Malacca Central,Malacca Central,1,Tan Siew Sin,9,PERIKATAN,2,17104,84.26445955266529,won
1955-07-25,GE-00,Melaka,P.005 Malacca Central,Malacca Central,2,Abdul Karim Bin Bakar,10,BEBAS,1,3194,15.735540447334712,lost
1955-07-25,GE-00,Melaka,P.006 Malacca Luar,Malacca Luar,1,Abdul Ghafar Bin Baba,11,PERIKATAN,2,26790,90.47313498362095,won
1955-07-25,GE-00,Melaka,P.006 Malacca Luar,Malacca Luar,2,Jaafar Bin Mohd. Tan,12,BEBAS,1,2821,9.526865016379048,lost_deposit
1955-07-25,GE-00,Perak,P.007 Krian,Krian,1,Haji Ahmad Bin Haji Hussain,13,PAS,3,8685,42.92068198665678,won
1955-07-25,GE-00,Perak,P.007 Krian,Krian,2,Haji Sulaiman Bin Haji Ahmad,14,PERIKATAN,2,8235,40.69681245366938,lost
1955-07-25,GE-00,Perak,P.007 Krian,Krian,3,Mohamed Jan Bin Ngah Mohamed,15,NAP,5,3315,16.38250555967383,lost
1955-07-25,GE-00,Perak,P.008 Batang Padang,Batang Padang,1,Abdul Hamid Khan Bin Haji Sakhawat Ali Khan,16,PERIKATAN,2,9170,82.21265913573606,won
1955-07-25,GE-00,Perak,P.008 Batang Padang,Batang Padang,2,Mohamed Shamshuddin Bin Haji Hamzah,17,NAP,5,1218,10.919849381387843,lost_deposit
1955-07-25,GE-00,Perak,P.008 Batang Padang,Batang Padang,3,Abdul Majid Bin Ariffin,18,PML,7,766,6.867491482876098,lost_deposit
1955-07-25,GE-00,Perak,P.009 Larut and Matang,Larut and Matang,1,Dr Cheah Khay Chuan,19,PERIKATAN,2,15407,64.0410674204007,won
1955-07-25,GE-00,Perak,P.009 Larut and Matang,Larut and Matang,2,Abu Bakar Bin Said,20,PML,7,4453,18.509435530800566,lost
1955-07-25,GE-00,Perak,P.009 Larut and Matang,Larut and Matang,3,Wan Zarazillah Bin Wan Haji Ismail,21,NAP,5,3437,14.286308088785434,lost
1955-07-25,GE-00,Perak,P.009 Larut and Matang,Larut and Matang,4,Dr Puran Singh,22,LPOM,6,761,3.1631889600133007,lost_deposit
1955-07-25,GE-00,Perak,P.010 Dindings,Dindings,1,Haji Mior Ariff Bin Mior Alwi,23,PERIKATAN,2,10511,78.8108270225688,won
1955-07-25,GE-00,Perak,P.010 Dindings,Dindings,2,Mohd. Yunus Bin Mahmood,24,NAP,5,1629,12.21414111119442,lost_deposit
1955-07-25,GE-00,Perak,P.010 Dindings,Dindings,3,Abdul Wahab Bin Haji Md. Noor,25,PAS,3,1197,8.975031866236785,lost_deposit
1955-07-25,GE-00,Perak,P.011 Sungei Perak Ulu,Sungei Perak Ulu,1,Mohamed Ghazali Bin Jawi,26,PERIKATAN,2,16781,71.48455804046858,won
1955-07-25,GE-00,Perak,P.011 Sungei Perak Ulu,Sungei Perak Ulu,2,Mat Judin Bin Haji Ahmad,27,BEBAS,1,4595,19.57401490947817,lost
1955-07-25,GE-00,Perak,P.011 Sungei Perak Ulu,Sungei Perak Ulu,3,Syed Nordin Wafa,28,NAP,5,2099,8.941427050053248,lost_deposit
1955-07-25,GE-00,Perak,P.012 Sungei Perak Hilir,Sungei Perak Hilir,1,Abdul Aziz Bin Haji Mat Jabar,29,PERIKATAN,2,17483,77.56088904662614,won
1955-07-25,GE-00,Perak,P.012 Sungei Perak Hilir,Sungei Perak Hilir,2,Meor Ahmad Bin Meor Yusof,30,NAP,5,4794,21.26791180515505,lost
1955-07-25,GE-00,Perak,P.012 Sungei Perak Hilir,Sungei Perak Hilir,3,Mohd Daham Bin Khatib,31,BEBAS,1,264,1.1711991482188013,lost_deposit
1955-07-25,GE-00,Perak,P.013 Teluk Anson,Teluk Anson,1,Bahaman Bin Samsudin,32,PERIKATAN,2,10514,73.39103727488482,won
