state,parlimen,area_name,ballot_order,name,candidate_uid,party,votes
Johor,P.001 Johore Timur,Johore Timur,1,Che' Gu Ismail Ariff,130,BEBAS,1854
Johor,P.001 Johore Timur,Johore Timur,2,Dr Ismail Bin Dato' Abdul Rahman,77,PERIKATAN,7087
Johor,P.002 Johore Bahru Timor,Johore Bahru Timor,1,C. C. Yong,131,BEBAS,4236
Johor,P.002 Johore Bahru Timor,Johore Bahru Timor,2,Dato' Haji Mohd. Noah Bin Omar,132,PERIKATAN,7771
Johor,P.003 Johore Bahru Barat,Johore Bahru Barat,1,Zahid Karim,133,BEBAS,4501
Johor,P.003 Johore Bahru Barat,Johore Bahru Barat,2,Ahmad Bin Mohamed Shah,134,PERIKATAN,7282
Johor,P.004 Pontian Selatan,Pontian Selatan,1,Lee Ah Leng,135,BEBAS,5648
Johor,P.004 Pontian Selatan,Pontian Selatan,2,Hajah Zain Binti Sulaiman,136,PERIKATAN,9469
Johor,P.005 Pontian Utara,Pontian Utara,1,Abdul Jamil Bin Sulaiman,137,PAS,1567
Johor,P.005 Pontian Utara,Pontian Utara,2,Garieb Raouf,138,BEBAS,3990
Johor,P.005 Pontian Utara,Pontian Utara,3,Sardon Bin Haji Jubir,92,PERIKATAN,11850
Johor,P.006 Kluang Selatan,Kluang Selatan,1,Tan Kai Hee,139,BEBAS,4540
Johor,P.006 Kluang Selatan,Kluang Selatan,2,Chan Chong Wen,140,PERIKATAN,8754
Johor,P.007 Kluang Utara,Kluang Utara,1,Lee San Choon,141,PERIKATAN,5985
Johor,P.007 Kluang Utara,Kluang Utara,2,Wee Lee Fong,142,BEBAS,4530
Johor,P.008 Batu Pahat,Batu Pahat,1,Koh Kim Boon,143,BEBAS,3958
Johor,P.008 Batu Pahat,Batu Pahat,2,Kang Kock Seng,144,PERIKATAN,10261
Johor,P.008 Batu Pahat,Batu Pahat,3,Haji Abdullah Bin Haji,145,BEBAS,880
Johor,P.009 Batu Pahat Dalam,Batu Pahat Dalam,1,Haji Daud Bin Haji Abdul Hamid,146,BEBAS,3661
Johor,P.009 Batu Pahat Dalam,Batu Pahat Dalam,2,Tan Suan Kok,88,BEBAS,4238
Johor,P.009 Batu Pahat Dalam,Batu Pahat Dalam,3,Syed Esa Bin Syed Alwee,147,PERIKATAN,9495
Johor,P.010 Muar Selatan,Muar Selatan,1,Raja Hashim Bin Haji Mahmood,148,BEBAS,2069
Johor,P.010 Muar Selatan,Muar Selatan,2,Suleiman Bin Dato' Abdul Rahman,80,PERIKATAN,14795
Johor,P.010 Muar Selatan,Muar Selatan,3,Haji Mohamed Tahir Bin Daing Mengati,149,PAS,2508
Johor,P.011 Muar Pantai,Muar Pantai,1,Mohamad Nor Bin Hamid,150,BEBAS,3731
Johor,P.011 Muar Pantai,Muar Pantai,2,Seah Teng Ngiab,151,PERIKATAN,8997
Johor,P.011 Muar Pantai,Muar Pantai,3,Tan Keww Wah,152,PPP,2162
Johor,P.011 Muar Pantai,Muar Pantai,4,Chua Ang Teck,153,BEBAS,1994
Johor,P.012 Muar Utara,Muar Utara,1,Ahmad Bin Arshad,154,PERIKATAN,12744
Johor,P.012 Muar Utara,Muar Utara,2,Nasir Bin Abdullah,155,BEBAS,2533
Johor,P.013 Muar Dalam,Muar Dalam,1,Aziz Bin Ishak,156,PERIKATAN,11329
Johor,P.013 Muar Dalam,Muar Dalam,2,Ahmad Bin Abu,157,BEBAS,3947
Johor,P.014 Segamat Utara,Segamat Utara,1,Haji Abdullah Bin Haji Mohd. Salleh,158,PERIKATAN,6572
Johor,P.014 Segamat Utara,Segamat Utara,2,Syed Mohammad Bin Abdullah Al Kherd,159,PAS,917
Johor,P.014 Segamat Utara,Segamat Utara,3,Lim Meng See,160,BEBAS,4948
Johor,P.015 Segamat Selatan,Segamat Selatan,1,Dato' Teoh Chze Chong,161,PERIKATAN,7828
Johor,P.015 Segamat Selatan,Segamat Selatan,2,Dr Lim Chin Khean,162,BEBAS,4862
Johor,P.016 Johore Tenggara,Johore Tenggara,1,Sayed Fa'Afar Bin Hasan Albar,163,PERIKATAN,0
Kedah,P.017 Alor Star,Alor Star,1,Lim Joo Kong,164,PERIKATAN,10730
Kedah,P.017 Alor Star,Alor Star,2,Teoh Ah Thow,165,BEBAS,2289
Kedah,P.017 Alor Star,Alor Star,3,Malik Abdul Rahman,166,PAS,4212
Kedah,P.018 Kuala Kedah,Kuala Kedah,1,Tunku Abdul Rahman Putra Al-Haj,103,PERIKATAN,13032
Kedah,P.018 Kuala Kedah,Kuala Kedah,2,Haji Hassan Bin Abdul Rahman,167,PAS,5542
Kedah,P.019 Kota Star Utara,Kota Star Utara,1,Haji Abdul Khalid,168,PERIKATAN,8942
Kedah,P.019 Kota Star Utara,Kota Star Utara,2,Abu Bakar,169,PAS,6279
Kedah,P.020 Kota Star Selatan,Kota Star Selatan,1,Wan Sulaiman Bin Wan Tam,170,PERIKATAN,8369
Kedah,P.020 Kota Star Selatan,Kota Star Selatan,2,Lebai Othman Bin Haji Yunus,171,PAS,7824
Kedah,P.021 Kubang Pasu Barat,Kubang Pasu Barat,1,Haji Abdullah Bin Haji Abbas,99,PAS,5630
Kedah,P.021 Kubang Pasu Barat,Kubang Pasu Barat,2,Haji Azahari Bin Haji Ibrahim,172,PERIKATAN,8388
Kedah,P.022 Jitra-Padang Terap,Jitra-Padang Terap,1,Fatimah Haji Hasim,173,PERIKATAN,10981
Kedah,P.022 Jitra-Padang Terap,Jitra-Padang Terap,2,Hj. Husin Bin Hj. Salleh,174,PAS,5856
Kedah,P.023 Jerai,Jerai,1,Ismail Yusof,175,PERIKATAN,11350
Kedah,P.023 Jerai,Jerai,2,Haji Mahmud Bin Haji Abdullah,176,PAS,6403
Kedah,P.024 Kedah Tengah,Kedah Tengah,1,Shariff Babul,177,BEBAS,1234
Kedah,P.024 Kedah Tengah,Kedah Tengah,2,Haji Hussin Dol,178,PAS,4435
Kedah,P.024 Kedah Tengah,Kedah Tengah,3,Mohamed Khir Johari,179,PERIKATAN,11271
Kedah,P.025 Sungei Patani,Sungei Patani,1,Samad Osman,180,PERIKATAN,9186
Kedah,P.025 Sungei Patani,Sungei Patani,2,Mansor Tobeng,181,BEBAS,5673
Kedah,P.026 Baling,Baling,1,Wan Basor Ali Bin Wan Salim,182,BEBAS,1605
Kedah,P.026 Baling,Baling,2,Harun Bin Abdullah,183,PERIKATAN,12118
Kedah,P.026 Baling,Baling,3,Syed Jan Aljeffri,104,PAS,3521
Kedah,P.027 Kulim Utara,Kulim Utara,1,Shorbaini,184,PAS,2533
Kedah,P.027 Kulim Utara,Kulim Utara,2,Hanafi Bin Mohd Yunus,185,PERIKATAN,12281
Kedah,P.028 Kulim-Bandar Baharu,Kulim-Bandar Baharu,1,Tan Tye Shek,186,PERIKATAN,11317
Kedah,P.028 Kulim-Bandar Baharu,Kulim-Bandar Baharu,2,Choong An Fong,187,BEBAS,4946
Kelantan,P.029 Ulu Kelantan,Ulu Kelantan,1,Tengku Indra Petra,188,PERIKATAN,8770
Kelantan,P.029 Ulu Kelantan,Ulu Kelantan,2,Haji Yatim Bin Haji Shamsuddin,189,BEBAS,292
Kelantan,P.029 Ulu Kelantan,Ulu Kelantan,3,Amaluddin Darus,190,PAS,8306
Kelantan,P.030 Tanah Merah,Tanah Merah,1,Othman Abdullah,191,PAS,12752
Kelantan,P.030 Tanah Merah,Tanah Merah,2,Ustadz Azhari,192,PERIKATAN,6774
Kelantan,P.031 Pasir Puteh,Pasir Puteh,1,Mohammad Asri,193,PAS,12284
Kelantan,P.031 Pasir Puteh,Pasir Puteh,2,Mat Idris,194,PERIKATAN,6630
