state,parlimen,area_name,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Perlis,P.001 Perlis Utama,Perlis Utama,27932,22711,0,981
Perlis,P.002 Perlis Selatan,Perlis Selatan,28128,22271,0,610
Kedah,P.003 Jitra-Padang Terap,Jitra-Padang Terap,35697,27926,0,1186
Kedah,P.004 Kubang Pasu Barat,Kubang Pasu Barat,27275,20675,0,589
Kedah,P.005 Kota Star Utara,Kota Star Utara,29646,23468,0,805
Kedah,P.006 Alor Star,Alor Star,38631,25396,0,579
Kedah,P.007 Kuala Kedah,Kuala Kedah,36874,28419,0,987
Kedah,P.008 Kota Star Selatan,Kota Star Selatan,31995,25680,0,627
Kedah,P.009 Kedah Tengah,Kedah Tengah,35302,26677,0,1136
Kedah,P.010 Jerai,Jerai,31829,24333,0,737
Kedah,P.011 Baling,Baling,36210,28339,0,1160
Kedah,P.012 Sungei Patani,Sungei Patani,28595,20944,0,493
Kedah,P.013 Kulim Utara,Kulim Utara,25839,19245,0,1322
Kedah,P.014 Kulim-Bandar Baharu,Kulim-Bandar Baharu,30274,22271,0,1512
Kelantan,P.015 Tumpat,Tumpat,31115,24065,0,788
Kelantan,P.016 Kelantan Hilir,Kelantan Hilir,31060,23183,0,731
Kelantan,P.017 Pasir Mas Hilir,Pasir Mas Hilir,29556,20592,0,700
Kelantan,P.018 Kota Bharu Hilir,Kota Bharu Hilir,39478,26739,0,756
Kelantan,P.019 Bachok,Bachok,31293,24743,0,731
Kelantan,P.020 Kota Bharu Hulu,Kota Bharu Hulu,34693,26191,0,884
Kelantan,P.021 Pasir Mas Hulu,Pasir Mas Hulu,25397,17481,0,507
Kelantan,P.022 Pasir Puteh,Pasir Puteh,33603,26979,0,656
Kelantan,P.023 Tanah Merah,Tanah Merah,38999,29532,0,827
Kelantan,P.024 Ulu Kelantan,Ulu Kelantan,38560,29358,0,1046
Terengganu,P.025 Besut,Besut,35522,27869,0,1234
Terengganu,P.026 Kuala Trengganu Utara,Kuala Trengganu Utara,30187,22707,0,1157
Terengganu,P.027 Kuala Trengganu Selatan,Kuala Trengganu Selatan,29457,20894,0,1075
Terengganu,P.028 Dungun,Dungun,25930,19071,0,984
Terengganu,P.029 Kemaman,Kemaman,26953,18872,0,910
Terengganu,P.030 Trengganu Tengah,Trengganu Tengah,31316,25207,0,1399
Pulau Pinang,P.031 Bagan,Bagan,24793,0,0,0
Pulau Pinang,P.032 Seberang Tengah,Seberang Tengah,41319,31341,0,2516
Pulau Pinang,P.033 Seberang Selatan,Seberang Selatan,24573,19487,0,884
Pulau Pinang,P.034 Penang Utara,Penang Utara,47083,36039,0,1730
Pulau Pinang,P.035 Penang Selatan,Penang Selatan,47464,36409,0,2017
Pulau Pinang,P.036 Tanjong,Tanjong,33747,25999,0,1072
Pulau Pinang,P.037 Dato Kramat,Dato Kramat,31053,23955,0,1048
Pulau Pinang,P.038 Seberang Utara,Seberang Utara,32369,26441,0,2593
Perak,P.039 Ulu Perak,Ulu Perak,26684,20872,0,1044
Perak,P.040 Larut Utara,Larut Utara,31664,22935,0,1103
Perak,P.041 Krian Laut,Krian Laut,30485,23047,0,1163
Perak,P.042 Krian Darat,Krian Darat,29507,21911,0,1211
Perak,P.043 Larut Selatan,Larut Selatan,47472,32610,0,1233
Perak,P.044 Hilir Perak,Hilir Perak,17705,13036,0,815
Perak,P.045 Kuala Kangsar,Kuala Kangsar,33067,23260,0,1567
Perak,P.046 Sungei Siput,Sungei Siput,21702,16519,0,695
Perak,P.047 Parit,Parit,25268,18809,0,933
Perak,P.048 Bruas,Bruas,29421,21276,0,975
Perak,P.049 Sitiawan,Sitiawan,27930,20492,0,921
Perak,P.050 Ipoh,Ipoh,40718,30136,0,926
Perak,P.051 Menglembu,Menglembu,51913,37298,0,1391
Perak,P.052 Ulu Kinta,Ulu Kinta,24475,19138,0,841
Perak,P.053 Batu Gajah,Batu Gajah,27081,21090,0,1137
Perak,P.054 Kampar,Kampar,40527,30712,0,1469
Perak,P.055 Tanjong Malim,Tanjong Malim,26295,18060,0,1155
Perak,P.056 Telok Anson,Telok Anson,35475,23511,0,1274
Perak,P.057 Bagan Datoh,Bagan Datoh,26237,18350,0,1498
Perak,P.058 Batang Padang,Batang Padang,19946,14974,0,704
Pahang,P.059 Raub,Raub,29327,0,0,0
Pahang,P.060 Bentong,Bentong,28187,0,0,0
Pahang,P.061 Kuantan,Kuantan,30154,20738,0,1011
Pahang,P.062 Pekan,Pekan,23644,16845,0,488
Pahang,P.063 Temerloh,Temerloh,33066,23668,0,1581
Pahang,P.064 Lipis,Lipis,32390,23394,0,1836
Selangor,P.065 Kuala Selangor,Kuala Selangor,31067,22502,0,2680
Selangor,P.066 Batu,Batu,50181,32681,0,1189
Selangor,P.067 Kapar,Kapar,26368,18968,0,1033
Selangor,P.068 Rawang,Rawang,24765,17521,0,1251
Selangor,P.069 Langat,Langat,23142,16372,0,1110
Selangor,P.070 Setapak,Setapak,57969,33173,0,2165
Selangor,P.071 Bungsar,Bungsar,81086,48000,0,1302
Selangor,P.072 Bukit Bintang,Bukit Bintang,50631,29035,0,1410
Selangor,P.073 Damansara,Damansara,41331,28658,0,1002
Selangor,P.074 Klang,Klang,34235,22994,0,970
Selangor,P.075 Kuala Langat,Kuala Langat,24973,17907,0,1848
Selangor,P.076 Sepang,Sepang,20844,16101,0,950
Selangor,P.077 Sabak Bernam,Sabak Bernam,29545,20256,0,1356
Selangor,P.078 Ulu Selangor,Ulu Selangor,20845,15853,0,820
Negeri Sembilan,P.079 Kuala Pilah,Kuala Pilah,27118,21184,0,1256
Negeri Sembilan,P.080 Seremban Timor,Seremban Timor,32222,23244,0,905
Negeri Sembilan,P.081 Rembau-Tampin,Rembau-Tampin,27145,0,0,0
Negeri Sembilan,P.082 Port Dickson,Port Dickson,26623,19748,0,697
Negeri Sembilan,P.083 Jelebu-Jempol,Jelebu-Jempol,29720,22021,0,3187
Negeri Sembilan,P.084 Seremban Barat,Seremban Barat,27900,20670,0,978
Melaka,P.085 Malacca Tengah,Malacca Tengah,35617,28061,0,1620
Melaka,P.086 Bandar Malacca,Bandar Malacca,42679,31484,0,955
Melaka,P.087 Malacca Utara,Malacca Utara,33237,25728,0,1155
Melaka,P.088 Malacca Selatan,Malacca Selatan,36232,24699,0,471
Johor,P.089 Muar Dalam,Muar Dalam,28523,0,0,0
Johor,P.090 Segamat Selatan,Segamat Selatan,29730,21305,0,1652
Johor,P.091 Muar Pantai,Muar Pantai,30558,21578,0,715
Johor,P.092 Muar Selatan,Muar Selatan,34963,0,0,0
Johor,P.093 Batu Pahat,Batu Pahat,27010,0,0,0
Johor,P.094 Batu Pahat Dalam,Batu Pahat Dalam,32664,22928,0,1887
Johor,P.095 Kluang Utara,Kluang Utara,25334,17976,0,1125
Johor,P.096 Johore Tenggara,Johore Tenggara,13821,10889,0,566
Johor,P.097 Pontian Utara,Pontian Utara,29663,22396,0,1882
Johor,P.098 Pontian Selatan,Pontian Selatan,27924,0,0,0
Johor,P.099 Kluang Selatan,Kluang Selatan,30171,21225,0,1418
Johor,P.100 Johore Bahru Timor,Johore Bahru Timor,28729,20767,0,1009
Johor,P.101 Johore Bahru Barat,Johore Bahru Barat,27162,19789,0,917
Johor,P.102 Johore Timor,Johore Timor,18302,12942,0,834
Johor,P.103 Segamat Utara,Segamat Utara,21802,17192,0,500
Johor,P.104 Muar Utara,Muar Utara,30264,0,0,0
Sabah,P.105 Marudu,Marudu,14086,0,0,0
Sabah,P.106 Bandau,Bandau,10933,7592,0,463
Sabah,P.107 Kota Belud,Kota Belud,14875,12039,0,418
Sabah,P.108 Tuaran,Tuaran,13826,0,0,0
Sabah,P.109 Jesselton,Jesselton,15291,10279,0,246
Sabah,P.110 Penampang,Penampang,15512,0,0,0
Sabah,P.111 Kimanis,Kimanis,15193,0,0,0
Sabah,P.112 Labuan-Beaufort,Labuan-Beaufort,13182,0,0,0
Sabah,P.113 Sabah Selatan,Sabah Selatan,11062,0,0,0
Sabah,P.114 Sabah Dalam,Sabah Dalam,12889,0,0,0
Sabah,P.115 Kinabalu,Kinabalu,12387,0,0,0
Sabah,P.116 Sandakan,Sandakan,12625,9209,0,176
Sabah,P.117 Labuk-Sugut,Labuk-Sugut,11742,0,0,0
Sabah,P.118 Kinabatangan,Kinabatangan,11672,0,0,0
Sabah,P.119 Darvel,Darvel,13788,0,0,0
Sabah,P.120 Tawau,Tawau,9798,6912,0,155
Sarawak,P.121 Bau-Lundu,Bau-Lundu,15424,13844,0,753
Sarawak,P.122 Bandar Kuching,Bandar Kuching,24877,20779,0,5113
Sarawak,P.123 Santubong,Santubong,17746,14338,0,769
Sarawak,P.124 Samarahan,Samarahan,12820,11056,0,525
Sarawak,P.125 Padawan,Padawan,13909,11873,0,806
Sarawak,P.126 Serian,Serian,16359,14566,0,835
Sarawak,P.127 Simunjan,Simunjan,11553,10059,0,921
Sarawak,P.128 Batang Lupar,Batang Lupar,17476,13776,0,836
Sarawak,P.129 Lubok Antu,Lubok Antu,8914,6873,0,744
Sarawak,P.130 Betong,Betong,13092,9616,0,741
Sarawak,P.131 Saratok,Saratok,11892,9911,0,483
Sarawak,P.132 Sarikei,Sarikei,11957,10412,0,571
Sarawak,P.133 Payang,Payang,15263,12740,0,598
Sarawak,P.134 Bandar Sibu,Bandar Sibu,18779,14221,0,877
Sarawak,P.135 Rajang,Rajang,13511,11258,0,909
Sarawak,P.136 Mukah,Mukah,15798,10907,0,819
Sarawak,P.137 Julau,Julau,7640,5286,0,689
Sarawak,P.138 Kanowit,Kanowit,10224,6796,0,102
Sarawak,P.139 Kapit,Kapit,10521,7921,0,706
Sarawak,P.140 Ulu Rajang,Ulu Rajang,9439,7397,0,643
Sarawak,P.141 Bintulu,Bintulu,13069,9425,0,728
Sarawak,P.142 Miri-Subis,Miri-Subis,17859,13156,0,3684
Sarawak,P.143 Baram,Baram,13051,9308,0,550
Sarawak,P.144 Limbang-Lawas,Limbang-Lawas,11564,9495,0,630
