state,parlimen,area_name,ballot_order,name,candidate_uid,party,party_uid,votes
Perlis,P.001 Padang Besar,Padang Besar,1,Wan Kharizal Wan Khazim,2914,PAS,3,9058
Perlis,P.001 Padang Besar,Padang Besar,2,Datuk Seri Azmi Khalid,2289,BN,25,18323
Perlis,P.002 Kangar,Kangar,1,Datuk Radzi Sheikh Ahmad,2915,BN,25,22498
Perlis,P.002 Kangar,Kangar,2,Ishar Saad,2916,PAS,3,9950
Perlis,P.003 Arau,Arau,1,Datuk Dr Haron Din,2918,PAS,3,14124
Perlis,P.003 Arau,Arau,2,Datuk Seri Syed Razlan Syed Putra Jamalullail,2917,BN,25,17367
Kedah,P.004 Langkawi,Langkawi,1,Datuk Abu Bakar Taib,2919,BN,25,16510
Kedah,P.004 Langkawi,Langkawi,2,Zubir Ahmad,2920,PAS,3,5738
Kedah,P.005 Jerlun,Jerlun,1,Datuk Abdul Rahman Ariffin,2921,BN,25,19123
Kedah,P.005 Jerlun,Jerlun,2,Idris Ahmad,2922,PAS,3,16981
Kedah,P.006 Kubang Pasu,Kubang Pasu,1,Datuk Mohd Johari Baharom,2923,BN,25,26657
Kedah,P.006 Kubang Pasu,Kubang Pasu,2,Dr Abdul Isa Ismail,2924,PAS,3,12945
Kedah,P.007 Padang Terap,Padang Terap,1,Zawawi Haji Ahmad,2926,PAS,3,12604
Kedah,P.007 Padang Terap,Padang Terap,2,Datuk Ghazali Ibrahim,2925,BN,25,14776
Kedah,P.008 Pokok Sena,Pokok Sena,1,Mahfuz Omar,2928,PAS,3,22440
Kedah,P.008 Pokok Sena,Pokok Sena,2,Datuk Abdul Rahman Ibrahim,2927,BN,25,29740
Kedah,P.009 Alor Setar,Alor Setar,1,Datuk Chor Chee Heung,2929,BN,25,28379
Kedah,P.009 Alor Setar,Alor Setar,2,Siti Nor Abdul Hamid,2930,PKR,11,13864
Kedah,P.010 Kuala Kedah,Kuala Kedah,1,Mohamed Sabu,2932,PAS,3,26493
Kedah,P.010 Kuala Kedah,Kuala Kedah,2,Hashim Jahaya,2931,BN,25,36707
Kedah,P.011 Pendang,Pendang,1,Md Rozai Shafian,2933,BN,25,24380
Kedah,P.011 Pendang,Pendang,2,Dr Mohd Hayati Othman,2934,PAS,3,24430
Kedah,P.012 Jerai,Jerai,1,Datuk Badruddin Amirudin,2935,BN,25,30154
Kedah,P.012 Jerai,Jerai,2,Che Bin Arshad,2936,PAS,3,19749
Kedah,P.013 Sik,Sik,1,Azizan Abdul Razak,2938,PAS,3,15038
Kedah,P.013 Sik,Sik,2,Datuk Dr Wan Azmi Wan Ariffin,2937,BN,25,15357
Kedah,P.014 Merbok,Merbok,1,Saiful Izham Ramli,2940,PKR,11,14162
Kedah,P.014 Merbok,Merbok,2,Datuk Zainuddin Maidin,2939,BN,25,29607
Kedah,P.015 Sungai Petani,Sungai Petani,1,Zamri Yusof,2942,PKR,11,18565
Kedah,P.015 Sungai Petani,Sungai Petani,2,Datuk Mahadzir Mohd Khir,2941,BN,25,36067
Kedah,P.016 Baling,Baling,1,Datuk Dr Mashitah Ibrahim,2943,BN,25,32661
Kedah,P.016 Baling,Baling,2,Taib Azamudden Md Taib,2944,PAS,3,28432
Kedah,P.017 Padang Serai,Padang Serai,1,Lim Bee Kau,2616,BN,25,26269
Kedah,P.017 Padang Serai,Padang Serai,2,Saifuddin Nasution Ismail,2615,PKR,11,15953
Kedah,P.018 Kulim-Bandar Baharu,Kulim-Bandar Baharu,1,Datuk Paduka Abdul Kadir Sheikh Fadzir,1117,BN,25,22556
Kedah,P.018 Kulim-Bandar Baharu,Kulim-Bandar Baharu,2,Alwi Mohamed Yusop,2945,PKR,11,14558
Kelantan,P.019 Tumpat,Tumpat,1,Datuk Kamarudin Jaafar,2947,PAS,3,27919
Kelantan,P.019 Tumpat,Tumpat,2,Mat Nawawi Mat Jusoh,2946,BN,25,26099
Kelantan,P.020 Pengkalan Chepa,Pengkalan Chepa,1,Datuk Ab Halim Ab Rahman,2949,PAS,3,20621
Kelantan,P.020 Pengkalan Chepa,Pengkalan Chepa,2,Datuk Dr Nik Mohd Zain Omar,2948,BN,25,14399
Kelantan,P.021 Kota Bharu,Kota Bharu,1,Nik Mahmood Nik Hassan,2951,PKR,11,22108
Kelantan,P.021 Kota Bharu,Kota Bharu,2,Datuk Zaid Ibrahim,2950,BN,25,23831
Kelantan,P.022 Pasir Mas,Pasir Mas,1,Datuk Ibrahim Ali,2954,BEBAS,1,6198
Kelantan,P.022 Pasir Mas,Pasir Mas,2,Ismail Noh,2953,PAS,3,17526
Kelantan,P.022 Pasir Mas,Pasir Mas,3,Datuk Abd Rahim Ab Rahman,2952,BN,25,16275
Kelantan,P.023 Rantau Panjang,Rantau Panjang,1,Mohd Daud Hamat,2955,BN,25,14295
Kelantan,P.023 Rantau Panjang,Rantau Panjang,2,Abdul Fatah Haron,2956,PAS,3,15027
Kelantan,P.024 Kubang Kerian,Kubang Kerian,1,Salahuddin Ayub,2958,PAS,3,21430
Kelantan,P.024 Kubang Kerian,Kubang Kerian,2,Datuk Ahmad Rusli Iberahim,2957,BN,25,15803
Kelantan,P.025 Bachok,Bachok,1,Wan Nik Wan Yusof,2960,PAS,3,21774
Kelantan,P.025 Bachok,Bachok,2,Datuk Dr Awang Adek Hussin,2959,BN,25,23341
Kelantan,P.026 Ketereh,Ketereh,1,Muamad Mustafa,2962,PKR,11,17136
Kelantan,P.026 Ketereh,Ketereh,2,Md Alwi Che Ahmad,2961,BN,25,20024
Kelantan,P.027 Tanah Merah,Tanah Merah,1,Shaari Hassan,2963,BN,25,16107
Kelantan,P.027 Tanah Merah,Tanah Merah,2,Saupi Daud,2964,PKR,11,13580
Kelantan,P.028 Pasir Puteh,Pasir Puteh,1,Kalthom Othman,2966,PAS,3,27018
Kelantan,P.028 Pasir Puteh,Pasir Puteh,2,Che Min Che Ahmad,2965,BN,25,23208
