state,parlimen,ballot_order,name,candidate_uid,party,party_uid,votes
Perlis,P.001 Padang Besar,1,Azmi Bin Khalid,2289,BN,25,16991
Perlis,P.001 Padang Besar,2,Zolkharnain Bin Abidin,3282,PAS,3,11643
Perlis,P.002 Kangar,1,Mohd Radzi Sheikh Ahmad,1663,BN,25,23821
Perlis,P.002 Kangar,2,Tunku Abdul Rahman,3283,PKR,11,10150
Perlis,P.003 Arau,1,Haron Din,3284,PAS,3,16151
Perlis,P.003 Arau,2,Ismail Bin Kasim (Chu),3285,BN,25,16451
Kedah,P.004 Langkawi,1,Abu Bakar Taib,3286,BN,25,13762
Kedah,P.004 Langkawi,2,Wan Salleh,3287,PKR,11,8792
Kedah,P.005 Jerlun,1,Idris Ahmad,2922,PAS,3,17219
Kedah,P.005 Jerlun,2,Mukhriz Mahathir,3288,BN,25,19424
Kedah,P.006 Kubang Pasu,1,Isa Ismail,3289,PAS,3,17119
Kedah,P.006 Kubang Pasu,2,Mohd Johari Bin Baharum,3290,BN,25,24179
Kedah,P.007 Padang Terap,1,Ghazali Bin Ibrahim,3291,BN,25,14634
Kedah,P.007 Padang Terap,2,Nasir Bin Zakaria,3292,PAS,3,15003
Kedah,P.008 Pokok Sena,1,Abdul Rahman Bin Ibrahim,3293,BN,25,23956
Kedah,P.008 Pokok Sena,2,Mahfuz Omar,2928,PAS,3,29687
Kedah,P.009 Alor Star,1,Chor Chee Heung,1981,BN,25,20741
Kedah,P.009 Alor Star,2,Gooi Hsiao Leung,3294,PKR,11,20557
Kedah,P.010 Kuala Kedah,1,Ahmad Bin Kasim,3295,PKR,11,35689
Kedah,P.010 Kuala Kedah,2,Hashim Bin Jahaya,3296,BN,25,28671
Kedah,P.011 Pendang,1,Mohd Hayati Othman,2934,PAS,3,27311
Kedah,P.011 Pendang,2,Mohd Rozai Bin Hj Shafian,3297,BN,25,23238
Kedah,P.012 Jerai,1,Mohd Firdaus Bin Jaafar,3298,PAS,3,26510
Kedah,P.012 Jerai,2,Badruddin Bin Amiruldin,2304,BN,25,24211
Kedah,P.013 Sik,1,Othman Bin Desa,3299,BN,25,16383
Kedah,P.013 Sik,2,Che Uda Bin Che Nik,3300,PAS,3,16864
Kedah,P.014 Merbok,1,Tajul Urus Mat Zain,3301,BN,25,22443
Kedah,P.014 Merbok,2,Rashid Din,3302,PKR,11,25541
Kedah,P.015 Sungai Petani,1,Zainudin Bin Maidin,3303,BN,25,24441
Kedah,P.015 Sungai Petani,2,Johari Abdul,3304,PKR,11,33822
Kedah,P.016 Baling,1,Azeez Rahim,3305,BN,25,28461
Kedah,P.016 Baling,2,Taib Azamudden,3306,PAS,3,36074
Kedah,P.017 Padang Serai,1,Boey Chin Gan,3307,BN,25,17036
Kedah,P.017 Padang Serai,2,Gobalakrishnan A/L Nagapan,3308,PKR,11,28774
Kedah,P.018 Kulim-Bandar Baharu,1,Zulkifli Bin Noordin,3309,PKR,11,22255
Kedah,P.018 Kulim-Bandar Baharu,2,Abdul Aziz Sheikh Fadzir,3310,BN,25,16672
Kelantan,P.019 Tumpat,1,Kamarudin Jaffar,3311,PAS,3,36714
Kelantan,P.019 Tumpat,2,Asyraf Wajdi Dusuki,3312,BN,25,27337
Kelantan,P.020 Pengkalan Chepa,1,Abhalim Bin Abrahman,3313,PAS,3,26763
Kelantan,P.020 Pengkalan Chepa,2,Rahim Zain,3314,BN,25,15452
Kelantan,P.021 Kota Bharu,1,Wan Rahim,3315,PAS,3,32129
Kelantan,P.021 Kota Bharu,2,Mohamad Fatmi Bin Che Salleh,3316,BN,25,20841
Kelantan,P.022 Pasir Mas,1,Ibrahim Bin Ali,1692,PAS,3,28673
Kelantan,P.022 Pasir Mas,2,Ahmad Rosdi Bin Mahmad,3317,BN,25,19682
Kelantan,P.023 Rantau Panjang,1,Kak Lah,3318,PAS,3,19344
Kelantan,P.023 Rantau Panjang,2,Afandi,3319,BN,25,14858
Kelantan,P.023 Rantau Panjang,3,Isma Airfath Bin Hassanuddin,3320,BEBAS,1,330
Kelantan,P.024 Kubang Kerian,1,Salahuddin Ayub,2958,PAS,3,27179
Kelantan,P.024 Kubang Kerian,2,Abdul Ghani Mamat,3321,BN,25,16537
Kelantan,P.025 Bachok,1,Nasharudin,3322,PAS,3,28835
Kelantan,P.025 Bachok,2,Awang,3323,BN,25,25934
Kelantan,P.026 Ketereh,1,Annuar Musa,3324,BN,25,21338
Kelantan,P.026 Ketereh,2,Abdul Aziz,3325,PKR,11,21738
Kelantan,P.027 Tanah Merah,1,Shaari,3326,BN,25,15970
Kelantan,P.027 Tanah Merah,2,Amran Bin Hj Abdul Ghani,3327,PKR,11,17554
Kelantan,P.027 Tanah Merah,3,Asmadi Bin Abu Bakar,3328,BEBAS,1,1439
Kelantan,P.028 Pasir Puteh,1,Amran Mat Nor,3329,BN,25,24397
Kelantan,P.028 Pasir Puteh,2,Muhammad Husain,3330,PAS,3,28365
Kelantan,P.029 Machang,1,Saifuddin Nasution Ismail,2615,PKR,11,21041
Kelantan,P.029 Machang,2,Sazmi,3331,BN,25,19581
Kelantan,P.030 Jeli,1,Pendi,3332,PAS,3,12732
Kelantan,P.030 Jeli,2,Mustapa Bin Mohamed,2333,BN,25,17168
Kelantan,P.031 Kuala Krai,1,Hatta Ramli,3333,PAS,3,23562
Kelantan,P.031 Kuala Krai,2,Che Musa,3334,BN,25,18578
Kelantan,P.032 Gua Musang,1,Zulkefli Bin Mohamed,3335,PAS,3,9669
Kelantan,P.032 Gua Musang,2,Tengku Razaleigh Hamzah,872,BN,25,14063
Terengganu,P.033 Besut,1,Abdullah Bin Md Zin,3336,BN,25,29376
Terengganu,P.033 Besut,2,Husain Bin Awang,2339,PAS,3,18786
Terengganu,P.034 Setiu,1,Mohd Pauzi Bin Muda,3337,PAS,3,19378
Terengganu,P.034 Setiu,2,Mohd Jidin Bin Shafee,3338,BN,25,26610
Terengganu,P.035 Kuala Nerus,1,Shukrimun Bin Shamsudin,3339,PAS,3,25098
Terengganu,P.035 Kuala Nerus,2,Mohd Nasir B. Tan Ibrahim Fikri,3340,BN,25,26439
Terengganu,P.036 Kuala Terengganu,1,Mohamad Sabu,2932,PAS,3,31934
Terengganu,P.036 Kuala Terengganu,2,Maimun Binti Yusuf,3341,BEBAS,1,685
Terengganu,P.036 Kuala Terengganu,3,Razali Bin Ismail,3342,BN,25,32562
Terengganu,P.037 Marang,1,Ahmad Ramzi Bin Mohamad Zubir,3343,BN,25,30688
Terengganu,P.037 Marang,2,Abdul Hadi Bin Awang,1712,PAS,3,33435
Terengganu,P.038 Hulu Terengganu,1,Kamaruzaman Bin Abdullah,3344,PAS,3,17324
Terengganu,P.038 Hulu Terengganu,2,Mohd Nor Bin Othman,3345,BN,25,27784
Terengganu,P.039 Dungun,1,Matulidi Bin Jusoh,3346,BN,25,29264
Terengganu,P.039 Dungun,2,Shamsul Iskandar Mohd Akin,3142,PKR,11,24270
Terengganu,P.040 Kemaman,1,Ahmad Shabery Cheek,2986,BN,25,37199
Terengganu,P.040 Kemaman,2,Fariz Musa,3347,PKR,11,24516
Pulau Pinang,P.041 Kepala Batas,1,Abdullah Bin Ahmad Badawi,2655,BN,25,23445
