state,parlimen,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Perlis,P.001 Padang Besar,41976,36142,91,531
Perlis,P.002 Kangar,51215,43431,115,667
Perlis,P.003 Arau,43880,38439,127,525
Kedah,P.004 Langkawi,37539,32096,219,744
Kedah,P.005 Jerlun,52396,45899,117,730
Kedah,P.006 Kubang Pasu,65556,57296,238,834
Kedah,P.007 Padang Terap,41975,37904,104,691
Kedah,P.008 Pokok Sena,80747,69524,215,848
Kedah,P.009 Alor Star,69025,57912,200,1070
Kedah,P.010 Kuala Kedah,95310,82253,248,1212
Kedah,P.011 Pendang,70154,62578,127,759
Kedah,P.012 Jerai,74371,64778,164,952
Kedah,P.013 Sik,46804,42077,85,631
Kedah,P.014 Merbok,85951,74520,226,1340
Kedah,P.015 Sungai Petani,93131,81024,253,959
Kedah,P.016 Baling,93171,83109,195,1091
Kedah,P.017 Padang Serai,74064,64584,197,1223
Kedah,P.018 Kulim-Bandar Baharu,60930,52766,234,839
Kelantan,P.019 Tumpat,98646,82962,198,1086
Kelantan,P.020 Pengkalan Chepa,64385,54985,188,683
Kelantan,P.021 Kota Bharu,81221,66277,193,666
Kelantan,P.022 Pasir Mas,71971,60168,238,1115
Kelantan,P.023 Rantau Panjang,52880,41934,130,632
Kelantan,P.024 Kubang Kerian,65371,55108,224,605
Kelantan,P.025 Bachok,81581,71792,208,947
Kelantan,P.026 Ketereh,62247,53906,180,876
Kelantan,P.027 Tanah Merah,58217,50009,137,876
Kelantan,P.028 Pasir Puteh,76216,66232,192,770
Kelantan,P.029 Machang,59252,51372,128,729
Kelantan,P.030 Jeli,43231,37871,93,424
Kelantan,P.031 Kuala Krai,63098,54643,128,720
Kelantan,P.032 Gua Musang,40156,35097,64,712
Terengganu,P.033 Besut,72600,63017,254,641
Terengganu,P.034 Setiu,67266,59262,124,685
Terengganu,P.035 Kuala Nerus,76273,68036,152,772
Terengganu,P.036 Kuala Terengganu,94393,82122,224,845
Terengganu,P.037 Marang,90820,81829,180,805
Terengganu,P.038 Hulu Terengganu,63562,56634,144,823
Terengganu,P.039 Dungun,78215,68204,157,909
Terengganu,P.040 Kemaman,91935,80168,197,1227
Pulau Pinang,P.041 Kepala Batas,51646,46740,75,585
Pulau Pinang,P.042 Tasek Gelugor,54068,48121,112,675
Pulau Pinang,P.043 Bagan,68490,59792,57,634
Pulau Pinang,P.044 Permatang Pauh,71723,63475,143,672
