candidate_uid,name,sex,ethnicity,dob
1,Hashim bin Awang,M,Malay,xxxx-xx-xx
2,Tay Hooi Soo,M,Chinese,1897-xx-xx
3,Zabidi bin Ali,M,Malay,1914-08-06
4,Chee Swee Ee,M,Chinese,1902-xx-xx
5,Ooi Thiam Siew,M,Chinese,1915-xx-xx
6,Cheah Phee Aik,M,Chinese,1915-xx-xx
7,Zainul Abidin bin Sultan Mydin,M,Malay,1898-xx-xx
8,Md. Isa bin Sulaiman,M,Malay,1918-xx-xx
9,Tan Siew Sin,M,Chinese,1916-05-21
10,Abdul Karim bin Bakar,M,Malay,1922-xx-xx
11,Abdul Ghafar bin Baba,M,Malay,1925-02-18
12,Jaafar bin Mohd. Tan,M,Malay,1926-xx-xx
13,Ahmad bin Tuan Hussein,M,Malay,1906-06-17
14,Sulaiman bin Ahmad,M,Malay,1925-xx-xx
15,Jan bin Ngah Mohamed,M,Malay,1900-xx-xx
16,Abdul Hamid Khan bin Sakhawat Ali Khan,M,Malay,1900-11-01
17,Mohamed Shamshuddin bin Haji Hamzah,M,Malay,1902-xx-xx
18,Abdul Majid bin Ariffin,M,Malay,1914-xx-xx
19,Cheah Kay Chuan,M,Chinese,1904-xx-xx
20,Abu Bakar bin Said,M,Malay,1908-xx-xx
21,Wan Zarazillah bin Wan Ismail,M,Malay,1895-xx-xx
22,Puran Singh,M,Other,1909-xx-xx
23,Mior Ariff bin Mior Alwi,M,Malay,1905-xx-xx
24,Mohd. Yunus bin Mahmood,M,Malay,1913-xx-xx
25,Abdul Wahab bin Md. Noor,M,Malay,1922-xx-xx
26,Mohamed Ghazali bin Jawi,M,Malay,1924-12-26
27,Mat Judin bin Ahmad,M,Malay,1916-xx-xx
28,Syed Nordin Wafa,M,Malay,1900-xx-xx
29,Abdul Aziz bin Mat Jabar,M,Malay,1909-xx-xx
30,Meor Ahmad bin Meor Yusof,M,Malay,1917-xx-xx
31,Mohd Daham bin Khatib,M,Malay,1917-xx-xx
32,Bahaman bin Samsudin,M,Malay,1907-xx-xx
33,Hassan Adli bin Arshad,M,Malay,1929-04-17
34,Leong Yew Koh,M,Chinese,1905-03-02
35,Loh Ah Kee,M,Chinese,1904-xx-xx
36,Dharma Raja Seenivasagam,M,Indian,1925-xx-xx
37,Williams Ernest Balasingam,M,Indian,1919-xx-xx
38,Thirunyana Sambanthan a/l Veerasamy (V. T. Sambanthan),M,Indian,1919-06-16
39,Chik Mohamed Yusuf bin Sheik Abdul Rahman,M,Malay,1908-xx-xx
40,K. R. R. Choudhary,M,Indian,1909-xx-xx
41,Mohamed Ramly bin Abdullah,M,Malay,1900-xx-xx
42,Too Joon Hing,M,Chinese,1911-xx-xx
43,Mohd Baki bin Daud,M,Malay,1905-xx-xx
44,Mohamed Idris bin Hakim,M,Malay,1913-xx-xx
45,Zaharie bin Hassan,M,Malay,1921-xx-xx
46,Ong Yoke Lin,M,Chinese,1918-xx-xx
47,Abdullah bin Ibrahim,M,Bumi Sabah,1909-xx-xx
48,Tan Tuan Boon,M,Chinese,1911-xx-xx
49,Cheah Ewe Keat,M,Chinese,1903-xx-xx
50,Mohd. Salleh bin Hakim,M,Malay,1906-xx-xx
51,Abdul Wahab bin Abdul Majid,M,Malay,1930-xx-xx
52,Halimahton binti Abdul Majid,F,Malay,1919-xx-xx
53,Ab. Rahman bin Maulana,M,Malay,1915-xx-xx
54,Raja Rastam Shahrome bin Raja Said Tauphy,M,Malay,1907-xx-xx
55,Othman bin Abdullah,M,Malay,1925-xx-xx
56,Md. Ambia bin Sanusi,M,Malay,1921-xx-xx
57,Abu Bakar bin Baginda,M,Malay,1899-11-03
