name,candidate_uid
Tay Hooi Soo,1
Haji Zabidi Bin Hj. Ali,2
Haji Zabidi Bin Haji Ali,2
Haji Zabidi Bin Hjai Ali,2
Zabidi Bin Haji Ali,2
Hashim Awang,3
Chee Swee Ee,4
Ooi Thiam Siew,5
Cheah Phee Aik,6
Zainul Abidin Bin Sultan Mydin,7
Md. Isa Bin Sulaiman,8
Tan Siew Sin,9
Abdul Karim Bin Bakar,10
Abdul Ghafar Baba,11
Abdul Ghafar Saad,11
Abd. Ghafar Bin Baba,11
Abdul Ghafar B. Baba,11
Abdul Ghafar Bin Baba,11
Jaafar Bin Mohd. Tan,12
Haji Ahmad Bin H. Hussain,13
Haji Ahmad Bin Haji Hussain,13
Haji Ahmad Sulaiman,14
Haji Sulaiman Bin Haji Ahmad,14
Mohamed Jan Bin Ngah Mohamed,15
Abdul Hamid Khan Bin Haji Sakhawat Ali Khan,16
Mohamed Shamshuddin Bin Haji Hamzah,17
Abdul Majid Bin Ariffin,18
Dr Cheah Khay Chuan,19
Cheah Khay Chuan,19
Abu Bakar Bin Said,20
Wan Zarazillah Bin Wan Haji Ismail,21
Dr Puran Singh,22
Puran Singh,22
Haji Mior Ariff Bin Mior Alwi,23
Mohd. Yunus Bin Mahmood,24
Abdul Wahab Bin Haji Md. Noor,25
Mohd. Ghazali Bin Jawi,26
Mohamed Ghazali Bin Jawi,26
Mohamad Ghazali Bin Jawi,26
Mat Judin Bin Haji Ahmad,27
Syed Nordin Wafa,28
Abdul Aziz Bin Haji Mat Jabar,29
Meor Ahmad Bin Meor Yusof,30
Mohd Daham Bin Khatib,31
Mohd. Daham Bin Katib,31
Mohd. Daham Bin Khatib,31
Bahaman Bin Samsudin,32
Haji Hasan Adli Bin Hj. Arshad,33
Haji Hasan Adli Bin Haji Arshad,33
Haji Hassan Adli Bin Haji Arshad,33
Leong Yew Koh,34
Loh Ah Kee,35
D. R. Seenivasagam,36
W. E. Balasingam,37
V. T. Sambantham,38
Chik Mohamed Yusuf Bin Sheik Abdul Rahman,39
K. R. R. Choudhary,40
Mohamed Ramly Bin Abdullah,41
Too Joon Hing,42
Too Joon Ting,42
Mohd Baki Bin Haji Daud,43
Mohamed Idrid Bin Hakim,44
Zaharie Bin Hassan,45
Ong Yoke Lin,46
Abdullah Bin Ibrahim,47
Tan Tuan Boon,48
Cheah Ewe Keat,49
Mohd. Salleh Bin Hakim,50
Abdul Wahab Bin Abdul Majid,51
Halimahton Binti Abdul Majid,52
Ab. Rahman Bin Haji Maulana,53
Raja Rastam Shahrome Bin Raja Said Tauphy,54
