slug,date,from,to,type
p001-padang-besar-perlis,1958-09-22,Perlis,"Perlis Utara and Perlis Selatan",split
p001-padang-besar-perlis,1974-01-01,Perlis Utara,Kangar,rename
p001-padang-besar-perlis,1994-01-01,Kangar,Kangar and Padang Besar,split
p009-alor-setar-kedah,1958-09-22,Alor Star,"Alor Star and Kuala Kedah",split
p010-kuala-kedah-kedah,1958-09-22,Alor Star,"Alor Star and Kuala Kedah",split
p002-kangar-perlis,1958-09-22,Perlis,"Perlis Utara and Perlis Selatan",split
p002-kangar-perlis,1974-01-01,Perlis Utara,Kangar,rename
p002-kangar-perlis,1994-01-01,Kangar,Kangar and Padang Besar,split
p003-arau-perlis,1958-09-22,Perlis,"Perlis Utara and Perlis Selatan",split
p003-arau-perlis,1974-01-01,Perlis Selatan,Arau,rename
p138-kota-melaka-melaka,1958-09-22,Malacca Central,"Malacca Tengah and Bandar Malacca",split
p138-kota-melaka-melaka,1974-01-01,Bandar Malacca,Kota Melaka,rename
p161-pulai-johor,1958-09-22,Johore Bahru,"Johore Bahru Barat and Johore Bahru Timur",split
p161-pulai-johor,1974-01-01,Johore Bahru Barat,Pulai,rename
p166-labuan-wp-labuan,1974-01-01,Labuan-Beaufort,Hilir Padas,rename
p166-labuan-wp-labuan,1984-01-01,Hilir Padas,"Limbawang and Labuan",split
