date,election,state,seat,area_name,type
1974-08-24,GE-04,Johor,P.105 Ayer Hitam,Ayer Hitam,federal
1978-07-08,GE-05,Johor,P.105 Ayer Hitam,Ayer Hitam,federal
1982-04-22,GE-06,Johor,P.105 Ayer Hitam,Ayer Hitam,federal
2004-03-21,GE-11,Johor,P.148 Ayer Hitam,Ayer Hitam,federal
2008-03-08,GE-12,Johor,P.148 Ayer Hitam,Ayer Hitam,federal
2013-05-05,GE-13,Johor,P.148 Ayer Hitam,Ayer Hitam,federal
2018-05-09,GE-14,Johor,P.148 Ayer Hitam,Ayer Hitam,federal
2022-11-19,GE-15,Johor,P.148 Ayer Hitam,Ayer Hitam,federal
1986-08-02,GE-07,Johor,P.122 Bakri,Bakri,federal
1990-10-20,GE-08,Johor,P.122 Bakri,Bakri,federal
1995-04-24,GE-09,Johor,P.132 Bakri,Bakri,federal
1999-11-29,GE-10,Johor,P.132 Bakri,Bakri,federal
2004-03-21,GE-11,Johor,P.145 Bakri,Bakri,federal
2008-03-08,GE-12,Johor,P.145 Bakri,Bakri,federal
2013-05-05,GE-13,Johor,P.145 Bakri,Bakri,federal
2018-05-09,GE-14,Johor,P.145 Bakri,Bakri,federal
2022-11-19,GE-15,Johor,P.145 Bakri,Bakri,federal
1955-07-25,GE-00,Johor,P.034 Batu Pahat,Batu Pahat,federal
1959-05-20,GE-01,Johor,P.067 Batu Pahat,Batu Pahat,federal
1964-04-25,GE-02,Johor,P.093 Batu Pahat,Batu Pahat,federal
1969-05-10,GE-03,Johor,P.093 Batu Pahat,Batu Pahat,federal
1974-08-24,GE-04,Johor,P.111 Batu Pahat,Batu Pahat,federal
1978-07-08,GE-05,Johor,P.111 Batu Pahat,Batu Pahat,federal
1982-04-22,GE-06,Johor,P.111 Batu Pahat,Batu Pahat,federal
1986-08-02,GE-07,Johor,P.125 Batu Pahat,Batu Pahat,federal
1990-10-20,GE-08,Johor,P.125 Batu Pahat,Batu Pahat,federal
1995-04-24,GE-09,Johor,P.135 Batu Pahat,Batu Pahat,federal
1999-11-29,GE-10,Johor,P.135 Batu Pahat,Batu Pahat,federal
2004-03-21,GE-11,Johor,P.150 Batu Pahat,Batu Pahat,federal
2008-03-08,GE-12,Johor,P.150 Batu Pahat,Batu Pahat,federal
2013-05-05,GE-13,Johor,P.150 Batu Pahat,Batu Pahat,federal
2018-05-09,GE-14,Johor,P.150 Batu Pahat,Batu Pahat,federal
2022-11-19,GE-15,Johor,P.150 Batu Pahat,Batu Pahat,federal
1959-05-20,GE-01,Johor,P.068 Batu Pahat Dalam,Batu Pahat Dalam,federal
1964-04-25,GE-02,Johor,P.094 Batu Pahat Dalam,Batu Pahat Dalam,federal
1969-05-10,GE-03,Johor,P.094 Batu Pahat Dalam,Batu Pahat Dalam,federal
1995-04-24,GE-09,Johor,P.143 Gelang Patah,Gelang Patah,federal
1999-11-29,GE-10,Johor,P.143 Gelang Patah,Gelang Patah,federal
2004-03-21,GE-11,Johor,P.162 Gelang Patah,Gelang Patah,federal
2008-03-08,GE-12,Johor,P.162 Gelang Patah,Iskandar Puteri,federal
2013-05-05,GE-13,Johor,P.162 Gelang Patah,Iskandar Puteri,federal
2018-05-09,GE-14,Johor,P.162 Iskandar Puteri,Iskandar Puteri,federal
2022-11-19,GE-15,Johor,P.162 Iskandar Puteri,Iskandar Puteri,federal
1974-08-24,GE-04,Johor,P.114 Johor Bahru,Johor Bahru,federal
1978-07-08,GE-05,Johor,P.114 Johor Bahru,Johor Bahru,federal
1982-04-22,GE-06,Johor,P.114 Johor Bahru,Johor Bahru,federal
1986-08-02,GE-07,Johor,P.130 Johor Bahru,Johor Bahru,federal
1988-08-25,BY-ELECTION,Johor,P.130 Johor Bahru,Johor Bahru,federal
1990-10-20,GE-08,Johor,P.130 Johor Bahru,Johor Bahru,federal
1995-04-24,GE-09,Johor,P.141 Johor Bahru,Johor Bahru,federal
1999-11-29,GE-10,Johor,P.141 Johor Bahru,Johor Bahru,federal
2004-03-21,GE-11,Johor,P.160 Johor Bahru,Johor Bahru,federal
2008-03-08,GE-12,Johor,P.160 Johor Bahru,Johor Bahru,federal
2013-05-05,GE-13,Johor,P.160 Johor Bahru,Johor Bahru,federal
2018-05-09,GE-14,Johor,P.160 Johor Bahru,Johor Bahru,federal
2022-11-19,GE-15,Johor,P.160 Johor Bahru,Johor Bahru,federal
1955-07-25,GE-00,Johor,P.031 Johore Bahru,Johore Bahru,federal
1959-05-20,GE-01,Johor,P.062 Johore Bahru Barat,Johore Bahru Barat,federal
1964-04-25,GE-02,Johor,P.101 Johore Bahru Barat,Johore Bahru Barat,federal
1969-05-10,GE-03,Johor,P.101 Johore Bahru Barat,Johore Bahru Barat,federal
1959-05-20,GE-01,Johor,P.061 Johore Bahru Timor,Johore Bahru Timor,federal
1964-04-25,GE-02,Johor,P.100 Johore Bahru Timor,Johore Bahru Timor,federal
1969-05-10,GE-03,Johor,P.100 Johore Bahru Timor,Johore Bahru Timor,federal
1955-07-25,GE-00,Johor,P.032 Johore Selatan,Johore Selatan,federal
1955-07-25,GE-00,Johor,P.033 Johore Tengah,Johore Tengah,federal
1959-05-20,GE-01,Johor,P.060 Johore Tenggara,Johore Tenggara,federal
1964-04-25,GE-02,Johor,P.096 Johore Tenggara,Johore Tenggara,federal
1969-05-10,GE-03,Johor,P.096 Johore Tenggara,Johore Tenggara,federal
1955-07-25,GE-00,Johor,P.030 Johore Timor,Johore Timor,federal
1964-04-25,GE-02,Johor,P.102 Johore Timor,Johore Timor,federal
1969-05-10,GE-03,Johor,P.102 Johore Timor,Johore Timor,federal
1959-05-20,GE-01,Johor,P.059 Johore Timor,Johore Timor,federal
1974-08-24,GE-04,Johor,P.101 Kluang,Kluang,federal
1978-07-08,GE-05,Johor,P.101 Kluang,Kluang,federal
1982-04-22,GE-06,Johor,P.101 Kluang,Kluang,federal
1986-08-02,GE-07,Johor,P.120 Kluang,Kluang,federal
1990-10-20,GE-08,Johor,P.120 Kluang,Kluang,federal
1995-04-24,GE-09,Johor,P.130 Kluang,Kluang,federal
1999-11-29,GE-10,Johor,P.130 Kluang,Kluang,federal
2004-03-21,GE-11,Johor,P.152 Kluang,Kluang,federal
2008-03-08,GE-12,Johor,P.152 Kluang,Kluang,federal
2013-05-05,GE-13,Johor,P.152 Kluang,Kluang,federal
2018-05-09,GE-14,Johor,P.152 Kluang,Kluang,federal
2022-11-19,GE-15,Johor,P.152 Kluang,Kluang,federal
1959-05-20,GE-01,Johor,P.065 Kluang Selatan,Kluang Selatan,federal
1964-04-25,GE-02,Johor,P.099 Kluang Selatan,Kluang Selatan,federal
1969-05-10,GE-03,Johor,P.099 Kluang Selatan,Kluang Selatan,federal
1959-05-20,GE-01,Johor,P.066 Kluang Utara,Kluang Utara,federal
1964-04-25,GE-02,Johor,P.095 Kluang Utara,Kluang Utara,federal
1969-05-10,GE-03,Johor,P.095 Kluang Utara,Kluang Utara,federal
1986-08-02,GE-07,Johor,P.128 Kota Tinggi,Kota Tinggi,federal
1990-10-20,GE-08,Johor,P.128 Kota Tinggi,Kota Tinggi,federal
1995-04-24,GE-09,Johor,P.139 Kota Tinggi,Kota Tinggi,federal
1999-11-29,GE-10,Johor,P.139 Kota Tinggi,Kota Tinggi,federal
2004-03-21,GE-11,Johor,P.156 Kota Tinggi,Kota Tinggi,federal
2008-03-08,GE-12,Johor,P.156 Kota Tinggi,Kota Tinggi,federal
2013-05-05,GE-13,Johor,P.156 Kota Tinggi,Kota Tinggi,federal
2018-05-09,GE-14,Johor,P.156 Kota Tinggi,Kota Tinggi,federal
2022-11-19,GE-15,Johor,P.156 Kota Tinggi,Kota Tinggi,federal
2004-03-21,GE-11,Johor,P.163 Kulai,Kulai,federal
2008-03-08,GE-12,Johor,P.163 Kulai,Kulai,federal
2013-05-05,GE-13,Johor,P.163 Kulai,Kulai,federal
2018-05-09,GE-14,Johor,P.163 Kulai,Kulai,federal
2022-11-19,GE-15,Johor,P.163 Kulai,Kulai,federal
1974-08-24,GE-04,Johor,P.099 Labis,Labis,federal
1978-07-08,GE-05,Johor,P.099 Labis,Labis,federal
1982-04-22,GE-06,Johor,P.099 Labis,Labis,federal
1986-08-02,GE-07,Johor,P.118 Labis,Labis,federal
1990-10-20,GE-08,Johor,P.118 Labis,Labis,federal
1995-04-24,GE-09,Johor,P.128 Labis,Labis,federal
1999-11-29,GE-10,Johor,P.128 Labis,Labis,federal
2004-03-21,GE-11,Johor,P.142 Labis,Labis,federal
2008-03-08,GE-12,Johor,P.142 Labis,Labis,federal
2013-05-05,GE-13,Johor,P.142 Labis,Labis,federal
