slug,date,from,to,type
p001-padang-besar-perlis,1958-09-22,Perlis,Perlis Utara and Perlis Selatan,split
p001-padang-besar-perlis,1974-01-01,Perlis Utara,Kangar,rename
p001-padang-besar-perlis,1994-01-01,Kangar,Kangar and Padang Besar,split
p002-kangar-perlis,1958-09-22,Perlis,Perlis Utara and Perlis Selatan,split
p002-kangar-perlis,1974-01-01,Perlis Utara,Kangar,rename
p002-kangar-perlis,1994-01-01,Kangar,Kangar and Padang Besar,split
p003-arau-perlis,1958-09-22,Perlis,Perlis Utara and Perlis Selatan,split
p003-arau-perlis,1974-01-01,Perlis Selatan,Arau,rename
p004-langkawi-kedah,1958-09-22,,,
p005-jerlun-kedah,1958-09-22,,,
p006-kubang-pasu-kedah,1958-09-22,,,
p007-padang-terap-kedah,1958-09-22,,,
p008-pokok-sena-kedah,1958-09-22,,,
p009-alor-setar-kedah,1958-09-22,Alor Star,Alor Star and Kuala Kedah,split
p010-kuala-kedah-kedah,1958-09-22,Alor Star,Alor Star and Kuala Kedah,split
p011-pendang-kedah,1958-09-22,,,
p012-jerai-kedah,1958-09-22,,,
p013-sik-kedah,1958-09-22,,,
p014-merbok-kedah,1958-09-22,,,
p015-sungai-petani-kedah,1958-09-22,,,
p016-baling-kedah,1958-09-22,,,
p017-padang-serai-kedah,1958-09-22,,,
p018-kulimbandar-baharu-kedah,1958-09-22,,,
p019-tumpat-kelantan,1958-09-22,,,
p020-pengkalan-chepa-kelantan,1958-09-22,,,
p021-kota-bharu-kelantan,1958-09-22,,,
p022-pasir-mas-kelantan,1958-09-22,,,
p023-rantau-panjang-kelantan,1958-09-22,,,
p024-kubang-kerian-kelantan,1958-09-22,,,
p025-bachok-kelantan,1958-09-22,,,
p026-ketereh-kelantan,1958-09-22,,,
p027-tanah-merah-kelantan,1958-09-22,,,
p028-pasir-puteh-kelantan,1958-09-22,,,
p029-machang-kelantan,1958-09-22,,,
p030-jeli-kelantan,1958-09-22,,,
p031-kuala-krai-kelantan,1958-09-22,,,
p032-gua-musang-kelantan,1958-09-22,,,
p033-besut-terengganu,1958-09-22,,,
p034-setiu-terengganu,1958-09-22,,,
p035-kuala-nerus-terengganu,1958-09-22,,,
p036-kuala-terengganu-terengganu,1958-09-22,,,
p037-marang-terengganu,1958-09-22,,,
p038-hulu-terengganu-terengganu,1958-09-22,,,
p039-dungun-terengganu,1958-09-22,,,
p040-kemaman-terengganu,1958-09-22,,,
p041-kepala-batas-pulau-pinang,1958-09-22,,,
p042-tasek-gelugor-pulau-pinang,1958-09-22,,,
p043-bagan-pulau-pinang,1958-09-22,,,
p044-permatang-pauh-pulau-pinang,1958-09-22,,,
p045-bukit-mertajam-pulau-pinang,1958-09-22,,,
p046-batu-kawan-pulau-pinang,1958-09-22,,,
p047-nibong-tebal-pulau-pinang,1958-09-22,,,
p048-bukit-bendera-pulau-pinang,1958-09-22,,,
p049-tanjong-pulau-pinang,1958-09-22,,,
p050-jelutong-pulau-pinang,1958-09-22,,,
p051-bukit-gelugor-pulau-pinang,1958-09-22,,,
p052-bayan-baru-pulau-pinang,1958-09-22,,,
p053-balik-pulau-pulau-pinang,1958-09-22,,,
p054-gerik-perak,1958-09-22,,,
