date,election,state,seat,type,lineage
1955-07-25,GE-00,Perlis,P.052 Perlis,federal,"[P.001,P.002,P.003]"
1959-05-20,GE-01,Perlis,P.083 Perlis Utara,federal,"[P.001,P.002]"
1964-04-25,GE-02,Perlis,P.001 Perlis Utara,federal,"[P.001,P.002]"
1969-05-10,GE-03,Perlis,P.001 Perlis Utara,federal,"[P.001,P.002]"
1974-08-24,GE-04,Perlis,P.001 Kangar,federal,"[P.001,P.002]"
1978-07-08,GE-05,Perlis,P.001 Kangar,federal,"[P.001,P.002]"
1982-04-22,GE-06,Perlis,P.001 Kangar,federal,"[P.001,P.002]"
1986-08-02,GE-07,Perlis,P.001 Kangar,federal,"[P.001,P.002]"
1990-10-20,GE-08,Perlis,P.001 Kangar,federal,"[P.001,P.002]"
1995-04-24,GE-09,Perlis,P.001 Padang Besar,federal,[P.001]
1999-11-29,GE-10,Perlis,P.001 Padang Besar,federal,[P.001]
2004-03-21,GE-11,Perlis,P.001 Padang Besar,federal,[P.001]
2008-03-08,GE-12,Perlis,P.001 Padang Besar,federal,[P.001]
2013-05-05,GE-13,Perlis,P.001 Padang Besar,federal,[P.001]
2018-05-09,GE-14,Perlis,P.001 Padang Besar,federal,[P.001]
2022-11-19,GE-15,Perlis,P.001 Padang Besar,federal,[P.001]
1995-04-24,GE-09,Perlis,P.002 Kangar,federal,[P.002]
1999-11-29,GE-10,Perlis,P.002 Kangar,federal,[P.002]
2004-03-21,GE-11,Perlis,P.002 Kangar,federal,[P.002]
2008-03-08,GE-12,Perlis,P.002 Kangar,federal,[P.002]
2013-05-05,GE-13,Perlis,P.002 Kangar,federal,[P.002]
2018-05-09,GE-14,Perlis,P.002 Kangar,federal,[P.002]
2022-11-19,GE-15,Perlis,P.002 Kangar,federal,[P.002]
1959-05-20,GE-01,Perlis,P.084 Perlis Selatan,federal,[P.003]
1964-04-25,GE-02,Perlis,P.002 Perlis Selatan,federal,[P.003]
1969-05-10,GE-03,Perlis,P.002 Perlis Selatan,federal,[P.003]
