date,state,seat,ballot_order,name,candidate_uid,party,party_uid,votes
2008-08-26,Pulau Pinang,P.044 Permatang Pauh,1,Haji Pi,23678,AKIM,63,92
2008-08-26,Pulau Pinang,P.044 Permatang Pauh,2,Anwar Ibrahim,1426,PKR,11,31195
2008-08-26,Pulau Pinang,P.044 Permatang Pauh,3,Datuk Arif Shah Bin Omar Shah,16672,BN,25,15524
2009-01-17,Terengganu,P.036 Kuala Terengganu,1,Dato' Wan Ahmad Farid,20037,BN,25,30252
2009-01-17,Terengganu,P.036 Kuala Terengganu,2,Haji Mohd Abdul Wahid Bin Endut,12236,PAS,3,32883
2009-01-17,Terengganu,P.036 Kuala Terengganu,3,Azharudin,23677,BEBAS,1,193
2009-04-07,Kedah,N.25 Bukit Selambau,1,R. Loganathan,23657,BEBAS,1,31
2009-04-07,Kedah,N.25 Bukit Selambau,2,Tan Hock Huat,19214,BEBAS,1,78
2009-04-07,Kedah,N.25 Bukit Selambau,3,Radzi,1368,BEBAS,1,25
2009-04-07,Kedah,N.25 Bukit Selambau,4,S. Manikumar,23660,PKR,11,12632
2009-04-07,Kedah,N.25 Bukit Selambau,5,Mohd Fazil,21652,BEBAS,1,83
2009-04-07,Kedah,N.25 Bukit Selambau,6,Abdul Rahim Bin Abu,1481,BEBAS,1,60
2009-04-07,Kedah,N.25 Bukit Selambau,7,Sarala,23663,BEBAS,1,49
2009-04-07,Kedah,N.25 Bukit Selambau,8,Dato' S. Ganesan,15558,BN,25,10229
2009-04-07,Kedah,N.25 Bukit Selambau,9,A.J. Gopal,19169,BEBAS,1,35
2009-04-07,Kedah,N.25 Bukit Selambau,10,S. Mogan,3839,BEBAS,1,46
2009-04-07,Kedah,N.25 Bukit Selambau,11,Khamis Bin Awang,3323,BEBAS,1,29
2009-04-07,Kedah,N.25 Bukit Selambau,12,Husaini Yaacob,23668,BEBAS,1,257
2009-04-07,Kedah,N.25 Bukit Selambau,13,Vinsen,23669,BEBAS,1,32
2009-04-07,Kedah,N.25 Bukit Selambau,14,Mejar Hj. Anuar Bin Abdul Hamid,22469,BEBAS,1,528
2009-04-07,Kedah,N.25 Bukit Selambau,15,T Chandrarajan,23671,BEBAS,1,73
2009-04-07,Perak,P.059 Bukit Gantang,1,Ismail Saffian,3725,BN,25,19071
2009-04-07,Perak,P.059 Bukit Gantang,2,Ir. Hj. Mohammad Nizar Jamaluddin,3278,PAS,3,21860
2009-04-07,Perak,P.059 Bukit Gantang,3,Kamarul Ramizu,23674,BEBAS,1,62
2009-04-07,Sarawak,N.29 Batang Air,1,Jawah Anak Gerang,2564,PKR,11,2053
