date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1957-10-26,BY-ELECTION,Perak,P.011 Sungei Perak Ulu,1,66JRY,Haji Meor Shamsudin bin Haji Meor Yahya,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,12795,69.36463189851459,1,won
1957-10-26,BY-ELECTION,Perak,P.011 Sungei Perak Ulu,2,WKTB4,Md. Sharif bin Babul,PR,009-PR,PR,0,ALONE,5651,30.635368101485415,2,lost
1957-11-23,BY-ELECTION,Perak,P.014 Ipoh and Menglembu,1,6ZMJF,D. R. Seenivasagam,PPP,006-PPP,PPP,0,ALONE,5911,59.09818036392721,1,won
1957-11-23,BY-ELECTION,Perak,P.014 Ipoh and Menglembu,2,9M8V7,Yap Yin Fah,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4091,40.90181963607279,2,lost
1957-12-14,BY-ELECTION,Johor,P.034 Batu Pahat,1,JT7BW,Abdul Ghani bin Hashim,PR,009-PR,PR,0,ALONE,1377,7.183098591549296,3,lost_deposit
1957-12-14,BY-ELECTION,Johor,P.034 Batu Pahat,2,17NS4,Dato' Onn,NEG,008-NEG,NEG,0,ALONE,5614,29.285341679707876,2,lost
1957-12-14,BY-ELECTION,Johor,P.034 Batu Pahat,3,7WVWJ,Syed Esa bin Alwee,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,12179,63.53155972874283,1,won
1959-11-23,BY-ELECTION,Johor,N.05 Plentong,1,9MJG8,Datin Fatimah binte Hj. A. Majid,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3934,70.90843547224225,1,won
1959-11-23,BY-ELECTION,Johor,N.05 Plentong,2,1N30B,Mohd. Zain bin Mohamed,LPM,005-LPM,LPM,2,SF,1614,29.09156452775775,2,lost
1960-05-18,BY-ELECTION,Perak,P.032 Kampar,1,191SC,Ustaz Abdul Wahab bin Haji Mohd. Noor,PAS,004-PAS,PAS,0,ALONE,1509,6.816333905501852,3,lost_deposit
