date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Pahang,N.01 Cameron Highlands,1,X8SKQ,Ramli Bin Mohd. Said,BEBAS,000-BEBAS,BEBAS,0,ALONE,163,5.618752154429507,3,lost_deposit
1959-05-20,SE-01,Pahang,N.01 Cameron Highlands,2,0PFP0,Subrayan,PERIKATAN,002-MIC,MIC,1,PERIKATAN,1336,46.05308514305412,2,lost
1959-05-20,SE-01,Pahang,N.01 Cameron Highlands,3,445R9,Yong Hong Chong,BEBAS,000-BEBAS,BEBAS,0,ALONE,1402,48.32816270251637,1,won
1959-05-20,SE-01,Pahang,N.02 Dong,1,VC8Z5,Abd. Hamid Bin Abdullah,PAS,004-PAS,PAS,0,ALONE,1289,30.933525317974564,2,lost
1959-05-20,SE-01,Pahang,N.02 Dong,2,7HVTJ,Sendiri Bin Haji Hussin,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2878,69.06647468202543,1,won
1959-05-20,SE-01,Pahang,N.03 Bandar Raub,1,AZHWV,Chua Yong Guan,PERIKATAN,003-MCA,MCA,1,PERIKATAN,1883,55.4639175257732,1,won
1959-05-20,SE-01,Pahang,N.03 Bandar Raub,2,ED7Z4,Mohamed Yaccob Bin Baginda,PAS,004-PAS,PAS,0,ALONE,100,2.945508100147275,3,lost_deposit
1959-05-20,SE-01,Pahang,N.03 Bandar Raub,3,3CEF6,Abu Bakar Bin Mohamed Resat,SF,009-PR,PR,2,SF,1412,41.59057437407953,2,lost
1959-05-20,SE-01,Pahang,N.04 Tras,1,HTY1D,Othman Bin Sabudin,PAS,004-PAS,PAS,0,ALONE,471,15.014344915524386,2,lost
1959-05-20,SE-01,Pahang,N.04 Tras,2,N8M3P,Goh Teng Koon,BEBAS,000-BEBAS,BEBAS,0,ALONE,427,13.611730953139942,3,lost
1959-05-20,SE-01,Pahang,N.04 Tras,3,RPA5Z,Sulaiman Bin Shahbuddin,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2239,71.37392413133567,1,won
1959-05-20,SE-01,Pahang,N.05 Sabai,1,W4088,Abu Bakar Bin Haji Ahmad,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2698,79.37628714327744,1,won
1959-05-20,SE-01,Pahang,N.05 Sabai,2,ZHPAH,Leong Thoe Cheok,BEBAS,000-BEBAS,BEBAS,0,ALONE,701,20.623712856722566,2,lost
1959-05-20,SE-01,Pahang,N.06 Bandar Bentong,1,2ZCCT,Chow Seng Toong,PERIKATAN,003-MCA,MCA,1,PERIKATAN,0,,1,won_uncontested
1959-05-20,SE-01,Pahang,N.07 Benus,1,6D2F3,Basir Bin Mat,SF,005-LPM,LPM,2,SF,411,12.496199452721193,3,lost_deposit
1959-05-20,SE-01,Pahang,N.07 Benus,2,9TRHC,Toh Wai Theng,BEBAS,000-BEBAS,BEBAS,0,ALONE,718,21.830343569474003,2,lost
1959-05-20,SE-01,Pahang,N.07 Benus,3,D8EKN,Chow Tek Noe,PERIKATAN,003-MCA,MCA,1,PERIKATAN,2160,65.6734569778048,1,won
1959-05-20,SE-01,Pahang,N.08 Mentakab,1,GP4NY,Sallehuddin Bin Awang Pekan,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2330,48.795811518324605,1,won
1959-05-20,SE-01,Pahang,N.08 Mentakab,2,M3TR7,Mohd. Said Bin Ibrahim,PAS,004-PAS,PAS,0,ALONE,988,20.69109947643979,3,lost
1959-05-20,SE-01,Pahang,N.08 Mentakab,3,QHGTG,Mat Bin Yaacob,SF,009-PR,PR,2,SF,1457,30.5130890052356,2,lost
1959-05-20,SE-01,Pahang,N.09 Tanah Puteh,1,TZ6WS,Dato' Setia Bakti Wong Kwan Tan,PERIKATAN,003-MCA,MCA,1,PERIKATAN,2265,82.30377906976744,1,won
1959-05-20,SE-01,Pahang,N.09 Tanah Puteh,2,YCWZ2,Shaikh Hussin Bin Shaikh Long,PAS,004-PAS,PAS,0,ALONE,487,17.69622093023256,2,lost
1959-05-20,SE-01,Pahang,N.10 Telok Sisek,1,DNGP1,Haji Hamzah Bin Dahaman,PAS,004-PAS,PAS,0,ALONE,765,31.37817883511075,2,lost
1959-05-20,SE-01,Pahang,N.10 Telok Sisek,2,1TK1B,Mahimon Binti Harun,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,1673,68.62182116488925,1,won
1959-05-20,SE-01,Pahang,N.11 Beserah,1,5893M,Haji Nik Leh Bin Haji Nik Mat,PAS,004-PAS,PAS,0,ALONE,724,22.78879446018256,2,lost
1959-05-20,SE-01,Pahang,N.11 Beserah,2,8NZ5X,Abdul Aziz Bin Ahmad,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2453,77.21120553981744,1,won
1959-05-20,SE-01,Pahang,N.12 Ulu Kuantan,1,C3N86,Abdul Aziz Bin Kassim,PAS,004-PAS,PAS,0,ALONE,526,14.223904813412656,3,lost
1959-05-20,SE-01,Pahang,N.12 Ulu Kuantan,2,FHBAF,Zainuddin Bin Haji Ahmad,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2274,61.49269875608437,1,won
1959-05-20,SE-01,Pahang,N.12 Ulu Kuantan,3,JZ1CR,Mohamed Kameil Bin H. Ibrahim,SF,009-PR,PR,2,SF,898,24.283396430502975,2,lost
1959-05-20,SE-01,Pahang,N.13 Kuala Pahang,1,PCQF1,Sulong Bin Awang Hitam,PAS,004-PAS,PAS,0,ALONE,1461,36.4611929124033,2,lost
1959-05-20,SE-01,Pahang,N.13 Kuala Pahang,2,STDHA,Muhamad Bin Jusoh,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2379,59.371100573995506,1,won
1959-05-20,SE-01,Pahang,N.13 Kuala Pahang,3,X83KK,Syed Muhammad Bin Tuan Ngah,BEBAS,000-BEBAS,BEBAS,0,ALONE,167,4.167706513601198,3,lost_deposit
1959-05-20,SE-01,Pahang,N.14 Pahang Tua,1,0NSNW,Abdul Hamid Bin Awang Hitam,PAS,004-PAS,PAS,0,ALONE,1389,30.64872021182701,2,lost
1959-05-20,SE-01,Pahang,N.14 Pahang Tua,2,43FR5,Tengku Haji Ja'Afar Bin Tengku Muda Ali,BEBAS,000-BEBAS,BEBAS,0,ALONE,266,5.8693733451015,3,lost_deposit
1959-05-20,SE-01,Pahang,N.14 Pahang Tua,3,7H5TE,Ahmad Bin Othman Alias Haji Ahmad Bin Othman,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2877,63.48190644307149,1,won
1959-05-20,SE-01,Pahang,N.15 Rompin,1,AYVWQ,Tengku Abdul Hamid Ibni Al-Marhom Sultan Abdullah,PAS,004-PAS,PAS,0,ALONE,1096,37.34241908006815,2,lost
1959-05-20,SE-01,Pahang,N.15 Rompin,2,ECHZ0,Ibrahim Bin Arshad,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,1839,62.65758091993185,1,won
1959-05-20,SE-01,Pahang,N.16 Chenor,1,HT819,Wan Abdul Aziz Bin Ungku Haji Abdullah,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,1928,60.97406704617331,1,won
1959-05-20,SE-01,Pahang,N.16 Chenor,2,N7Y3J,Wan Ahmad Bin Wan Mohd. Salleh,PAS,004-PAS,PAS,0,ALONE,1000,31.62555344718533,2,lost
1959-05-20,SE-01,Pahang,N.16 Chenor,3,RNM5V,Md. Sham Bin Bilal Bar,SF,009-PR,PR,2,SF,234,7.400379506641366,3,lost_deposit
1959-05-20,SE-01,Pahang,N.17 Triang,1,W3A84,Yap Kim Chuan,SF,005-LPM,LPM,2,SF,1096,28.69861220214716,2,lost
1959-05-20,SE-01,Pahang,N.17 Triang,2,ZH0AD,Lum Wah Kum Alias Lum Ban Kee,PERIKATAN,003-MCA,MCA,1,PERIKATAN,1967,51.50562974600681,1,won
1959-05-20,SE-01,Pahang,N.17 Triang,3,2YPCP,Abdullah Bin Mohamed,PAS,004-PAS,PAS,0,ALONE,756,19.795758051846033,3,lost
1959-05-20,SE-01,Pahang,N.18 Kuala Semantan,1,6CCEZ,Jaafar Bin Hussin,SF,009-PR,PR,2,SF,664,25.587668593448942,2,lost
1959-05-20,SE-01,Pahang,N.18 Kuala Semantan,2,9T2H8,Abdul Wahab Bin Mohamed Zabidin,PAS,004-PAS,PAS,0,ALONE,500,19.26782273603083,3,lost
1959-05-20,SE-01,Pahang,N.18 Kuala Semantan,3,D7RKH,Awang Ngah Bin Tok Muda Ibrahim,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,1431,55.14450867052023,1,won
1959-05-20,SE-01,Pahang,N.19 Jenderak,1,GNENT,Abdul Aziz Bin Uda,PAS,004-PAS,PAS,0,ALONE,1344,45.436105476673426,2,lost
1959-05-20,SE-01,Pahang,N.19 Jenderak,2,M34R3,Mohd. Yusof Bin Haji Long,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,1614,54.563894523326574,1,won
1959-05-20,SE-01,Pahang,N.20 Sanggang,1,QGTTC,Salleh Bin Tais,BEBAS,000-BEBAS,BEBAS,0,ALONE,282,9.730848861283643,3,lost_deposit
1959-05-20,SE-01,Pahang,N.20 Sanggang,2,TYGWN,Dato' Abu Samah Bin Haji Ali,PAS,004-PAS,PAS,0,ALONE,1071,36.95652173913043,2,lost
1959-05-20,SE-01,Pahang,N.20 Sanggang,3,YC6YY,Yahaya Bin Hj. Mohd. Seh,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,1545,53.31262939958592,1,won
1959-05-20,SE-01,Pahang,N.21 Jelai,1,1SX17,Muhammad Nor Bin Sulaiman,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2816,75.27399091152098,1,won
1959-05-20,SE-01,Pahang,N.21 Jelai,2,57K3G,Sulaiman Bin Sidek,PAS,004-PAS,PAS,0,ALONE,925,24.726009088479017,2,lost
1959-05-20,SE-01,Pahang,N.22 Kuala Lipis,1,8N95S,Ong Seong Tek,BEBAS,000-BEBAS,BEBAS,0,ALONE,923,28.664596273291927,2,lost
1959-05-20,SE-01,Pahang,N.22 Kuala Lipis,2,C2Z82,Hamzah Bin Haji Hussain,PAS,004-PAS,PAS,0,ALONE,506,15.714285714285714,3,lost
1959-05-20,SE-01,Pahang,N.22 Kuala Lipis,3,FGNAB,Seong Sik Yong,PERIKATAN,003-MCA,MCA,1,PERIKATAN,1791,55.62111801242236,1,won
1959-05-20,SE-01,Pahang,N.23 Tanjong Besar,1,JYBCM,Mohd. Khairuddin Bin Mohd. Kai Alias Khairuddin Kawi,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4161,73.24414715719062,1,won
1959-05-20,SE-01,Pahang,N.23 Tanjong Besar,2,PC1EX,Mohd. Salleh Bin Abdul Karim,PAS,004-PAS,PAS,0,ALONE,1520,26.755852842809364,2,lost
1959-05-20,SE-01,Pahang,N.24 Jerantut,1,SSQH6,Abdul Muin Bin Said,PAS,004-PAS,PAS,0,ALONE,1247,30.593719332679097,2,lost
1959-05-20,SE-01,Pahang,N.24 Jerantut,2,X7DKF,Abdullah Bin Haji Mohd. Akil,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2829,69.40628066732091,1,won
1964-04-25,SE-02,Pahang,N.01 Cameron Highlands,1,G5MJY,Soh Kai Chee,BEBAS,000-BEBAS,BEBAS,0,ALONE,653,24.19414597999259,2,lost
1964-04-25,SE-02,Pahang,N.01 Cameron Highlands,2,KKAN7,Cheong Kiat Lee @ Chong Kat Nee,PERIKATAN,003-MCA,MCA,1,PERIKATAN,1545,57.24342349018154,1,won
1964-04-25,SE-02,Pahang,N.01 Cameron Highlands,3,Q10QG,Goh Seng Wui,SF,005-LPM,LPM,2,SF,501,18.56243052982586,3,lost
1964-04-25,SE-02,Pahang,N.02 Dong,1,7HVTJ,Che Yeop Sendiri Bin Haji Hussin,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3922,81.13363673976004,1,won
1964-04-25,SE-02,Pahang,N.02 Dong,2,TEPSS,Harun Bin Sidek,SF,009-PR,PR,2,SF,715,14.791063301613573,2,lost
1964-04-25,SE-02,Pahang,N.02 Dong,3,XWCW2,M. Sidek Bin Norti,BEBAS,000-BEBAS,BEBAS,0,ALONE,197,4.075299958626396,3,lost_deposit
1964-04-25,SE-02,Pahang,N.03 Bandar Raub,1,1A2YB,Ng Keat Ling,PERIKATAN,003-MCA,MCA,1,PERIKATAN,2934,59.87755102040816,1,won
1964-04-25,SE-02,Pahang,N.03 Bandar Raub,2,4QS0M,Saw Chooi Lye,SF,005-LPM,LPM,2,SF,1966,40.12244897959184,2,lost
1964-04-25,SE-02,Pahang,N.04 Tras,1,85F2X,Ng Yew Ming,SF,005-LPM,LPM,2,SF,1250,33.04255881575469,2,lost
1964-04-25,SE-02,Pahang,N.04 Tras,2,RPA5Z,Sulaiman Bin Sabudin,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2533,66.9574411842453,1,won
1964-04-25,SE-02,Pahang,N.05 Sabai,1,W4088,Abu Bakar Bin Haji Ahmad,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3454,70.90946417573394,1,won
1964-04-25,SE-02,Pahang,N.05 Sabai,2,BK556,Leong Saik Yuen,SF,005-LPM,LPM,2,SF,1417,29.090535824266066,2,lost
1964-04-25,SE-02,Pahang,N.06 Bandar Bentong,1,F0V7F,Chia Kia Pho,SF,005-LPM,LPM,2,SF,1485,33.0514133095927,2,lost
1964-04-25,SE-02,Pahang,N.06 Bandar Bentong,2,2ZCCT,Chow Seng Toong,PERIKATAN,003-MCA,MCA,1,PERIKATAN,3008,66.9485866904073,1,won
1964-04-25,SE-02,Pahang,N.07 Benus,1,JEH9R,Lee Yew Kwong,BEBAS,000-BEBAS,BEBAS,0,ALONE,363,8.638743455497382,4,lost_deposit
1964-04-25,SE-02,Pahang,N.07 Benus,2,D8EKN,Chow Tek Noe,PERIKATAN,003-MCA,MCA,1,PERIKATAN,2055,48.905283198476916,1,won
1964-04-25,SE-02,Pahang,N.07 Benus,3,9TRHC,Toh Wai Theng,PDB,016-UDP,UDP,0,ALONE,593,14.112327463112804,3,lost
1964-04-25,SE-02,Pahang,N.07 Benus,4,NW7C1,Seow Toong Sang,SF,005-LPM,LPM,2,SF,1191,28.3436458829129,2,lost
1964-04-25,SE-02,Pahang,N.08 Mentakab,1,S9XEA,Meriam Binti Mohamad,BEBAS,000-BEBAS,BEBAS,0,ALONE,616,10.752312794554024,3,lost_deposit
1964-04-25,SE-02,Pahang,N.08 Mentakab,2,6T4HF,Nem Ong Hang @ Lim Ong Hang,SF,005-LPM,LPM,2,SF,1983,34.61337057078024,2,lost
1964-04-25,SE-02,Pahang,N.08 Mentakab,3,WQKGK,Syed Abdullah Bin Syed Ali,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2999,52.34770466049922,1,won
1964-04-25,SE-02,Pahang,N.08 Mentakab,4,9T2H8,A. Wahab Bin M. Zabidin,BEBAS,000-BEBAS,BEBAS,0,ALONE,131,2.2866119741665214,4,lost_deposit
1964-04-25,SE-02,Pahang,N.09 Tanah Puteh,1,059JW,Chan Kwang Chek,PERIKATAN,003-MCA,MCA,1,PERIKATAN,0,,1,won_uncontested
1964-04-25,SE-02,Pahang,N.10 Telok Sisek,1,3JZN5,Shaikh Abdullah Bin Abu Bakar,PAS,004-PAS,PAS,0,ALONE,422,11.238348868175766,3,lost_deposit
