date,election,state,seat,voters_total,ballots_issued,ballots_not_returned,votes_rejected,votes_valid,majority,n_candidates,voter_turnout,majority_perc,votes_rejected_perc,ballots_not_returned_perc
1959-05-20,SE-01,Perlis,N.01 Kaki Bukit,3844,3259,0,54,3205,1495,2,84.78147762747138,46.64586583463339,1.6569499846578704,0.0
1959-05-20,SE-01,Perlis,N.02 Paya,3799,3305,0,44,3261,799,2,86.99657804685444,24.5016865992027,1.3313161875945536,0.0
1959-05-20,SE-01,Perlis,N.03 Mata Ayer,3218,2572,0,130,2442,798,3,79.92541951522685,32.67813267813268,5.05443234836703,0.0
1959-05-20,SE-01,Perlis,N.04 Bandar Kangar,1965,1439,0,16,1423,889,2,73.23155216284988,62.47364722417428,1.111883252258513,0.0
1959-05-20,SE-01,Perlis,N.05 Sena,3024,2493,0,23,2470,838,2,82.44047619047619,33.927125506072876,0.9225832330525472,0.0
1959-05-20,SE-01,Perlis,N.06 Bintong,3710,3137,0,39,3098,798,2,84.55525606469003,25.75855390574564,1.2432260121134842,0.0
1959-05-20,SE-01,Perlis,N.07 Kurong Anai,3115,2458,0,74,2384,606,2,78.90850722311397,25.419463087248324,3.010577705451587,0.0
1959-05-20,SE-01,Perlis,N.08 Arau,3209,2484,0,90,2394,354,2,77.40729199127455,14.786967418546364,3.6231884057971016,0.0
1959-05-20,SE-01,Perlis,N.09 Hutan Aji,3223,2522,0,61,2461,271,2,78.25007756748371,11.011783827712312,2.4187153053132437,0.0
1959-05-20,SE-01,Perlis,N.10 Kayang,3174,2612,0,46,2566,617,3,82.29363579080025,24.045206547155104,1.761102603369066,0.0
1959-05-20,SE-01,Perlis,N.11 Kuala Perlis,2577,2126,0,35,2091,1021,2,82.49902987970509,48.82831181252989,1.6462841015992473,0.0
1959-05-20,SE-01,Perlis,N.12 Sanglang,3497,2824,0,30,2794,360,2,80.75493279954247,12.884753042233358,1.0623229461756374,0.0
1964-04-25,SE-02,Perlis,N.01 Kaki Bukit,5316,4125,0,199,3926,1830,2,77.59593679458239,46.61232806928171,4.824242424242424,0.0
1964-04-25,SE-02,Perlis,N.02 Paya,4092,3626,0,140,3486,686,3,88.6119257086999,19.67871485943775,3.861003861003861,0.0
1964-04-25,SE-02,Perlis,N.03 Mata Ayer,3833,3192,0,229,2963,513,2,83.27680667884164,17.31353358083024,7.174185463659148,0.0
1964-04-25,SE-02,Perlis,N.04 Bandar Kangar,2732,2127,0,77,2050,956,2,77.85505124450953,46.63414634146342,3.6201222378937468,0.0
1964-04-25,SE-02,Perlis,N.05 Sena,3166,2676,0,146,2530,612,2,84.52305748578648,24.1897233201581,5.4559043348281016,0.0
1964-04-25,SE-02,Perlis,N.06 Bintong,4240,3691,0,211,3480,856,2,87.05188679245282,24.597701149425287,5.716607965321051,0.0
1964-04-25,SE-02,Perlis,N.07 Kurong Anai,3919,3013,0,194,2819,647,2,76.88185761673897,22.951401206101455,6.438765350149353,0.0
1964-04-25,SE-02,Perlis,N.08 Arau,4015,3134,0,164,2970,292,2,78.05728518057286,9.831649831649832,5.2329291640076585,0.0
1964-04-25,SE-02,Perlis,N.09 Hutan Aji,4007,3295,0,188,3107,253,2,82.23109558273022,8.14290312198262,5.705614567526555,0.0
1964-04-25,SE-02,Perlis,N.10 Kayang,3717,2984,0,158,2826,586,2,80.27979553403283,20.73602264685067,5.294906166219839,0.0
1964-04-25,SE-02,Perlis,N.11 Kuala Perlis,3329,2692,0,182,2510,1030,2,80.86512466206068,41.03585657370518,6.760772659732541,0.0
1964-04-25,SE-02,Perlis,N.12 Sanglang,4125,3459,0,156,3303,249,2,83.85454545454546,7.538601271571299,4.509973980919341,0.0
1969-05-10,SE-03,Perlis,N.01 Kaki Bukit,6376,4891,0,334,4557,1090,3,76.70953575909661,23.9192451174018,6.828869351870782,0.0
1969-05-10,SE-03,Perlis,N.02 Paya,4887,4154,0,232,3922,108,3,85.00102312257009,2.753697093319735,5.584978334135773,0.0
1969-05-10,SE-03,Perlis,N.03 Mata Ayer,4425,3638,0,220,3418,51,3,82.21468926553672,1.492100643651258,6.047278724573942,0.0
1969-05-10,SE-03,Perlis,N.04 Bandar Kangar,3269,2442,0,157,2285,1285,2,74.70174365249311,56.236323851203494,6.429156429156429,0.0
1969-05-10,SE-03,Perlis,N.05 Sena,3827,3217,0,233,2984,204,2,84.0606218970473,6.8364611260053625,7.242772769661175,0.0
1969-05-10,SE-03,Perlis,N.06 Bintong,5148,4379,0,327,4052,236,2,85.06216006216006,5.824284304047384,7.467458323818223,0.0
1969-05-10,SE-03,Perlis,N.07 Kurong Anai,4900,3795,0,322,3473,312,3,77.44897959183673,8.983587676360495,8.484848484848486,0.0
1969-05-10,SE-03,Perlis,N.08 Arau,4967,3802,0,191,3611,203,2,76.54519830883834,5.6217114372749935,5.023671751709626,0.0
1969-05-10,SE-03,Perlis,N.09 Hutan Aji,4839,3936,0,216,3720,16,2,81.33911965282084,0.43010752688172044,5.487804878048781,0.0
1969-05-10,SE-03,Perlis,N.10 Kayang,4625,3548,0,192,3356,254,2,76.7135135135135,7.568533969010726,5.411499436302142,0.0
1969-05-10,SE-03,Perlis,N.11 Kuala Perlis,4020,3116,0,173,2943,729,3,77.51243781094527,24.770642201834864,5.55198973042362,0.0
1969-05-10,SE-03,Perlis,N.12 Sanglang,4777,4079,0,138,3941,5,2,85.38831902867908,0.12687135244861708,3.383182152488355,0.0
1974-08-24,SE-04,Perlis,N.01 Titi Tinggi,4362,3278,0,209,3069,1757,2,75.14901421366346,57.24991854024112,6.375838926174497,0.0
1974-08-24,SE-04,Perlis,N.02 Chuping,5321,4195,0,325,3870,1358,3,78.83856417966547,35.09043927648579,7.747318235995232,0.0
1974-08-24,SE-04,Perlis,N.03 Bintong,4941,4124,0,331,3793,2435,2,83.464885650678,64.1972053783285,8.026188166828321,0.0
1974-08-24,SE-04,Perlis,N.04 Bandar Kangar,5587,4372,0,190,4182,1494,4,78.25308752461069,35.724533715925396,4.34583714547118,0.0
1974-08-24,SE-04,Perlis,N.05 Paya,5891,0,0,0,0,0,1,,,,
1974-08-24,SE-04,Perlis,N.06 Oran,3154,2588,0,154,2434,456,4,82.05453392517438,18.734593262119965,5.950540958268934,0.0
1974-08-24,SE-04,Perlis,N.07 Kuala Perlis,4720,3626,0,345,3281,781,2,76.82203389830508,23.803718378543127,9.5146166574738,0.0
1974-08-24,SE-04,Perlis,N.08 Kayang,4668,3445,0,307,3138,886,2,73.80034275921166,28.234544295729762,8.911465892597969,0.0
1974-08-24,SE-04,Perlis,N.09 Utan Aji,4637,3761,0,365,3396,986,3,81.10847530731075,29.034157832744405,9.704865727200213,0.0
1974-08-24,SE-04,Perlis,N.10 Bandar Arau,5086,3650,0,321,3329,2299,2,71.76563114431774,69.05977771102432,8.794520547945206,0.0
1974-08-24,SE-04,Perlis,N.11 Kurong Anai,5439,3979,0,475,3504,602,2,73.15683029968744,17.180365296803654,11.937672782106057,0.0
1974-08-24,SE-04,Perlis,N.12 Sanglang,4915,3974,0,282,3692,526,2,80.85452695829095,14.247020585048753,7.096124811273276,0.0
1978-07-08,SE-05,Perlis,N.01 Titi Tinggi,5365,0,0,0,0,0,1,,,,
1978-07-08,SE-05,Perlis,N.02 Chuping,6715,5208,0,319,4889,393,2,77.55770662695458,8.038453671507465,6.125192012288787,0.0
1978-07-08,SE-05,Perlis,N.03 Bintong,5726,4618,0,281,4337,2185,2,80.64966818023052,50.380447313811395,6.084885231702035,0.0
1978-07-08,SE-05,Perlis,N.04 Bandar Kangar,7406,5491,0,245,5246,920,2,74.1425870915474,17.53717117804041,4.461846658167911,0.0
1978-07-08,SE-05,Perlis,N.05 Paya,6683,5237,0,248,4989,967,2,78.36301062397128,19.38264181198637,4.735535611991598,0.0
1978-07-08,SE-05,Perlis,N.06 Oran,3730,0,0,0,0,0,1,,,,
1978-07-08,SE-05,Perlis,N.07 Kuala Perlis,5307,4146,0,245,3901,705,2,78.12323346523459,18.072289156626507,5.9093101784852875,0.0
1978-07-08,SE-05,Perlis,N.08 Kayang,5416,4124,0,209,3915,902,3,76.14475627769572,23.039591315453382,5.067895247332687,0.0
1978-07-08,SE-05,Perlis,N.09 Utan Aji,5228,4223,0,193,4030,516,2,80.77658760520275,12.803970223325061,4.570210750651196,0.0
1978-07-08,SE-05,Perlis,N.10 Bandar Arau,5681,4265,0,200,4065,118,3,75.07481077275128,2.9028290282902827,4.6893317702227435,0.0
1978-07-08,SE-05,Perlis,N.11 Kurong Anai,5929,4558,0,283,4275,521,2,76.8763703828639,12.187134502923977,6.208863536638877,0.0
1978-07-08,SE-05,Perlis,N.12 Sanglang,5386,4215,0,320,3895,711,2,78.25844782770145,18.254172015404365,7.591933570581258,0.0
1982-04-22,SE-06,Perlis,N.01 Titi Tinggi,6234,4528,0,130,4398,2115,3,72.63394289380814,48.0900409276944,2.871024734982332,0.0
1982-04-22,SE-06,Perlis,N.02 Chuping,7779,6110,0,178,5932,1622,2,78.54480010284098,27.34322319622387,2.913256955810147,0.0
1982-04-22,SE-06,Perlis,N.03 Bintong,6498,0,0,0,0,0,1,,,,
1982-04-22,SE-06,Perlis,N.04 Bandar Kangar,8912,6653,0,144,6509,1481,7,74.65215439856372,22.75311107697035,2.164437096046896,0.0
1982-04-22,SE-06,Perlis,N.05 Paya,7354,5632,0,165,5467,715,2,76.58417187924938,13.078470824949697,2.9296875,0.0
1982-04-22,SE-06,Perlis,N.06 Oran,5206,4206,0,116,4090,1962,2,80.79139454475605,47.97066014669927,2.757964812173086,0.0
1982-04-22,SE-06,Perlis,N.07 Kuala Perlis,6118,4678,0,130,4548,1574,2,76.46289637136319,34.60861917326297,2.7789653698161607,0.0
1982-04-22,SE-06,Perlis,N.08 Kayang,6096,4617,0,93,4524,912,2,75.73818897637796,20.159151193633953,2.014294996751137,0.0
1982-04-22,SE-06,Perlis,N.09 Utan Aji,5947,4731,0,129,4602,1456,2,79.55271565495208,31.63841807909605,2.7266962587190866,0.0
1982-04-22,SE-06,Perlis,N.10 Bandar Arau,6417,4547,0,107,4440,1430,2,70.85865669315879,32.207207207207205,2.35319991202991,0.0
1982-04-22,SE-06,Perlis,N.11 Kurong Anai,6575,5125,0,106,5019,1006,3,77.9467680608365,20.04383343295477,2.0682926829268293,0.0
1982-04-22,SE-06,Perlis,N.12 Sanglang,5882,4728,0,241,4487,467,2,80.38082284937096,10.40784488522398,5.0972927241962775,0.0
1986-08-02,SE-07,Perlis,N.01 Titi Tinggi,6152,4389,0,208,4181,1760,3,71.34265279583876,42.095192537670414,4.739120528594213,0.0
1986-08-02,SE-07,Perlis,N.02 Beseri,6138,4460,0,169,4291,1277,2,72.66210492016944,29.759962712654392,3.7892376681614346,0.0
1986-08-02,SE-07,Perlis,N.03 Oran,6642,5260,0,235,5025,2375,2,79.19301415236374,47.2636815920398,4.467680608365019,0.0
1986-08-02,SE-07,Perlis,N.04 Padang Pauh,6234,4632,0,155,4477,1359,2,74.3022136669875,30.35514853696672,3.3462867012089808,0.0
1986-08-02,SE-07,Perlis,N.05 Bintong,6411,4748,0,230,4518,1784,2,74.06020901575417,39.486498450641875,4.844144903117102,0.0
1986-08-02,SE-07,Perlis,N.06 Sena,5573,3902,0,131,3771,1147,2,70.01614929122555,30.416335189604883,3.357252690927729,0.0
1986-08-02,SE-07,Perlis,N.07 Indera Kayangan,7932,5545,0,141,5404,2632,2,69.90670700958144,48.704663212435236,2.5428313796212807,0.0
1986-08-02,SE-07,Perlis,N.08 Kuala Perlis,5841,4373,0,158,4215,897,2,74.86731724019859,21.281138790035588,3.613080265264121,0.0
1986-08-02,SE-07,Perlis,N.09 Kayang,6107,4481,0,195,4286,1382,2,73.37481578516456,32.244517032197855,4.351707208212453,0.0
