date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Pulau Pinang,N.01 Butterworth,1,W8490,Mpl. Yegappan,PERIKATAN,002-MIC,MIC,1,PERIKATAN,2639,47.652582159624416,1,won
1959-05-20,SE-01,Pulau Pinang,N.01 Butterworth,2,T9HM2,Peritam Singh,PPP,006-PPP,PPP,0,ALONE,1485,26.81473456121343,2,lost
1959-05-20,SE-01,Pulau Pinang,N.01 Butterworth,3,ZNTB9,G. Y. Oon,BEBAS,000-BEBAS,BEBAS,0,ALONE,1184,21.379559407728422,3,lost
1959-05-20,SE-01,Pulau Pinang,N.01 Butterworth,4,33GDJ,Ismail Bin Awang,SF,009-PR,PR,2,SF,230,4.15312387143373,4,lost_deposit
1959-05-20,SE-01,Pulau Pinang,N.02 Bagan Ajam,1,6H6FV,Phee Joo Teik,PERIKATAN,003-MCA,MCA,1,PERIKATAN,2875,51.6065338359361,1,won
1959-05-20,SE-01,Pulau Pinang,N.02 Bagan Ajam,2,9YWJ4,Kay Kim Huat,BEBAS,000-BEBAS,BEBAS,0,ALONE,1754,31.484473164602406,2,lost
1959-05-20,SE-01,Pulau Pinang,N.02 Bagan Ajam,3,DCJMD,Shariff Bin Moh. Isa,PAS,004-PAS,PAS,0,ALONE,745,13.372823550529528,3,lost
1959-05-20,SE-01,Pulau Pinang,N.02 Bagan Ajam,4,GT8PP,D. B. Ali,SF,009-PR,PR,2,SF,197,3.5361694489319686,4,lost_deposit
1959-05-20,SE-01,Pulau Pinang,N.03 Permatang Pauh,1,M7YRZ,Ariffin Bin Shariff,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4614,63.94124168514412,1,won
1959-05-20,SE-01,Pulau Pinang,N.03 Permatang Pauh,2,CJSAY,Abdullah Bin Abass,PAS,004-PAS,PAS,0,ALONE,1905,26.399667405764966,2,lost
1959-05-20,SE-01,Pulau Pinang,N.03 Permatang Pauh,3,QNMV8,Yunus Bin Mohamad,SF,009-PR,PR,2,SF,697,9.659090909090908,3,lost_deposit
1959-05-20,SE-01,Pulau Pinang,N.04 Bukit Mertajam,1,V3AXH,Wong Pow Nee,PERIKATAN,003-MCA,MCA,1,PERIKATAN,4221,70.26802064258365,1,won
1959-05-20,SE-01,Pulau Pinang,N.04 Bukit Mertajam,2,14XRM,Kang Eng Wah,SF,005-LPM,LPM,2,SF,1786,29.73197935741635,2,lost
1959-05-20,SE-01,Pulau Pinang,N.05 Alma,1,VJF09,Haji Sulaiman,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4082,69.78970764233202,1,won
1959-05-20,SE-01,Pulau Pinang,N.05 Alma,2,YH0ZT,Noor Sulaiman,SF,009-PR,PR,2,SF,1767,30.210292357667978,2,lost
1959-05-20,SE-01,Pulau Pinang,N.06 Sungei Bakap,1,1YQ23,Kee Yong Chin,PERIKATAN,003-MCA,MCA,1,PERIKATAN,3266,47.1012402653591,1,won
1959-05-20,SE-01,Pulau Pinang,N.06 Sungei Bakap,2,809X6,V. Veerappen,SF,005-LPM,LPM,2,SF,2413,34.79953850591289,2,lost
1959-05-20,SE-01,Pulau Pinang,N.06 Sungei Bakap,3,5CD4C,Md. Noor Bin Mahmood,BEBAS,000-BEBAS,BEBAS,0,ALONE,1255,18.09922122872801,3,lost
1959-05-20,SE-01,Pulau Pinang,N.07 Nibong Tebal,1,8T36N,Haji Sahid Bin Hassan,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2480,47.50047883547213,1,won
1959-05-20,SE-01,Pulau Pinang,N.07 Nibong Tebal,2,C7S8Y,Khor Peng Chong,SF,005-LPM,LPM,2,SF,1678,32.13943688948477,2,lost
1959-05-20,SE-01,Pulau Pinang,N.07 Nibong Tebal,3,FNFB7,Haji Mohamed Hasan Bin Ahmad,PAS,004-PAS,PAS,0,ALONE,696,13.33077954414863,3,lost
1959-05-20,SE-01,Pulau Pinang,N.07 Nibong Tebal,4,K35DG,J. G. V. Parambil,PPP,006-PPP,PPP,0,ALONE,367,7.029304730894465,4,lost_deposit
1959-05-20,SE-01,Pulau Pinang,N.08 Kelawai,1,PGVFS,Tan Khim Hoe,PERIKATAN,003-MCA,MCA,1,PERIKATAN,1382,44.81193255512322,1,won
1959-05-20,SE-01,Pulau Pinang,N.08 Kelawai,2,SYHJ2,Oh Cheow Hong,PAS,006-PPP,PPP,0,ALONE,601,19.48767833981842,2,lost
