date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Perak,N.01 Grik,1,682,Mohamed Ghazali Bin Haji,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4607,71.63738143368062,1,won
1959-05-20,SE-01,Perak,N.01 Grik,2,683,Huin Swee Leong,PPP,006-PPP,PPP,0,ALONE,1073,16.68480796143679,2,lost
1959-05-20,SE-01,Perak,N.01 Grik,3,684,Abu Bin Haji Bakri,PAS,004-PAS,PAS,0,ALONE,751,11.6778106048826,3,lost_deposit
1959-05-20,SE-01,Perak,N.02 Lenggong,1,685,Ahmad Bin Said,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,5342,66.29436584760487,1,won
1959-05-20,SE-01,Perak,N.02 Lenggong,2,214,Haji Abdul Samad Bin Hj. Mohd Noh,PAS,004-PAS,PAS,0,ALONE,1352,16.778356912385206,2,lost
1959-05-20,SE-01,Perak,N.02 Lenggong,3,686,Lum Kwok Loon,PPP,006-PPP,PPP,0,ALONE,855,10.610573343261356,3,lost_deposit
1959-05-20,SE-01,Perak,N.02 Lenggong,4,687,Shaharuddin Dahalan,SF,009-PR,PR,2,SF,509,6.316703896748573,4,lost_deposit
1959-05-20,SE-01,Perak,N.03 Selama,1,688,Haji Hussin Bin Haji Yaacob,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,6622,75.37848605577689,1,won
1959-05-20,SE-01,Perak,N.03 Selama,2,689,Kamarun Bin Mohd. Hassan,PAS,004-PAS,PAS,0,ALONE,2163,24.621513944223107,2,lost
1959-05-20,SE-01,Perak,N.04 Larut,1,690,Kamaruddin Bin Md. Isa,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4972,64.5798155604624,1,won
1959-05-20,SE-01,Perak,N.04 Larut,2,691,Harun Bin Haji Husain,PAS,004-PAS,PAS,0,ALONE,2018,26.21119625925445,2,lost
1959-05-20,SE-01,Perak,N.04 Larut,3,692,Haji Harun Bin Musa,SF,005-LPM,LPM,2,SF,709,9.208988180283153,3,lost_deposit
1959-05-20,SE-01,Perak,N.05 Parit Buntar,1,693,Hajah Halimah Binti Hj. Abd. Raof,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3744,51.62713734142306,1,won
1959-05-20,SE-01,Perak,N.05 Parit Buntar,2,33,Haji Hasan Adli Bin Hj. Arshad,PAS,004-PAS,PAS,0,ALONE,3508,48.37286265857694,2,lost
1959-05-20,SE-01,Perak,N.06 Kuala Kurau,1,694,Haji Shamsudin Bin Haji Ahmad,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4306,58.220659816116815,1,won
1959-05-20,SE-01,Perak,N.06 Kuala Kurau,2,695,Md. Kamil Bin Haji Ahmad,PAS,004-PAS,PAS,0,ALONE,3090,41.77934018388318,2,lost
1959-05-20,SE-01,Perak,N.07 Bagan Serai,1,696,Masud Bin Untoi,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,4113,65.3271918678526,1,won
1959-05-20,SE-01,Perak,N.07 Bagan Serai,2,697,Khadiri Bin Haji Dahalan,PAS,004-PAS,PAS,0,ALONE,1409,22.37928843710292,2,lost
1959-05-20,SE-01,Perak,N.07 Bagan Serai,3,698,G. P. Ramu,PPP,006-PPP,PPP,0,ALONE,774,12.293519695044473,3,lost_deposit
1959-05-20,SE-01,Perak,N.08 Gunong Semanggol,1,699,Baharuddin Bin Haji Abdul Latif,PAS,004-PAS,PAS,0,ALONE,3392,50.251851851851846,1,won
1959-05-20,SE-01,Perak,N.08 Gunong Semanggol,2,700,Ramli Bin Omar,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,3358,49.74814814814815,2,lost
1959-05-20,SE-01,Perak,N.09 Taiping,1,701,Goh Chok Sam,PERIKATAN,003-MCA,MCA,1,PERIKATAN,5736,63.882392248580025,1,won
