date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1967-04-08,SE-01,Sabah,N.01 Kudat,1,1688,O. T. Tsen Kinsung,PPKB,022-UPKO,UPKO,1,PERIKATAN,1697,35.141851314972044,2,lost
1967-04-08,SE-01,Sabah,N.01 Kudat,2,1689,Wong Loke Khiam,SCA,017-SCA-SBH,SCA,1,PERIKATAN,3132,64.85814868502796,1,won
1967-04-08,SE-01,Sabah,N.02 Bengkoka-Banggi,1,1690,Tun Datu Mustapha Bin Datu Harun,USNO,014-USNO,USNO,1,PERIKATAN,4690,69.69832070144152,1,won
1967-04-08,SE-01,Sabah,N.02 Bengkoka-Banggi,2,1691,Richard E. Yapp,PPKB,022-UPKO,UPKO,1,PERIKATAN,2039,30.301679298558476,2,lost
1967-04-08,SE-01,Sabah,N.03 Langkon,1,1692,Andrew Matakim,PPKB,022-UPKO,UPKO,1,PERIKATAN,3861,63.55555555555556,1,won
1967-04-08,SE-01,Sabah,N.03 Langkon,2,1693,Awang Ali Bin Osman,USNO,014-USNO,USNO,1,PERIKATAN,2214,36.44444444444444,2,lost
1967-04-08,SE-01,Sabah,N.04 Tandek,1,1694,Herman Luping,PPKB,022-UPKO,UPKO,1,PERIKATAN,2207,76.18225750776666,1,won
1967-04-08,SE-01,Sabah,N.04 Tandek,2,1695,Madina Bin Unggut,USNO,014-USNO,USNO,1,PERIKATAN,690,23.817742492233346,2,lost
1967-04-08,SE-01,Sabah,N.05 Usukan,1,1696,Mohamed Said Bin Keruak,USNO,014-USNO,USNO,1,PERIKATAN,0,,1,won_uncontested
1967-04-08,SE-01,Sabah,N.06 Sorob,1,1697,Ismail Bin Gimbad,PPKB,022-UPKO,UPKO,1,PERIKATAN,3920,52.69525473854013,1,won
1967-04-08,SE-01,Sabah,N.06 Sorob,2,1698,Banian Bin Noyoh,USNO,014-USNO,USNO,1,PERIKATAN,3519,47.30474526145987,2,lost
1967-04-08,SE-01,Sabah,N.07 Sulaman,1,1699,Wong John Joenoi,PPKB,022-UPKO,UPKO,1,PERIKATAN,1903,29.066748128914004,2,lost
1967-04-08,SE-01,Sabah,N.07 Sulaman,2,1700,O.K.K. Indan Bin Kari,USNO,014-USNO,USNO,1,PERIKATAN,4644,70.93325187108599,1,won
1967-04-08,SE-01,Sabah,N.08 Kiulu,1,1701,Bernard Bin Giom,USNO,014-USNO,USNO,1,PERIKATAN,631,12.843476490942399,2,lost
1967-04-08,SE-01,Sabah,N.08 Kiulu,2,1702,Payar Juman,PPKB,022-UPKO,UPKO,1,PERIKATAN,4260,86.70873193568085,1,won
1967-04-08,SE-01,Sabah,N.08 Kiulu,3,1703,O.K.K. Nonon Bin Anad,BEBAS,000-BEBAS,BEBAS,0,ALONE,16,0.3256665988194586,3,lost_deposit
1967-04-08,SE-01,Sabah,N.08 Kiulu,4,1704,Samin Bin Mindot,BEBAS,000-BEBAS,BEBAS,0,ALONE,6,0.12212497455729697,4,lost_deposit
1967-04-08,SE-01,Sabah,N.09 Jesselton Bandar,1,1705,Kok Fung Chong,BEBAS,000-BEBAS,BEBAS,0,ALONE,1850,38.73534338358459,2,lost
1967-04-08,SE-01,Sabah,N.09 Jesselton Bandar,2,1706,Dato Pang Tet Tshung,PERIKATAN,017-SCA-SBH,SCA,1,PERIKATAN,2870,60.09212730318257,1,won
1967-04-08,SE-01,Sabah,N.09 Jesselton Bandar,3,1707,Ng Peng Khun,BEBAS,000-BEBAS,BEBAS,0,ALONE,42,0.8793969849246231,3,lost_deposit
1967-04-08,SE-01,Sabah,N.09 Jesselton Bandar,4,1708,Spencer Lim Lai Mun,BEBAS,000-BEBAS,BEBAS,0,ALONE,14,0.2931323283082077,4,lost_deposit
1967-04-08,SE-01,Sabah,N.10 Tanjong Aru,1,1709,Lee Vui Min,SCA,017-SCA-SBH,SCA,1,PERIKATAN,3186,43.08316430020284,1,won
1967-04-08,SE-01,Sabah,N.10 Tanjong Aru,2,1710,George Chin Kok Min,BEBAS,000-BEBAS,BEBAS,0,ALONE,1389,18.78296146044625,3,lost
1967-04-08,SE-01,Sabah,N.10 Tanjong Aru,3,1711,Awid Mail,BEBAS,000-BEBAS,BEBAS,0,ALONE,52,0.7031778228532792,5,lost_deposit
1967-04-08,SE-01,Sabah,N.10 Tanjong Aru,4,1712,Thomas Jayasuriya,PPKB,022-UPKO,UPKO,1,PERIKATAN,2272,30.72346179851251,2,lost
1967-04-08,SE-01,Sabah,N.10 Tanjong Aru,5,1713,James Voon Kyam Kuin,BEBAS,000-BEBAS,BEBAS,0,ALONE,496,6.707234617985125,4,lost_deposit
1967-04-08,SE-01,Sabah,N.11 Moyog,1,1714,Chin Kui Sai,BEBAS,000-BEBAS,BEBAS,0,ALONE,64,0.7063238053195011,3,lost_deposit
1967-04-08,SE-01,Sabah,N.11 Moyog,2,1715,Alex Ng,USNO,014-USNO,USNO,1,PERIKATAN,2089,23.054850458006843,2,lost
1967-04-08,SE-01,Sabah,N.11 Moyog,3,1716,Peter Joinod Mojuntin,PPKB,022-UPKO,UPKO,1,PERIKATAN,6908,76.23882573667366,1,won
1967-04-08,SE-01,Sabah,N.12 Papar,1,1717,Jumah Bin Sallim,USNO,014-USNO,USNO,1,PERIKATAN,2389,54.049773755656105,1,won
1967-04-08,SE-01,Sabah,N.12 Papar,2,1718,Fred Sinidol,PPKB,022-UPKO,UPKO,1,PERIKATAN,2031,45.95022624434389,2,lost
1967-04-08,SE-01,Sabah,N.13 Bongawan,1,1719,Abu Bakar Bin Hj. Pengiran Ahmad,PPKB,022-UPKO,UPKO,1,PERIKATAN,2966,43.94074074074074,2,lost
1967-04-08,SE-01,Sabah,N.13 Bongawan,2,1720,Sherzeman Mulkiaman Sherzeman,USNO,014-USNO,USNO,1,PERIKATAN,3784,56.059259259259264,1,won
1967-04-08,SE-01,Sabah,N.14 Kuala Penyu,1,1721,Awang Anak Bin A. M. Thaufeck,USNO,014-USNO,USNO,1,PERIKATAN,2775,45.76187335092348,2,lost
1967-04-08,SE-01,Sabah,N.14 Kuala Penyu,2,1722,Wong Fook Siang,PPKB,022-UPKO,UPKO,1,PERIKATAN,3289,54.23812664907651,1,won
1967-04-08,SE-01,Sabah,N.15 Labuan,1,1723,O.K.K. Abdullah Bin Anson,USNO,014-USNO,USNO,1,PERIKATAN,3448,70.46801553239321,1,won
1967-04-08,SE-01,Sabah,N.15 Labuan,2,1724,Lucas Kong Thiam Sinn,BEBAS,000-BEBAS,BEBAS,0,ALONE,1445,29.531984467606787,2,lost
1967-04-08,SE-01,Sabah,N.16 Beaufort,1,1725,Haji Mohd. Dun Bin Banir,USNO,014-USNO,USNO,1,PERIKATAN,3598,58.90635232481991,1,won
1967-04-08,SE-01,Sabah,N.16 Beaufort,2,1726,Mohammad Yassin Buraw,BEBAS,000-BEBAS,BEBAS,0,ALONE,32,0.5239030779305829,3,lost_deposit
1967-04-08,SE-01,Sabah,N.16 Beaufort,3,1727,Haji Asneh Bin Hassan,PPKB,022-UPKO,UPKO,1,PERIKATAN,2478,40.56974459724951,2,lost
1967-04-08,SE-01,Sabah,N.17 Tenom,1,1728,Dato Mohd. Yassin Bin Haji Hashim,USNO,014-USNO,USNO,1,PERIKATAN,1806,41.38405132905591,2,lost
1967-04-08,SE-01,Sabah,N.17 Tenom,2,1729,Tingkalor Bin O. T. Lampang,PPKB,022-UPKO,UPKO,1,PERIKATAN,2558,58.615948670944086,1,won
1967-04-08,SE-01,Sabah,N.18 Sipitang-Ulu Padas,1,1730,Sadum Agong,PPKB,022-UPKO,UPKO,1,PERIKATAN,1574,36.94835680751174,2,lost
1967-04-08,SE-01,Sabah,N.18 Sipitang-Ulu Padas,2,1731,Harris Bin Md. Salleh,USNO,014-USNO,USNO,1,PERIKATAN,2686,63.05164319248826,1,won
1967-04-08,SE-01,Sabah,N.19 Keningau,1,1732,N. C. Anthony Undan Bin Andulag,PPKB,022-UPKO,UPKO,1,PERIKATAN,2537,62.456917774495324,1,won
1967-04-08,SE-01,Sabah,N.19 Keningau,2,1733,R. M. Jasni,USNO,014-USNO,USNO,1,PERIKATAN,1525,37.543082225504676,2,lost
1967-04-08,SE-01,Sabah,N.20 Pensiangan-Sook,1,1734,Stephen Koroh,PPKB,022-UPKO,UPKO,1,PERIKATAN,3376,61.048824593128394,1,won
1967-04-08,SE-01,Sabah,N.20 Pensiangan-Sook,2,1735,Abu Bakar Bin O.K.K. Anik (Untong),USNO,014-USNO,USNO,1,PERIKATAN,2154,38.951175406871606,2,lost
1967-04-08,SE-01,Sabah,N.21 Ranau,1,1736,Dato Ganie Gilong,PPKB,022-UPKO,UPKO,1,PERIKATAN,4170,61.887800534283166,1,won
1967-04-08,SE-01,Sabah,N.21 Ranau,2,1737,Amin Bin Mohammad Ali,USNO,014-USNO,USNO,1,PERIKATAN,2568,38.11219946571683,2,lost
1967-04-08,SE-01,Sabah,N.22 Tambunan,1,1738,Joseph Marcus Podtung,BEBAS,000-BEBAS,BEBAS,0,ALONE,69,1.9856115107913668,3,lost_deposit
1967-04-08,SE-01,Sabah,N.22 Tambunan,2,1739,Anthony Gibon,PPKB,022-UPKO,UPKO,1,PERIKATAN,2901,83.4820143884892,1,won
1967-04-08,SE-01,Sabah,N.22 Tambunan,3,1740,Primus,BEBAS,000-BEBAS,BEBAS,0,ALONE,493,14.18705035971223,2,lost
1967-04-08,SE-01,Sabah,N.22 Tambunan,4,1741,Ong Shih Chang,BEBAS,000-BEBAS,BEBAS,0,ALONE,5,0.14388489208633093,5,lost_deposit
1967-04-08,SE-01,Sabah,N.22 Tambunan,5,1742,Ng Ah Kiew,BEBAS,000-BEBAS,BEBAS,0,ALONE,7,0.2014388489208633,4,lost_deposit
1967-04-08,SE-01,Sabah,N.23 Sandakan Bandar,1,1743,Khoo Siak Chiew,PERIKATAN,017-SCA-SBH,SCA,1,PERIKATAN,2285,55.13996138996139,1,won
1967-04-08,SE-01,Sabah,N.23 Sandakan Bandar,2,1744,Chong Thain Vun,BEBAS,000-BEBAS,BEBAS,0,ALONE,1859,44.86003861003861,2,lost
1967-04-08,SE-01,Sabah,N.24 Elopura,1,1745,Yap Pak Leong,BEBAS,000-BEBAS,BEBAS,0,ALONE,2715,69.0137264870361,1,won
