date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1969-05-10,SE-01,Sarawak,N.01 Lundu,1,GN3TH,Chong Kim Mook,SUPP,013-SUPP,SUPP,0,ALONE,1496,28.64254260003829,1,won
1969-05-10,SE-01,Sarawak,N.01 Lundu,2,M2SWT,Sidi Munan,PESAKA,018-PESAKA,PESAKA,0,ALONE,1275,24.41125789775991,2,lost
1969-05-10,SE-01,Sarawak,N.01 Lundu,3,QGFZ3,T. K. Suud Bin Udin,PERIKATAN,027-PBRS-SWK,PBRS,1,PERIKATAN,1198,22.937009381581465,3,lost
1969-05-10,SE-01,Sarawak,N.01 Lundu,4,TY61C,Charles Linang,SNAP,015-SNAP,SNAP,0,ALONE,1105,21.15642351139192,4,lost
1969-05-10,SE-01,Sarawak,N.01 Lundu,5,YBW3N,Jimmy Sim Moh Huat,BEBAS,000-BEBAS,BEBAS,0,ALONE,82,1.5699789393069117,5,lost_deposit
1969-05-10,SE-01,Sarawak,N.01 Lundu,6,1SJ5Y,Peter Chung,BEBAS,000-BEBAS,BEBAS,0,ALONE,67,1.282787669921501,6,lost_deposit
1969-05-10,SE-01,Sarawak,N.02 Bau,1,57887,Ong Ah Khim,SUPP,013-SUPP,SUPP,0,ALONE,2902,37.488696550833225,1,won
1969-05-10,SE-01,Sarawak,N.02 Bau,2,8MYAG,Michael Sadin,SNAP,015-SNAP,SNAP,0,ALONE,2225,28.7430564526547,2,lost
1969-05-10,SE-01,Sarawak,N.02 Bau,3,C2MCS,Aloysius Dom Nagok,PERIKATAN,027-PBRS-SWK,PBRS,1,PERIKATAN,1257,16.238212117297508,3,lost
1969-05-10,SE-01,Sarawak,N.02 Bau,4,FGAF2,Gabriel Dan Anak Nganjau,PESAKA,018-PESAKA,PESAKA,0,ALONE,818,10.567110192481593,4,lost_deposit
1969-05-10,SE-01,Sarawak,N.02 Bau,5,JY0HB,Ong Guan Cheng,BEBAS,000-BEBAS,BEBAS,0,ALONE,539,6.96292468673298,5,lost_deposit
1969-05-10,SE-01,Sarawak,N.03 Kuching Barat,1,PBPKM,Cheng Yew Kiew,PERIKATAN,019-SCA-SWK,SCA,1,PERIKATAN,5410,50.18087375939152,1,won
1969-05-10,SE-01,Sarawak,N.03 Kuching Barat,2,4DEYR,Ong Kee Hui,SUPP,013-SUPP,SUPP,0,ALONE,4103,38.05769409145719,2,lost
1969-05-10,SE-01,Sarawak,N.03 Kuching Barat,3,SSCNX,Haji Mohd. Ali Bin Ahmad,SNAP,015-SNAP,SNAP,0,ALONE,1076,9.980521287450143,3,lost_deposit
1969-05-10,SE-01,Sarawak,N.03 Kuching Barat,4,X72R6,King Shih Fan,BEBAS,000-BEBAS,BEBAS,0,ALONE,192,1.7809108617011409,4,lost_deposit
1969-05-10,SE-01,Sarawak,N.04 Kuching Timor,1,38NK9,Stephen K. T. Yong,SUPP,013-SUPP,SUPP,0,ALONE,7560,80.46833422032996,1,won
1969-05-10,SE-01,Sarawak,N.04 Kuching Timor,2,0MRTF,Lo Yik Fong,PERIKATAN,019-SCA-SWK,SCA,1,PERIKATAN,989,10.526875997871208,2,lost_deposit
1969-05-10,SE-01,Sarawak,N.04 Kuching Timor,3,42EWR,Thomas Lim Thian Huat,SNAP,015-SNAP,SNAP,0,ALONE,641,6.822778073443321,3,lost_deposit
1969-05-10,SE-01,Sarawak,N.04 Kuching Timor,4,7G4Z1,Teo Sing Chiu,BEBAS,000-BEBAS,BEBAS,0,ALONE,124,1.3198509845662585,4,lost_deposit
1969-05-10,SE-01,Sarawak,N.04 Kuching Timor,5,7V511,Kenneth Lau Ah Lah,BEBAS,000-BEBAS,BEBAS,0,ALONE,81,0.8621607237892496,5,lost_deposit
1969-05-10,SE-01,Sarawak,N.05 Semariang,1,AXV1A,Ajibah Abol,PERIKATAN,027-PBRS-SWK,PBRS,1,PERIKATAN,3233,54.482642399730366,1,won
1969-05-10,SE-01,Sarawak,N.05 Semariang,2,EBH3K,Abdul Kadir Merican,SUPP,013-SUPP,SUPP,0,ALONE,971,16.363329962925512,2,lost
1969-05-10,SE-01,Sarawak,N.05 Semariang,3,HS75W,Chegu Shukri,BEBAS,000-BEBAS,BEBAS,0,ALONE,954,16.076845298281093,3,lost
1969-05-10,SE-01,Sarawak,N.05 Semariang,4,N6X85,Abang Bueng Bin Abang Amin,SNAP,015-SNAP,SNAP,0,ALONE,526,8.86417256488035,4,lost_deposit
1969-05-10,SE-01,Sarawak,N.05 Semariang,5,RMKAE,Haji Ben Bin Jomel,BEBAS,000-BEBAS,BEBAS,0,ALONE,250,4.213009774182676,5,lost_deposit
1969-05-10,SE-01,Sarawak,N.06 Sekama,1,W29CQ,Sim Kheng Hong,SUPP,013-SUPP,SUPP,0,ALONE,4435,58.43984714718672,1,won
1969-05-10,SE-01,Sarawak,N.06 Sekama,2,ZFZF0,Clarence Tan,PERIKATAN,019-SCA-SWK,SCA,1,PERIKATAN,2236,29.463697456845434,2,lost
1969-05-10,SE-01,Sarawak,N.06 Sekama,3,2XNH9,Paul F. Kueh Jee It,SNAP,015-SNAP,SNAP,0,ALONE,738,9.724601396758466,3,lost_deposit
1969-05-10,SE-01,Sarawak,N.06 Sekama,4,6BBKJ,Chai Kuet Sung,BEBAS,000-BEBAS,BEBAS,0,ALONE,180,2.371853999209382,4,lost_deposit
1969-05-10,SE-01,Sarawak,N.07 Sebandi,1,9S1NV,Ikhwan Bin Abang Haji Zainei,PERIKATAN,027-PBRS-SWK,PBRS,1,PERIKATAN,3755,59.096632042807684,1,won
1969-05-10,SE-01,Sarawak,N.07 Sebandi,2,D6QR4,Tua Kampong Suaidi,SUPP,013-SUPP,SUPP,0,ALONE,1530,24.07932011331445,2,lost
1969-05-10,SE-01,Sarawak,N.07 Sebandi,3,GMDTD,Abang Haji Adenan Bin Abang Haji Azahari,PESAKA,018-PESAKA,PESAKA,0,ALONE,1069,16.824047843877874,3,lost
1969-05-10,SE-01,Sarawak,N.08 Muara Tuang,1,M23WP,Mohamad Musa,PERIKATAN,027-PBRS-SWK,PBRS,1,PERIKATAN,1934,46.30117309073498,1,won
1969-05-10,SE-01,Sarawak,N.08 Muara Tuang,2,QFSYZ,Chung Kok Chiong,SUPP,013-SUPP,SUPP,0,ALONE,1232,29.494852765142447,2,lost
1969-05-10,SE-01,Sarawak,N.08 Muara Tuang,3,TXG18,Dato Abang Othman,SNAP,015-SNAP,SNAP,0,ALONE,717,17.16542973425904,3,lost
