date,election,state,seat,ballot_order,candidate_uid,name_on_ballot,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc,rank,result
1959-05-20,SE-01,Terengganu,N.01 Kuala Besut,1,533,Abu Bakar Bin Ahmad,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,942,28.519527702089007,3,lost
1959-05-20,SE-01,Terengganu,N.01 Kuala Besut,2,534,Haji Wan Said Bin Haji Mohd. Nor,PAS,004-PAS,PAS,0,ALONE,1303,39.448985770511655,1,won
1959-05-20,SE-01,Terengganu,N.01 Kuala Besut,3,535,Wan Ali Bin Jusoh,SF,009-PR,PR,2,SF,1058,32.03148652739933,2,lost
1959-05-20,SE-01,Terengganu,N.02 Kampong Raja,1,536,Wan Ishak Bin Ali,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,677,27.84862196626903,2,lost
1959-05-20,SE-01,Terengganu,N.02 Kampong Raja,2,537,Mohd. Senari Bin Yunus,PAS,004-PAS,PAS,0,ALONE,1070,44.01480872069107,1,won
1959-05-20,SE-01,Terengganu,N.02 Kampong Raja,3,538,Wan Abdullah Bin Musa,SF,009-PR,PR,2,SF,379,15.590292060880294,3,lost
1959-05-20,SE-01,Terengganu,N.02 Kampong Raja,4,539,Idris Bin Hassan,NEG,008-NEG,NEG,0,ALONE,305,12.546277252159605,4,lost
1959-05-20,SE-01,Terengganu,N.03 Ulu Besut,1,540,Zainal Abidin Bin Mohamed Amin,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,435,15.327695560253698,3,lost
1959-05-20,SE-01,Terengganu,N.03 Ulu Besut,2,541,Husin Bin Jusoh,PAS,004-PAS,PAS,0,ALONE,1528,53.84073291050036,1,won
1959-05-20,SE-01,Terengganu,N.03 Ulu Besut,3,542,Ibrahim Bin Ismail,SF,009-PR,PR,2,SF,702,24.735729386892178,2,lost
1959-05-20,SE-01,Terengganu,N.03 Ulu Besut,4,543,Mohd. Fauzi Bin Hussain,NEG,008-NEG,NEG,0,ALONE,173,6.095842142353771,4,lost_deposit
1959-05-20,SE-01,Terengganu,N.04 Besut Tengah,1,544,Ismail Bin Yusof,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,488,17.960986382039014,2,lost
1959-05-20,SE-01,Terengganu,N.04 Besut Tengah,2,545,Haji Mohamed Bin Ismail,PAS,004-PAS,PAS,0,ALONE,1994,73.38976812661024,1,won
1959-05-20,SE-01,Terengganu,N.04 Besut Tengah,3,546,Omar Bin Ahmad,NEG,008-NEG,NEG,0,ALONE,235,8.649245491350754,3,lost_deposit
1959-05-20,SE-01,Terengganu,N.05 Setiu,1,547,Mohamad Yusoff Bin Hj. Md. Amin,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,611,20.158363576377432,2,lost
1959-05-20,SE-01,Terengganu,N.05 Setiu,2,548,Mohd. Daud Bin Abdul Samad,PAS,004-PAS,PAS,0,ALONE,1964,64.79709666776643,1,won
1959-05-20,SE-01,Terengganu,N.05 Setiu,3,549,Abdul Ghani Bin Sulong,SF,009-PR,PR,2,SF,376,12.405146816232266,3,lost_deposit
1959-05-20,SE-01,Terengganu,N.05 Setiu,4,550,Che' Mohd. Zin Bin Haji Mohd. Amin,NEG,008-NEG,NEG,0,ALONE,80,2.6393929396238867,4,lost_deposit
1959-05-20,SE-01,Terengganu,N.06 Batu Rakit,1,551,Mohamed Amin Bin Mohamed,SF,009-PR,PR,2,SF,334,8.168256297383223,4,lost_deposit
1959-05-20,SE-01,Terengganu,N.06 Batu Rakit,2,552,Haji Abdullah Bin Bidin,NEG,008-NEG,NEG,0,ALONE,974,23.820004891171436,2,lost
1959-05-20,SE-01,Terengganu,N.06 Batu Rakit,3,553,Mohd. Rashid Bin Su Mahmud,PAS,004-PAS,PAS,0,ALONE,514,12.570310589386157,3,lost
1959-05-20,SE-01,Terengganu,N.06 Batu Rakit,4,554,Mansor Bin Mohamed,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,2267,55.44142822205919,1,won
1959-05-20,SE-01,Terengganu,N.07 Kuala Nerus,1,555,Haji Abas Bin Haji Mohamed,PAS,004-PAS,PAS,0,ALONE,1655,45.857578276530894,2,lost
1959-05-20,SE-01,Terengganu,N.07 Kuala Nerus,2,122,Ibrahim Fikri,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,1954,54.142421723469106,1,won
1959-05-20,SE-01,Terengganu,N.08 Jeram,1,556,Mohamed Said Bin Abdullah,PERIKATAN,001-UMNO,UMNO,1,PERIKATAN,1270,36.4105504587156,2,lost
1959-05-20,SE-01,Terengganu,N.08 Jeram,2,557,Ahmad Azzam,PAS,004-PAS,PAS,0,ALONE,1776,50.917431192660544,1,won
1959-05-20,SE-01,Terengganu,N.08 Jeram,3,558,Syed Salleh Bin Mustafa,NEG,008-NEG,NEG,0,ALONE,442,12.672018348623853,3,lost
