date,election,state,seat,voters_total,ballots_issued,ballots_not_returned,votes_rejected,votes_valid,majority,n_candidates,voter_turnout,majority_perc,votes_rejected_perc,ballots_not_returned_perc
1959-05-20,SE-01,Terengganu,N.01 Kuala Besut,4835,3390,0,87,3303,245,3,70.11375387797312,7.417499243112322,2.566371681415929,0.0
1959-05-20,SE-01,Terengganu,N.02 Kampong Raja,3782,2517,0,86,2431,393,4,66.55208884188261,16.16618675442205,3.4167659912594357,0.0
1959-05-20,SE-01,Terengganu,N.03 Ulu Besut,4200,2954,0,116,2838,826,4,70.33333333333334,29.105003523608175,3.9268788083953963,0.0
1959-05-20,SE-01,Terengganu,N.04 Besut Tengah,4251,2818,0,101,2717,1506,3,66.29028463890849,55.42878174457122,3.584102200141945,0.0
1959-05-20,SE-01,Terengganu,N.05 Setiu,4331,3146,0,115,3031,1353,4,72.63911336873701,44.638733091388985,3.655435473617292,0.0
1959-05-20,SE-01,Terengganu,N.06 Batu Rakit,5763,4240,0,151,4089,1293,4,73.57279194863786,31.621423330887747,3.561320754716981,0.0
1959-05-20,SE-01,Terengganu,N.07 Kuala Nerus,4921,3745,0,136,3609,299,2,76.10241820768137,8.28484344693821,3.6315086782376502,0.0
1959-05-20,SE-01,Terengganu,N.08 Jeram,4853,3649,0,161,3488,506,3,75.19060375025757,14.506880733944955,4.41216771718279,0.0
1959-05-20,SE-01,Terengganu,N.09 Langkap,4457,3056,0,217,2839,136,4,68.56630020192955,4.790419161676647,7.100785340314136,0.0
1959-05-20,SE-01,Terengganu,N.10 Bandar,4547,3051,0,45,3006,918,3,67.09918627666593,30.538922155688624,1.4749262536873156,0.0
1959-05-20,SE-01,Terengganu,N.11 Ladang,5181,3430,0,56,3374,515,4,66.20343563018723,15.263781861292236,1.6326530612244898,0.0
1959-05-20,SE-01,Terengganu,N.12 Bukit Besar,4793,3019,0,91,2928,149,4,62.98769038180681,5.08879781420765,3.0142431268631995,0.0
1959-05-20,SE-01,Terengganu,N.13 Batu Burok,4726,2954,0,103,2851,367,4,62.50528988573847,12.872676253945983,3.486797562626946,0.0
1959-05-20,SE-01,Terengganu,N.14 Marang,6074,4603,0,159,4444,1291,4,75.78202173197234,29.050405040504053,3.4542689550293284,0.0
1959-05-20,SE-01,Terengganu,N.15 Sura,5137,3445,0,57,3388,116,4,67.06248783336578,3.4238488783943333,1.6545718432510885,0.0
1959-05-20,SE-01,Terengganu,N.16 Ulu Dungun,4546,3235,0,89,3146,91,4,71.16146062472504,2.8925619834710745,2.7511591962905717,0.0
1959-05-20,SE-01,Terengganu,N.17 Paka Kerteh,4555,3404,0,178,3226,567,4,74.73106476399562,17.5759454432734,5.229142185663925,0.0
1959-05-20,SE-01,Terengganu,N.18 Kemaman Utara,3782,2770,0,80,2690,639,4,73.24167107350607,23.7546468401487,2.888086642599278,0.0
1959-05-20,SE-01,Terengganu,N.19 Chukai,3939,2782,0,59,2723,1047,5,70.62706270627062,38.45023870730812,2.12077641984184,0.0
1959-05-20,SE-01,Terengganu,N.20 Kemaman Selatan,5439,4105,0,115,3990,236,4,75.47343261628976,5.9147869674185465,2.8014616321559074,0.0
1959-05-20,SE-01,Terengganu,N.21 Kuala Trengganu Tengah,5161,3516,0,154,3362,530,3,68.12633210618098,15.764425936942297,4.379977246871445,0.0
1959-05-20,SE-01,Terengganu,N.22 Binjai,5484,4213,0,164,4049,627,4,76.82348650619986,15.4853050135836,3.8927130310942326,0.0
1959-05-20,SE-01,Terengganu,N.23 Ulu Trengganu Timor,4802,3930,0,162,3768,450,4,81.84089962515618,11.94267515923567,4.122137404580153,0.0
1959-05-20,SE-01,Terengganu,N.24 Ulu Trengganu Barat,5317,3986,0,302,3684,158,5,74.96708670302802,4.288816503800217,7.5765178123432015,0.0
1964-04-25,SE-02,Terengganu,N.01 Kuala Besut,5771,4617,0,295,4322,330,4,80.00346560388148,7.635354002776492,6.389430366038554,0.0
1964-04-25,SE-02,Terengganu,N.02 Kampong Raja,4085,3542,0,180,3362,164,4,86.70746634026928,4.878048780487805,5.081874647092039,0.0
1964-04-25,SE-02,Terengganu,N.03 Ulu Besut,5765,4721,0,282,4439,314,3,81.89071986123156,7.073665239918901,5.9733107392501585,0.0
1964-04-25,SE-02,Terengganu,N.04 Besut Tengah,5370,4565,0,233,4332,342,2,85.00931098696462,7.894736842105263,5.104052573932092,0.0
1964-04-25,SE-02,Terengganu,N.05 Setiu,6446,5382,0,227,5155,446,3,83.49363946633571,8.651794374393793,4.217762913415087,0.0
1964-04-25,SE-02,Terengganu,N.06 Batu Rakit,6976,5505,0,316,5189,2260,4,78.91341743119266,43.553671227596844,5.740236148955495,0.0
1964-04-25,SE-02,Terengganu,N.07 Kuala Nerus,6229,4725,0,193,4532,1323,3,75.85487237116712,29.192409532215358,4.084656084656085,0.0
1964-04-25,SE-02,Terengganu,N.08 Jeram,5844,4522,0,241,4281,1428,3,77.378507871321,33.35669236159776,5.329500221141088,0.0
1964-04-25,SE-02,Terengganu,N.09 Langkap,5690,4469,0,247,4222,571,3,78.54130052724078,13.524396020843202,5.526963526515999,0.0
