state,dun,area_name,ballot_order,name,candidate_uid,party,votes
Johor,N.01 Sepinang,Sepinang,1,Abd. Wahid Bin Hatta,11484,PAS,2477
Johor,N.01 Sepinang,Sepinang,2,Othman Bin Jais,11485,BN,12553
Johor,N.02 Jementah,Jementah,1,Lim Si Cheng,2500,BN,0
Johor,N.03 Tangkak,Tangkak,1,Wang Keat Yit,11487,DAP,5790
Johor,N.03 Tangkak,Tangkak,2,Yap Chik Dong,11488,BN,10050
Johor,N.04 Serom,Serom,1,Md. Noor Bin Md. Dom,11489,BN,12771
Johor,N.04 Serom,Serom,2,Ungku Ismail Bin Ungku A. Hamid,11490,PAS,3297
Johor,N.05 Bukit Serampang,Bukit Serampang,1,Mahiaddin B. Md. Yasin,11491,BN,0
Johor,N.06 Jorak,Jorak,1,Sumadi Bin Ahmad @ Ahamad,1556,PAS,2271
Johor,N.06 Jorak,Jorak,2,Sabariah Bt. Ahmad,10431,BN,10427
Johor,N.07 Tenang,Tenang,1,Mohd. Saim Bin Siran,11494,PAS,1807
Johor,N.07 Tenang,Tenang,2,Bahari Bin Haron,11495,BN,10279
Johor,N.08 Bekok,Bekok,1,Mohd. Saat Bin Mohamad,11496,PAS,274
Johor,N.08 Bekok,Bekok,2,Tay Boon Chong,11497,BN,7610
Johor,N.08 Bekok,Bekok,3,Lim Wah Kin,2478,DAP,6414
Johor,N.09 Endau,Endau,1,Ismail Bin Ali,11499,PAS,2004
Johor,N.09 Endau,Endau,2,Kahdri Bin Sabran,1553,BN,7023
Johor,N.10 Tenggaroh,Tenggaroh,1,Arumugam Chettiar S/O Verru Chettiar,10408,BN,4662
Johor,N.10 Tenggaroh,Tenggaroh,2,Sheikh Abdullah Bin Awab,11502,BEBAS,205
Johor,N.10 Tenggaroh,Tenggaroh,3,Lim Ser Ho,2485,DAP,3733
Johor,N.10 Tenggaroh,Tenggaroh,4,Mokhtar Bin Haji Yahaya,1554,PAS,383
Johor,N.11 Paloh,Paloh,1,Lim Ah Kow @ Lim Kwi Siam,11505,DAP,9975
Johor,N.11 Paloh,Paloh,2,Pang Tong Yong,11506,BN,12179
Johor,N.12 Gunung Lambak,Gunung Lambak,1,Kang Chow Oh,2166,BN,15894
Johor,N.12 Gunung Lambak,Gunung Lambak,2,Leang Yui Pheng @ Kamal Leang,11508,PAS,4857
Johor,N.13 Sri Medan,Sri Medan,1,Kamisan Bin Haji Asari,8129,BN,12898
Johor,N.13 Sri Medan,Sri Medan,2,Ishak Bin Mohtaram,11510,PAS,3456
Johor,N.14 Semerah,Semerah,1,Mahmood Bin Hj. Bakar,11511,PAS,1536
Johor,N.14 Semerah,Semerah,2,Chia Teo Seng @ Sia Chong Seng,11512,DAP,6651
Johor,N.14 Semerah,Semerah,3,Chang Lu Kiang,11513,BN,11959
Johor,N.15 Bukit Naning,Bukit Naning,1,Hashim Bin Rais,11514,BN,11845
Johor,N.15 Bukit Naning,Bukit Naning,2,Hassan Bin Hussein,876,PAS,3735
Johor,N.16 Maharani,Maharani,1,Song Sing Kwee,1851,DAP,8954
Johor,N.16 Maharani,Maharani,2,Yeo She Kim @ Yeo Ser Kim,11517,SDP,229
Johor,N.16 Maharani,Maharani,3,Ng Kok Hwa,11518,BN,4583
Johor,N.17 Parit Bakar,Parit Bakar,1,Musa Bin Hj. Ismail,9280,BN,8703
Johor,N.17 Parit Bakar,Parit Bakar,2,Md. Said @ Md. Sa'Aid Bin Abd. Samad,11520,PAS,3048
Johor,N.18 Parit Jawa,Parit Jawa,1,Abd. Hamid Bin Abd. Rahim,1287,PAS,2435
Johor,N.18 Parit Jawa,Parit Jawa,2,Zakaria Bin Mahadi,11522,BN,8482
Johor,N.19 Parit Yaani,Parit Yaani,1,Mohamad Bin Haji Aziz,2806,BN,0
Johor,N.20 Parit Raja,Parit Raja,1,Syed Zain Bin Idrus,7230,BN,0
Johor,N.21 Penggaram,Penggaram,1,Mohamed Bin Salleh,10451,PAS,1447
Johor,N.21 Penggaram,Penggaram,2,Gan Ah Liong,11526,DAP,7643
Johor,N.21 Penggaram,Penggaram,3,Chua Soi Lek @ Chua Kin Seng,11527,BN,11633
Johor,N.21 Penggaram,Penggaram,4,Tan Lem (Tem) Huat,1856,SDP,532
Johor,N.22 Rengit,Rengit,1,Abu Bakar Bin Mohd. Dewa,11529,BN,10215
Johor,N.22 Rengit,Rengit,2,Ungku Mohd. Noor Bin Ungku Mahmood,1855,PAS,2946
Johor,N.23 Simpang Renggam,Simpang Renggam,1,Atan Bin Gombang,3508,PAS,2943
Johor,N.23 Simpang Renggam,Simpang Renggam,2,Law Boon King @ Low Boon Hong,10443,BN,14328
Johor,N.24 Benut,Benut,1,Md. Turus Bin Dg. Melbek,6361,PAS,2859
Johor,N.24 Benut,Benut,2,Ahmad Bin Selamat,11534,BN,10991
