state,dun,ballot_order,name,candidate_uid,party,party_uid,votes
Johor,N.01 Sepinang,1,Othman Bin Jais,11485,BN,25,17829
Johor,N.01 Sepinang,2,Ibrahim Bin Mohd Seh,13733,S46,56,3022
Johor,N.02 Jementah,1,Gan Liang Keng @ Lee Ah Kau,13734,BN,25,13354
Johor,N.02 Jementah,2,Tan Thian San @ Tan Tiang Sang,720,BEBAS,1,167
Johor,N.02 Jementah,3,Wang Ah Chin @ Wong Peng Sheng,13736,DAP,18,6371
Johor,N.03 Tangkak,1,Yap Chik Dong,11488,BN,25,13271
Johor,N.03 Tangkak,2,Liang Toy Heng,13738,DAP,18,3771
Johor,N.04 Serom,1,Husni Bin Hj. Md. Alip,13739,S46,56,3293
Johor,N.04 Serom,2,A. Ghani Bin Othman,1845,BN,25,16789
Johor,N.05 Bukit Serampang,1,A. Aziz Bin Hashim,13741,S46,56,1459
Johor,N.05 Bukit Serampang,2,Ahmad Bin Omar @ Amar,1847,BN,25,10939
Johor,N.06 Jorak,1,Ab Rahim @ Ibrahim Bin Hj Elias,13743,S46,56,2835
Johor,N.06 Jorak,2,Sabariah Bte Ahmad,10431,BN,25,10797
Johor,N.07 Tenang,1,Lahori Bin Jemikan,13745,S46,56,2543
Johor,N.07 Tenang,2,Dato' Bahari Bin Haron,13746,BN,25,13668
Johor,N.08 Bekok,1,Pang Hok Liong,3148,DAP,18,6422
Johor,N.08 Bekok,2,Tan Kok Hong @ Tan Yi,13748,BN,25,10850
Johor,N.09 Endau,1,Abd. Latiff Bin Ahmad,2799,BN,25,7315
Johor,N.09 Endau,2,Shekh Abdullah Bin Said Salleh,13750,PAS,3,3302
Johor,N.10 Tenggaroh,1,Krishnasamy A/L Shiman,13751,BN,25,11451
Johor,N.10 Tenggaroh,2,Muda Bin Chik,13752,S46,56,3495
Johor,N.11 Paloh,1,Eng Ah Kau,13753,DAP,18,6277
Johor,N.11 Paloh,2,Chong Ah Qwon,13754,BN,25,17806
Johor,N.12 Mengkibol,1,Ng Kim Lai,12682,BN,25,13172
Johor,N.12 Mengkibol,2,Tok Kim Huwa,13756,DAP,18,4533
Johor,N.13 Sri Medan,1,Atkah Bte Abdullah,13757,BN,25,15987
Johor,N.13 Sri Medan,2,Azmi Bin Masrani,13758,S46,56,4480
Johor,N.14 Semerah,1,Tan Teck Poh,12686,BN,25,15055
Johor,N.14 Semerah,2,Othman Bin Tahir,8323,S46,56,5698
Johor,N.15 Bukit Naning,1,Masiran Bin Elias,13761,BN,25,0
Johor,N.16 Maharani,1,Tay Khim Seng,13762,BN,25,11234
Johor,N.16 Maharani,2,Lim Sey Wee @ Lim Sey You,13763,DAP,18,8538
Johor,N.17 Parit Bakar,1,Abd. Malek Bin Munip,2171,BN,25,9903
Johor,N.17 Parit Bakar,2,Abd. Kahar Bin Ahmad,12693,S46,56,4838
Johor,N.18 Sungai Balang,1,Abu @ Musa Bin Abdul Rahim,13766,PAS,3,3077
Johor,N.18 Sungai Balang,2,Muntaha Bin Kailan,13767,BN,25,9566
Johor,N.19 Parit Yaani,1,Mohd Said Bin Jamhari,13768,S46,56,2348
Johor,N.19 Parit Yaani,2,Mohamad Bin Haji Aziz,2806,BN,25,15713
Johor,N.20 Parit Raja,1,Mohd Saidi Bin Taul,12697,S46,56,1635
Johor,N.20 Parit Raja,2,Zahar Bin Bachik,13771,BN,25,12421
Johor,N.20 Parit Raja,3,Ahmad Bin Rais,13772,BEBAS,1,4710
Johor,N.21 Penggaram,1,Dr. Chua Soi Lek @ Chua Kin Seng,11527,BN,25,20174
Johor,N.21 Penggaram,2,Gan Peck Cheng,2189,DAP,18,6137
Johor,N.22 Rengit,1,Ungku Mohd Noor Bin Ungku Mahmood,1855,PAS,3,3658
Johor,N.22 Rengit,2,Zainal Abidin Bin Mohamed Zin,5936,BN,25,12435
Johor,N.23 Panti,1,Zolbahari Bin Ab. Bakar,13777,S46,56,1010
Johor,N.23 Panti,2,Asma'On Bin Ismail,13778,BN,25,9609
Johor,N.24 Gunung Lambak,1,Zainal Abidin Bin Hj. Ibrahim,13779,S46,56,3418
