state,dun,area_name,ballot_order,name,candidate_uid,party,party_uid,votes
Johor,N.01 Sepinang,Sepinang,1,Othman Bin Jais,11485,BN,25,15797
Johor,N.01 Sepinang,Sepinang,2,Muhamad Bin Baharum,14948,PAS,3,6030
Johor,N.02 Jementah,Jementah,1,Wang Ah Chin @ Wong Peng Sheng,13736,DAP,18,7323
Johor,N.02 Jementah,Jementah,2,Tan Thian San @ Tan Tian Sang,720,MDP,65,131
Johor,N.02 Jementah,Jementah,3,Gan Lian Keng @ Lee Ah Kau,13734,BN,25,12849
Johor,N.03 Tangkak,Tangkak,1,Yap Chik Dong,11488,BN,25,0
Johor,N.04 Serom,Serom,1,Dato' Abdul Ghani Othman,14953,BN,25,14652
Johor,N.04 Serom,Serom,2,Ustaz Abdullah Bin Husin,4981,PAS,3,6404
Johor,N.05 Bukit Serampang,Bukit Serampang,1,Tahir Bin Mohd. Taat,14955,BN,25,9317
Johor,N.05 Bukit Serampang,Bukit Serampang,2,Mohamad Yussof Abd. Ghani,14956,PKR,11,3132
Johor,N.06 Jorak,Jorak,1,Samat Bin Aripin,14957,BN,25,10622
Johor,N.06 Jorak,Jorak,2,Ir. Hj. Ismail Bin Hj. Mohd Yusof,14958,PAS,3,4217
Johor,N.07 Tenang,Tenang,1,Ibrahim Bin Daud,14959,BN,25,12774
Johor,N.07 Tenang,Tenang,2,Mohmad Rozali Bin Jamil,14960,PAS,3,4125
Johor,N.08 Bekok,Bekok,1,Tan Kok Hong @ Tan Yi,13748,BN,25,11213
Johor,N.08 Bekok,Bekok,2,Ong Ching Ping,14962,DAP,18,5429
Johor,N.09 Endau,Endau,1,Ismail Bin Ibrahim,6758,PAS,3,4107
Johor,N.09 Endau,Endau,2,Zainal Abidin Bin Osman,2484,BN,25,7001
Johor,N.10 Tenggaroh,Tenggaroh,1,Terng Liok Seng,14965,PKR,11,3920
Johor,N.10 Tenggaroh,Tenggaroh,2,Krishnasamy A/L Shiman,13751,BN,25,11471
Johor,N.11 Paloh,Paloh,1,Chong Ah Onn @ Chong Ah Owon,14967,BN,25,16867
Johor,N.11 Paloh,Paloh,2,Albert Chai,14968,DAP,18,6886
Johor,N.12 Mengkiboi,Mengkiboi,1,Ng Kim Lai,12682,BN,25,13241
Johor,N.12 Mengkiboi,Mengkiboi,2,Teo Chue Koon,14970,DAP,18,5556
Johor,N.13 Sri Medan,Sri Medan,1,Muhammad Sabri Bin Omar,14971,PAS,3,6292
Johor,N.13 Sri Medan,Sri Medan,2,Ahmad Zahri Bin Jamil,14972,BN,25,15867
Johor,N.14 Semerah,Semerah,1,Khairuddin Bin A Rahim,14973,PAS,3,8048
Johor,N.14 Semerah,Semerah,2,Tan Teck Poh @ Tan Ah Too,14974,BN,25,14241
Johor,N.15 Bukit Naning,Bukit Naning,1,Sheikh Ibrahim Bin Salleh,14975,PAS,3,6009
Johor,N.15 Bukit Naning,Bukit Naning,2,Jamilah Binti Othman,14976,BN,25,10455
Johor,N.16 Maharani,Maharani,1,Pang Hok Liong,3148,DAP,18,9413
Johor,N.16 Maharani,Maharani,2,Lau Yew Wee @ Low Yu Wee,14978,BN,25,12225
Johor,N.17 Parit Bakar,Parit Bakar,1,Dr. Mohammad Bin Taslim,14979,PAS,3,6188
Johor,N.17 Parit Bakar,Parit Bakar,2,Hj. Mohd. Ismail B Hj Mohd. Shah,14980,BN,25,9008
Johor,N.18 Sungai Balang,Sungai Balang,1,Hj Mohamad Bin Taib,14981,PAS,3,4559
Johor,N.18 Sungai Balang,Sungai Balang,2,Md. Salikon Bin Sarpin,14982,BN,25,8484
Johor,N.19 Parit Yaani,Parit Yaani,1,Hamzah Bin Ramli,2494,BN,25,14635
