state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Kedah,N.01 Jitra,14564,11273,0,698
Kedah,N.02 Padang Terap,14900,11761,0,791
Kedah,N.03 Jerlun-Kodiang,11025,8653,0,446
Kedah,N.04 Tunjang,11326,8615,0,505
Kedah,N.05 Langgar-Limbong,11712,9682,0,420
Kedah,N.06 Pokok Sena,12270,9804,0,734
Kedah,N.07 Alor Star Pekan,16717,11677,0,537
Kedah,N.08 Alor Star Luar,17041,11867,0,479
Kedah,N.09 Langkawi,16744,13489,0,819
Kedah,N.10 Kota Star Barat,13128,10243,0,605
Kedah,N.11 Kangkong-Bukit Raya,12329,10380,0,448
Kedah,N.12 Padang,13569,11009,0,712
Kedah,N.13 Sik-Gurun,16459,12221,0,912
Kedah,N.14 Kota,13370,10847,0,539
Kedah,N.15 Sala,14294,11106,0,555
Kedah,N.16 Yan-Merbok,13977,10650,0,565
Kedah,N.17 Baling Timor,16101,12006,0,685
Kedah,N.18 Baling Barat,15719,11102,0,762
Kedah,N.19 Pekan Sungei Patani,14483,10840,0,296
Kedah,N.20 Sungei Patani Luar,12673,9844,0,407
Kedah,N.21 Sidam,11399,8641,0,666
Kedah,N.22 Lunas,12726,9597,0,614
Kedah,N.23 Kulim,16675,11810,0,606
Kedah,N.24 Bandar Bahru,13657,10979,0,454
