state,dun,area_name,ballot_order,name,candidate_uid,party,party_uid,votes
Kedah,N.01 Langkawi,Langkawi,1,Haji Othman Bin Bakar,10470,PAS,3,2795
Kedah,N.01 Langkawi,Langkawi,2,Syed Nahar Bin Syed Sheh Shahabuddin,10471,BN,25,8824
Kedah,N.02 Jerlun,Jerlun,1,Hassim Bin Othman,1097,PAS,3,8275
Kedah,N.02 Jerlun,Jerlun,2,Yusuf Bin Abd. Rahman,10473,BN,25,10088
Kedah,N.03 Tunjang,Tunjang,1,Hanafi Bin Ramli,2296,BN,25,11745
Kedah,N.03 Tunjang,Tunjang,2,Abu Kasim Bin L. Abdullah,10475,PAS,3,5389
Kedah,N.04 Jitra,Jitra,1,Mohamad @ Md. Salleh Bin Yaacob,10476,PAS,3,4262
Kedah,N.04 Jitra,Jitra,2,Osman @ Md. Daun Bin Aroff,7255,BN,25,11851
Kedah,N.05 Kuala Nerang,Kuala Nerang,1,Muhaudin Bin Haji Ahmad,9324,PAS,3,6398
Kedah,N.05 Kuala Nerang,Kuala Nerang,2,Azizah Binti L. Taib,9323,BN,25,8855
Kedah,N.06 Pokok Sena,Pokok Sena,1,Dato' Sudin Wahab,10480,PAS,3,6288
Kedah,N.06 Pokok Sena,Pokok Sena,2,Hussain @ Abdul Hamid Bin Tahir,10481,BN,25,9735
Kedah,N.07 Anak Bukit,Anak Bukit,1,Wahab Bin Sulaiman,8174,PAS,3,7254
Kedah,N.07 Anak Bukit,Anak Bukit,2,Karia @ Zakaria Bin Said,10483,BN,25,9137
Kedah,N.08 Pengkalan Kundor,Pengkalan Kundor,1,Wong Kok Wah,1374,DAP,18,1187
Kedah,N.08 Pengkalan Kundor,Pengkalan Kundor,2,Haji Jamaludin Bin Lebai Bakar,9328,BN,25,10652
Kedah,N.08 Pengkalan Kundor,Pengkalan Kundor,3,Haji Yusop Bin Arshad,10486,PAS,3,5672
Kedah,N.09 Alor Merah,Alor Merah,1,Khalid Bin Hj. Abdullah,10487,BN,25,9592
Kedah,N.09 Alor Merah,Alor Merah,2,Ong Aun Boon,9364,DAP,18,1636
Kedah,N.09 Alor Merah,Alor Merah,3,Dato' Haji Abu Bakar Bin Umar,1379,PAS,3,5673
Kedah,N.10 Bandar Alor Setar,Bandar Alor Setar,1,Othman Bin Haji Hussein,7270,PAS,3,3140
Kedah,N.10 Bandar Alor Setar,Bandar Alor Setar,2,Chea Kim Hoe @ Cheah Chong Chiew,9332,BN,25,14006
Kedah,N.10 Bandar Alor Setar,Bandar Alor Setar,3,George John A/L K. M. George,1377,DAP,18,6968
Kedah,N.11 Langgar-Limbong,Langgar–Limbong,1,Syed Azizan Bin Syed Hassan,10493,BN,25,6440
Kedah,N.11 Langgar-Limbong,Langgar–Limbong,2,Said Bin Yassin,10494,PAS,3,7300
Kedah,N.12 Bukit Raya,Bukit Raya,1,Ali @ Fadzil Bin Md. Noor,1100,PAS,3,8117
Kedah,N.12 Bukit Raya,Bukit Raya,2,Mohd. Mokhtar Bin Abdullah,10496,BEBAS,1,99
Kedah,N.12 Bukit Raya,Bukit Raya,3,Hajj Safirol Bin Haji Hashim,9342,BN,25,7771
Kedah,N.13 Sik,Sik,1,Hj. Mohd. Noh Bin Hj. Ahmad,10498,BN,25,6293
Kedah,N.13 Sik,Sik,2,Harun Bin Jusoh,1107,PAS,3,4959
Kedah,N.14 Pendang,Pendang,1,Haji Shaari Bin Abu Bakar,9344,BN,25,9342
Kedah,N.14 Pendang,Pendang,2,Awang Bin Saad,10501,PAS,3,6611
Kedah,N.15 Bayu,Bayu,1,Raja Ariffin Bin Raja Sulaiman,1681,BN,25,9751
Kedah,N.15 Bayu,Bayu,2,Ibrahim Bin Mahamood,2335,PAS,3,4846
Kedah,N.16 Kupang,Kupang,1,Mohd. Romli Bin Abdullah,9350,PAS,3,7121
Kedah,N.16 Kupang,Kupang,2,Ibrahim Bin Mahamood,2335,BN,25,10021
Kedah,N.17 Sala,Sala,1,Ahmad Bin Haji Awang,7469,BN,25,6719
Kedah,N.17 Sala,Sala,2,Che Me Bin Ahmad,9355,PAS,3,5945
Kedah,N.18 Yan,Yan,1,Haji Abdul Rahman Bin Darus,10508,PAS,3,4377
Kedah,N.18 Yan,Yan,2,Abdullah Bin Haji Ismail,7278,BN,25,8897
Kedah,N.19 Jeniang,Jeniang,1,Zainol Abidin Bin Johari,8198,BN,25,10659
Kedah,N.19 Jeniang,Jeniang,2,Md. Jaafar Bin Lateh,10511,PAS,3,3596
Kedah,N.20 Merbok,Merbok,1,Shoib Bin Mustafa,10512,PAS,3,3945
Kedah,N.20 Merbok,Merbok,2,Hashim Bin Haji Osman,8232,BN,25,11755
Kedah,N.21 Tikam Batu,Tikam Batu,1,Bakar Bin Hj. Mahmud,10514,PAS,3,7379
Kedah,N.21 Tikam Batu,Tikam Batu,2,Ong Ah Yong @ Ong Chow Song,6418,BN,25,17620
Kedah,N.21 Tikam Batu,Tikam Batu,3,Ismail Bin Man,1388,BEBAS,1,194
Kedah,N.21 Tikam Batu,Tikam Batu,4,Chong Ah Lek @ Chong Kok Heong,10517,DAP,18,4658
Kedah,N.22 Kuala Ketil,Kuala Ketil,1,Karuppaiah A/L Ramasamy,1684,DAP,18,930
Kedah,N.22 Kuala Ketil,Kuala Ketil,2,Subramaniam A/L Sundram,10519,BN,25,7342
Kedah,N.22 Kuala Ketil,Kuala Ketil,3,Nadaraju A/L Aparu,10520,BEBAS,1,186
Kedah,N.22 Kuala Ketil,Kuala Ketil,4,Ahmad Khasasi Bin L. Mahamud,10521,PAS,3,3215
