state,dun,ballot_order,name,candidate_uid,party,party_uid,votes
Kedah,N.01 Ayer Hangat,1,Mohd Rawi Bin Abd Hamid,17613,BN,25,11166
Kedah,N.01 Ayer Hangat,2,Zubir Bin Ahmad,3990,PAS,3,5855
Kedah,N.02 Kuah,1,Nor Saidi Bin Nanyan,19141,BN,25,10263
Kedah,N.02 Kuah,2,Zaflee Bin Pakwanteh,19142,BEBAS,1,117
Kedah,N.02 Kuah,3,Dato' Hj. Ahmad Bin Kasim,19143,PKR,11,3892
Kedah,N.03 Kota Siputeh,1,Dato' Abu Hasan Bin Sarif,19144,BN,25,10777
Kedah,N.03 Kota Siputeh,2,Ismail Bin W.Teh @ Jaziz,19145,PAS,3,8539
Kedah,N.04 Ayer Hitam,1,Dato' Paduka Hj Mukhriz Tun Mahathir,3288,BN,25,14083
Kedah,N.04 Ayer Hitam,2,Ustaz Abd. Ghani Bin Ahmad,19147,PAS,3,11637
Kedah,N.05 Bukit Kayu Hitam,1,Ahmad Zaini Bin Japar,19148,BN,25,16454
Kedah,N.05 Bukit Kayu Hitam,2,Haji Nasrul Omar,19149,PKR,11,8581
Kedah,N.06 Jitra,1,Dr. Rohani Binti Abd Muttalib,16285,PAS,3,14038
Kedah,N.06 Jitra,2,Aminuddin Bin Omar,19151,BN,25,17094
Kedah,N.07 Kuala Nerang,1,Ahmad Bin Mad.Daud,19152,BEBAS,1,235
Kedah,N.07 Kuala Nerang,2,Badrol Hisham Bin Hashim,19153,BN,25,10363
Kedah,N.07 Kuala Nerang,3,Syed Ibrahim Bin Syed Omar,19154,PAS,3,8366
Kedah,N.08 Pedu,1,Kama Noriah Binti Ibrahim,19155,BN,25,10522
Kedah,N.08 Pedu,2,Ir. Zamri Yusuf,19156,PKR,11,7562
Kedah,N.09 Bukit Lada,1,Dato Ahmad Lebai Sudin,16294,BN,25,12664
Kedah,N.09 Bukit Lada,2,Ustaz Izzat Shauki,17629,PAS,3,11340
Kedah,N.10 Bukit Pinang,1,Mohd Mukhtar Bin Noor ( Cikgu Tat ),19159,BN,25,10480
Kedah,N.10 Bukit Pinang,2,Wan Romani,19160,PAS,3,12152
Kedah,N.11 Derga,1,Tan Kok Yew,19161,DAP,18,10358
Kedah,N.11 Derga,2,Ustaz Haji Abdul Fisol Bin Mohd Isa,19162,BERJASA,34,2061
Kedah,N.11 Derga,3,Dr. Cheah Soon Hai,17633,BN,25,9202
Kedah,N.12 Bakar Bata,1,Jawahar Raja Bin Hj Abdul Wahid,3644,BERSAMA,70,192
Kedah,N.12 Bakar Bata,2,Dato' Paduka Ahmad Bashah Md Hanipah,17636,BN,25,11999
Kedah,N.12 Bakar Bata,3,Eekmal Ahmad,19166,PKR,11,11104
Kedah,N.13 Kota Darul Aman,1,Loh Gim Hooi,19167,BN,25,4761
Kedah,N.13 Kota Darul Aman,2,Liew Kard Seong,15050,BEBAS,1,39
Kedah,N.13 Kota Darul Aman,3,A.J. Gopala,19169,BEBAS,1,27
Kedah,N.13 Kota Darul Aman,4,Kb Teoh,19170,DAP,18,7387
Kedah,N.14 Alor Mengkudu,1,Ust. Fadzil Bin Hanafi. Jp,19171,BEBAS,1,325
Kedah,N.14 Alor Mengkudu,2,Ahmad Bin Yahaya,8201,PAS,3,11453
Kedah,N.14 Alor Mengkudu,3,Sharifah Maznah Bt. Syed Kassim Barakbah,19173,BN,25,9588
Kedah,N.15 Anak Bukit,1,Abd Samat Bin Che Noh,19174,BEBAS,1,85
Kedah,N.15 Anak Bukit,2,Dato' Ir.Haji Amiruddin Bin Hamzah,19175,PAS,3,13822
Kedah,N.15 Anak Bukit,3,Hashim Bin Jahaya,3296,BN,25,11016
Kedah,N.16 Kubang Rotan,1,Mohd Nasir Bin Mustafa,15261,PAS,3,15013
Kedah,N.16 Kubang Rotan,2,Dato' Latt Shariman Bin Abdullah,19178,BN,25,13969
Kedah,N.17 Pengkalan Kundor,1,Dato' Ir.Haji Phahrolrazi Bin Mohd Zawawi,19179,PAS,3,15526
Kedah,N.17 Pengkalan Kundor,2,Noor Hasita Binti Mat Isa,19180,BN,25,11642
Kedah,N.18 Tokai,1,Abu Bakar Bin Abdullah,12229,BEBAS,1,136
Kedah,N.18 Tokai,2,Najmuddin Bin Darus,19182,BN,25,12172
Kedah,N.18 Tokai,3,Dato' Taulan Rasul,19183,PAS,3,18005
