state,dun,area_name,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Kedah,N.01 Ayer Hangat,Ayer Hangat,21297,17978,71,305
Kedah,N.02 Kuah,Kuah,21400,17270,46,353
Kedah,N.03 Kota Siputeh,Kota Siputeh,23544,19225,48,319
Kedah,N.04 Ayer Hitam,Ayer Hitam,30588,25631,118,372
Kedah,N.05 Bukit Kayu Hitam,Bukit Kayu Hitam,32614,27006,163,414
Kedah,N.06 Jitra,Jitra,41267,34381,129,333
Kedah,N.07 Kuala Nerang,Kuala Nerang,24094,20436,79,364
Kedah,N.08 Pedu,Pedu,22550,19495,80,485
Kedah,N.09 Bukit Lada,Bukit Lada,30002,25165,77,446
Kedah,N.10 Bukit Pinang,Bukit Pinang,29041,24337,96,300
Kedah,N.11 Derga,Derga,27849,22495,188,192
Kedah,N.12 Suka Menanti,Suka Menanti,31305,25371,137,303
Kedah,N.13 Kota Darul Aman,Kota Darul Aman,21835,17046,47,229
Kedah,N.14 Alor Mengkudu,Alor Mengkudu,27132,22681,86,357
Kedah,N.15 Anak Bukit,Anak Bukit,28223,23628,90,297
Kedah,N.16 Kubang Rotan,Kubang Rotan,36253,29326,101,449
Kedah,N.17 Pengkalan Kundor,Pengkalan Kundor,33277,27597,83,324
Kedah,N.18 Tokai,Tokai,36366,30895,98,332
Kedah,N.19 Sungai Tiang,Sungai Tiang,38501,32476,81,582
Kedah,N.20 Sungai Limau,Sungai Limau,28800,24947,52,279
Kedah,N.21 Guar Chempedak,Guar Chempedak,22646,18819,64,292
Kedah,N.22 Gurun,Gurun,28530,23155,60,414
Kedah,N.23 Belantek,Belantek,22744,19372,94,276
Kedah,N.24 Jeneri,Jeneri,27641,23399,65,391
Kedah,N.25 Bukit Selambau,Bukit Selambau,48367,39589,141,488
Kedah,N.26 Tanjong Dawai,Tanjong Dawai,39415,33123,121,645
Kedah,N.27 Pantai Merdeka,Pantai Merdeka,36810,31523,195,347
Kedah,N.28 Bakar Arang,Bakar Arang,38991,32077,5,391
Kedah,N.29 Sidam,Sidam,36776,30245,95,291
Kedah,N.30 Bayu,Bayu,38985,33462,97,552
Kedah,N.31 Kupang,Kupang,34430,29630,72,437
Kedah,N.32 Kuala Ketil,Kuala Ketil,33798,29036,73,444
Kedah,N.33 Merbau Pulas,Merbau Pulas,34498,29137,95,429
Kedah,N.34 Lunas,Lunas,50336,42043,141,418
Kedah,N.35 Kulim,Kulim,38572,32031,103,469
Kedah,N.36 Bandar Baharu,Bandar Baharu,28015,23473,170,406
