state,dun,area_name,ballot_order,name,candidate_uid,party,party_uid,votes
Kelantan,N.01 Tumpat Barat,Tumpat Barat,1,Wan Salleh Bin Haji W. Sulaiman @ Wan Abdullah Bin Haji W. Sulaiman,7307,PAS,3,3805
Kelantan,N.01 Tumpat Barat,Tumpat Barat,2,Che Abdul Rahman Bin Che Omar @ Che Derahaman Bin Che Omar,7308,PERIKATAN,2,2978
Kelantan,N.02 Tumpat Tengah,Tumpat Tengah,1,Che Lat Bin Kassim,392,PERIKATAN,2,5114
Kelantan,N.02 Tumpat Tengah,Tumpat Tengah,2,Awang Bin Samat,7310,PAS,3,2691
Kelantan,N.03 Tumpat Timor,Tumpat Timor,1,Omar Bin Awang Kechik,6466,PERIKATAN,2,4660
Kelantan,N.03 Tumpat Timor,Tumpat Timor,2,Ishak Bin Mustapha,6467,PAS,3,3523
Kelantan,N.04 Kuala Kelantan,Kuala Kelantan,1,Wan Mamat Bin Wan Yusof,7313,PAS,3,3108
Kelantan,N.04 Kuala Kelantan,Kuala Kelantan,2,Tengku Noor Asiah Binti Tengku Ahmed,857,PERIKATAN,2,3097
Kelantan,N.05 Kota Bharu Utara,Kota Bharu Utara,1,Abdullah Bin Ahmad,5835,PAS,3,5441
Kelantan,N.05 Kota Bharu Utara,Kota Bharu Utara,2,Tengku Abdul Kadir Bin Tengku Chik,7316,PERIKATAN,2,2699
Kelantan,N.06 Kota Bharu Pantai,Kota Bharu Pantai,1,Abdullah Bin Haji Arshad,1146,PAS,3,4893
Kelantan,N.06 Kota Bharu Pantai,Kota Bharu Pantai,2,Haji Mohamed Bin Idris,7318,PERIKATAN,2,2831
Kelantan,N.07 Meranti,Meranti,1,Nik Man Bin Nik Mohamed,197,PAS,3,4556
Kelantan,N.07 Meranti,Meranti,2,Mohd. Jantan Bin Mohd. Amin,7320,PERIKATAN,2,882
Kelantan,N.08 Tendong,Tendong,1,Haji Mohamed Bin Nasir,5371,PAS,3,3878
Kelantan,N.08 Tendong,Tendong,2,Haji Mohamad Nor Bin Haji Abdullah,7322,PERIKATAN,2,3134
Kelantan,N.09 Bandar Pasir Mas,Bandar Pasir Mas,1,Haji Omar Bin Awang,6478,PAS,3,3841
Kelantan,N.09 Bandar Pasir Mas,Bandar Pasir Mas,2,Abdullah Bin Haji Yusoff,6503,PERIKATAN,2,3351
