state,dun,ballot_order,name,candidate_uid,party,party_uid,votes
Kelantan,N.01 Pengkalan Kubor,1,Mat Nawawi Bin Mat Jusoh,2946,BN,25,6086
Kelantan,N.01 Pengkalan Kubor,2,Wan Rahman Bin W Salleh,13898,S46,56,4788
Kelantan,N.02 Kelaboran,1,Mansor Bin Salleh,11619,BN,25,5328
Kelantan,N.02 Kelaboran,2,Noordin Bin Yaakub,13900,S46,56,6252
Kelantan,N.03 Pasir Pekan,1,Ahmad Bin Yakob @ Ustaz Mat To' Guru Kob,13901,PAS,3,6980
Kelantan,N.03 Pasir Pekan,2,Saupi Bin Daud,13902,BN,25,4241
Kelantan,N.04 Kijang,1,Ab. Halim Bin Ab. Rahman,9426,PAS,3,6865
Kelantan,N.04 Kijang,2,Ruhani Bt Mamat,13904,BN,25,2556
Kelantan,N.05 Chempaka,1,Nik Abdul Aziz Bin Nik Mat,859,PAS,3,7851
Kelantan,N.05 Chempaka,2,Yusof Bin Isa,13906,BN,25,2934
Kelantan,N.06 Panchor,1,Mohd Yusoff Bin Ludin @ Tok Imam Sof,13907,PAS,3,6499
Kelantan,N.06 Panchor,2,Hamdi Bin Omar,13908,BN,25,3448
Kelantan,N.06 Panchor,3,Yusof Bin Mat,2316,AKIM,63,106
Kelantan,N.07 Tanjong Mas,1,Abd. Rahim Bin Wan Abdullah,1705,PAS,3,9213
Kelantan,N.07 Tanjong Mas,2,Datuk Haji Mohamed Fatmi Bin Che Che Salleh,13911,BN,25,4228
Kelantan,N.07 Tanjong Mas,3,Ramli Bin Sulaiman,13912,AKIM,63,57
Kelantan,N.08 Kota Lama,1,Foo Chee Lian @ Foo Chee Tow,13913,BEBAS,1,214
Kelantan,N.08 Kota Lama,2,Leong Su Siang,13914,BN,25,8837
Kelantan,N.08 Kota Lama,3,Mohd Yusoff @ Yusof Bin Haji Mohd. Nor,13915,BERJASA,34,7161
Kelantan,N.08 Kota Lama,4,Mohd Din Bin Nizamdin,2624,AKIM,63,104
Kelantan,N.09 Bunut Payong,1,Halim Bin Mohamed,13917,PAS,3,7414
Kelantan,N.09 Bunut Payong,2,Zahari Bin Ab Wahab,13918,BN,25,4924
Kelantan,N.10 Wakaf Bharu,1,Ramli Bin Abu Bakar,10537,PAS,3,7077
Kelantan,N.10 Wakaf Bharu,2,Nordin Bin Saleh,4021,BN,25,5800
Kelantan,N.10 Wakaf Bharu,3,Othman Bin Latif,13921,AKIM,63,99
Kelantan,N.11 Tedong,1,Hussin Bin Ahmad,401,S46,56,5755
Kelantan,N.11 Tedong,2,Mohd Yaman Bin Muhamad,13923,BN,25,5168
Kelantan,N.12 Pengkalan Pasir,1,Che Hassan Bin Abdullah,1691,PAS,3,6529
Kelantan,N.12 Pengkalan Pasir,2,Mohd Hassan @ Hassan B. Che Wail @ Ismail,13925,BN,25,5493
Kelantan,N.13 Meranti,1,Mohd Nassuruddin Bin Haji Daud,13926,PAS,3,5060
Kelantan,N.13 Meranti,2,Mohamed Bin Yaacob,601,BN,25,2984
Kelantan,N.14 Gual Periok,1,Nik Mustapha Bin Nik Loding,12821,S46,56,6135
Kelantan,N.14 Gual Periok,2,Abdul Rahman Bin Awang,1494,BN,25,4667
Kelantan,N.15 Bukit Tuku,1,Mohd Yusof Bin Abdullah,13930,PAS,3,5336
Kelantan,N.15 Bukit Tuku,2,Hassan Bin Ahmad,13931,BN,25,3595
Kelantan,N.15 Bukit Tuku,3,Ramli Bin Awang,13932,BEBAS,1,585
Kelantan,N.16 Salor,1,Ahmad Rusli Bin Iberahim,13933,S46,56,6076
Kelantan,N.16 Salor,2,Siti Jeliha @ Zaleha Bte Hussun,11650,BN,25,4197
Kelantan,N.16 Salor,3,Che Man @ Ab Rahman Bin Ibrahim,13935,AKIM,63,73
Kelantan,N.17 Pasir Tumbuh,1,Daud Bin Jusoh,13936,PAS,3,6129
Kelantan,N.17 Pasir Tumbuh,2,Mustapha Bin Taib,6686,BN,25,3157
Kelantan,N.18 Kenali,1,Mohd Bin Daud @ Ustaz Mat Iraqi,13938,PAS,3,9375
Kelantan,N.18 Kenali,2,Arifin Bin Othman,13939,BN,25,3929
Kelantan,N.19 Tawang,1,Haji Hassan Bin Mohamood,13940,PAS,3,7191
Kelantan,N.19 Tawang,2,Che Razali Bin Ibrahim,3498,BN,25,4746
Kelantan,N.19 Tawang,3,Raja Harun Bin R. Ismail,13942,AKIM,63,107
Kelantan,N.20 Perupok,1,Omar Bin Mohammed,9409,PAS,3,6953
Kelantan,N.20 Perupok,2,Ab. Kadir @ Mohd. Khadir Bin Hassan,13944,BN,25,5169
Kelantan,N.21 Jelawat,1,Haji Mohd Daud Bin Ja'Afar,12840,S46,56,7623
Kelantan,N.21 Jelawat,2,Haji Ahmad Shahibuddin Bin Mohd Nor,13946,BN,25,6262
Kelantan,N.22 Melor,1,Zainal Abidin Bin Ab. Kadir,11039,BN,25,5486
Kelantan,N.22 Melor,2,Khairuldden Bin Haji Mat Adam,13948,S46,56,5155
Kelantan,N.22 Melor,3,Tuan Mohamad Bin Tuan Soh,13949,AKIM,63,110
